Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2009-10-28,9.4,9.5,8.37,8.49,8.49,2471500,152374000.0,-0.9100000000000001,-9.680851063829788
2009-10-29,8.76,9.0,8.5,9.0,9.0,224200,141999600.0,0.2400000000000002,2.739726027397263
2009-10-30,9.0,9.15,8.4,9.15,9.15,125700,145890000.0,0.15000000000000036,1.6666666666666705
2009-11-02,8.78,9.15,8.5,8.64,8.64,51700,142323800.0,-0.1399999999999988,-1.5945330296127425
2009-11-03,8.51,8.6,8.18,8.47,8.47,55200,137947100.0,-0.03999999999999915,-0.4700352526439383
2009-11-04,8.55,8.63,8.29,8.4,8.4,41800,138595500.0,-0.15000000000000036,-1.7543859649122848
2009-11-05,8.5,8.55,8.34,8.4,8.4,26500,137785000.0,-0.09999999999999964,-1.17647058823529
2009-11-06,8.26,8.57,8.07,8.51,8.51,32700,133894600.0,0.25,3.026634382566586
2009-11-09,8.49,8.49,8.07,8.41,8.41,34500,137622900.0,-0.08000000000000007,-0.9422850412249714
2009-11-10,8.11,8.39,7.6,7.99,7.99,88200,131463099.99999999,-0.11999999999999922,-1.4796547472256378
2009-11-11,7.99,8.0,7.66,7.95,7.95,95900,129517900.0,-0.040000000000000036,-0.5006257822277852
2009-11-12,8.58,8.59,8.16,8.4,8.4,195000,139081800.0,-0.17999999999999972,-2.0979020979020944
2009-11-13,8.13,8.4,8.03,8.03,8.03,26900,131787300.00000001,-0.10000000000000142,-1.2300123001230185
2009-11-16,8.21,8.22,7.96,8.03,8.03,33600,133084100.00000001,-0.1800000000000015,-2.192448233861163
2009-11-17,8.01,8.04,7.7,7.7,7.7,59400,129842100.0,-0.3099999999999996,-3.870162297128584
2009-11-18,7.7,7.9,7.52,7.85,7.85,64800,124817000.0,0.14999999999999947,1.9480519480519412
2009-11-19,7.95,8.19,7.73,8.06,8.06,133700,128869500.0,0.11000000000000032,1.3836477987421425
2009-11-20,8.21,8.25,7.98,8.0,8.0,49900,133084100.00000001,-0.21000000000000085,-2.5578562728380128
2009-11-23,8.03,8.25,7.85,8.15,8.15,43200,130166299.99999999,0.120000000000001,1.4943960149439728
2009-11-24,8.09,8.23,8.0,8.16,8.16,12200,131138900.0,0.07000000000000028,0.8652657601977787
2009-11-25,8.01,8.25,8.0,8.14,8.14,15300,129842100.0,0.13000000000000078,1.6229712858926442
2009-11-27,8.01,8.18,7.75,8.03,8.03,6600,129842100.0,0.019999999999999574,0.249687890137323
2009-11-30,8.04,8.28,8.0,8.25,8.25,49000,130328399.99999999,0.21000000000000085,2.6119402985074736
2009-12-01,8.25,8.46,8.1,8.34,8.34,32600,133732500.0,0.08999999999999986,1.0909090909090893
2009-12-02,8.0,8.34,8.0,8.06,8.06,25100,129680000.0,0.0600000000000005,0.7500000000000062
2009-12-03,8.01,8.12,7.85,8.1,8.1,29100,129842100.0,0.08999999999999986,1.1235955056179758
