Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1993-05-03,4.25,6.0,3.0,3.5,3.5,75200,62220000.0,-0.75,-17.647058823529413
1993-05-04,3.5,4.0,3.5,4.0,4.0,7900,51240000.0,0.5,14.285714285714285
1993-05-05,4.0,4.0,3.25,4.0,4.0,26100,58560000.0,0.0,0.0
1993-05-06,4.0,4.0,3.625,4.0,4.0,1900,58560000.0,0.0,0.0
1993-05-07,4.25,4.5,4.25,4.5,4.5,12100,62220000.0,0.25,5.88235294117647
1993-05-10,4.5,4.75,4.25,4.25,4.25,29000,65880000.0,-0.25,-5.555555555555555
1993-05-11,4.25,4.25,4.25,4.25,4.25,1100,62220000.0,0.0,0.0
1993-05-12,4.75,4.75,4.75,4.75,4.75,100,69540000.0,0.0,0.0
1993-05-13,4.375,4.375,4.25,4.375,4.375,1800,64050000.0,0.0,0.0
1993-05-14,4.375,4.375,4.375,4.375,4.375,0,64050000.0,0.0,0.0
1993-05-17,4.375,4.5,4.25,4.5,4.5,3600,64050000.0,0.125,2.857142857142857
1993-05-18,4.5,4.5,4.5,4.5,4.5,0,65880000.0,0.0,0.0
1993-05-19,4.5,4.625,4.25,4.625,4.625,5600,65880000.0,0.125,2.7777777777777777
1993-05-20,4.625,4.75,4.25,4.75,4.75,5700,67710000.0,0.125,2.7027027027027026
1993-05-21,4.625,4.625,4.0,4.0,4.0,18200,67710000.0,-0.625,-13.513513513513514
1993-05-24,4.0,4.25,3.75,4.125,4.125,35000,58560000.0,0.125,3.125
1993-05-25,3.75,4.125,3.5,3.75,3.75,92300,54900000.0,0.0,0.0
1993-05-26,3.5,3.75,3.125,3.25,3.25,117500,51240000.0,-0.25,-7.142857142857142
1993-05-27,3.25,3.5,3.125,3.25,3.25,111800,47580000.0,0.0,0.0
1993-05-28,3.0,3.5,2.75,3.25,3.25,43700,43920000.0,0.25,8.333333333333332
1993-06-01,3.25,3.25,2.75,3.25,3.25,4000,47580000.0,0.0,0.0
1993-06-02,2.75,3.25,2.625,3.25,3.25,461800,40260000.0,0.5,18.181818181818183
1993-06-03,3.375,3.5,3.25,3.25,3.25,56400,49410000.0,-0.125,-3.7037037037037033
1993-06-04,3.25,3.625,3.25,3.625,3.625,99500,47580000.0,0.375,11.538461538461538
1993-06-07,3.25,3.75,3.25,3.75,3.75,6700,47580000.0,0.5,15.384615384615385
1993-06-08,3.375,3.625,3.25,3.375,3.375,50200,49410000.0,0.0,0.0
1993-06-09,3.375,3.625,3.25,3.625,3.625,33600,49410000.0,0.25,7.4074074074074066
1993-06-10,3.625,3.625,3.375,3.5,3.5,64800,53070000.0,-0.125,-3.4482758620689653
1993-06-11,3.5,3.875,3.5,3.875,3.875,6200,51240000.0,0.375,10.714285714285714
1993-06-14,3.5,3.6875,3.5,3.5,3.5,4400,51240000.0,0.0,0.0
1993-06-15,3.5,3.875,3.5,3.75,3.75,108600,51240000.0,0.25,7.142857142857142
1993-06-16,3.5625,3.8125,3.5,3.5,3.5,7000,52155000.0,-0.0625,-1.7543859649122806
1993-06-17,3.6875,3.75,3.5,3.5,3.5,20500,53985000.0,-0.1875,-5.084745762711865
1993-06-18,3.5,3.625,3.5,3.625,3.625,9800,51240000.0,0.125,3.571428571428571
1993-06-21,3.625,3.625,3.5,3.5,3.5,53800,53070000.0,-0.125,-3.4482758620689653
1993-06-22,3.5,3.625,3.5,3.5,3.5,9700,51240000.0,0.0,0.0
1993-06-23,3.5625,3.625,3.25,3.625,3.625,15800,52155000.0,0.0625,1.7543859649122806
1993-06-24,3.25,3.5,3.25,3.5,3.5,7900,47580000.0,0.25,7.6923076923076925
1993-06-25,3.25,3.375,3.125,3.375,3.375,25100,47580000.0,0.125,3.8461538461538463
1993-06-28,3.5,3.5,3.125,3.125,3.125,7700,51240000.0,-0.375,-10.714285714285714
1993-06-29,3.125,3.5,3.125,3.125,3.125,5900,45750000.0,0.0,0.0
1993-06-30,3.125,3.375,3.0,3.0,3.0,40600,45750000.0,-0.125,-4.0
1993-07-01,3.0,3.0,2.75,2.875,2.875,147300,43920000.0,-0.125,-4.166666666666666
1993-07-02,2.875,3.0,2.75,3.0,3.0,15000,42090000.0,0.125,4.3478260869565215
1993-07-06,2.75,2.75,2.375,2.375,2.375,23300,40260000.0,-0.375,-13.636363636363635
1993-07-07,2.75,2.75,2.0,2.0,2.0,24900,40260000.0,-0.75,-27.27272727272727
1993-07-08,2.0,2.375,2.0,2.375,2.375,2800,29280000.0,0.375,18.75
1993-07-09,2.375,2.75,2.125,2.75,2.75,27100,34770000.0,0.375,15.789473684210526
1993-07-12,2.5,2.75,2.5,2.75,2.75,20400,36600000.0,0.25,10.0
1993-07-13,2.625,3.0,2.625,3.0,3.0,17200,38430000.0,0.375,14.285714285714285
1993-07-14,2.75,3.0,2.75,3.0,3.0,57000,40260000.0,0.25,9.090909090909092
1993-07-15,2.75,3.0,2.75,3.0,3.0,29100,40260000.0,0.25,9.090909090909092
1993-07-16,3.0,3.0,3.0,3.0,3.0,1700,43920000.0,0.0,0.0
1993-07-19,2.875,3.0,2.75,2.75,2.75,38500,42090000.0,-0.125,-4.3478260869565215
1993-07-20,3.0,3.0,2.75,3.0,3.0,1400,43920000.0,0.0,0.0
1993-07-21,3.0,3.0,2.75,3.0,3.0,124700,43920000.0,0.0,0.0
1993-07-22,3.0,3.0,2.75,2.75,2.75,400,43920000.0,-0.25,-8.333333333333332
1993-07-23,3.0,3.0,2.75,3.0,3.0,11800,43920000.0,0.0,0.0
1993-07-26,2.75,3.0,2.75,2.75,2.75,6900,40260000.0,0.0,0.0
1993-07-27,2.75,2.875,2.75,2.75,2.75,2800,40260000.0,0.0,0.0
1993-07-28,2.75,3.125,2.75,2.75,2.75,5500,40260000.0,0.0,0.0
1993-07-29,3.0,3.0,2.75,2.75,2.75,1400,43920000.0,-0.25,-8.333333333333332
1993-07-30,2.75,2.875,2.75,2.75,2.75,83400,40260000.0,0.0,0.0
1993-08-02,2.75,3.125,2.75,2.75,2.75,3500,40260000.0,0.0,0.0
1993-08-03,2.75,2.9375,2.75,2.75,2.75,11700,40260000.0,0.0,0.0
1993-08-04,2.75,2.875,2.75,2.875,2.875,1600,40260000.0,0.125,4.545454545454546
1993-08-05,2.75,3.0,2.75,2.875,2.875,27100,40260000.0,0.125,4.545454545454546
1993-08-06,2.75,3.25,2.75,2.875,2.875,17500,40260000.0,0.125,4.545454545454546
1993-08-09,3.0,3.375,2.875,2.875,2.875,16300,43920000.0,-0.125,-4.166666666666666
1993-08-10,2.875,3.5,2.875,3.5,3.5,36200,42090000.0,0.625,21.73913043478261
1993-08-11,3.125,3.375,3.125,3.25,3.25,11400,45750000.0,0.125,4.0
1993-08-12,3.125,3.125,3.125,3.125,3.125,2500,45750000.0,0.0,0.0
1993-08-13,3.0,3.0,3.0,3.0,3.0,2000,43920000.0,0.0,0.0
1993-08-16,3.1875,3.375,3.0,3.375,3.375,10800,46665000.0,0.1875,5.88235294117647
1993-08-17,3.0,3.375,3.0,3.375,3.375,13900,43920000.0,0.375,12.5
1993-08-18,3.375,3.375,3.0,3.375,3.375,7400,49410000.0,0.0,0.0
1993-08-19,3.375,3.375,3.0,3.0,3.0,23000,49410000.0,-0.375,-11.11111111111111
1993-08-20,3.375,3.375,3.375,3.375,3.375,3000,49410000.0,0.0,0.0
1993-08-23,3.0,3.0625,3.0,3.0,3.0,2100,43920000.0,0.0,0.0
1993-08-24,2.875,2.875,2.875,2.875,2.875,100,42090000.0,0.0,0.0
1993-08-25,2.875,2.875,2.875,2.875,2.875,400,42090000.0,0.0,0.0
1993-08-26,2.875,3.0,2.875,2.875,2.875,13400,42090000.0,0.0,0.0
1993-08-27,2.875,3.125,2.875,2.875,2.875,5200,42090000.0,0.0,0.0
1993-08-30,3.0,3.0,3.0,3.0,3.0,7700,43920000.0,0.0,0.0
1993-08-31,2.875,3.125,2.875,3.125,3.125,47600,42090000.0,0.25,8.695652173913043
1993-09-01,3.0,3.125,3.0,3.125,3.125,4300,43920000.0,0.125,4.166666666666666
1993-09-02,2.875,2.875,2.875,2.875,2.875,200,42090000.0,0.0,0.0
1993-09-03,2.875,3.25,2.875,3.25,3.25,3900,42090000.0,0.375,13.043478260869565
1993-09-07,3.25,3.25,2.875,2.875,2.875,14400,47580000.0,-0.375,-11.538461538461538
1993-09-08,2.875,3.125,2.875,2.875,2.875,24400,42090000.0,0.0,0.0
1993-09-09,2.875,3.25,2.875,3.25,3.25,1000,42090000.0,0.375,13.043478260869565
1993-09-10,3.125,3.125,2.875,2.875,2.875,1100,45750000.0,-0.25,-8.0
1993-09-13,2.875,2.875,2.875,2.875,2.875,600,42090000.0,0.0,0.0
1993-09-14,2.875,3.0,2.875,3.0,3.0,40900,42090000.0,0.125,4.3478260869565215
1993-09-15,2.875,3.0,2.875,2.875,2.875,30100,42090000.0,0.0,0.0
1993-09-16,2.875,2.875,2.875,2.875,2.875,0,42090000.0,0.0,0.0
1993-09-17,2.875,2.875,2.875,2.875,2.875,7400,42090000.0,0.0,0.0
