Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2000-05-05,213.75,213.75,213.75,213.75,213.75,0,4366912500.0,0.0,0.0
2000-05-08,213.75,213.75,213.75,213.75,213.75,0,4366912500.0,0.0,0.0
2000-05-09,213.75,213.75,213.75,213.75,213.75,0,4366912500.0,0.0,0.0
2000-05-10,213.75,213.75,213.75,213.75,213.75,0,4366912500.0,0.0,0.0
2000-05-11,213.75,213.75,213.75,213.75,213.75,0,4366912500.0,0.0,0.0
2000-05-12,185.625,213.75,185.625,213.75,213.75,4,3792318750.0,28.125,15.151515151515152
2000-05-15,213.75,213.75,213.75,213.75,213.75,0,4366912500.0,0.0,0.0
2000-05-16,213.75,213.75,213.75,213.75,213.75,0,4366912500.0,0.0,0.0
2000-05-17,213.75,213.75,213.75,213.75,213.75,0,4366912500.0,0.0,0.0
2000-05-18,185.625,213.75,185.625,196.875,196.875,20,3792318750.0,11.25,6.0606060606060606
2000-05-19,196.875,196.875,196.875,196.875,196.875,0,4022156250.0,0.0,0.0
2000-05-22,196.875,196.875,196.875,196.875,196.875,0,4022156250.0,0.0,0.0
2000-05-23,196.875,196.875,196.875,196.875,196.875,0,4022156250.0,0.0,0.0
2000-05-24,180.0,196.875,180.0,180.0,180.0,46,3677400000.0,0.0,0.0
2000-05-25,174.375,174.375,174.375,174.375,174.375,5,3562481250.0,0.0,0.0
2000-05-26,174.375,174.375,174.375,174.375,174.375,0,3562481250.0,0.0,0.0
2000-05-30,174.375,174.375,174.375,174.375,174.375,0,3562481250.0,0.0,0.0
2000-05-31,196.875,253.125,168.75,253.125,253.125,145,4022156250.0,56.25,28.57142857142857
2000-06-01,253.125,253.125,230.625,253.125,253.125,78,5171343750.0,0.0,0.0
2000-06-02,253.125,450.0,241.875,450.0,450.0,55,5171343750.0,196.875,77.77777777777779
2000-06-05,405.0,405.0,275.625,360.0,360.0,37,8274150000.0,-45.0,-11.11111111111111
2000-06-06,343.125,343.125,270.0,270.0,270.0,9,7010043750.0,-73.125,-21.311475409836063
2000-06-07,270.0,270.0,270.0,270.0,270.0,0,5516100000.0,0.0,0.0
2000-06-08,286.875,315.0,270.0,270.0,270.0,34,5860856250.0,-16.875,-5.88235294117647
2000-06-09,315.0,315.0,315.0,315.0,315.0,2,6435450000.0,0.0,0.0
2000-06-12,315.0,360.0,303.75,320.625,320.625,106,6435450000.0,5.625,1.7857142857142856
2000-06-13,337.5,376.875,298.125,376.875,376.875,80,6895125000.0,39.375,11.666666666666666
2000-06-14,376.875,382.5,360.0,360.0,360.0,44,7699556250.0,-16.875,-4.477611940298507
2000-06-15,343.125,343.125,292.5,326.25,326.25,78,7010043750.0,-16.875,-4.918032786885246
2000-06-16,331.875,360.0,315.0,343.125,343.125,66,6780206250.0,11.25,3.389830508474576
2000-06-19,315.0,376.875,315.0,376.875,376.875,10,6435450000.0,61.875,19.642857142857142
2000-06-20,393.75,393.75,303.75,348.75,348.75,98,8044312500.0,-45.0,-11.428571428571429
