Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-06-02,0.0,2.703704,2.685185,2.685185,1.095717,118800,0.0,2.685185,inf
1980-06-03,0.0,2.722222,2.685185,2.722222,1.11083,141750,0.0,2.722222,inf
1980-06-04,0.0,2.722222,2.703704,2.722222,1.11083,102600,0.0,2.722222,inf
1980-06-05,0.0,2.740741,2.703704,2.740741,1.118387,575100,0.0,2.740741,inf
1980-06-06,0.0,2.759259,2.703704,2.703704,1.103274,88425,0.0,2.703704,inf
1980-06-09,0.0,2.740741,2.703704,2.722222,1.11083,151875,0.0,2.722222,inf
1980-06-10,0.0,2.796296,2.703704,2.796296,1.141057,238275,0.0,2.796296,inf
1980-06-11,0.0,2.907407,2.777778,2.907407,1.186397,154575,0.0,2.907407,inf
1980-06-12,0.0,3.0,2.907407,2.962963,1.209067,213300,0.0,2.962963,inf
1980-06-13,0.0,3.055556,2.981481,3.0,1.224181,369225,0.0,3.0,inf
1980-06-16,0.0,3.018519,2.962963,3.018519,1.231737,509625,0.0,3.018519,inf
1980-06-17,0.0,3.074074,2.944444,3.0,1.224181,168750,0.0,3.0,inf
1980-06-18,0.0,3.0,2.944444,2.981481,1.216623,293625,0.0,2.981481,inf
1980-06-19,0.0,2.981481,2.925926,2.944444,1.20151,53325,0.0,2.944444,inf
1980-06-20,0.0,3.0,2.925926,2.962963,1.209067,71550,0.0,2.962963,inf
1980-06-23,0.0,3.018519,2.944444,2.981481,1.216623,24975,0.0,2.981481,inf
1980-06-24,0.0,2.981481,2.925926,2.981481,1.216623,147825,0.0,2.981481,inf
1980-06-25,0.0,3.0,2.944444,2.944444,1.20151,123525,0.0,2.944444,inf
1980-06-26,0.0,2.925926,2.851852,2.87037,1.171284,114750,0.0,2.87037,inf
1980-06-27,0.0,2.907407,2.851852,2.87037,1.171284,109350,0.0,2.87037,inf
1980-06-30,0.0,2.87037,2.796296,2.833333,1.15617,108000,0.0,2.833333,inf
1980-07-01,0.0,2.944444,2.833333,2.925926,1.193954,150525,0.0,2.925926,inf
1980-07-02,0.0,2.907407,2.87037,2.907407,1.186397,43875,0.0,2.907407,inf
1980-07-03,0.0,3.0,2.907407,3.0,1.224181,56700,0.0,3.0,inf
1980-07-07,0.0,3.055556,2.981481,3.018519,1.231737,111375,0.0,3.018519,inf
1980-07-08,0.0,2.981481,2.944444,2.962963,1.209067,110700,0.0,2.962963,inf
