Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-02-26,10.95,11.84,10.6,11.13,11.13,2168900,45880500.0,0.1800000000000015,1.6438356164383698
2021-03-01,11.79,12.0,11.5,11.55,11.55,226600,49400100.0,-0.23999999999999844,-2.0356234096691983
2021-03-02,11.58,11.8,10.8,11.11,11.11,314500,48520200.0,-0.47000000000000064,-4.058721934369608
2021-03-03,11.24,11.69,10.76,11.49,11.49,135600,47095600.0,0.25,2.224199288256228
2021-03-04,11.4,12.38,10.8,10.99,10.99,44600,47766000.0,-0.41000000000000014,-3.596491228070177
2021-03-05,10.944,11.04,10.8,10.8,10.8,185200,45855360.0,-0.14400000000000013,-1.3157894736842117
2021-03-08,10.89,10.95,10.81,10.85,10.85,69500,45629100.0,-0.040000000000000924,-0.3673094582185576
2021-03-09,10.79,10.82,10.62,10.77,10.77,258600,45210100.0,-0.019999999999999574,-0.185356811862832
2021-03-10,10.8,10.9,10.55,10.77,10.77,126000,45252000.0,-0.030000000000001137,-0.2777777777777883
2021-03-11,11.56,11.56,10.91,11.0,11.0,234700,48436400.0,-0.5600000000000005,-4.84429065743945
2021-03-12,10.99,11.0,10.79,10.98,10.98,22900,46048100.0,-0.009999999999999787,-0.09099181073703173
2021-03-15,11.0,11.25,11.0,11.14,11.14,12600,46090000.0,0.14000000000000057,1.272727272727278
2021-03-16,11.05,11.35,10.755,10.82,10.82,7900,46299500.0,-0.23000000000000043,-2.0814479638009087
2021-03-17,10.8,10.8,10.6,10.65,10.65,50300,45252000.0,-0.15000000000000036,-1.3888888888888922
2021-03-18,10.51,10.61,10.5,10.59,10.59,94400,44036900.0,0.08000000000000007,0.7611798287345393
2021-03-19,10.52,10.7,10.5,10.51,10.51,27200,44078800.0,-0.009999999999999787,-0.0950570342205303
2021-03-22,10.56,10.67,10.56,10.62,10.62,10200,44246400.0,0.05999999999999872,0.568181818181806
2021-03-23,10.77,10.77,10.53,10.575,10.575,43700,45126300.0,-0.19500000000000028,-1.810584958217273
2021-03-24,10.678,10.7,10.5,10.58,10.58,94200,44740820.0,-0.09800000000000075,-0.9177748642067872
2021-03-25,10.715,10.75,10.45,10.51,10.51,114500,44895850.0,-0.20500000000000007,-1.913205786280915
2021-03-26,10.46,10.556,10.45,10.5,10.5,10700,43827400.0,0.03999999999999915,0.3824091778202595
2021-03-29,10.68,10.75,10.45,10.45,10.45,61000,44749200.0,-0.23000000000000043,-2.153558052434461
2021-03-30,10.45,10.97,10.34,10.44,10.44,56800,43785500.0,-0.009999999999999787,-0.09569377990430418
2021-03-31,10.48,10.48,10.4,10.473,10.473,3200,43911200.0,-0.006999999999999673,-0.06679389312976787
2021-04-01,10.47,10.95,10.35,10.65,10.65,29200,43869300.0,0.17999999999999972,1.719197707736387
2021-04-05,10.51,10.8,10.51,10.64,10.64,7400,44036900.0,0.13000000000000078,1.2369172216936326
2021-04-06,10.74,10.783,10.54,10.66,10.66,23200,45000600.0,-0.08000000000000007,-0.7448789571694606
2021-04-07,10.62,10.82,10.61,10.69,10.69,62900,44497800.0,0.07000000000000028,0.6591337099811703
2021-04-08,10.71,10.895,10.65,10.87,10.87,9200,44874900.0,0.15999999999999837,1.4939309056955963
2021-04-09,10.77,10.77,10.75,10.75,10.75,200,45126300.0,-0.019999999999999574,-0.1857010213556135
2021-04-12,10.8,10.9,10.8,10.89,10.89,14100,45252000.0,0.08999999999999986,0.8333333333333319
2021-04-13,10.95,11.01,10.8,10.81,10.81,26800,45880500.0,-0.1399999999999988,-1.2785388127853772
2021-04-14,10.76,11.07,10.75,10.84,10.84,9400,45084400.0,0.08000000000000007,0.7434944237918222
2021-04-15,10.76,10.99,10.75,10.81,10.81,7200,45084400.0,0.05000000000000071,0.4646840148698951
2021-04-16,10.9,10.97,10.8,10.8,10.8,700,45671000.0,-0.09999999999999964,-0.9174311926605472
2021-04-19,10.79,10.99,10.75,10.98,10.98,2400,45210100.0,0.19000000000000128,1.7608897126969538
2021-04-20,10.86,10.98,10.75,10.83,10.83,16700,45503400.0,-0.02999999999999936,-0.27624309392264607
2021-04-21,10.91,10.91,10.75,10.85,10.85,7400,45712900.0,-0.0600000000000005,-0.5499541704857974
2021-04-22,10.805,10.805,10.805,10.805,10.805,2000,45272950.0,0.0,0.0
2021-04-23,10.849,10.92,10.795,10.92,10.92,19300,45457310.0,0.07099999999999973,0.6544381970688518
2021-04-26,10.906,10.95,10.9,10.92,10.92,3100,45696140.0,0.013999999999999346,0.12836970474967307
2021-04-27,11.0,11.3,11.0,11.02,11.02,3700,46090000.0,0.019999999999999574,0.18181818181817794
2021-04-28,11.02,11.02,11.02,11.02,11.02,500,46173800.0,0.0,0.0
2021-04-29,11.02,11.451,11.0,11.05,11.05,3800,46173800.0,0.030000000000001137,0.2722323049001918
2021-04-30,11.06,11.06,10.95,10.96,10.96,1200,46341400.0,-0.09999999999999964,-0.90415913200723
2021-05-03,10.96,11.15,10.96,11.15,11.15,53100,45922400.0,0.1899999999999995,1.733576642335762
2021-05-04,11.049,11.115,11.0,11.03,11.03,4500,46295310.0,-0.019000000000000128,-0.17196126346275797
2021-05-05,11.04,11.28,11.02,11.26,11.26,7700,46257600.0,0.22000000000000064,1.992753623188412
2021-05-06,11.062,11.11,11.02,11.02,11.02,4200,46349780.0,-0.041999999999999815,-0.37967817754474614
2021-05-07,11.0,11.14,11.0,11.1,11.1,36000,46090000.0,0.09999999999999964,0.909090909090906
2021-05-10,11.15,11.15,10.76,10.76,10.76,55700,46718500.0,-0.39000000000000057,-3.497757847533637
2021-05-11,10.5,10.51,10.35,10.435,10.435,36400,43995000.0,-0.0649999999999995,-0.6190476190476143
2021-05-12,10.36,10.775,10.32,10.57,10.57,900,43408400.0,0.21000000000000085,2.0270270270270356
2021-05-13,10.87,10.87,10.25,10.43,10.43,17600,45545300.0,-0.4399999999999995,-4.047838086476537
2021-05-14,10.36,10.36,10.25,10.25,10.25,23800,43408400.0,-0.10999999999999943,-1.0617760617760563
2021-05-17,10.29,10.477,10.14,10.14,10.14,11100,43115100.0,-0.14999999999999858,-1.457725947521852
2021-05-18,10.25,10.28,10.16,10.2,10.2,38100,42947500.0,-0.05000000000000071,-0.4878048780487874
2021-05-19,10.3,10.3,10.2,10.2,10.2,2500,43157000.0,-0.10000000000000142,-0.9708737864077808
2021-05-20,10.2,10.42,10.06,10.35,10.35,43100,42738000.0,0.15000000000000036,1.4705882352941213
2021-05-21,10.39,10.51,10.06,10.2,10.2,36500,43534100.0,-0.19000000000000128,-1.8286814244465956
2021-05-24,10.39,10.395,10.2,10.259,10.259,1100,43534100.0,-0.13100000000000023,-1.260827718960541
2021-05-25,10.38,10.395,10.38,10.395,10.395,1000,43492200.0,0.014999999999998792,0.14450867052021957
2021-05-26,10.94,10.98,10.277,10.75,10.75,5600,45838600.0,-0.1899999999999995,-1.7367458866544745
2021-05-27,10.74,10.77,10.71,10.77,10.77,4000,45000600.0,0.02999999999999936,0.27932960893854153
2021-05-28,10.78,10.78,10.3,10.3,10.3,200,45168200.0,-0.47999999999999865,-4.452690166975868
2021-06-01,10.3,10.3,10.3,10.3,10.3,0,43157000.0,0.0,0.0
2021-06-02,10.35,10.35,10.35,10.35,10.35,1500,43366500.0,0.0,0.0
2021-06-03,10.35,10.35,10.35,10.35,10.35,0,43366500.0,0.0,0.0
