Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,6.131806,5.846606,6.036739,2.219877,276122,0.0,6.036739,inf
1980-03-18,0.0,6.203106,5.989206,6.203106,2.281055,95722,0.0,6.203106,inf
1980-03-19,0.0,6.274406,6.131806,6.131806,2.254835,35238,0.0,6.131806,inf
1980-03-20,0.0,6.108039,5.941672,5.941672,2.184918,44179,0.0,5.941672,inf
1980-03-21,0.0,5.965439,5.799072,5.894139,2.167439,23668,0.0,5.894139,inf
1980-03-24,0.0,5.894139,5.418805,5.585172,2.053824,138850,0.0,5.585172,inf
1980-03-25,0.0,5.608939,5.466338,5.561405,2.045083,102034,0.0,5.561405,inf
1980-03-26,0.0,5.632705,5.490105,5.490105,2.018865,33135,0.0,5.490105,inf
1980-03-27,0.0,5.442572,4.895938,5.276205,1.940208,133064,0.0,5.276205,inf
1980-03-28,0.0,5.418805,5.276205,5.418805,1.992645,72055,0.0,5.418805,inf
1980-03-31,0.0,5.846606,5.513872,5.846606,2.14996,56802,0.0,5.846606,inf
1980-04-01,0.0,7.03494,6.321939,6.82104,2.508286,910939,0.0,6.82104,inf
1980-04-02,0.0,6.939873,6.60714,6.702206,2.464588,359747,0.0,6.702206,inf
1980-04-03,0.0,6.630906,6.369473,6.440773,2.36845,127805,0.0,6.440773,inf
1980-04-07,0.0,6.440773,6.108039,6.108039,2.246097,123071,0.0,6.108039,inf
1980-04-08,0.0,6.321939,6.036739,6.274406,2.307274,51017,0.0,6.274406,inf
1980-04-09,0.0,6.369473,6.203106,6.369473,2.342232,124649,0.0,6.369473,inf
1980-04-10,0.0,6.464539,6.321939,6.440773,2.36845,103085,0.0,6.440773,inf
1980-04-11,0.0,6.630906,6.464539,6.583373,2.42089,177244,0.0,6.583373,inf
1980-04-14,0.0,6.559606,6.393239,6.440773,2.36845,29979,0.0,6.440773,inf
1980-04-15,0.0,6.440773,6.274406,6.321939,2.324753,49965,0.0,6.321939,inf
1980-04-16,0.0,6.369473,6.036739,6.036739,2.219877,147265,0.0,6.036739,inf
1980-04-17,0.0,6.060506,5.917906,5.941672,2.184918,55224,0.0,5.941672,inf
1980-04-18,0.0,5.989206,5.917906,5.917906,2.176178,85729,0.0,5.917906,inf
1980-04-21,0.0,5.965439,5.846606,5.894139,2.167439,45231,0.0,5.894139,inf
1980-04-22,0.0,6.179339,5.941672,6.179339,2.272314,91515,0.0,6.179339,inf
1980-04-23,0.0,6.298173,6.131806,6.226873,2.289794,61536,0.0,6.226873,inf
1980-04-24,0.0,6.345706,6.203106,6.203106,2.281055,18934,0.0,6.203106,inf
1980-04-25,0.0,6.274406,6.108039,6.250639,2.298533,158836,0.0,6.250639,inf
1980-04-28,0.0,6.417006,6.298173,6.298173,2.316014,33135,0.0,6.298173,inf
1980-04-29,0.0,6.440773,6.274406,6.345706,2.333492,37342,0.0,6.345706,inf
1980-04-30,0.0,6.417006,6.274406,6.274406,2.307274,163043,0.0,6.274406,inf
1980-05-01,0.0,6.321939,6.226873,6.226873,2.289794,36290,0.0,6.226873,inf
1980-05-02,0.0,6.274406,6.203106,6.250639,2.298533,104663,0.0,6.250639,inf
1980-05-05,0.0,6.274406,6.179339,6.179339,2.272314,30505,0.0,6.179339,inf
1980-05-06,0.0,6.369473,6.203106,6.298173,2.316014,126753,0.0,6.298173,inf
1980-05-07,0.0,6.60714,6.345706,6.559606,2.412149,123597,0.0,6.559606,inf
1980-05-08,0.0,6.583373,6.464539,6.559606,2.412149,24194,0.0,6.559606,inf
1980-05-09,0.0,6.559606,6.417006,6.535839,2.40341,45231,0.0,6.535839,inf
1980-05-12,0.0,6.464539,6.321939,6.417006,2.359713,78892,0.0,6.417006,inf
1980-05-13,0.0,6.369473,6.274406,6.345706,2.333492,58906,0.0,6.345706,inf
