Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-03-31,5.0,10.0,5.0,5.0,5.0,200,242800000.0,0.0,0.0
2021-04-01,5.0,5.0,5.0,5.0,5.0,0,242800000.0,0.0,0.0
2021-04-05,5.0,5.0,5.0,5.0,5.0,0,242800000.0,0.0,0.0
2021-04-06,5.0,5.0,5.0,5.0,5.0,0,242800000.0,0.0,0.0
2021-04-07,7.5,7.5,7.5,7.5,7.5,300,364200000.0,0.0,0.0
2021-04-08,7.5,7.5,7.0,7.0,7.0,400,364200000.0,-0.5,-6.666666666666667
2021-04-09,7.0,7.0,7.0,7.0,7.0,0,339920000.0,0.0,0.0
2021-04-12,7.0,7.0,7.0,7.0,7.0,0,339920000.0,0.0,0.0
2021-04-13,5.7,5.7,5.55,5.55,5.55,500,276792000.0,-0.15000000000000036,-2.631578947368427
2021-04-14,5.55,5.55,5.55,5.55,5.55,0,269508000.0,0.0,0.0
2021-04-15,5.55,5.55,5.55,5.55,5.55,0,269508000.0,0.0,0.0
2021-04-16,5.5,5.5,5.5,5.5,5.5,200,267080000.0,0.0,0.0
2021-04-19,5.5,5.5,5.5,5.5,5.5,0,267080000.0,0.0,0.0
2021-04-20,5.0,5.0,5.0,5.0,5.0,100,242800000.0,0.0,0.0
2021-04-21,5.0,5.0,5.0,5.0,5.0,0,242800000.0,0.0,0.0
2021-04-22,5.5,5.5,5.5,5.5,5.5,500,267080000.0,0.0,0.0
2021-04-23,5.5,5.5,5.5,5.5,5.5,400,267080000.0,0.0,0.0
2021-04-26,5.5,5.5,5.5,5.5,5.5,18700,267080000.0,0.0,0.0
2021-04-27,5.5,5.5,5.5,5.5,5.5,0,267080000.0,0.0,0.0
2021-04-28,5.51,5.51,5.5,5.5,5.5,36400,267565600.0,-0.009999999999999787,-0.1814882032667838
2021-04-29,5.5,5.5,5.5,5.5,5.5,0,267080000.0,0.0,0.0
2021-04-30,5.5,5.5,5.5,5.5,5.5,0,267080000.0,0.0,0.0
2021-05-03,5.5,5.5,5.5,5.5,5.5,0,267080000.0,0.0,0.0
