Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2020-08-31,718.75,1623.75,643.75,1450.0,1450.0,60493,398266562.5,731.25,101.7391304347826
2020-09-01,1360.0,1375.0,1001.25,1075.0,1075.0,14049,753589600.0,-285.0,-20.955882352941178
2020-09-02,965.125,1050.0,876.25,906.25,906.25,4487,534785413.75,-58.875,-6.100246082113716
2020-09-03,918.75,958.75,788.75,793.75,793.75,3093,509088562.5,-125.0,-13.60544217687075
2020-09-04,797.5,833.75,642.125,712.5,712.5,3239,441902725.0,-85.0,-10.658307210031348
2020-09-08,662.5,1045.0,656.25,936.25,936.25,28996,367097875.0,273.75,41.320754716981135
2020-09-09,837.5,887.5,781.25,798.75,798.75,3784,464067125.0,-38.75,-4.626865671641791
2020-09-10,787.5,801.25,735.375,742.5,742.5,1590,436361625.0,-45.0,-5.714285714285714
2020-09-11,762.5,765.0,740.0,745.0,745.0,740,422508875.0,-17.5,-2.2950819672131146
2020-09-14,747.5,811.25,730.0,777.5,777.5,2132,414197225.0,30.0,4.013377926421405
2020-09-15,787.5,876.25,760.0,807.5,807.5,3642,436361625.0,20.0,2.5396825396825395
2020-09-16,812.5,843.75,763.75,781.25,781.25,1356,450214375.0,-31.25,-3.8461538461538463
2020-09-17,781.25,856.25,766.25,773.75,773.75,1634,432898437.5,-7.5,-0.96
2020-09-18,782.5,811.25,745.0,775.0,775.0,1090,433591075.0,-7.5,-0.9584664536741214
2020-09-21,797.5,931.25,793.75,850.0,850.0,14994,441902725.0,52.5,6.583072100313479
2020-09-22,853.75,1037.5,853.75,1030.0,1030.0,6918,473071412.5,176.25,20.644216691068813
2020-09-23,1003.75,1058.75,875.0,887.5,887.5,4623,556187912.5,-116.25,-11.581569115815691
2020-09-24,890.0,981.875,870.0,951.25,951.25,2696,493157900.0,61.25,6.882022471910113
2020-09-25,935.0,995.0,897.5,925.0,925.0,1259,518092850.0,-10.0,-1.06951871657754
2020-09-28,946.25,972.5,853.75,920.0,920.0,2139,524326587.5,-26.25,-2.7741083223249667
2020-09-29,938.75,970.0,883.75,912.5,912.5,1918,520170762.5,-26.25,-2.796271637816245
2020-09-30,912.5,940.375,885.0,908.75,908.75,652,505625375.0,-3.75,-0.410958904109589
2020-10-01,897.5,925.0,875.0,892.5,892.5,348,497313725.0,-5.0,-0.5571030640668524
2020-10-02,881.25,907.5,881.25,887.5,887.5,446,488309437.5,6.25,0.7092198581560284
2020-10-05,887.5,937.5,862.5,891.25,891.25,1337,491772625.0,3.75,0.42253521126760557
2020-10-06,881.25,897.5,832.5,835.0,835.0,1280,488309437.5,-46.25,-5.24822695035461
2020-10-07,843.75,875.0,836.25,862.5,862.5,336,467530312.5,18.75,2.2222222222222223
2020-10-08,861.25,875.0,843.75,851.25,851.25,446,477227237.5,-10.0,-1.1611030478955007
2020-10-09,850.0,858.0,812.5,827.5,827.5,490,470993500.0,-22.5,-2.6470588235294117
2020-10-12,840.0,850.0,819.375,820.0,820.0,446,465452400.0,-20.0,-2.380952380952381
2020-10-13,820.0,841.25,818.75,825.0,825.0,246,454370200.0,5.0,0.6097560975609756
2020-10-14,850.0,900.0,837.5,882.5,882.5,1793,470993500.0,32.5,3.823529411764706
2020-10-15,850.0,957.5,837.5,936.875,936.875,2029,470993500.0,86.875,10.220588235294118
2020-10-16,953.75,960.625,868.75,892.5,892.5,532,528482412.5,-61.25,-6.422018348623854
2020-10-19,892.5,956.25,862.5,888.75,888.75,1798,494543175.0,-3.75,-0.42016806722689076
2020-10-20,890.0,930.0,877.5,885.0,885.0,1450,493157900.0,-5.0,-0.5617977528089888
2020-10-21,886.25,923.75,833.75,843.75,843.75,1346,491079987.5,-42.5,-4.795486600846263
2020-10-22,841.25,865.0,816.25,826.25,826.25,259,466145037.5,-15.0,-1.7830609212481425
2020-10-23,838.75,893.75,825.0,843.75,843.75,948,464759762.5,5.0,0.5961251862891207
2020-10-26,848.75,888.75,838.75,845.0,845.0,938,470300862.5,-3.75,-0.4418262150220913
2020-10-27,845.0,848.75,795.0,796.25,796.25,903,468222950.0,-48.75,-5.769230769230769
2020-10-28,1296.25,1343.75,947.5,1017.5,1017.5,147534,718265087.5,-278.75,-21.504339440694313
2020-10-29,1010.0,1010.0,820.0,880.0,880.0,6070,559651100.0,-130.0,-12.871287128712872
2020-10-30,873.75,873.75,803.75,807.5,807.5,1732,484153612.5,-66.25,-7.582260371959943
2020-11-02,830.0,854.875,755.0,760.0,760.0,2190,459911300.0,-70.0,-8.433734939759036
2020-11-03,762.5,803.75,738.75,750.0,750.0,2385,422508875.0,-12.5,-1.639344262295082
2020-11-04,796.25,796.25,688.75,757.5,757.5,3749,441210087.5,-38.75,-4.866562009419153
2020-11-05,737.5,737.5,662.5,670.0,670.0,5598,408656125.0,-67.5,-9.152542372881356
2020-11-06,788.75,957.5,700.0,788.75,788.75,17022,437054262.5,0.0,0.0
2020-11-09,787.5,852.5,697.5,798.75,798.75,5037,436361625.0,11.25,1.4285714285714286
2020-11-10,687.5,708.75,638.75,650.0,650.0,8736,380950625.0,-37.5,-5.454545454545454
2020-11-11,663.75,663.75,642.5,652.5,652.5,1400,367790512.5,-11.25,-1.694915254237288
2020-11-12,656.25,656.25,623.75,652.5,652.5,1370,363634687.5,-3.75,-0.5714285714285714
2020-11-13,655.0,662.5,626.375,645.0,645.0,1539,362942050.0,-10.0,-1.5267175572519083
2020-11-16,637.5,650.0,610.0,618.75,618.75,3040,353245125.0,-18.75,-2.941176470588235
2020-11-17,637.5,638.0,610.0,630.0,630.0,1022,353245125.0,-7.5,-1.1764705882352942
2020-11-18,626.25,656.25,626.25,631.25,631.25,1175,347011387.5,5.0,0.7984031936127743
2020-11-19,653.75,661.25,627.5,648.75,648.75,1505,362249412.5,-5.0,-0.7648183556405354
2020-11-20,653.75,656.25,633.75,637.5,637.5,700,362249412.5,-16.25,-2.48565965583174
2020-11-23,650.0,650.0,625.0,637.5,637.5,1342,360171500.0,-12.5,-1.9230769230769231
2020-11-24,631.25,642.5,620.0,623.75,623.75,1378,349781937.5,-7.5,-1.188118811881188
2020-11-25,625.0,633.75,620.0,630.0,630.0,534,346318750.0,5.0,0.8
2020-11-27,642.5,643.75,627.5,635.0,635.0,604,356015675.0,-7.5,-1.1673151750972763
2020-11-30,641.25,650.0,631.25,647.5,647.5,753,355323037.5,6.25,0.9746588693957114
2020-12-01,661.25,663.75,627.5,636.25,636.25,1736,366405237.5,-25.0,-3.780718336483932
2020-12-02,630.0,673.75,620.0,650.0,650.0,4442,349089300.0,20.0,3.1746031746031744
2020-12-03,666.25,666.25,651.25,661.25,661.25,846,369175787.5,-5.0,-0.7504690431519699
2020-12-04,662.5,663.75,643.5,655.0,655.0,503,367097875.0,-7.5,-1.1320754716981132
2020-12-07,646.25,655.0,642.5,642.5,642.5,468,358093587.5,-3.75,-0.5802707930367506
2020-12-08,643.75,652.5,632.5,646.25,646.25,455,356708312.5,2.5,0.3883495145631068
2020-12-09,646.25,646.25,618.75,628.75,628.75,1251,358093587.5,-17.5,-2.7079303675048356
2020-12-10,628.75,632.75,600.0,626.25,626.25,934,348396662.5,-2.5,-0.3976143141153081
2020-12-11,630.0,646.25,610.0,640.0,640.0,801,349089300.0,10.0,1.5873015873015872
2020-12-14,636.25,642.25,620.0,630.0,630.0,726,352552487.5,-6.25,-0.9823182711198428
2020-12-15,633.75,633.75,622.5,628.75,628.75,280,351167212.5,-5.0,-0.7889546351084813
2020-12-16,626.25,626.25,611.125,620.0,620.0,510,347011387.5,-6.25,-0.998003992015968
2020-12-17,623.75,643.75,611.25,620.0,620.0,1387,345626112.5,-3.75,-0.6012024048096193
2020-12-18,631.25,631.25,605.0,605.0,605.0,1078,349781937.5,-26.25,-4.158415841584159
2020-12-21,608.75,688.75,607.5,652.5,652.5,5732,337314462.5,43.75,7.186858316221765
