Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2001-06-19,0.508333,0.508333,0.46,0.46,0.46,237600,38089391.690000005,-0.048333000000000015,-9.50813738238517
2001-06-20,0.458333,0.458333,0.445833,0.445833,0.445833,56400,34342891.69,-0.012500000000000011,-2.7272747107452466
2001-06-21,0.445833,0.445833,0.445833,0.445833,0.445833,7200,33406266.689999998,0.0,0.0
2001-06-22,0.445833,0.479167,0.445833,0.479167,0.479167,142800,33406266.689999998,0.03333400000000003,7.4767906368528205
2001-06-25,0.479167,0.483333,0.475,0.479167,0.479167,92400,35903983.31,0.0,0.0
2001-06-26,0.475,0.52,0.475,0.52,0.52,49200,35591750.0,0.04500000000000004,9.473684210526324
2001-06-27,0.504167,0.508333,0.504167,0.508333,0.508333,55200,37777233.31,0.004166000000000003,0.8263135032638002
2001-06-28,0.511667,0.511667,0.511667,0.511667,0.511667,3600,38339208.31,0.0,0.0
2001-06-29,0.516667,0.540833,0.516667,0.533333,0.533333,98400,38713858.31,0.01666599999999996,3.2256753382739674
2001-07-02,0.533333,0.5375,0.529167,0.533333,0.533333,292800,39962641.69,0.0,0.0
2001-07-03,0.529167,0.529167,0.529167,0.529167,0.529167,12000,39650483.31,0.0,0.0
2001-07-05,0.529167,0.529167,0.529167,0.529167,0.529167,16800,39650483.31,0.0,0.0
2001-07-06,0.525,0.525,0.516667,0.520833,0.520833,28800,39338250.0,-0.004167000000000032,-0.7937142857142917
2001-07-09,0.516667,0.520833,0.5,0.5,0.5,96000,38713858.31,-0.016666999999999987,-3.2258688865361997
2001-07-10,0.5,0.5,0.5,0.5,0.5,174000,37465000.0,0.0,0.0
2001-07-11,0.5,0.504167,0.5,0.504167,0.504167,13200,37465000.0,0.004167000000000032,0.8334000000000064
2001-07-12,0.504167,0.504167,0.495833,0.495833,0.495833,109200,37777233.31,-0.008334000000000008,-1.6530237004801995
2001-07-13,0.495833,0.5,0.495,0.495,0.495,33600,37152766.690000005,-0.0008330000000000282,-0.16800011294125808
2001-07-16,0.491667,0.4925,0.4875,0.4875,0.4875,72000,36840608.31,-0.004167000000000032,-0.8475248491357019
2001-07-17,0.483333,0.483333,0.483333,0.483333,0.483333,3600,36216141.69,0.0,0.0
2001-07-18,0.483333,0.483333,0.479167,0.479167,0.479167,96000,36216141.69,-0.004166000000000003,-0.8619316289183655
2001-07-19,0.470833,0.470833,0.466667,0.466667,0.466667,164400,35279516.69,-0.004166000000000003,-0.8848147857095834
2001-07-20,0.479167,0.479167,0.466667,0.466667,0.466667,42000,35903983.31,-0.012500000000000011,-2.6086938374303763
2001-07-23,0.479167,0.4875,0.4675,0.470833,0.470833,67200,35903983.31,-0.008334000000000008,-1.7392683552915806
2001-07-24,0.4875,0.495833,0.475833,0.480833,0.480833,222000,36528375.0,-0.0066669999999999785,-1.3675897435897393
2001-07-25,0.473333,0.473333,0.473333,0.473333,0.473333,21600,35466841.69,0.0,0.0
2001-07-26,0.473333,0.4775,0.473333,0.4775,0.4775,31200,35466841.69,0.004166999999999976,0.8803527326427644
2001-07-27,0.48,0.488333,0.4775,0.488333,0.488333,55200,35966400.0,0.008333000000000035,1.736041666666674
2001-07-30,0.489167,0.51,0.489167,0.508333,0.508333,58800,36653283.31,0.019166000000000016,3.9180893232781475
2001-07-31,0.504167,0.520833,0.501667,0.520833,0.520833,224400,37777233.31,0.01666599999999996,3.3056507070077887
2001-08-01,0.520833,0.520833,0.516667,0.516667,0.516667,21600,39026016.69,-0.004166000000000003,-0.7998725119184082
2001-08-02,0.520833,0.520833,0.511667,0.516667,0.516667,88800,39026016.69,-0.004166000000000003,-0.7998725119184082
2001-08-03,0.521667,0.521667,0.516667,0.516667,0.516667,404400,39088508.31,-0.0050000000000000044,-0.9584658412358851
2001-08-06,0.509167,0.516667,0.5,0.516667,0.516667,76800,38151883.31,0.007499999999999951,1.472994125699417
2001-08-07,0.520833,0.541667,0.520833,0.5375,0.5375,1464000,39026016.69,0.016666999999999987,3.200066048042268
2001-08-08,0.5375,0.5625,0.534167,0.551667,0.551667,696000,40274875.0,0.01416700000000004,2.6357209302325657
2001-08-09,0.554167,0.570833,0.551667,0.569167,0.569167,1784400,41523733.309999995,0.015000000000000013,2.706765289163738
2001-08-10,0.571667,0.591667,0.570833,0.591667,0.591667,709200,42835008.31,0.020000000000000018,3.49854023408733
2001-08-13,0.591667,0.645833,0.591667,0.644167,0.644167,1141200,44333608.31,0.05249999999999999,8.8732344376144
2001-08-14,0.644167,0.645833,0.621667,0.645,0.645,936000,48267433.31,0.0008329999999999727,0.1293142927222246
2001-08-15,0.65,0.6625,0.64,0.66,0.66,1168800,48704500.0,0.010000000000000009,1.5384615384615397
2001-08-16,0.6625,0.675,0.645833,0.674167,0.674167,1250400,49641125.0,0.011666999999999983,1.7610566037735822
2001-08-17,0.674167,0.679167,0.656667,0.664167,0.664167,1190400,50515333.309999995,-0.010000000000000009,-1.483311998362425
2001-08-20,0.670833,0.679167,0.6125,0.629167,0.629167,378000,50265516.69,-0.04166599999999998,-6.211083831594447
2001-08-21,0.631667,0.645833,0.615,0.64,0.64,196800,47330808.309999995,0.008333000000000035,1.319207747119928
2001-08-22,0.65,0.65,0.605,0.641667,0.641667,663600,48704500.0,-0.008333000000000035,-1.2820000000000054
2001-08-23,0.645,0.658333,0.645,0.6525,0.6525,432000,48329850.0,0.007499999999999951,1.162790697674411
2001-08-24,0.656667,0.7125,0.655833,0.7125,0.7125,1924800,49204058.31,0.05583300000000002,8.502482993663458
2001-08-27,0.716667,0.741667,0.683333,0.735,0.735,1335600,53699858.31,0.018332999999999933,2.558091833445649
2001-08-28,0.74,0.754167,0.704167,0.708333,0.708333,1693200,55448200.0,-0.031667,-4.279324324324325
2001-08-29,0.705,0.7125,0.693333,0.708333,0.708333,166800,52825650.0,0.0033330000000000304,0.4727659574468129
2001-08-30,0.698333,0.704167,0.675,0.6875,0.6875,153600,52326091.69,-0.010832999999999982,-1.551265656928712
2001-08-31,0.679167,0.716667,0.679167,0.708333,0.708333,852000,50889983.309999995,0.029166000000000025,4.294378260427852
2001-09-04,0.715,0.7675,0.715,0.756667,0.756667,393600,53574950.0,0.04166700000000001,5.827552447552449
2001-09-05,0.758333,0.7625,0.7375,0.753333,0.753333,350400,56821891.690000005,-0.0050000000000000044,-0.6593409491608573
2001-09-06,0.734167,0.754167,0.725,0.725,0.725,352800,55011133.31,-0.009167000000000036,-1.2486259938134017
2001-09-07,0.716667,0.725,0.695833,0.720833,0.720833,118800,53699858.31,0.004165999999999892,0.5813020552083313
2001-09-10,0.703333,0.729167,0.699167,0.729167,0.729167,57600,52700741.69,0.025834000000000024,3.6730823095176857
2001-09-17,0.75,0.75,0.633333,0.7,0.7,1316400,56197500.0,-0.050000000000000044,-6.666666666666672
2001-09-18,0.689167,0.729167,0.689167,0.708333,0.708333,531600,51639283.309999995,0.019166000000000016,2.781038558143384
2001-09-19,0.716667,0.716667,0.625,0.663333,0.663333,494400,53699858.31,-0.053334000000000104,-7.441950027000001
2001-09-20,0.635833,0.635833,0.585833,0.586667,0.586667,279600,47642966.69,-0.04916599999999993,-7.732533542612593
2001-09-21,0.583333,0.625,0.554167,0.566667,0.566667,530400,43709141.69,-0.01666599999999996,-2.8570302040172524
2001-09-24,0.5875,0.641667,0.5875,0.633333,0.633333,262800,44021375.0,0.04583300000000001,7.801361702127661
2001-09-25,0.616667,0.666667,0.615,0.65,0.65,447600,46206858.309999995,0.03333300000000006,5.405348429541399
2001-09-26,0.658333,0.6875,0.658333,0.6875,0.6875,387600,49328891.69,0.029167000000000054,4.430432623003868
2001-09-27,0.691667,0.729167,0.691667,0.725,0.725,776400,51826608.31,0.033332999999999946,4.819226593143802
2001-09-28,0.731667,0.775833,0.7125,0.7125,0.7125,1166400,54823808.309999995,-0.019166999999999934,-2.6196343418522274
2001-10-01,0.708333,0.708333,0.6875,0.6875,0.6875,154800,53075391.69,-0.02083299999999999,-2.9411307958262554
2001-10-02,0.691667,0.715833,0.691667,0.715833,0.715833,164400,51826608.31,0.02416600000000002,3.4938778342757453
2001-10-03,0.725,0.755833,0.724167,0.7475,0.7475,373200,54324250.0,0.022500000000000075,3.103448275862079
2001-10-04,0.741667,0.7425,0.736667,0.736667,0.736667,369600,55573108.309999995,-0.0050000000000000044,-0.6741570003788768
2001-10-05,0.741667,0.741667,0.704167,0.7375,0.7375,103200,55573108.309999995,-0.004166999999999921,-0.5618424441157448
2001-10-08,0.741667,0.741667,0.7275,0.7275,0.7275,126000,55573108.309999995,-0.01416699999999993,-1.9101564448734984
2001-10-09,0.735833,0.95,0.735833,0.9325,0.9325,3620400,55135966.69,0.19666700000000004,26.727124225197844
2001-10-10,0.940833,0.954167,0.875,0.900833,0.900833,1616400,70496616.69,-0.040000000000000036,-4.251551550593999
2001-10-11,0.939167,0.939167,0.866667,0.9075,0.9075,434400,70371783.31,-0.031667,-3.3718177917239425
2001-10-12,0.908333,0.908333,0.829167,0.8475,0.8475,457200,68061391.69,-0.060832999999999915,-6.697213466867319
2001-10-15,0.855,0.869167,0.8125,0.853333,0.853333,597600,64065150.0,-0.001666999999999974,-0.1949707602339151
2001-10-16,0.866667,0.8875,0.856667,0.881667,0.881667,488400,64939358.309999995,0.015000000000000013,1.730768565089015
2001-10-17,0.881667,0.885833,0.834167,0.835,0.835,306000,66063308.309999995,-0.046667000000000014,-5.293041477110974
2001-10-18,0.840833,0.9025,0.840833,0.865833,0.865833,1580400,63003616.690000005,0.02499999999999991,2.9732420111960294
2001-10-19,0.890833,1.041667,0.890833,1.025,1.025,4971600,66750116.69,0.13416699999999993,15.060847543815726
2001-10-22,1.033333,1.046667,0.858333,0.891667,0.891667,2266800,77427641.69,-0.14166600000000007,-13.709617325683016
2001-10-23,0.876667,0.9225,0.8125,0.815,0.815,1377600,65688658.309999995,-0.06166700000000003,-7.0342558805110755
2001-10-24,0.816667,0.865,0.804167,0.854167,0.854167,711600,61192858.31,0.03749999999999998,4.591834860475564
2001-10-25,0.8475,0.866667,0.83,0.833333,0.833333,646800,63503175.0,-0.01416700000000004,-1.6716224188790607
2001-10-26,0.8425,0.845833,0.808333,0.826667,0.826667,243600,63128525.0,-0.015832999999999986,-1.8792878338278913
2001-10-29,0.823333,0.823333,0.766667,0.779167,0.779167,240000,61692341.69,-0.04416599999999993,-5.364293669754513
2001-10-30,0.77,0.795833,0.75,0.79,0.79,717600,57696100.0,0.020000000000000018,2.5974025974025996
2001-10-31,0.798333,0.833333,0.791667,0.795,0.795,510000,59819091.69,-0.0033329999999999194,-0.41749495511270607
2001-11-01,0.8025,0.8025,0.793333,0.795833,0.795833,518400,60131325.0,-0.0066669999999999785,-0.8307788161993743
2001-11-02,0.808333,0.833333,0.804167,0.8225,0.8225,470400,60568391.69,0.01416700000000004,1.7526192794306357
2001-11-05,0.8125,0.820833,0.8125,0.820833,0.820833,50400,60880625.0,0.008333000000000035,1.0256000000000043
2001-11-06,0.808333,0.816667,0.789167,0.795833,0.795833,117600,60568391.69,-0.012499999999999956,-1.5463923902648977
2001-11-07,0.8,0.8825,0.8,0.865,0.865,1736400,59944000.0,0.06499999999999995,8.124999999999993
2001-11-08,0.875,0.883333,0.865833,0.883333,0.883333,608400,65563750.0,0.008333000000000035,0.9523428571428612
2001-11-09,0.885,0.9375,0.870833,0.933333,0.933333,730800,66313050.0,0.04833299999999996,5.461355932203385
2001-11-12,0.931667,0.9875,0.930833,0.945833,0.945833,1074000,69809808.31,0.014166000000000012,1.520500350447103
2001-11-13,0.954167,0.958333,0.9275,0.9375,0.9375,1089600,71495733.31,-0.016666999999999987,-1.74675921510595
2001-11-14,0.933333,0.933333,0.875833,0.9,0.9,394800,69934641.69,-0.033332999999999946,-3.571394132640756
2001-11-15,0.905833,1.125,0.9,1.105,1.105,11160000,67874066.69,0.19916699999999998,21.98716540466068
2001-11-16,1.1525,1.261667,1.129167,1.184167,1.184167,10719600,86356825.0,0.03166699999999989,2.7476789587852397
2001-11-19,1.234167,1.2375,1.091667,1.1575,1.1575,3927600,92476133.31,-0.07666700000000004,-6.212044237125125
2001-11-20,1.1625,1.166667,1.125833,1.1575,1.1575,729600,87106125.0,-0.0050000000000001155,-0.4301075268817303
2001-11-21,1.178333,1.216667,1.125,1.158333,1.158333,1480800,88292491.69000001,-0.020000000000000018,-1.6973130685468383
2001-11-23,1.158333,1.1875,1.15,1.171667,1.171667,457200,86793891.69,0.013333999999999957,1.1511370219099306
2001-11-26,1.171667,1.178333,1.133333,1.141667,1.141667,529200,87793008.31,-0.030000000000000027,-2.5604544635975945
2001-11-27,1.154167,1.155,1.04,1.0525,1.0525,1298400,86481733.31,-0.10166699999999995,-8.808690596768056
2001-11-28,1.019167,1.02,0.983333,1.0,1.0,698400,76366183.31,-0.019166999999999934,-1.8806535140953282
2001-11-29,0.999167,1.04,0.979167,1.0125,1.0125,498000,74867583.31,0.013332999999999928,1.334411564833499
2001-11-30,0.980833,1.104167,0.98,1.085,1.085,762000,73493816.69,0.10416700000000001,10.620258494565334
2001-12-03,1.103333,1.104167,1.033333,1.075,1.075,486000,82672741.69,-0.02833299999999994,-2.567946395149963
2001-12-04,1.085,1.120833,1.083333,1.09,1.09,620400,81299050.0,0.0050000000000001155,0.46082949308756826
2001-12-05,1.101667,1.103333,1.025,1.028333,1.028333,640800,82547908.31,-0.07333400000000001,-6.656639438233151
2001-12-06,1.031667,1.035833,0.990833,1.01,1.01,535200,77302808.30999999,-0.02166699999999988,-2.100193182490075
2001-12-07,0.979167,1.02,0.9625,1.008333,1.008333,552000,73368983.31,0.029165999999999914,2.978654305138951
2001-12-10,0.985833,1.009167,0.983333,0.996667,0.996667,302400,73868466.69,0.01083400000000001,1.0989690951712927
2001-12-11,0.984167,1.008333,0.955,0.966667,0.966667,435600,73743633.31,-0.01749999999999996,-1.7781535044357268
2001-12-12,0.979167,0.984167,0.959167,0.9825,0.9825,310800,73368983.31,0.0033330000000000304,0.34039137348379084
2001-12-13,0.9725,1.056667,0.958333,1.004167,1.004167,1010400,72869425.0,0.031667,3.2562467866323908
2001-12-14,1.021667,1.058333,1.01,1.0325,1.0325,734400,76553508.31,0.01083299999999987,1.0603259183275833
2001-12-17,1.033333,1.041667,1.008333,1.020833,1.020833,150000,77427641.69,-0.012499999999999956,-1.2096778095734826
2001-12-18,1.021667,1.06,1.01,1.050833,1.050833,397200,76553508.31,0.029165999999999803,2.8547462137858814
2001-12-19,1.054167,1.054167,1.023333,1.023333,1.023333,370800,78988733.31,-0.030834000000000028,-2.9249635019878277
2001-12-20,1.0225,1.0225,1.005833,1.008333,1.008333,141600,76615925.0,-0.01416700000000004,-1.3855256723716423
2001-12-21,1.006667,1.0075,0.996667,0.996667,0.996667,123600,75429558.31,-0.010000000000000009,-0.9933771545108768
2001-12-24,1.004167,1.029167,0.995833,1.029167,1.029167,106800,75242233.31,0.02499999999999991,2.489625729584811
2001-12-26,1.0325,1.0325,1.009167,1.009167,1.009167,39600,77365225.0,-0.023333000000000048,-2.2598547215496416
2001-12-27,1.019167,1.034167,1.013333,1.030833,1.030833,158400,76366183.31,0.011666000000000176,1.1446602961045813
2001-12-28,1.025,1.045833,1.009167,1.045833,1.045833,391200,76803250.0,0.0208330000000001,2.032487804878059
2001-12-31,1.045833,1.15,1.038333,1.145833,1.145833,1246800,78364266.69,0.10000000000000009,9.561756035619462
2002-01-02,1.139167,1.145,1.083333,1.115833,1.115833,319200,85357783.31,-0.023333999999999966,-2.048338830039842
2002-01-03,1.125833,1.14,1.108333,1.120833,1.120833,416400,84358666.69000001,-0.0050000000000001155,-0.4441156015146221
2002-01-04,1.120833,1.141667,1.1,1.100833,1.100833,234000,83984016.69,-0.020000000000000018,-1.784387147773131
2002-01-07,1.113333,1.113333,1.09,1.09,1.09,244800,83422041.69,-0.023332999999999826,-2.0957790705925206
2002-01-08,1.1875,1.27,1.166667,1.216667,1.216667,10778400,88979375.0,0.029166999999999943,2.456168421052627
2002-01-09,1.459167,1.516667,1.396667,1.479167,1.479167,18334800,109335383.31,0.019999999999999796,1.370645032405461
2002-01-10,1.479167,1.6225,1.4125,1.531667,1.531667,11664000,110833983.30999999,0.05249999999999999,3.5492949748067657
2002-01-11,1.5675,1.5825,1.508333,1.520833,1.520833,4695600,117452774.99999999,-0.04666699999999979,-2.9771610845294925
2002-01-14,1.433333,1.480833,1.334167,1.363333,1.363333,4683600,107399641.69,-0.07000000000000006,-4.88372206598188
2002-01-15,1.3825,1.4725,1.3825,1.4125,1.4125,2449200,103590725.0,0.030000000000000027,2.1699819168173615
2002-01-16,1.4,1.4,1.3125,1.349167,1.349167,1461600,104902000.0,-0.050832999999999906,-3.630928571428565
2002-01-17,1.35,1.45,1.3475,1.434167,1.434167,1923600,101155500.0,0.08416699999999988,6.234592592592583
2002-01-18,1.434167,1.434167,1.405,1.409167,1.409167,500400,107462133.31,-0.02499999999999991,-1.743172168931506
2002-01-22,1.4175,1.470833,1.408333,1.41,1.41,962400,106213275.0,-0.007500000000000062,-0.5291005291005335
2002-01-23,1.434167,1.449167,1.383333,1.401667,1.401667,1048800,107462133.31,-0.03249999999999997,-2.266123819610964
2002-01-24,1.4575,1.458333,1.394167,1.398333,1.398333,639600,109210475.0,-0.05916699999999997,-4.059485420240136
2002-01-25,1.416667,1.416667,1.361667,1.3725,1.3725,757200,106150858.30999999,-0.044166999999999845,-3.117669854665906
2002-01-28,1.3725,1.379167,1.325833,1.331667,1.331667,544800,102841425.0,-0.04083300000000012,-2.9750819672131232
2002-01-29,1.326667,1.333333,1.274167,1.325,1.325,1195200,99407158.31,-0.001667000000000085,-0.1256532347605002
2002-01-30,1.320833,1.470833,1.320833,1.443333,1.443333,1375200,98970016.69,0.12250000000000005,9.274450290082097
2002-01-31,1.486667,1.486667,1.396667,1.416667,1.416667,1023600,111395958.31,-0.07000000000000006,-4.708519123650425
2002-02-01,1.375833,1.483333,1.375833,1.470833,1.470833,1556400,103091166.69000001,0.09499999999999997,6.9049077904077
2002-02-04,1.466667,1.466667,1.389167,1.408333,1.408333,554400,109897358.31,-0.058333999999999886,-3.9773172778824293
2002-02-05,1.395833,1.425,1.385,1.408333,1.408333,417600,104589766.69000001,0.012499999999999956,0.895522601915842
2002-02-06,1.408333,1.458333,1.391667,1.425,1.425,541200,105526391.69,0.016666999999999987,1.1834559014096797
2002-02-07,1.441667,1.456667,1.391667,1.405833,1.405833,680400,108024108.31,-0.03583399999999992,-2.4855948010185376
2002-02-08,1.405833,1.424167,1.3925,1.423333,1.423333,434400,105339066.69000001,0.01749999999999985,1.2448135731626622
2002-02-11,1.4225,1.5825,1.399167,1.566667,1.566667,3890400,106587925.0,0.14416699999999993,10.134762741652017
2002-02-12,1.581667,1.5825,1.46,1.490833,1.490833,2126400,118514308.31,-0.09083399999999986,-5.742928189056221
2002-02-13,1.49,1.5375,1.475,1.5325,1.5325,1629600,111645700.0,0.04249999999999998,2.8523489932885893
2002-02-14,1.520833,1.524167,1.473333,1.474167,1.474167,669600,113956016.69000001,-0.046666000000000096,-3.068449987605483
2002-02-15,1.4825,1.5,1.464167,1.464167,1.464167,516000,111083725.0,-0.018332999999999933,-1.2366273187183765
2002-02-19,1.47,1.498333,1.400833,1.4025,1.4025,1652400,110147100.0,-0.0674999999999999,-4.59183673469387
2002-02-20,1.400833,1.441667,1.378333,1.4,1.4,541200,104964416.69,-0.0008330000000000837,-0.05946461855196756
2002-02-21,1.355833,1.411667,1.291667,1.323333,1.323333,1053600,101592566.69,-0.03249999999999997,-2.3970503741980003
2002-02-22,1.291667,1.343333,1.274167,1.338333,1.338333,1016400,96784608.30999999,0.046666000000000096,3.612850680554671
2002-02-25,1.3525,1.4325,1.349167,1.42,1.42,1006800,101342825.0,0.0674999999999999,4.990757855822543
2002-02-26,1.431667,1.45,1.4,1.4125,1.4125,500400,107274808.31,-0.019166999999999934,-1.3387889781632136
2002-02-27,1.423333,1.4325,1.3875,1.389167,1.389167,349200,106650341.69,-0.03416599999999992,-2.400422107827186
2002-02-28,1.425,1.5125,1.416667,1.470833,1.470833,1977600,106775250.0,0.04583300000000001,3.2163508771929834
