Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1973-02-21,0.279297,0.279297,0.279297,0.279297,0.131228,57600,88062344.10000001,0.0,0.0
1973-02-22,0.275391,0.275391,0.275391,0.275391,0.129393,140800,86830782.3,0.0,0.0
1973-02-23,0.263672,0.263672,0.263672,0.263672,0.123886,288000,83135781.60000001,0.0,0.0
1973-02-26,0.248047,0.248047,0.248047,0.248047,0.116545,345600,78209219.1,0.0,0.0
1973-02-27,0.248047,0.248047,0.248047,0.248047,0.116545,243200,78209219.1,0.0,0.0
1973-02-28,0.253906,0.253906,0.253906,0.253906,0.119298,179200,80056561.80000001,0.0,0.0
1973-03-01,0.25,0.25,0.25,0.25,0.117463,76800,78825000.0,0.0,0.0
1973-03-02,0.251953,0.251953,0.251953,0.251953,0.11838,313600,79440780.89999999,0.0,0.0
1973-03-05,0.255859,0.255859,0.255859,0.255859,0.120216,569600,80672342.7,0.0,0.0
1973-03-06,0.265625,0.265625,0.265625,0.265625,0.124804,147200,83751562.5,0.0,0.0
1973-03-07,0.265625,0.265625,0.265625,0.265625,0.124804,76800,83751562.5,0.0,0.0
1973-03-08,0.265625,0.265625,0.265625,0.265625,0.124804,51200,83751562.5,0.0,0.0
1973-03-09,0.255859,0.255859,0.255859,0.255859,0.120216,224000,80672342.7,0.0,0.0
1973-03-12,0.251953,0.251953,0.251953,0.251953,0.11838,44800,79440780.89999999,0.0,0.0
1973-03-13,0.251953,0.251953,0.251953,0.251953,0.11838,64000,79440780.89999999,0.0,0.0
1973-03-14,0.253906,0.253906,0.253906,0.253906,0.119298,108800,80056561.80000001,0.0,0.0
1973-03-15,0.253906,0.253906,0.253906,0.253906,0.119298,44800,80056561.80000001,0.0,0.0
1973-03-16,0.251953,0.251953,0.251953,0.251953,0.11838,57600,79440780.89999999,0.0,0.0
1973-03-19,0.25,0.25,0.25,0.25,0.117463,44800,78825000.0,0.0,0.0
1973-03-20,0.25,0.25,0.25,0.25,0.117463,12800,78825000.0,0.0,0.0
1973-03-21,0.25,0.25,0.25,0.25,0.117463,44800,78825000.0,0.0,0.0
1973-03-22,0.236328,0.236328,0.236328,0.236328,0.111039,160000,74514218.4,0.0,0.0
1973-03-23,0.236328,0.236328,0.236328,0.236328,0.111039,44800,74514218.4,0.0,0.0
1973-03-26,0.236328,0.236328,0.236328,0.236328,0.111039,57600,74514218.4,0.0,0.0
1973-03-27,0.236328,0.236328,0.236328,0.236328,0.111039,44800,74514218.4,0.0,0.0
1973-03-28,0.224609,0.224609,0.224609,0.224609,0.105533,121600,70819217.7,0.0,0.0
1973-03-29,0.238281,0.238281,0.238281,0.238281,0.111957,1766400,75129999.3,0.0,0.0
1973-03-30,0.253906,0.253906,0.253906,0.253906,0.119298,185600,80056561.80000001,0.0,0.0
1973-04-02,0.248047,0.248047,0.248047,0.248047,0.116545,96000,78209219.1,0.0,0.0
1973-04-03,0.244141,0.244141,0.244141,0.244141,0.11471,57600,76977657.3,0.0,0.0
1973-04-04,0.257813,0.257813,0.257813,0.257813,0.121134,160000,81288438.9,0.0,0.0
1973-04-05,0.257813,0.257813,0.257813,0.257813,0.121134,25600,81288438.9,0.0,0.0
1973-04-06,0.253906,0.253906,0.253906,0.253906,0.119298,70400,80056561.80000001,0.0,0.0
1973-04-09,0.255859,0.255859,0.255859,0.255859,0.120216,76800,80672342.7,0.0,0.0
1973-04-10,0.257813,0.257813,0.257813,0.257813,0.121134,96000,81288438.9,0.0,0.0
1973-04-11,0.267578,0.267578,0.267578,0.267578,0.125722,96000,84367343.39999999,0.0,0.0
1973-04-12,0.267578,0.267578,0.267578,0.267578,0.125722,134400,84367343.39999999,0.0,0.0
1973-04-13,0.271484,0.271484,0.271484,0.271484,0.127557,70400,85598905.2,0.0,0.0
1973-04-16,0.271484,0.271484,0.271484,0.271484,0.127557,12800,85598905.2,0.0,0.0
1973-04-17,0.271484,0.271484,0.271484,0.271484,0.127557,38400,85598905.2,0.0,0.0
1973-04-18,0.277344,0.277344,0.277344,0.277344,0.13031,64000,87446563.19999999,0.0,0.0
1973-04-19,0.277344,0.277344,0.277344,0.277344,0.13031,320000,87446563.19999999,0.0,0.0
1973-04-23,0.277344,0.277344,0.277344,0.277344,0.13031,57600,87446563.19999999,0.0,0.0
1973-04-24,0.28125,0.28125,0.28125,0.28125,0.132146,128000,88678125.0,0.0,0.0
1973-04-25,0.277344,0.277344,0.277344,0.277344,0.13031,108800,87446563.19999999,0.0,0.0
1973-04-26,0.277344,0.277344,0.277344,0.277344,0.13031,57600,87446563.19999999,0.0,0.0
1973-04-27,0.269531,0.269531,0.269531,0.269531,0.12664,147200,84983124.30000001,0.0,0.0
1973-04-30,0.265625,0.265625,0.265625,0.265625,0.124804,51200,83751562.5,0.0,0.0
1973-05-01,0.257813,0.257813,0.257813,0.257813,0.121134,108800,81288438.9,0.0,0.0
1973-05-02,0.259766,0.259766,0.259766,0.259766,0.122051,83200,81904219.8,0.0,0.0
1973-05-03,0.0,0.261719,0.253906,0.253906,0.119298,57600,0.0,0.253906,inf
1973-05-04,0.0,0.263672,0.255859,0.255859,0.120216,102400,0.0,0.255859,inf
1973-05-07,0.0,0.263672,0.255859,0.255859,0.120216,25600,0.0,0.255859,inf
1973-05-08,0.0,0.265625,0.257813,0.257813,0.121134,89600,0.0,0.257813,inf
1973-05-09,0.0,0.261719,0.253906,0.253906,0.119298,57600,0.0,0.253906,inf
1973-05-10,0.0,0.261719,0.253906,0.253906,0.119298,19200,0.0,0.253906,inf
1973-05-11,0.0,0.259766,0.251953,0.251953,0.11838,19200,0.0,0.251953,inf
1973-05-14,0.0,0.238281,0.226563,0.226563,0.106451,102400,0.0,0.226563,inf
1973-05-15,0.0,0.234375,0.222656,0.222656,0.104615,166400,0.0,0.222656,inf
1973-05-16,0.0,0.234375,0.222656,0.222656,0.104615,57600,0.0,0.222656,inf
1973-05-17,0.0,0.21875,0.203125,0.203125,0.095439,83200,0.0,0.203125,inf
1973-05-18,0.0,0.207031,0.191406,0.191406,0.089932,51200,0.0,0.191406,inf
1973-05-21,0.0,0.210938,0.195313,0.195313,0.091768,89600,0.0,0.195313,inf
1973-05-22,0.0,0.214844,0.199219,0.199219,0.093603,57600,0.0,0.199219,inf
1973-05-23,0.0,0.222656,0.210938,0.210938,0.099109,108800,0.0,0.210938,inf
1973-05-24,0.0,0.230469,0.21875,0.21875,0.10278,89600,0.0,0.21875,inf
1973-05-25,0.0,0.238281,0.226563,0.226563,0.106451,25600,0.0,0.226563,inf
1973-05-29,0.0,0.234375,0.222656,0.222656,0.104615,140800,0.0,0.222656,inf
1973-05-30,0.0,0.234375,0.222656,0.222656,0.104615,25600,0.0,0.222656,inf
1973-05-31,0.0,0.230469,0.21875,0.21875,0.10278,19200,0.0,0.21875,inf
1973-06-01,0.0,0.21875,0.207031,0.207031,0.097274,108800,0.0,0.207031,inf
1973-06-04,0.0,0.21875,0.207031,0.207031,0.097274,19200,0.0,0.207031,inf
1973-06-05,0.0,0.21875,0.207031,0.207031,0.097274,19200,0.0,0.207031,inf
1973-06-06,0.0,0.214844,0.203125,0.203125,0.095439,32000,0.0,0.203125,inf
1973-06-07,0.0,0.21875,0.207031,0.207031,0.097274,64000,0.0,0.207031,inf
1973-06-08,0.0,0.222656,0.210938,0.210938,0.099109,102400,0.0,0.210938,inf
1973-06-11,0.0,0.214844,0.203125,0.203125,0.095439,38400,0.0,0.203125,inf
1973-06-12,0.0,0.214844,0.203125,0.203125,0.095439,44800,0.0,0.203125,inf
1973-06-13,0.0,0.214844,0.203125,0.203125,0.095439,70400,0.0,0.203125,inf
1973-06-14,0.0,0.214844,0.203125,0.203125,0.095439,57600,0.0,0.203125,inf
1973-06-15,0.0,0.208984,0.201172,0.201172,0.094521,44800,0.0,0.201172,inf
1973-06-18,0.0,0.207031,0.199219,0.199219,0.093603,38400,0.0,0.199219,inf
1973-06-19,0.0,0.203125,0.195313,0.195313,0.091768,57600,0.0,0.195313,inf
1973-06-20,0.0,0.203125,0.195313,0.195313,0.091768,115200,0.0,0.195313,inf
1973-06-21,0.0,0.197266,0.189453,0.189453,0.089015,89600,0.0,0.189453,inf
1973-06-22,0.0,0.197266,0.189453,0.189453,0.089015,70400,0.0,0.189453,inf
1973-06-25,0.0,0.191406,0.183594,0.183594,0.086262,115200,0.0,0.183594,inf
1973-06-26,0.0,0.175781,0.167969,0.167969,0.07892,198400,0.0,0.167969,inf
1973-06-27,0.0,0.162109,0.154297,0.154297,0.072497,160000,0.0,0.154297,inf
1973-06-28,0.0,0.166016,0.158203,0.158203,0.074332,134400,0.0,0.158203,inf
1973-06-29,0.0,0.171875,0.164063,0.164063,0.077085,153600,0.0,0.164063,inf
1973-07-02,0.0,0.171875,0.164063,0.164063,0.077085,96000,0.0,0.164063,inf
1973-07-03,0.0,0.175781,0.167969,0.167969,0.07892,83200,0.0,0.167969,inf
1973-07-05,0.0,0.177734,0.169922,0.169922,0.079838,38400,0.0,0.169922,inf
1973-07-06,0.0,0.185547,0.177734,0.177734,0.083509,198400,0.0,0.177734,inf
1973-07-09,0.0,0.183594,0.175781,0.175781,0.082591,128000,0.0,0.175781,inf
1973-07-10,0.0,0.175781,0.167969,0.167969,0.07892,230400,0.0,0.167969,inf
1973-07-11,0.0,0.185547,0.177734,0.177734,0.083509,140800,0.0,0.177734,inf
1973-07-12,0.0,0.1875,0.179688,0.179688,0.084427,192000,0.0,0.179688,inf
1973-07-13,0.0,0.185547,0.177734,0.177734,0.083509,115200,0.0,0.177734,inf
1973-07-16,0.0,0.1875,0.179688,0.179688,0.084427,96000,0.0,0.179688,inf
