Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1993-11-24,5.925926,6.518519,5.777778,5.851852,5.303729,2663044,246992595.67999998,-0.07407399999999953,-1.2499987343750079
1993-11-26,5.777778,6.074074,5.777778,5.777778,5.236594,247219,240817787.04,0.0,0.0
1993-11-29,5.851852,6.074074,5.777778,5.925926,5.370865,169256,243905191.36,0.07407399999999953,1.26582148694122
1993-11-30,6.074074,6.074074,5.777778,5.777778,5.236594,159469,253167404.32000002,-0.2962960000000008,-4.878043961927378
1993-12-01,5.777778,6.074074,5.777778,5.777778,5.236594,212625,240817787.04,0.0,0.0
1993-12-02,5.777778,6.074074,5.777778,5.777778,5.236594,124369,240817787.04,0.0,0.0
1993-12-03,5.777778,6.074074,5.777778,5.925926,5.370865,150019,240817787.04,0.14814799999999995,2.5640999013807724
1993-12-06,6.074074,6.074074,5.777778,5.851852,5.303729,169088,253167404.32000002,-0.22222200000000036,-3.65853297144553
1993-12-07,6.074074,6.074074,5.777778,6.0,5.437998,262913,253167404.32000002,-0.07407400000000042,-1.2195109904818482
1993-12-08,6.074074,6.074074,5.925926,6.0,5.437998,144956,253167404.32000002,-0.07407400000000042,-1.2195109904818482
1993-12-09,5.925926,6.074074,5.925926,5.925926,5.370865,174825,246992595.67999998,0.0,0.0
1993-12-10,5.925926,6.074074,5.925926,5.925926,5.370865,115425,246992595.67999998,0.0,0.0
1993-12-13,5.925926,6.074074,5.925926,6.074074,5.505136,159806,246992595.67999998,0.14814800000000083,2.499997468750046
1993-12-14,5.925926,6.074074,5.925926,5.925926,5.370865,373950,246992595.67999998,0.0,0.0
1993-12-15,5.925926,6.074074,5.925926,5.925926,5.370865,92981,246992595.67999998,0.0,0.0
1993-12-16,5.925926,6.074074,5.925926,6.074074,5.505136,77288,246992595.67999998,0.14814800000000083,2.499997468750046
1993-12-17,5.925926,6.074074,5.925926,6.074074,5.505136,50456,246992595.67999998,0.14814800000000083,2.499997468750046
1993-12-20,6.222222,6.518519,5.925926,6.074074,5.505136,214819,259342212.96,-0.14814799999999995,-2.3809500850339305
1993-12-21,6.518519,6.666667,6.074074,6.074074,5.505136,73744,271691871.92,-0.444445,-6.818189837292795
1993-12-22,6.666667,6.666667,6.074074,6.666667,6.042223,76613,277866680.56,0.0,0.0
1993-12-23,6.666667,6.666667,6.074074,6.074074,5.505136,47588,277866680.56,-0.5925929999999999,-8.888894555555272
1993-12-27,6.074074,6.666667,6.074074,6.666667,6.042223,23288,253167404.32000002,0.5925929999999999,9.756104387269565
1993-12-28,6.666667,6.666667,6.222222,6.666667,6.042223,78300,277866680.56,0.0,0.0
1993-12-29,6.222222,6.518519,6.222222,6.518519,5.907948,146475,259342212.96,0.29629700000000003,4.761916241497008
1993-12-30,6.518519,6.518519,6.222222,6.518519,5.907948,56869,271691871.92,0.0,0.0
1993-12-31,6.518519,6.518519,6.222222,6.222222,5.639407,37969,271691871.92,-0.29629700000000003,-4.545465005164517
1994-01-03,6.518519,6.518519,6.222222,6.518519,5.907948,76781,271691871.92,0.0,0.0
1994-01-04,6.222222,6.518519,6.222222,6.518519,5.907948,106313,259342212.96,0.29629700000000003,4.761916241497008
1994-01-05,6.814815,6.814815,6.518519,6.518519,5.907948,96694,284041489.2,-0.2962959999999999,-4.347821620983106
1994-01-06,6.518519,6.814815,6.518519,6.814815,6.176493,184106,271691871.92,0.2962959999999999,4.545449664256557
1994-01-07,6.666667,7.407407,6.666667,7.407407,6.713581,232875,277866680.56,0.7407399999999997,11.111099444445022
1994-01-10,7.259259,7.555556,6.962963,7.407407,6.713581,115088,302565915.12,0.14814799999999995,2.040814358600512
1994-01-11,7.407407,7.407407,6.962963,7.407407,6.713581,106988,308740723.76,0.0,0.0
1994-01-12,6.962963,7.407407,6.962963,7.407407,6.713581,212963,290216297.84000003,0.44444399999999984,6.382972306473548
1994-01-13,7.407407,7.703704,7.111111,7.259259,6.579308,197438,308740723.76,-0.14814799999999995,-1.9999981099998954
1994-01-14,7.703704,7.703704,7.259259,7.481481,6.780715,174488,321090382.72,-0.2222230000000005,-2.884625369822108
1994-01-17,7.703704,8.0,7.407407,7.703704,6.982121,168919,321090382.72,0.0,0.0
1994-01-18,8.0,8.0,7.555556,7.703704,6.982121,166050,333440000.0,-0.2962959999999999,-3.7036999999999987
1994-01-19,8.0,8.0,7.703704,8.0,7.250663,128588,333440000.0,0.0,0.0
1994-01-20,8.148148,8.592593,7.703704,8.592593,7.78775,324338,339614808.64000005,0.444445,5.454552371900951
1994-01-21,8.592593,8.592593,8.296296,8.296296,7.519211,274556,358139276.24,-0.2962970000000009,-3.4482838882279294
1994-01-24,8.592593,8.592593,8.296296,8.592593,7.78775,99563,358139276.24,0.0,0.0
1994-01-25,8.592593,8.592593,8.0,8.592593,7.78775,128250,358139276.24,0.0,0.0
1994-01-26,8.0,8.592593,8.0,8.592593,7.78775,24638,333440000.0,0.5925930000000008,7.40741250000001
1994-01-27,8.148148,8.592593,8.0,8.0,7.250663,37294,339614808.64000005,-0.14814800000000083,-1.8181800330578288
1994-01-28,8.0,8.444444,8.0,8.296296,7.519211,51638,333440000.0,0.2962959999999999,3.7036999999999987
1994-01-31,8.444444,8.444444,7.703704,7.703704,6.982121,97369,351964425.92,-0.7407400000000006,-8.771921514311664
1994-02-01,7.703704,8.148148,7.703704,7.703704,6.982121,121163,321090382.72,0.0,0.0
1994-02-02,8.296296,8.296296,7.703704,7.851852,7.116393,19744,345789617.28,-0.44444399999999984,-5.357137691326344
1994-02-03,8.296296,8.296296,7.703704,8.296296,7.519211,6750,345789617.28,0.0,0.0
1994-02-04,8.296296,8.296296,7.703704,7.703704,6.982121,28856,345789617.28,-0.5925919999999998,-7.142850255101791
1994-02-07,7.703704,8.148148,7.407407,7.703704,6.982121,52819,321090382.72,0.0,0.0
1994-02-08,7.407407,8.0,7.407407,8.0,7.250663,62775,308740723.76,0.5925929999999999,8.000005940000325
1994-02-09,8.0,8.0,7.407407,8.0,7.250663,62100,333440000.0,0.0,0.0
1994-02-10,8.0,8.0,7.555556,8.0,7.250663,34931,333440000.0,0.0,0.0
1994-02-11,7.62963,8.0,7.555556,7.62963,6.914989,18563,318002978.4,0.0,0.0
1994-02-14,8.0,8.296296,7.555556,8.296296,7.519211,95006,333440000.0,0.2962959999999999,3.7036999999999987
1994-02-15,8.296296,8.296296,7.703704,8.148148,7.384937,40163,345789617.28,-0.14814799999999906,-1.7857125637754374
1994-02-16,7.703704,8.148148,7.703704,8.148148,7.384937,65138,321090382.72,0.4444440000000007,5.769224778106748
1994-02-17,7.703704,8.148148,7.555556,8.0,7.250663,42188,321090382.72,0.2962959999999999,3.846149852071158
1994-02-18,7.851852,7.851852,7.407407,7.703704,6.982121,22950,327265191.36,-0.14814799999999995,-1.8867905304379138
1994-02-22,7.407407,7.851852,7.407407,7.851852,7.116393,9956,308740723.76,0.444445,6.00000783000043
1994-02-23,7.407407,7.851852,7.407407,7.481481,6.780715,22275,308740723.76,0.07407399999999953,0.9999990549999416
1994-02-24,7.407407,8.0,7.407407,7.703704,6.982121,76275,308740723.76,0.29629700000000003,4.000009720000535
1994-02-25,7.851852,8.296296,7.703704,8.148148,7.384937,267300,327265191.36,0.2962960000000008,3.773581060875839
1994-02-28,8.296296,8.296296,7.851852,8.296296,7.519211,111206,345789617.28,0.0,0.0
1994-03-01,8.296296,8.296296,7.851852,8.296296,7.519211,168244,345789617.28,0.0,0.0
1994-03-02,7.851852,8.148148,7.703704,8.074074,7.317802,28856,327265191.36,0.22222199999999948,2.830185795656865
1994-03-03,7.851852,8.148148,7.851852,8.0,7.250663,85556,327265191.36,0.14814799999999995,1.8867905304379138
1994-03-04,8.0,8.296296,8.0,8.0,7.250663,21769,333440000.0,0.0,0.0
1994-03-07,8.0,8.296296,8.0,8.0,7.250663,27000,333440000.0,0.0,0.0
1994-03-08,8.296296,8.296296,8.0,8.0,7.250663,18225,345789617.28,-0.2962959999999999,-3.5714251275508957
1994-03-09,8.296296,8.296296,8.0,8.0,7.250663,28181,345789617.28,-0.2962959999999999,-3.5714251275508957
1994-03-10,8.0,8.296296,8.0,8.0,7.250663,20756,333440000.0,0.0,0.0
1994-03-11,8.0,8.296296,8.0,8.074074,7.317802,13331,333440000.0,0.07407399999999953,0.9259249999999941
1994-03-14,8.296296,8.296296,8.0,8.074074,7.317802,28350,345789617.28,-0.22222200000000036,-2.6785688456631775
1994-03-15,8.296296,8.296296,8.0,8.296296,7.519211,13500,345789617.28,0.0,0.0
1994-03-16,8.296296,8.296296,8.0,8.0,7.250663,20081,345789617.28,-0.2962959999999999,-3.5714251275508957
1994-03-17,8.296296,8.296296,8.0,8.0,7.250663,19406,345789617.28,-0.2962959999999999,-3.5714251275508957
1994-03-18,8.296296,8.296296,7.851852,8.0,7.250663,204863,345789617.28,-0.2962959999999999,-3.5714251275508957
1994-03-21,7.851852,8.148148,7.851852,8.148148,7.384937,12656,327265191.36,0.2962960000000008,3.773581060875839
1994-03-22,8.148148,8.148148,7.851852,7.851852,7.116393,45225,339614808.64000005,-0.2962960000000008,-3.6363600661156465
1994-03-23,7.851852,8.148148,7.851852,7.851852,7.116393,16706,327265191.36,0.0,0.0
1994-03-24,7.851852,8.074074,7.703704,7.851852,7.116393,140400,327265191.36,0.0,0.0
1994-03-25,7.703704,8.592593,7.703704,8.148148,7.384937,114750,321090382.72,0.4444440000000007,5.769224778106748
1994-03-28,8.148148,8.592593,8.148148,8.296296,7.519211,81338,339614808.64000005,0.14814799999999906,1.818180033057807
1994-03-29,8.296296,8.296296,8.0,8.0,7.250663,76950,345789617.28,-0.2962959999999999,-3.5714251275508957
1994-03-30,8.0,8.592593,7.703704,7.703704,6.982121,212456,333440000.0,-0.2962959999999999,-3.7036999999999987
1994-03-31,7.703704,8.0,7.555556,7.703704,6.982121,187313,321090382.72,0.0,0.0
1994-04-04,7.407407,7.851852,6.962963,7.111111,6.445037,70200,308740723.76,-0.2962959999999999,-3.9999962199997907
1994-04-05,7.111111,7.407407,7.111111,7.407407,6.713581,61594,296391106.48,0.2962959999999999,4.166662565104101
1994-04-06,7.111111,7.407407,7.111111,7.407407,6.713581,12994,296391106.48,0.2962959999999999,4.166662565104101
1994-04-07,7.407407,7.407407,7.407407,7.407407,6.713581,169,308740723.76,0.0,0.0
1994-04-08,7.111111,7.407407,7.111111,7.111111,6.445037,19575,296391106.48,0.0,0.0
1994-04-11,6.962963,7.407407,6.962963,7.111111,6.445037,22781,290216297.84000003,0.14814799999999995,2.127657435491183
1994-04-12,7.407407,7.407407,7.111111,7.407407,6.713581,9281,308740723.76,0.0,0.0
