Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1986-07-24,29.625,29.625,29.25,29.25,3.841011,7367,5098462500.0,-0.375,-1.2658227848101267
1986-07-25,29.25,29.625,29.25,29.625,3.890252,7533,5033925000.0,0.375,1.282051282051282
1986-07-28,29.625,29.625,29.25,29.25,3.841011,1433,5098462500.0,-0.375,-1.2658227848101267
1986-07-29,29.25,29.625,29.25,29.25,3.841011,4200,5033925000.0,0.0,0.0
1986-07-30,29.25,29.625,29.25,29.625,3.890252,2100,5033925000.0,0.375,1.282051282051282
1986-07-31,29.625,29.625,29.25,29.25,3.841011,4067,5098462500.0,-0.375,-1.2658227848101267
1986-08-01,29.25,29.25,29.25,29.25,3.841011,1067,5033925000.0,0.0,0.0
1986-08-04,29.25,29.25,29.25,29.25,3.841011,433,5033925000.0,0.0,0.0
1986-08-05,28.875,28.875,28.5,28.875,3.791767,1100,4969387500.0,0.0,0.0
1986-08-06,28.875,28.875,28.5,28.875,3.791767,2800,4969387500.0,0.0,0.0
1986-08-07,28.875,28.875,28.5,28.5,3.742523,2267,4969387500.0,-0.375,-1.2987012987012987
1986-08-08,28.5,29.25,28.5,28.5,3.742523,2100,4904850000.0,0.0,0.0
1986-08-11,28.5,28.875,28.5,28.875,3.791767,100,4904850000.0,0.375,1.3157894736842104
1986-08-12,28.875,28.875,28.5,28.875,3.791767,1800,4969387500.0,0.0,0.0
1986-08-13,28.875,29.25,28.875,29.25,3.841011,400,4969387500.0,0.375,1.2987012987012987
1986-08-14,28.875,28.875,28.875,28.875,3.791767,67,4969387500.0,0.0,0.0
1986-08-15,28.875,29.25,28.875,28.875,3.791767,567,4969387500.0,0.0,0.0
1986-08-18,28.875,28.875,28.5,28.875,3.791767,1167,4969387500.0,0.0,0.0
1986-08-19,28.875,28.875,28.5,28.875,3.791767,1033,4969387500.0,0.0,0.0
1986-08-20,28.875,28.875,28.5,28.5,3.742523,700,4969387500.0,-0.375,-1.2987012987012987
1986-08-21,28.875,28.875,28.875,28.875,3.791767,300,4969387500.0,0.0,0.0
1986-08-22,28.875,28.875,28.5,28.875,3.791767,1267,4969387500.0,0.0,0.0
1986-08-25,29.25,29.25,29.25,29.25,3.841011,2567,5033925000.0,0.0,0.0
1986-08-26,29.25,29.25,28.875,28.875,3.791767,967,5033925000.0,-0.375,-1.282051282051282
1986-08-27,29.25,29.25,29.25,29.25,3.841011,233,5033925000.0,0.0,0.0
1986-08-28,28.875,28.875,28.875,28.875,3.791767,67,4969387500.0,0.0,0.0
1986-08-29,29.25,29.25,29.25,29.25,3.841011,167,5033925000.0,0.0,0.0
1986-09-02,29.25,29.25,29.25,29.25,3.841011,167,5033925000.0,0.0,0.0
1986-09-03,29.25,29.625,29.25,29.25,3.841011,2000,5033925000.0,0.0,0.0
1986-09-04,29.25,30.0,29.25,30.0,3.939498,1067,5033925000.0,0.75,2.564102564102564
1986-09-05,30.375,30.375,30.375,30.375,3.988741,33,5227537500.0,0.0,0.0
1986-09-08,30.375,30.75,30.375,30.75,4.037985,933,5227537500.0,0.375,1.2345679012345678
1986-09-09,30.75,30.75,30.375,30.375,3.988741,433,5292075000.0,-0.375,-1.2195121951219512
1986-09-10,30.375,30.75,30.0,30.0,3.939498,2333,5227537500.0,-0.375,-1.2345679012345678
1986-09-11,30.0,30.0,30.0,30.0,3.939498,333,5163000000.0,0.0,0.0
1986-09-12,30.0,30.375,29.25,29.625,3.890252,700,5163000000.0,-0.375,-1.25
1986-09-15,29.625,30.0,29.625,30.0,3.939498,533,5098462500.0,0.375,1.2658227848101267
1986-09-16,30.0,30.0,29.625,30.0,3.939498,533,5163000000.0,0.0,0.0
1986-09-17,30.0,30.0,29.625,29.625,3.890252,567,5163000000.0,-0.375,-1.25
1986-09-18,29.625,29.625,29.25,29.625,3.890252,200,5098462500.0,0.0,0.0
1986-09-19,29.625,29.625,29.625,29.625,3.890252,0,5098462500.0,0.0,0.0
1986-09-22,29.625,29.625,29.625,29.625,3.890252,133,5098462500.0,0.0,0.0
1986-09-23,29.625,29.625,29.625,29.625,3.890252,133,5098462500.0,0.0,0.0
1986-09-24,28.875,28.875,28.875,28.875,3.791767,333,4969387500.0,0.0,0.0
1986-09-25,29.25,29.625,29.25,29.625,3.890252,100,5033925000.0,0.375,1.282051282051282
1986-09-26,29.625,29.625,29.625,29.625,3.890252,0,5098462500.0,0.0,0.0
1986-09-29,29.25,29.25,29.25,29.25,3.841011,267,5033925000.0,0.0,0.0
1986-09-30,29.625,30.375,29.625,30.0,3.939498,1200,5098462500.0,0.375,1.2658227848101267
1986-10-01,30.0,30.0,30.0,30.0,3.939498,233,5163000000.0,0.0,0.0
1986-10-02,29.625,29.625,29.25,29.625,3.890252,533,5098462500.0,0.0,0.0
1986-10-03,30.0,30.0,30.0,30.0,3.939498,500,5163000000.0,0.0,0.0
1986-10-06,29.625,29.625,29.625,29.625,3.890252,167,5098462500.0,0.0,0.0
1986-10-07,29.25,29.25,28.875,29.25,3.841011,1000,5033925000.0,0.0,0.0
1986-10-08,29.25,29.25,28.875,29.25,3.841011,1767,5033925000.0,0.0,0.0
1986-10-09,29.25,29.25,28.875,29.25,3.841011,400,5033925000.0,0.0,0.0
1986-10-10,29.25,29.25,29.25,29.25,3.841011,0,5033925000.0,0.0,0.0
1986-10-13,29.25,29.25,29.25,29.25,3.841011,0,5033925000.0,0.0,0.0
1986-10-14,29.25,29.25,29.25,29.25,3.841011,433,5033925000.0,0.0,0.0
1986-10-15,29.25,29.25,29.25,29.25,3.841011,0,5033925000.0,0.0,0.0
1986-10-16,29.25,29.25,28.5,28.5,3.742523,5567,5033925000.0,-0.75,-2.564102564102564
1986-10-17,28.5,28.875,28.125,28.5,3.742523,833,4904850000.0,0.0,0.0
1986-10-20,28.875,28.875,28.875,28.875,3.791767,267,4969387500.0,0.0,0.0
1986-10-21,28.875,28.875,28.5,28.5,3.742523,267,4969387500.0,-0.375,-1.2987012987012987
1986-10-22,28.5,28.5,28.5,28.5,3.742523,33,4904850000.0,0.0,0.0
1986-10-23,28.5,28.875,28.5,28.875,3.791767,467,4904850000.0,0.375,1.3157894736842104
1986-10-24,28.875,28.875,28.875,28.875,3.791767,500,4969387500.0,0.0,0.0
1986-10-27,28.875,28.875,28.5,28.5,3.742523,567,4969387500.0,-0.375,-1.2987012987012987
1986-10-28,28.875,28.875,28.875,28.875,3.791767,67,4969387500.0,0.0,0.0
1986-10-29,28.875,28.875,28.5,28.875,3.791767,500,4969387500.0,0.0,0.0
1986-10-30,28.875,28.875,28.875,28.875,3.791767,133,4969387500.0,0.0,0.0
1986-10-31,28.875,29.25,28.875,29.25,3.841011,933,4969387500.0,0.375,1.2987012987012987
1986-11-03,28.875,28.875,28.5,28.875,3.791767,567,4969387500.0,0.0,0.0
1986-11-04,29.25,29.25,29.25,29.25,3.841011,467,5033925000.0,0.0,0.0
1986-11-05,29.25,29.25,29.25,29.25,3.841011,267,5033925000.0,0.0,0.0
1986-11-06,29.25,29.625,29.25,29.625,3.890252,467,5033925000.0,0.375,1.282051282051282
1986-11-07,29.625,29.625,29.625,29.625,3.890252,33,5098462500.0,0.0,0.0
1986-11-10,29.625,29.625,29.625,29.625,3.890252,33,5098462500.0,0.0,0.0
1986-11-11,29.625,29.625,29.625,29.625,3.890252,400,5098462500.0,0.0,0.0
1986-11-12,29.625,29.625,29.625,29.625,3.890252,500,5098462500.0,0.0,0.0
1986-11-13,29.25,29.25,29.25,29.25,3.841011,433,5033925000.0,0.0,0.0
1986-11-14,29.25,29.25,29.25,29.25,3.841011,500,5033925000.0,0.0,0.0
1986-11-17,29.25,29.25,28.5,29.25,3.841011,1000,5033925000.0,0.0,0.0
