Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2020-02-06,24.0,25.26,18.549999,18.75,18.75,5873300,1956000000.0,-5.25,-21.875
2020-02-07,19.190001,21.9,19.0,20.620001,20.620001,1221500,1563985081.5,1.4299999999999997,7.451797423043385
2020-02-10,21.370001,22.15,21.1,22.1,22.1,727400,1741655081.4999998,0.729999000000003,3.4159989042583714
2020-02-11,22.15,24.200001,21.5,24.1,24.1,764300,1805225000.0,1.9500000000000028,8.803611738148998
2020-02-12,24.4,27.6,24.1,27.6,27.6,862100,1988600000.0,3.200000000000003,13.114754098360667
2020-02-13,27.77,31.799999,26.65,29.200001,29.200001,1403500,2263255000.0,1.4300010000000007,5.149445444724526
2020-02-14,29.65,30.34,26.25,27.9,27.9,821700,2416475000.0,-1.75,-5.902192242833053
2020-02-18,27.879999,29.628,27.5,27.799999,27.799999,289100,2272219918.5,-0.08000000000000185,-0.286944056203165
2020-02-19,27.85,28.700001,27.0,28.18,28.18,380800,2269775000.0,0.3299999999999983,1.1849192100538537
2020-02-20,28.280001,28.5,26.77,26.91,26.91,249300,2304820081.5,-1.3700009999999985,-4.84441637749588
2020-02-21,26.76,26.799999,24.5,26.09,26.09,397300,2180940000.0,-0.6700000000000017,-2.503736920777286
2020-02-24,24.98,25.450001,24.0,24.200001,24.200001,247700,2035870000.0,-0.7799990000000001,-3.122493995196157
2020-02-25,24.440001,24.98,22.5,22.629999,22.629999,361300,1991860081.5,-1.8100019999999972,-7.405899860642384
2020-02-26,22.73,24.91,22.73,24.450001,24.450001,239600,1852495000.0,1.720001,7.567096348438186
2020-02-27,23.459999,24.09,22.76,22.93,22.93,217000,1911989918.5,-0.5299990000000001,-2.2591603691031708
2020-02-28,22.9,22.9,21.5,22.49,22.49,157400,1866350000.0,-0.41000000000000014,-1.7903930131004373
2020-03-02,23.1,23.91,22.57,23.02,23.02,365200,1882650000.0,-0.08000000000000185,-0.3463203463203543
2020-03-03,23.110001,24.629999,22.76,23.51,23.51,365700,1883465081.5,0.3999990000000011,1.7308480428019068
2020-03-04,23.690001,24.809,23.690001,24.41,24.41,281400,1930735081.5,0.7199990000000014,3.0392527210108664
2020-03-05,24.309999,24.792999,23.280001,23.809999,23.809999,340800,1981264918.5,-0.5,-2.0567668472549094
2020-03-06,23.41,23.870001,23.4,23.549999,23.549999,175900,1907915000.0,0.13999899999999954,0.5980307560871403
2020-03-09,21.969999,23.368,21.5,22.6,22.6,178500,1790554918.5,0.630001,2.8675513367114855
2020-03-10,22.559999,23.924999,21.66,22.5,22.5,346900,1838639918.5,-0.059999000000001246,-0.26595302597310067
2020-03-11,22.32,23.77,20.77,21.25,21.25,228700,1819080000.0,-1.0700000000000003,-4.7939068100358435
2020-03-12,20.969999,21.23,18.049999,18.299999,18.299999,411100,1709054918.5,-2.6700000000000017,-12.732475571410381
2020-03-13,19.700001,19.700001,16.02,17.379999,17.379999,347700,1605550081.5,-2.320001999999999,-11.776659300677187
2020-03-16,16.0,16.445,13.0,13.31,13.31,380900,1304000000.0,-2.6899999999999995,-16.812499999999996
2020-03-17,13.68,15.805,13.5,15.01,15.01,304400,1114920000.0,1.33,9.722222222222223
2020-03-18,14.44,16.375,14.283,15.21,15.21,171500,1176860000.0,0.7700000000000014,5.332409972299178
2020-03-19,15.29,18.389999,15.2,16.860001,16.860001,279100,1246135000.0,1.5700010000000013,10.268155657292358
2020-03-20,17.07,23.094999,17.02,19.4,19.4,1920700,1391205000.0,2.3299999999999983,13.649677797305204
2020-03-23,19.43,19.885,17.07,18.01,18.01,363900,1583545000.0,-1.4199999999999982,-7.308286155429738
2020-03-24,18.5,20.110001,18.110001,19.16,19.16,222700,1507750000.0,0.6600000000000001,3.5675675675675684
