Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2020-06-19,377.75,398.0,316.25,328.0,328.0,120928,8952675000.0,-49.75,-13.17008603573792
2020-06-22,347.25,348.75,294.0,299.25,299.25,23204,8229825000.0,-48.0,-13.822894168466524
2020-06-23,299.0,309.350006,265.0,282.5,282.5,22264,7086300000.0,-16.5,-5.518394648829431
2020-06-24,284.0,294.649994,275.75,288.0,288.0,12540,6730800000.0,4.0,1.4084507042253522
2020-06-25,287.5,287.5,256.25,262.5,262.5,14788,6813750000.0,-25.0,-8.695652173913043
2020-06-26,262.75,265.0,238.5,249.5,249.5,8364,6227175000.0,-13.25,-5.042816365366318
2020-06-29,245.75,254.5,229.0,243.75,243.75,7704,5824275000.0,-2.0,-0.8138351983723295
2020-06-30,240.0,245.25,220.25,225.0,225.0,10364,5688000000.0,-15.0,-6.25
2020-07-01,226.75,226.75,190.75,199.5,199.5,33088,5373975000.0,-27.25,-12.017640573318634
2020-07-02,209.75,225.0,197.5,220.0,220.0,15628,4971075000.0,10.25,4.886769964243146
2020-07-06,218.75,224.75,215.25,218.25,218.25,10876,5184375000.0,-0.5,-0.2285714285714286
2020-07-07,212.75,244.75,212.75,235.5,235.5,12084,5042175000.0,22.75,10.693301997649824
2020-07-08,240.75,260.5,229.5,251.25,251.25,9752,5705775000.0,10.5,4.361370716510903
2020-07-09,250.5,250.5,224.75,231.25,231.25,4924,5936850000.0,-19.25,-7.684630738522954
2020-07-10,229.75,240.75,221.0,238.25,238.25,2060,5445075000.0,8.5,3.6996735582154514
2020-07-13,240.0,240.25,218.0,218.5,218.5,3356,5688000000.0,-21.5,-8.958333333333334
2020-07-14,212.5,238.425003,201.75,232.25,232.25,4124,5036250000.0,19.75,9.294117647058824
2020-07-15,236.25,262.5,228.75,255.0,255.0,10768,5599125000.0,18.75,7.936507936507936
2020-07-16,254.5,272.5,242.75,269.75,269.75,5824,6031650000.0,15.25,5.992141453831041
2020-07-17,274.5,275.0,256.75,267.75,267.75,3364,6505650000.0,-6.75,-2.459016393442623
2020-07-20,265.25,265.25,251.75,257.25,257.25,1784,6286425000.0,-8.0,-3.016022620169651
2020-07-21,253.25,263.0,221.5,226.25,226.25,8008,6002025000.0,-27.0,-10.661401776900297
2020-07-22,226.5,237.0,214.75,226.0,226.0,3648,5368050000.0,-0.5,-0.22075055187637968
2020-07-23,220.25,232.625,220.0,225.25,225.25,5044,5219925000.0,5.0,2.2701475595913734
2020-07-24,231.5,232.0,222.5,223.5,223.5,1952,5486550000.0,-8.0,-3.455723542116631
2020-07-27,225.5,225.5,216.25,217.5,217.5,1764,5344350000.0,-8.0,-3.5476718403547673
2020-07-28,214.5,221.0,209.0,213.0,213.0,2528,5083650000.0,-1.5,-0.6993006993006993
2020-07-29,211.5,215.5,204.0,207.25,207.25,2332,5012550000.0,-4.25,-2.0094562647754137
2020-07-30,216.0,221.225006,210.024994,219.25,219.25,1088,5119200000.0,3.25,1.5046296296296295
2020-07-31,213.25,227.75,211.25,227.75,227.75,3028,5054025000.0,14.5,6.799531066822978
2020-08-03,230.75,230.75,220.0,227.0,227.0,1192,5468775000.0,-3.75,-1.6251354279523293
2020-08-04,225.75,231.0,223.25,227.25,227.25,1308,5350275000.0,1.5,0.6644518272425249
2020-08-05,226.25,227.25,217.25,218.5,218.5,1960,5362125000.0,-7.75,-3.4254143646408837
2020-08-06,215.5,228.5,215.5,225.0,225.0,1136,5107350000.0,9.5,4.408352668213457
2020-08-07,224.75,227.449997,216.0,227.25,227.25,708,5326575000.0,2.5,1.1123470522803114
2020-08-10,222.25,228.5,222.25,227.5,227.5,1676,5267325000.0,5.25,2.3622047244094486
2020-08-11,225.5,226.75,220.0,224.0,224.0,964,5344350000.0,-1.5,-0.6651884700665188
2020-08-12,225.0,232.75,220.75,228.25,228.25,1408,5332500000.0,3.25,1.4444444444444444
2020-08-13,226.0,234.375,221.25,223.75,223.75,1628,5356200000.0,-2.25,-0.995575221238938
2020-08-14,207.75,212.5,192.75,192.75,192.75,4068,4923675000.0,-15.0,-7.2202166064981945
2020-08-17,197.0,238.5,196.25,238.5,238.5,5256,4668900000.0,41.5,21.065989847715734
2020-08-18,236.0,256.75,223.75,239.0,239.0,6096,5593200000.0,3.0,1.2711864406779663
2020-08-19,239.0,241.875,220.0,221.25,221.25,2904,5664300000.0,-17.75,-7.426778242677824
2020-08-20,221.25,238.75,213.0,238.75,238.75,1772,5243625000.0,17.5,7.909604519774012
2020-08-21,243.25,243.75,223.25,226.75,226.75,1136,5765025000.0,-16.5,-6.783144912641316
2020-08-24,242.5,242.75,216.75,228.75,228.75,1268,5747250000.0,-13.75,-5.670103092783505
2020-08-25,225.75,229.875,216.5,219.5,219.5,912,5350275000.0,-6.25,-2.768549280177187
2020-08-26,219.5,225.75,219.5,224.5,224.5,720,5202150000.0,5.0,2.277904328018223
2020-08-27,224.5,231.0,220.0,222.5,222.5,560,5320650000.0,-2.0,-0.8908685968819599
2020-08-28,219.75,236.25,219.75,227.5,227.5,2040,5208075000.0,7.75,3.526734926052332
2020-08-31,221.25,231.25,220.5,230.75,230.75,1444,5243625000.0,9.5,4.293785310734463
2020-09-01,230.5,230.5,212.75,226.25,226.25,1332,5462850000.0,-4.25,-1.843817787418655
2020-09-02,218.875,225.0,212.75,224.75,224.75,1440,5187337500.0,5.875,2.6841804683038264
2020-09-03,223.0,224.5,202.75,207.25,207.25,3012,5285100000.0,-15.75,-7.062780269058296
2020-09-04,208.25,224.5,202.5,222.5,222.5,2668,4935525000.0,14.25,6.8427370948379345
2020-09-08,232.0,240.5,209.0,224.75,224.75,3752,5498400000.0,-7.25,-3.125
2020-09-09,224.5,241.625,224.5,240.0,240.0,2800,5320650000.0,15.5,6.904231625835189
2020-09-10,235.0,235.0,213.0,216.0,216.0,1440,5569500000.0,-19.0,-8.085106382978724
2020-09-11,217.0,230.25,214.5,223.0,223.0,2724,5142900000.0,6.0,2.7649769585253456
2020-09-14,224.75,238.25,210.25,236.25,236.25,8980,5326575000.0,11.5,5.116796440489433
2020-09-15,238.25,243.75,226.024994,229.0,229.0,9872,5646525000.0,-9.25,-3.882476390346275
2020-09-16,232.5,241.5,229.25,230.25,230.25,1668,5510250000.0,-2.25,-0.967741935483871
2020-09-17,227.0,238.25,225.25,229.75,229.75,3048,5379900000.0,2.75,1.2114537444933922
2020-09-18,231.0,235.0,210.75,212.0,212.0,19920,5474700000.0,-19.0,-8.225108225108226
2020-09-21,211.25,232.5,201.25,207.75,207.75,1924,5006625000.0,-3.5,-1.6568047337278107
2020-09-22,211.25,214.0,205.5,207.5,207.5,1108,5006625000.0,-3.75,-1.7751479289940828
2020-09-23,206.25,224.25,203.0,217.75,217.75,6048,4888125000.0,11.5,5.575757575757575
2020-09-24,223.0,223.0,206.25,213.25,213.25,3528,5285100000.0,-9.75,-4.37219730941704
2020-09-25,218.75,220.25,213.25,218.75,218.75,2224,5184375000.0,0.0,0.0
2020-09-28,220.5,227.5,215.75,221.25,221.25,3044,5225850000.0,0.75,0.3401360544217687
2020-09-29,221.25,225.0,215.75,221.75,221.75,1408,5243625000.0,0.5,0.22598870056497175
2020-09-30,222.75,226.75,216.75,225.5,225.5,2284,5279175000.0,2.75,1.2345679012345678
2020-10-01,225.5,237.5,225.5,233.75,233.75,2548,5344350000.0,8.25,3.6585365853658534
2020-10-02,227.25,232.5,219.0,232.25,232.25,1956,5385825000.0,5.0,2.2002200220022003
2020-10-05,234.25,234.25,220.600006,227.5,227.5,1068,5551725000.0,-6.75,-2.88153681963714
2020-10-06,232.25,232.25,226.0,227.25,227.25,996,5504325000.0,-5.0,-2.1528525296017222
2020-10-07,227.5,239.0,225.25,230.5,230.5,1108,5391750000.0,3.0,1.3186813186813187
2020-10-08,232.0,238.5,232.0,237.0,237.0,1756,5498400000.0,5.0,2.1551724137931036
2020-10-09,236.375,237.75,228.25,231.5,231.5,640,5602087500.0,-4.875,-2.0624008461131678
2020-10-12,231.5,233.050003,225.0,228.25,228.25,916,5486550000.0,-3.25,-1.4038876889848813
2020-10-13,229.25,229.25,218.5,228.5,228.5,2024,5433225000.0,-0.75,-0.3271537622682661
2020-10-14,233.25,237.0,222.5,224.5,224.5,760,5528025000.0,-8.75,-3.751339764201501
2020-10-15,221.0,228.75,221.0,225.0,225.0,508,5237700000.0,4.0,1.809954751131222
2020-10-16,224.25,235.25,221.0,225.75,225.75,788,5314725000.0,1.5,0.6688963210702341
2020-10-19,228.5,229.125,220.75,224.0,224.0,444,5415450000.0,-4.5,-1.9693654266958425
2020-10-20,222.5,229.0,203.25,203.25,203.25,2936,5273250000.0,-19.25,-8.651685393258427
2020-10-21,206.5,214.149994,198.0,199.75,199.75,2296,4894050000.0,-6.75,-3.2687651331719128
2020-10-22,198.75,204.5,195.0,195.0,195.0,784,4710375000.0,-3.75,-1.8867924528301887
2020-10-23,200.25,206.0,196.25,197.75,197.75,588,4745925000.0,-2.5,-1.2484394506866416
2020-10-26,199.0,200.875,196.0,198.75,198.75,572,4716300000.0,-0.25,-0.12562814070351758
2020-10-27,203.0,205.0,197.625,197.75,197.75,984,4811100000.0,-5.25,-2.586206896551724
2020-10-28,196.75,198.25,190.0,192.25,192.25,2924,4662975000.0,-4.5,-2.2871664548919948
2020-10-29,193.0,193.0,148.0,149.0,149.0,18732,4574100000.0,-44.0,-22.797927461139896
2020-10-30,151.25,151.25,124.75,124.75,124.75,7960,3584625000.0,-26.5,-17.520661157024794
2020-11-02,129.5,129.5,106.0,106.75,106.75,8108,3069150000.0,-22.75,-17.56756756756757
2020-11-03,113.0,117.349998,106.5,107.5,107.5,2908,2678100000.0,-5.5,-4.867256637168142
2020-11-04,107.75,113.25,100.0,108.0,108.0,5292,2553675000.0,0.25,0.23201856148491878
2020-11-05,106.5,128.5,105.5,127.5,127.5,4808,2524050000.0,21.0,19.718309859154928
2020-11-06,133.75,133.75,118.25,122.0,122.0,3392,3169875000.0,-11.75,-8.785046728971963
2020-11-09,127.5,131.25,114.5,121.75,121.75,4596,3021750000.0,-5.75,-4.509803921568627
2020-11-10,122.0,129.75,114.0,115.0,115.0,5912,2891400000.0,-7.0,-5.737704918032787
2020-11-11,115.0,122.25,115.0,118.0,118.0,5676,2725500000.0,3.0,2.608695652173913
2020-11-12,119.75,122.375,107.5,109.75,109.75,2704,2838075000.0,-10.0,-8.350730688935283
2020-11-13,112.25,121.0,109.75,111.75,111.75,5228,2660325000.0,-0.5,-0.4454342984409799
2020-11-16,116.25,119.0,108.0,109.75,109.75,3044,2755125000.0,-6.5,-5.591397849462366
2020-11-17,111.5,113.349998,104.5,105.25,105.25,4160,2642550000.0,-6.25,-5.605381165919283
2020-11-18,105.25,110.5,100.25,104.0,104.0,5396,2494425000.0,-1.25,-1.187648456057007
2020-11-19,102.75,106.0,99.25,100.0,100.0,6324,2435175000.0,-2.75,-2.67639902676399
2020-11-20,100.75,102.675003,96.5,98.0,98.0,10628,2387775000.0,-2.75,-2.729528535980149
2020-11-23,100.25,100.724998,91.0,91.0,91.0,17432,2375925000.0,-9.25,-9.226932668329177
2020-11-24,95.0,105.0,91.5,97.5,97.5,17980,2251500000.0,2.5,2.631578947368421
2020-11-25,100.775002,103.75,96.0,97.75,97.75,11712,2388367547.4,-3.0250020000000006,-3.001738466847166
2020-11-27,98.75,100.0,94.75,97.5,97.5,6800,2340375000.0,-1.25,-1.2658227848101267
2020-11-30,99.5,103.75,97.75,100.25,100.25,14380,2358150000.0,0.75,0.7537688442211055
2020-12-01,91.974998,96.25,89.25,90.75,90.75,42812,2179807452.6,-1.2249979999999994,-1.3318815184970152
2020-12-02,91.75,92.0,81.75,82.125,82.125,28380,2174475000.0,-9.625,-10.490463215258854
