Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2019-11-05,9.75,9.75,9.75,9.75,9.75,25000,727642500.0,0.0,0.0
2019-11-06,9.7,9.75,9.7,9.75,9.75,211000,723911000.0,0.05000000000000071,0.5154639175257806
2019-11-07,9.77,9.77,9.77,9.77,9.77,50000,729135100.0,0.0,0.0
2019-11-08,9.75,9.75,9.75,9.75,9.75,200,727642500.0,0.0,0.0
2019-11-11,9.75,9.75,9.75,9.75,9.75,0,727642500.0,0.0,0.0
2019-11-12,9.75,9.75,9.75,9.75,9.75,0,727642500.0,0.0,0.0
2019-11-13,9.75,9.76,9.75,9.75,9.75,400400,727642500.0,0.0,0.0
2019-11-14,9.74,9.75,9.73,9.73,9.73,372200,726896200.0,-0.009999999999999787,-0.10266940451745162
2019-11-15,9.73,9.73,9.73,9.73,9.73,0,726149900.0,0.0,0.0
2019-11-18,9.72,9.72,9.72,9.72,9.72,150000,725403600.0,0.0,0.0
2019-11-19,9.78,9.78,9.78,9.78,9.78,700,729881400.0,0.0,0.0
2019-11-20,9.78,9.78,9.78,9.78,9.78,0,729881400.0,0.0,0.0
2019-11-21,9.78,9.78,9.78,9.78,9.78,3700,729881400.0,0.0,0.0
2019-11-22,9.78,9.78,9.78,9.78,9.78,0,729881400.0,0.0,0.0
2019-11-25,9.78,9.78,9.78,9.78,9.78,0,729881400.0,0.0,0.0
2019-11-26,9.78,9.78,9.78,9.78,9.78,100,729881400.0,0.0,0.0
2019-11-27,9.78,9.78,9.78,9.78,9.78,0,729881400.0,0.0,0.0
2019-11-29,9.78,9.78,9.78,9.78,9.78,0,729881400.0,0.0,0.0
2019-12-02,9.78,9.78,9.78,9.78,9.78,100,729881400.0,0.0,0.0
2019-12-03,9.78,9.78,9.78,9.78,9.78,0,729881400.0,0.0,0.0
2019-12-04,9.79,9.79,9.79,9.79,9.79,200000,730627699.9999999,0.0,0.0
2019-12-05,9.79,9.79,9.79,9.79,9.79,0,730627699.9999999,0.0,0.0
2019-12-06,9.8,9.8,9.8,9.8,9.8,1000,731374000.0,0.0,0.0
2019-12-09,9.8,9.8,9.8,9.8,9.8,0,731374000.0,0.0,0.0
2019-12-10,9.8,9.8,9.8,9.8,9.8,0,731374000.0,0.0,0.0
2019-12-11,9.805,9.82,9.805,9.82,9.82,5500,731747150.0,0.015000000000000568,0.1529831718511022
2019-12-12,9.82,9.82,9.82,9.82,9.82,0,732866600.0,0.0,0.0
2019-12-13,9.82,9.82,9.82,9.82,9.82,0,732866600.0,0.0,0.0
2019-12-16,9.83,9.85,9.83,9.85,9.85,250800,733612900.0,0.019999999999999574,0.20345879959307805
2019-12-17,9.85,9.85,9.85,9.85,9.85,2400,735105500.0,0.0,0.0
2019-12-18,9.83,9.83,9.83,9.83,9.83,250100,733612900.0,0.0,0.0
2019-12-19,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2019-12-20,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2019-12-23,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2019-12-24,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2019-12-26,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2019-12-27,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2019-12-30,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2019-12-31,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2020-01-02,9.83,9.83,9.83,9.83,9.83,0,733612900.0,0.0,0.0
2020-01-03,9.88,9.88,9.87,9.87,9.87,364800,737344400.0,-0.010000000000001563,-0.10121457489880123
2020-01-06,9.88,9.88,9.88,9.88,9.88,201000,737344400.0,0.0,0.0
2020-01-07,9.88,9.88,9.88,9.88,9.88,0,737344400.0,0.0,0.0
2020-01-08,9.92,9.92,9.87,9.92,9.92,164300,740329600.0,0.0,0.0
2020-01-09,9.88,10.285,9.88,10.02,10.02,157600,737344400.0,0.1399999999999988,1.4170040485829836
2020-01-10,10.0,10.0,9.96,10.0,10.0,49300,746300000.0,0.0,0.0
2020-01-13,10.0,10.0,9.97,10.0,10.0,185100,746300000.0,0.0,0.0
2020-01-14,10.0,10.0,10.0,10.0,10.0,700,746300000.0,0.0,0.0
2020-01-15,10.0,10.0,10.0,10.0,10.0,103000,746300000.0,0.0,0.0
2020-01-16,10.0,10.0,9.99,10.0,10.0,305200,746300000.0,0.0,0.0
2020-01-17,10.0,10.0,10.0,10.0,10.0,700,746300000.0,0.0,0.0
2020-01-21,10.0,10.0,10.0,10.0,10.0,1500,746300000.0,0.0,0.0
2020-01-22,10.01,10.02,10.0,10.02,10.02,100200,747046300.0,0.009999999999999787,0.09990009990009778
2020-01-23,10.02,10.02,10.02,10.02,10.02,352200,747792600.0,0.0,0.0
2020-01-24,10.02,10.02,10.02,10.02,10.02,0,747792600.0,0.0,0.0
2020-01-27,10.0,10.0,10.0,10.0,10.0,900,746300000.0,0.0,0.0
2020-01-28,10.0,10.0,10.0,10.0,10.0,134100,746300000.0,0.0,0.0
2020-01-29,10.0,10.0,10.0,10.0,10.0,160000,746300000.0,0.0,0.0
2020-01-30,10.02,10.02,10.02,10.02,10.02,17900,747792600.0,0.0,0.0
2020-01-31,10.0,10.0,10.0,10.0,10.0,200,746300000.0,0.0,0.0
2020-02-03,10.0,10.0,10.0,10.0,10.0,0,746300000.0,0.0,0.0
2020-02-04,10.02,10.02,10.02,10.02,10.02,300,747792600.0,0.0,0.0
2020-02-05,10.0,10.02,10.0,10.02,10.02,50200,746300000.0,0.019999999999999574,0.19999999999999576
2020-02-06,10.01,10.02,10.01,10.02,10.02,105600,747046300.0,0.009999999999999787,0.09990009990009778
2020-02-07,10.0,10.01,10.0,10.01,10.01,50500,746300000.0,0.009999999999999787,0.09999999999999788
2020-02-10,10.0,10.0,9.97,9.97,9.97,5200,746300000.0,-0.02999999999999936,-0.2999999999999936
2020-02-11,9.97,9.97,9.97,9.97,9.97,0,744061100.0,0.0,0.0
2020-02-12,9.97,9.97,9.97,9.97,9.97,0,744061100.0,0.0,0.0
2020-02-13,9.99,10.0,9.99,10.0,10.0,154600,745553700.0,0.009999999999999787,0.10010010010009797
2020-02-14,10.05,10.05,10.0,10.0,10.0,900,750031500.0,-0.05000000000000071,-0.4975124378109523
2020-02-18,10.0,10.0,10.0,10.0,10.0,0,746300000.0,0.0,0.0
2020-02-19,10.0,10.0,10.0,10.0,10.0,0,746300000.0,0.0,0.0
2020-02-20,10.0,10.0,10.0,10.0,10.0,0,746300000.0,0.0,0.0
2020-02-21,10.0,10.05,10.0,10.0,10.0,326200,746300000.0,0.0,0.0
2020-02-24,10.0,10.0,10.0,10.0,10.0,200,746300000.0,0.0,0.0
2020-02-25,10.0,10.0,10.0,10.0,10.0,0,746300000.0,0.0,0.0
2020-02-26,10.0,10.0,10.0,10.0,10.0,0,746300000.0,0.0,0.0
2020-02-27,10.0,10.0,10.0,10.0,10.0,0,746300000.0,0.0,0.0
