Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2018-03-08,11.02,11.94,10.67,11.03,11.03,1909800,322555400.0,0.009999999999999787,0.0907441016333919
2018-03-09,11.1,11.43,11.0,11.0,11.0,275800,324897000.0,-0.09999999999999964,-0.9009009009008978
2018-03-12,11.03,11.03,10.31,10.43,10.43,259500,322848100.0,-0.5999999999999996,-5.439709882139616
2018-03-13,10.25,10.6,10.14,10.31,10.31,133700,300017500.0,0.0600000000000005,0.5853658536585414
2018-03-14,10.33,10.47,10.33,10.47,10.47,44800,302359100.0,0.14000000000000057,1.3552758954501507
2018-03-15,10.47,10.87,10.47,10.85,10.85,64300,306456900.0,0.379999999999999,3.6294173829990353
2018-03-16,10.84,11.123,10.5,10.87,10.87,102300,317286800.0,0.02999999999999936,0.27675276752766936
2018-03-19,10.9,10.9,10.25,10.25,10.25,88000,319043000.0,-0.6500000000000004,-5.963302752293581
2018-03-20,10.25,10.452,10.25,10.25,10.25,27000,300017500.0,0.0,0.0
2018-03-21,10.27,10.83,10.27,10.41,10.41,28300,300602900.0,0.14000000000000057,1.363193768257065
2018-03-22,10.33,10.35,10.25,10.25,10.25,20400,302359100.0,-0.08000000000000007,-0.7744433688286552
2018-03-23,10.26,10.39,10.25,10.31,10.31,23000,300310200.0,0.05000000000000071,0.48732943469786266
2018-03-26,10.4,10.5,10.26,10.46,10.46,8000,304408000.0,0.0600000000000005,0.5769230769230818
2018-03-27,10.45,10.45,8.66,9.99,9.99,65900,305871500.0,-0.4599999999999991,-4.401913875598078
2018-03-28,9.82,10.25,9.75,9.83,9.83,16100,287431400.0,0.009999999999999787,0.1018329938900182
2018-03-29,10.0,10.25,10.0,10.24,10.24,24700,292700000.0,0.2400000000000002,2.400000000000002
2018-04-02,10.5,11.06,10.5,10.84,10.84,103500,307335000.0,0.33999999999999986,3.2380952380952364
2018-04-03,11.2,11.2,10.5,10.59,10.59,105000,327824000.0,-0.6099999999999994,-5.446428571428567
2018-04-04,10.5,10.89,10.5,10.5,10.5,83600,307335000.0,0.0,0.0
2018-04-05,10.59,11.105,10.5,11.06,11.06,131500,309969300.0,0.47000000000000064,4.438149197356003
2018-04-06,10.96,11.149,10.5,11.05,11.05,45900,320799200.0,0.08999999999999986,0.8211678832116774
2018-04-09,10.915,11.0,10.011,10.17,10.17,75600,319482050.0,-0.7449999999999992,-6.825469537333937
2018-04-10,10.31,10.8,9.29,9.79,9.79,88900,301773700.0,-0.5200000000000014,-5.043646944713883
2018-04-11,9.36,9.86,8.92,8.94,8.94,43600,273967200.0,-0.41999999999999993,-4.487179487179486
2018-04-12,8.9,9.515,8.72,8.94,8.94,33800,260503000.0,0.03999999999999915,0.44943820224718145
2018-04-13,8.95,9.465,8.95,9.23,9.23,12500,261966499.99999997,0.28000000000000114,3.1284916201117445
2018-04-16,9.28,9.475,8.92,9.26,9.26,21700,271625600.0,-0.019999999999999574,-0.21551724137930575
2018-04-17,8.99,9.41,8.95,8.95,8.95,82600,263137300.0,-0.040000000000000924,-0.4449388209121348
2018-04-18,8.95,9.025,8.7,8.82,8.82,15500,261966499.99999997,-0.129999999999999,-1.4525139664804358
2018-04-19,8.92,8.93,8.77,8.86,8.86,23400,261088400.0,-0.0600000000000005,-0.6726457399103195
2018-04-20,9.16,10.224,9.038,9.28,9.28,10900,268113200.0,0.11999999999999922,1.3100436681222623
2018-04-23,9.06,9.149,8.95,9.04,9.04,10000,265186200.0,-0.02000000000000135,-0.22075055187639456
2018-04-24,8.86,8.86,6.76,7.54,7.54,74800,259332199.99999997,-1.3199999999999994,-14.898419864559814
2018-04-25,7.61,8.049,7.45,7.63,7.63,19300,222744700.0,0.019999999999999574,0.26281208935610473
2018-04-26,8.0,8.0,7.5,7.75,7.75,27600,234160000.0,-0.25,-3.125
2018-04-27,7.75,7.875,7.5,7.5,7.5,14000,226842500.0,-0.25,-3.225806451612903
2018-04-30,7.51,7.61,7.43,7.6,7.6,22100,219817700.0,0.08999999999999986,1.1984021304926746
2018-05-01,7.5,7.561,7.45,7.47,7.47,18700,219525000.0,-0.03000000000000025,-0.4000000000000033
2018-05-02,7.52,7.82,7.02,7.02,7.02,16700,220110400.0,-0.5,-6.648936170212766
2018-05-03,7.5,8.98,7.48,8.4,8.4,64800,219525000.0,0.9000000000000004,12.000000000000005
2018-05-04,8.48,9.45,7.56,7.7,7.7,39800,248209600.0,-0.7800000000000002,-9.198113207547172
2018-05-07,7.77,8.305,7.57,8.105,8.105,39000,227427900.0,0.33500000000000085,4.311454311454323
2018-05-08,8.15,8.59,7.713,8.15,8.15,25600,238550500.0,0.0,0.0
2018-05-09,8.25,9.06,8.25,8.8,8.8,46800,241477500.0,0.5500000000000007,6.666666666666675
2018-05-10,8.9,9.98,8.9,9.93,9.93,25300,260503000.0,1.0299999999999994,11.57303370786516
2018-05-11,9.96,10.17,8.9,9.99,9.99,19500,291529200.0,0.02999999999999936,0.30120481927710197
2018-05-14,9.99,10.21,9.17,9.5,9.5,25000,292407300.0,-0.4900000000000002,-4.904904904904907
2018-05-15,9.51,9.931,9.51,9.8,9.8,19600,278357700.0,0.2900000000000009,3.049421661409053
2018-05-16,9.8,10.305,9.8,9.99,9.99,38200,286846000.0,0.1899999999999995,1.9387755102040765
2018-05-17,9.89,10.69,8.92,10.54,10.54,17800,289480300.0,0.6499999999999986,6.57229524772496
2018-05-18,10.61,10.61,10.255,10.35,10.35,4700,310554700.0,-0.2599999999999998,-2.4505183788878395
2018-05-21,10.5,11.0,10.0,10.79,10.79,22900,307335000.0,0.28999999999999915,2.7619047619047534
2018-05-22,10.79,11.19,10.28,11.18,11.18,18500,315823300.0,0.39000000000000057,3.6144578313253066
2018-05-23,11.11,11.15,10.1,10.54,10.54,11200,325189700.0,-0.5700000000000003,-5.130513051305133
2018-05-24,10.61,11.66,10.38,10.9,10.9,130800,310554700.0,0.2900000000000009,2.7332704995287553
2018-05-25,11.0,11.44,10.63,10.81,10.81,29200,321970000.0,-0.1899999999999995,-1.7272727272727229
2018-05-29,11.11,11.61,11.025,11.26,11.26,11400,325189700.0,0.15000000000000036,1.3501350135013535
2018-05-30,11.56,11.59,11.2,11.23,11.23,14000,338361200.0,-0.33000000000000007,-2.854671280276817
2018-05-31,11.315,11.4,10.99,10.99,10.99,32400,331190050.0,-0.3249999999999993,-2.872293415819702
2018-06-01,11.125,11.199,11.01,11.13,11.13,22800,325628750.0,0.005000000000000782,0.04494382022472613
2018-06-04,11.61,11.61,10.5,10.98,10.98,82500,339824700.0,-0.629999999999999,-5.426356589147279
