Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2022-04-19,9.86,10.0,9.86,9.87,9.87,235300,130644999.99999999,0.009999999999999787,0.10141987829614389
2022-04-20,9.88,9.9,9.87,9.87,9.87,2000,130910000.00000001,-0.010000000000001563,-0.10121457489880123
2022-04-21,9.87,9.87,9.87,9.87,9.87,50800,130777499.99999999,0.0,0.0
2022-04-22,9.9,9.9,9.87,9.87,9.87,6000,131175000.0,-0.030000000000001137,-0.30303030303031453
2022-04-25,9.87,9.87,9.87,9.87,9.87,0,130777499.99999999,0.0,0.0
2022-04-26,9.87,9.87,9.87,9.87,9.87,0,130777499.99999999,0.0,0.0
2022-04-27,9.87,9.87,9.87,9.87,9.87,0,130777499.99999999,0.0,0.0
2022-04-28,9.92,9.92,9.87,9.87,9.87,2500,131440000.0,-0.05000000000000071,-0.5040322580645233
2022-04-29,9.87,9.87,9.87,9.87,9.87,0,130777499.99999999,0.0,0.0
2022-05-02,9.87,9.87,9.87,9.87,9.87,1400,130777499.99999999,0.0,0.0
2022-05-03,9.87,9.87,9.87,9.87,9.87,0,130777499.99999999,0.0,0.0
2022-05-04,9.87,9.87,9.87,9.87,9.87,0,130777499.99999999,0.0,0.0
2022-05-05,9.905,9.905,9.905,9.905,9.905,16700,131241249.99999999,0.0,0.0
2022-05-06,9.88,9.91,9.87,9.87,9.87,119600,130910000.00000001,-0.010000000000001563,-0.10121457489880123
2022-05-09,9.89,9.89,9.85,9.85,9.85,7700,131042500.00000001,-0.040000000000000924,-0.4044489383215462
2022-05-10,9.85,9.85,9.85,9.85,9.85,6700,130512500.0,0.0,0.0
2022-05-11,9.85,9.895,9.81,9.85,9.85,40600,130512500.0,0.0,0.0
2022-05-12,9.84,9.84,9.84,9.84,9.84,500,130380000.0,0.0,0.0
2022-05-13,9.84,9.84,9.84,9.84,9.84,800,130380000.0,0.0,0.0
2022-05-16,9.84,9.84,9.84,9.84,9.84,0,130380000.0,0.0,0.0
2022-05-17,9.84,9.84,9.84,9.84,9.84,200,130380000.0,0.0,0.0
2022-05-18,9.84,9.92,9.84,9.9,9.9,2600,130380000.0,0.0600000000000005,0.6097560975609807
2022-05-19,9.9,9.9,9.9,9.9,9.9,0,131175000.0,0.0,0.0
2022-05-20,9.9,9.9,9.9,9.9,9.9,0,131175000.0,0.0,0.0
2022-05-23,9.9,9.9,9.9,9.9,9.9,0,131175000.0,0.0,0.0
2022-05-24,9.9,9.9,9.9,9.9,9.9,0,131175000.0,0.0,0.0
2022-05-25,9.9,9.9,9.9,9.9,9.9,0,131175000.0,0.0,0.0
2022-05-26,9.9,9.9,9.9,9.9,9.9,0,131175000.0,0.0,0.0
2022-05-27,9.9,9.9,9.9,9.9,9.9,0,131175000.0,0.0,0.0
2022-05-31,9.84,9.85,9.83,9.84,9.84,51000,130380000.0,0.0,0.0
2022-06-01,9.84,9.84,9.84,9.84,9.84,0,130380000.0,0.0,0.0
2022-06-02,9.84,9.84,9.84,9.84,9.84,304000,130380000.0,0.0,0.0
2022-06-03,9.84,9.84,9.84,9.84,9.84,0,130380000.0,0.0,0.0
2022-06-06,9.84,9.84,9.84,9.84,9.84,0,130380000.0,0.0,0.0
2022-06-07,9.85,9.85,9.85,9.85,9.85,100,130512500.0,0.0,0.0
2022-06-08,9.85,9.85,9.85,9.85,9.85,0,130512500.0,0.0,0.0
2022-06-09,9.85,9.85,9.85,9.85,9.85,0,130512500.0,0.0,0.0
2022-06-10,9.85,9.85,9.85,9.85,9.85,0,130512500.0,0.0,0.0
2022-06-13,9.85,9.85,9.85,9.85,9.85,0,130512500.0,0.0,0.0
2022-06-14,9.85,9.85,9.85,9.85,9.85,0,130512500.0,0.0,0.0
2022-06-15,9.85,9.85,9.85,9.85,9.85,400,130512500.0,0.0,0.0
