Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,0.534188,0.470085,0.470085,0.470085,65520,0.0,0.470085,inf
1980-03-18,0.0,0.512821,0.448718,0.448718,0.448718,14040,0.0,0.448718,inf
1980-03-19,0.0,0.576923,0.512821,0.512821,0.512821,107640,0.0,0.512821,inf
1980-03-20,0.0,0.555556,0.491453,0.491453,0.491453,74880,0.0,0.491453,inf
1980-03-21,0.0,0.576923,0.512821,0.512821,0.512821,30420,0.0,0.512821,inf
1980-03-24,0.0,0.534188,0.470085,0.470085,0.470085,53820,0.0,0.470085,inf
1980-03-25,0.0,0.512821,0.448718,0.448718,0.448718,4680,0.0,0.448718,inf
1980-03-26,0.0,0.534188,0.470085,0.470085,0.470085,39780,0.0,0.470085,inf
1980-03-27,0.0,0.470085,0.405983,0.405983,0.405983,175500,0.0,0.405983,inf
1980-03-28,0.0,0.534188,0.470085,0.470085,0.470085,100620,0.0,0.470085,inf
1980-03-31,0.0,0.534188,0.470085,0.470085,0.470085,21060,0.0,0.470085,inf
1980-04-01,0.0,0.534188,0.470085,0.470085,0.470085,37440,0.0,0.470085,inf
1980-04-02,0.0,0.534188,0.470085,0.470085,0.470085,37440,0.0,0.470085,inf
1980-04-03,0.0,0.534188,0.470085,0.470085,0.470085,11700,0.0,0.470085,inf
1980-04-07,0.0,0.534188,0.470085,0.470085,0.470085,37440,0.0,0.470085,inf
1980-04-08,0.0,0.512821,0.448718,0.448718,0.448718,18720,0.0,0.448718,inf
1980-04-09,0.0,0.534188,0.470085,0.470085,0.470085,11700,0.0,0.470085,inf
1980-04-10,0.0,0.534188,0.470085,0.470085,0.470085,9360,0.0,0.470085,inf
1980-04-11,0.0,0.576923,0.512821,0.512821,0.512821,39780,0.0,0.512821,inf
1980-04-14,0.0,0.555556,0.491453,0.491453,0.491453,18720,0.0,0.491453,inf
1980-04-15,0.0,0.555556,0.491453,0.491453,0.491453,4680,0.0,0.491453,inf
1980-04-16,0.491453,0.491453,0.491453,0.491453,0.491453,0,10949572.84,0.0,0.0
1980-04-17,0.0,0.512821,0.448718,0.448718,0.448718,37440,0.0,0.448718,inf
1980-04-18,0.0,0.534188,0.470085,0.470085,0.470085,46800,0.0,0.470085,inf
1980-04-21,0.0,0.555556,0.491453,0.491453,0.491453,79560,0.0,0.491453,inf
1980-04-22,0.0,0.555556,0.491453,0.491453,0.491453,11700,0.0,0.491453,inf
1980-04-23,0.0,0.619658,0.555556,0.555556,0.555556,44460,0.0,0.555556,inf
1980-04-24,0.0,0.619658,0.555556,0.555556,0.555556,46800,0.0,0.555556,inf
1980-04-25,0.0,0.619658,0.555556,0.555556,0.555556,4680,0.0,0.555556,inf
1980-04-28,0.0,0.619658,0.555556,0.555556,0.555556,28080,0.0,0.555556,inf
1980-04-29,0.0,0.619658,0.555556,0.555556,0.555556,23400,0.0,0.555556,inf
1980-04-30,0.0,0.619658,0.555556,0.555556,0.555556,2340,0.0,0.555556,inf
1980-05-01,0.555556,0.555556,0.555556,0.555556,0.555556,0,12377787.680000002,0.0,0.0
1980-05-02,0.0,0.576923,0.512821,0.512821,0.512821,30420,0.0,0.512821,inf
1980-05-05,0.0,0.576923,0.512821,0.512821,0.512821,2340,0.0,0.512821,inf
1980-05-06,0.0,0.576923,0.512821,0.512821,0.512821,16380,0.0,0.512821,inf
1980-05-07,0.0,0.576923,0.512821,0.512821,0.512821,16380,0.0,0.512821,inf
1980-05-08,0.0,0.576923,0.512821,0.512821,0.512821,4680,0.0,0.512821,inf
1980-05-09,0.0,0.576923,0.512821,0.512821,0.512821,4680,0.0,0.512821,inf
1980-05-12,0.0,0.576923,0.512821,0.512821,0.512821,14040,0.0,0.512821,inf
1980-05-13,0.0,0.576923,0.512821,0.512821,0.512821,2340,0.0,0.512821,inf
1980-05-14,0.0,0.619658,0.555556,0.555556,0.555556,72540,0.0,0.555556,inf
1980-05-15,0.0,0.598291,0.534188,0.534188,0.534188,23400,0.0,0.534188,inf
1980-05-16,0.0,0.598291,0.534188,0.534188,0.534188,7020,0.0,0.534188,inf
1980-05-19,0.0,0.576923,0.512821,0.512821,0.512821,4680,0.0,0.512821,inf
1980-05-20,0.512821,0.512821,0.512821,0.512821,0.512821,0,11425651.879999999,0.0,0.0
1980-05-21,0.512821,0.512821,0.512821,0.512821,0.512821,0,11425651.879999999,0.0,0.0
1980-05-22,0.0,0.619658,0.555556,0.555556,0.555556,42120,0.0,0.555556,inf
1980-05-23,0.0,0.641026,0.576923,0.576923,0.576923,46800,0.0,0.576923,inf
1980-05-27,0.0,0.619658,0.555556,0.555556,0.555556,9360,0.0,0.555556,inf
1980-05-28,0.0,0.619658,0.555556,0.555556,0.555556,25740,0.0,0.555556,inf
1980-05-29,0.0,0.619658,0.555556,0.555556,0.555556,60840,0.0,0.555556,inf
1980-05-30,0.0,0.619658,0.555556,0.555556,0.555556,18720,0.0,0.555556,inf
1980-06-02,0.0,0.619658,0.555556,0.555556,0.555556,11700,0.0,0.555556,inf
1980-06-03,0.0,0.619658,0.555556,0.555556,0.555556,9360,0.0,0.555556,inf
1980-06-04,0.0,0.619658,0.555556,0.555556,0.555556,7020,0.0,0.555556,inf
1980-06-05,0.0,0.619658,0.555556,0.555556,0.555556,25740,0.0,0.555556,inf
1980-06-06,0.0,0.619658,0.555556,0.555556,0.555556,11700,0.0,0.555556,inf
