Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2002-07-29,6.65,6.79,6.6,6.74,5.220613,10800,2116495500.0,0.08999999999999986,1.3533834586466142
2002-07-30,6.7,6.8,6.64,6.64,5.143155,8300,2132409000.0,-0.0600000000000005,-0.8955223880597089
2002-07-31,6.61,6.61,6.35,6.51,5.042463,6700,2103764700.0,-0.10000000000000053,-1.5128593040847282
2002-08-01,6.45,6.45,6.3,6.3,4.879802,3500,2052841500.0,-0.15000000000000036,-2.3255813953488427
2002-08-02,6.31,6.31,6.31,6.31,4.887547,400,2008283699.9999998,0.0,0.0
2002-08-05,6.25,6.25,6.25,6.25,4.841072,600,1989187500.0,0.0,0.0
2002-08-06,6.21,6.3,6.21,6.3,4.879802,2900,1976456700.0,0.08999999999999986,1.4492753623188384
2002-08-07,6.33,6.33,5.63,5.76,4.461535,12900,2014649100.0,-0.5700000000000003,-9.004739336492895
2002-08-08,5.15,5.2,5.0,5.0,3.872859,19900,1639090500.0,-0.15000000000000036,-2.9126213592233077
2002-08-09,4.75,4.75,4.31,4.54,3.516556,46400,1511782500.0,-0.20999999999999996,-4.421052631578946
2002-08-12,4.64,4.7,4.56,4.58,3.547538,6500,1476772800.0,-0.05999999999999961,-1.2931034482758537
2002-08-13,4.58,4.58,3.77,3.9,3.020829,28000,1457676600.0,-0.6800000000000002,-14.847161572052405
2002-08-14,3.76,3.83,3.56,3.82,2.958863,41600,1196695200.0,0.06000000000000005,1.5957446808510654
2002-08-15,4.06,4.16,4.0,4.1,3.175744,28000,1292176199.9999998,0.040000000000000036,0.9852216748768483
2002-08-16,4.17,4.27,4.13,4.17,3.229963,10900,1327185900.0,0.0,0.0
2002-08-19,4.27,4.32,4.22,4.32,3.346149,18600,1359012899.9999998,0.05000000000000071,1.1709601873536468
2002-08-20,4.35,4.55,4.35,4.48,3.470081,11800,1384474500.0,0.13000000000000078,2.9885057471264553
2002-08-21,4.58,4.66,4.52,4.57,3.539793,19600,1457676600.0,-0.009999999999999787,-0.21834061135370714
2002-08-22,4.62,4.67,4.6,4.61,3.570775,8200,1470407400.0,-0.009999999999999787,-0.2164502164502118
2002-08-23,4.56,4.56,4.29,4.29,3.322912,21000,1451311199.9999998,-0.2699999999999996,-5.921052631578939
2002-08-26,4.4,4.43,4.38,4.41,3.41586,7600,1400388000.0,0.009999999999999787,0.2272727272727224
2002-08-27,4.49,4.49,4.32,4.32,3.346149,5100,1429032300.0,-0.16999999999999993,-3.7861915367483276
2002-08-28,4.4,4.4,4.29,4.3,3.330657,1300,1400388000.0,-0.10000000000000053,-2.2727272727272845
2002-08-29,4.3,4.34,4.28,4.33,3.353895,3000,1368561000.0,0.03000000000000025,0.697674418604657
2002-08-30,4.3,4.33,4.25,4.33,3.353895,4400,1368561000.0,0.03000000000000025,0.697674418604657
2002-09-03,4.4,4.4,4.0,4.06,3.14476,26900,1400388000.0,-0.34000000000000075,-7.7272727272727435
2002-09-04,4.05,4.18,4.04,4.16,3.222218,5100,1288993500.0,0.11000000000000032,2.7160493827160574
2002-09-05,4.11,4.11,3.84,3.86,2.989846,11900,1308089700.0,-0.25000000000000044,-6.082725060827261
2002-09-06,3.86,3.86,3.75,3.79,2.935626,25800,1228522200.0,-0.06999999999999984,-1.8134715025906696
2002-09-09,3.71,3.71,3.67,3.71,2.873661,3700,1180781700.0,0.0,0.0
2002-09-10,3.81,3.85,3.81,3.85,2.9821,2200,1212608700.0,0.040000000000000036,1.0498687664042003
2002-09-11,3.78,3.82,3.72,3.72,2.904035,1900,1203060600.0,-0.05999999999999961,-1.5873015873015772
2002-09-12,3.75,3.75,3.65,3.67,2.865003,2300,1193512500.0,-0.08000000000000007,-2.1333333333333355
2002-09-13,3.67,3.72,3.67,3.72,2.904035,200,1168050900.0,0.050000000000000266,1.362397820163495
2002-09-16,3.62,3.62,3.44,3.44,2.685453,14600,1152137400.0,-0.18000000000000016,-4.9723756906077385
2002-09-17,3.4,3.5,3.2,3.24,2.52932,33700,1082118000.0,-0.1599999999999997,-4.705882352941168
2002-09-18,3.17,3.17,3.03,3.03,2.365384,12600,1008915900.0,-0.14000000000000012,-4.416403785488963
2002-09-19,2.95,3.01,2.81,2.81,2.193639,24100,938896500.0,-0.14000000000000012,-4.74576271186441
2002-09-20,2.81,2.99,2.69,2.99,2.334158,26700,894338700.0,0.18000000000000016,6.405693950177942
2002-09-23,2.95,2.95,2.9,2.91,2.271705,18400,938896500.0,-0.040000000000000036,-1.3559322033898318
2002-09-24,2.9,3.02,2.85,2.85,2.224866,21100,922983000.0,-0.04999999999999982,-1.7241379310344769
2002-09-25,2.9,2.9,2.78,2.81,2.193639,27400,922983000.0,-0.08999999999999986,-3.103448275862064
2002-09-26,2.85,2.96,2.85,2.96,2.310738,9200,907069500.0,0.10999999999999988,3.8596491228070127
2002-09-27,2.83,3.07,2.83,3.0,2.341964,15400,900704100.0,0.16999999999999993,6.007067137809185
2002-09-30,2.91,2.96,2.84,2.91,2.271705,11400,926165700.0,0.0,0.0
2002-10-01,2.94,2.96,2.9,2.93,2.287318,17500,935713800.0,-0.009999999999999787,-0.3401360544217614
2002-10-02,2.6,2.6,2.5,2.53,1.975058,33800,827502000.0,-0.07000000000000028,-2.692307692307703
2002-10-03,2.53,2.54,2.49,2.54,1.982863,4700,805223099.9999999,0.010000000000000231,0.3952569169960566
2002-10-04,2.56,2.6,2.45,2.52,1.967249,23600,814771200.0,-0.040000000000000036,-1.5625000000000013
2002-10-07,2.57,2.57,2.3,2.33,1.818926,18400,817953900.0,-0.23999999999999977,-9.338521400778202
2002-10-08,2.25,2.25,2.14,2.23,1.740859,24100,716107500.0,-0.020000000000000018,-0.8888888888888897
2002-10-09,2.13,2.18,2.05,2.18,1.701827,13200,677915100.0,0.050000000000000266,2.3474178403755994
2002-10-10,2.25,2.35,2.25,2.35,1.834538,15000,716107500.0,0.10000000000000009,4.444444444444448
2002-10-11,2.4,2.53,2.4,2.51,1.959444,12700,763848000.0,0.10999999999999988,4.583333333333329
2002-10-14,2.53,2.61,2.51,2.61,2.037508,3400,805223099.9999999,0.08000000000000007,3.1620553359683825
2002-10-15,2.69,2.74,2.69,2.69,2.099962,12200,856146300.0,0.0,0.0
2002-10-16,2.65,2.71,2.52,2.52,1.967249,23900,843415500.0,-0.1299999999999999,-4.905660377358487
2002-10-17,2.6,2.74,2.6,2.74,2.138993,27300,827502000.0,0.14000000000000012,5.3846153846153895
2002-10-18,2.75,2.95,2.75,2.82,2.201446,52600,875242500.0,0.06999999999999984,2.5454545454545396
2002-10-21,2.83,3.0,2.8,2.96,2.310738,10700,900704100.0,0.1299999999999999,4.593639575971728
2002-10-22,2.91,3.0,2.91,3.0,2.341964,40700,926165700.0,0.08999999999999986,3.092783505154634
2002-10-23,3.0,3.5,3.0,3.48,2.716678,145800,954810000.0,0.48,16.0
2002-10-24,3.59,3.61,3.34,3.34,2.607385,29900,1142589300.0,-0.25,-6.963788300835655
2002-10-25,3.32,3.33,3.3,3.33,2.59958,33000,1056656400.0,0.010000000000000231,0.3012048192771154
2002-10-28,3.4,3.42,3.33,3.33,2.59958,5800,1082118000.0,-0.06999999999999984,-2.05882352941176
2002-10-29,3.25,3.3,3.25,3.27,2.552741,6400,1034377500.0,0.020000000000000018,0.6153846153846159
2002-10-30,3.34,3.55,3.34,3.42,2.669839,16900,1063021800.0,0.08000000000000007,2.3952095808383254
2002-10-31,3.5,3.5,3.38,3.41,2.662032,13300,1113945000.0,-0.08999999999999986,-2.571428571428567
2002-11-01,3.42,3.42,3.4,3.4,2.654226,2600,1088483400.0,-0.020000000000000018,-0.5847953216374274
2002-11-04,3.45,3.57,3.43,3.48,2.716678,8900,1098031500.0,0.029999999999999805,0.8695652173912987
2002-11-05,3.55,3.75,3.5,3.72,2.904035,19200,1129858500.0,0.17000000000000037,4.788732394366209
2002-11-06,3.77,3.87,3.7,3.84,2.997714,49700,1199877900.0,0.06999999999999984,1.8567639257294388
2002-11-07,3.83,3.83,3.57,3.63,2.833777,18800,1218974100.0,-0.20000000000000018,-5.221932114882511
2002-11-08,3.58,3.66,3.55,3.58,2.794744,5300,1139406600.0,0.0,0.0
2002-11-11,3.58,3.58,3.47,3.49,2.724485,2000,1139406600.0,-0.08999999999999986,-2.5139664804469235
2002-11-12,3.54,3.54,3.43,3.43,2.677646,5600,1126675800.0,-0.10999999999999988,-3.107344632768358
2002-11-13,3.3,3.37,3.25,3.37,2.630806,19600,1050291000.0,0.07000000000000028,2.12121212121213
2002-11-14,3.45,3.45,3.43,3.43,2.677646,1100,1098031500.0,-0.020000000000000018,-0.5797101449275368
2002-11-15,3.4,3.45,3.36,3.4,2.654226,6400,1082118000.0,0.0,0.0
2002-11-18,3.46,3.52,3.45,3.47,2.708872,9400,1101214200.0,0.010000000000000231,0.2890173410404691
