Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1983-12-13,0.0,5.375,5.25,5.25,5.25,398400,0.0,5.25,inf
1983-12-14,0.0,5.125,5.0,5.0,5.0,110200,0.0,5.0,inf
1983-12-15,0.0,5.125,5.0,5.0,5.0,68800,0.0,5.0,inf
1983-12-16,0.0,5.125,5.0,5.0,5.0,74800,0.0,5.0,inf
1983-12-19,0.0,5.1875,5.0625,5.0625,5.0625,29400,0.0,5.0625,inf
1983-12-20,0.0,5.1875,5.0625,5.0625,5.0625,22400,0.0,5.0625,inf
1983-12-21,0.0,5.375,5.1875,5.1875,5.1875,42200,0.0,5.1875,inf
1983-12-22,0.0,5.25,5.125,5.125,5.125,24200,0.0,5.125,inf
1983-12-23,0.0,5.25,5.125,5.125,5.125,6600,0.0,5.125,inf
1983-12-27,0.0,5.3125,5.1875,5.1875,5.1875,21600,0.0,5.1875,inf
1983-12-28,0.0,5.25,5.1875,5.1875,5.1875,21000,0.0,5.1875,inf
1983-12-29,0.0,5.1875,5.0,5.0,5.0,18400,0.0,5.0,inf
1983-12-30,0.0,5.1875,5.0625,5.0625,5.0625,22200,0.0,5.0625,inf
1984-01-03,0.0,5.1875,5.0625,5.0625,5.0625,24600,0.0,5.0625,inf
1984-01-04,0.0,5.5,5.375,5.375,5.375,40000,0.0,5.375,inf
1984-01-05,0.0,5.5625,5.4375,5.4375,5.4375,44800,0.0,5.4375,inf
1984-01-06,0.0,5.5,5.3125,5.3125,5.3125,40800,0.0,5.3125,inf
1984-01-09,0.0,5.8125,5.75,5.75,5.75,73600,0.0,5.75,inf
1984-01-10,0.0,5.875,5.75,5.75,5.75,115600,0.0,5.75,inf
1984-01-11,0.0,5.75,5.625,5.625,5.625,102400,0.0,5.625,inf
1984-01-12,0.0,6.1875,6.0625,6.0625,6.0625,171400,0.0,6.0625,inf
1984-01-13,0.0,6.9375,6.75,6.75,6.75,347600,0.0,6.75,inf
1984-01-16,0.0,7.0625,6.9375,6.9375,6.9375,143800,0.0,6.9375,inf
1984-01-17,0.0,6.9375,6.8125,6.8125,6.8125,91600,0.0,6.8125,inf
1984-01-18,0.0,7.0,6.875,6.875,6.875,142400,0.0,6.875,inf
1984-01-19,0.0,7.3125,7.25,7.25,7.25,135000,0.0,7.25,inf
1984-01-20,0.0,7.4375,7.375,7.375,7.375,127600,0.0,7.375,inf
1984-01-23,0.0,6.875,6.8125,6.8125,6.8125,78400,0.0,6.8125,inf
1984-01-24,0.0,7.25,7.125,7.125,7.125,77000,0.0,7.125,inf
1984-01-25,0.0,7.1875,7.0625,7.0625,7.0625,59600,0.0,7.0625,inf
1984-01-26,0.0,7.4375,7.3125,7.3125,7.3125,67200,0.0,7.3125,inf
1984-01-27,0.0,7.625,7.5,7.5,7.5,107000,0.0,7.5,inf
1984-01-30,0.0,7.5,7.3125,7.3125,7.3125,61400,0.0,7.3125,inf
1984-01-31,0.0,7.4375,7.3125,7.3125,7.3125,34400,0.0,7.3125,inf
1984-02-01,0.0,7.1875,7.0,7.0,7.0,45000,0.0,7.0,inf
1984-02-02,0.0,7.25,7.125,7.125,7.125,54800,0.0,7.125,inf
1984-02-03,0.0,7.125,7.0625,7.0625,7.0625,33800,0.0,7.0625,inf
1984-02-06,0.0,7.0,6.875,6.875,6.875,38600,0.0,6.875,inf
1984-02-07,0.0,6.8125,6.6875,6.6875,6.6875,52800,0.0,6.6875,inf
1984-02-08,0.0,6.3125,6.1875,6.1875,6.1875,89000,0.0,6.1875,inf
1984-02-09,0.0,6.375,6.25,6.25,6.25,96200,0.0,6.25,inf
1984-02-10,0.0,7.0,6.875,6.875,6.875,96000,0.0,6.875,inf
1984-02-13,0.0,7.0625,7.0,7.0,7.0,93800,0.0,7.0,inf
1984-02-14,0.0,7.5,7.375,7.375,7.375,98000,0.0,7.375,inf
1984-02-15,0.0,7.625,7.5625,7.5625,7.5625,61400,0.0,7.5625,inf
1984-02-16,0.0,8.4375,8.25,8.25,8.25,85400,0.0,8.25,inf
1984-02-17,0.0,8.5625,8.4375,8.4375,8.4375,174000,0.0,8.4375,inf
1984-02-21,0.0,8.4375,8.375,8.375,8.375,59800,0.0,8.375,inf
1984-02-22,0.0,8.3125,8.1875,8.1875,8.1875,54000,0.0,8.1875,inf
1984-02-23,0.0,8.125,8.0625,8.0625,8.0625,69200,0.0,8.0625,inf
1984-02-24,0.0,8.0,7.8125,7.8125,7.8125,79000,0.0,7.8125,inf
1984-02-27,0.0,7.6875,7.5625,7.5625,7.5625,68400,0.0,7.5625,inf
1984-02-28,0.0,7.5,7.4375,7.4375,7.4375,88200,0.0,7.4375,inf
1984-02-29,0.0,7.6875,7.5625,7.5625,7.5625,30400,0.0,7.5625,inf
1984-03-01,0.0,7.875,7.75,7.75,7.75,35200,0.0,7.75,inf
1984-03-02,0.0,8.25,8.125,8.125,8.125,66200,0.0,8.125,inf
1984-03-05,0.0,8.125,8.0,8.0,8.0,58800,0.0,8.0,inf
1984-03-06,0.0,7.8125,7.75,7.75,7.75,41800,0.0,7.75,inf
1984-03-07,0.0,7.5625,7.4375,7.4375,7.4375,72800,0.0,7.4375,inf
1984-03-08,0.0,7.875,7.75,7.75,7.75,42600,0.0,7.75,inf
1984-03-09,0.0,7.875,7.8125,7.8125,7.8125,33800,0.0,7.8125,inf
