Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2017-12-15,13.59,15.129,13.25,14.4,14.4,3320900,1346904900.0,0.8100000000000005,5.9602649006622554
2017-12-18,14.55,15.0,14.41,14.6,14.6,550900,1442050500.0,0.049999999999998934,0.34364261168384147
2017-12-19,14.73,14.98,14.0,14.9,14.9,465800,1459890300.0,0.16999999999999993,1.154107264086897
2017-12-20,14.87,14.986,14.769,14.79,14.79,121600,1473765700.0,-0.08000000000000007,-0.5379959650302628
2017-12-21,14.94,15.91,14.71,15.7,15.7,329700,1480703400.0,0.7599999999999998,5.087014725568941
2017-12-22,15.62,15.87,15.1,15.11,15.11,137400,1548098200.0,-0.5099999999999998,-3.2650448143405875
2017-12-26,15.17,15.93,14.781,15.74,15.74,155400,1503498700.0,0.5700000000000003,3.7574159525379054
2017-12-27,15.72,16.379999,15.72,15.85,15.85,227600,1558009200.0,0.129999999999999,0.8269720101781107
2017-12-28,15.82,16.0,15.551,15.74,15.74,54900,1567920200.0,-0.08000000000000007,-0.505689001264223
2017-12-29,15.78,17.778999,15.6,17.76,17.76,221800,1563955800.0,1.9800000000000022,12.547528517110281
2018-01-02,17.959999,19.549999,17.812,18.549999,18.549999,407500,1780015500.8899999,0.5899999999999999,3.2850781339130357
2018-01-03,18.629999,18.889,18.059999,18.200001,18.200001,151800,1846419200.89,-0.4299980000000012,-2.308094595174166
2018-01-04,18.1,18.629999,17.1,17.700001,17.700001,169800,1793891000.0000002,-0.3999990000000011,-2.2099392265193427
2018-01-05,17.82,19.469999,17.589001,18.799999,18.799999,394500,1766140200.0,0.9799989999999994,5.499433221099884
2018-01-08,19.290001,19.43,18.51,19.120001,19.120001,208600,1911831999.1100001,-0.1700000000000017,-0.8812855945419686
2018-01-09,18.99,18.99,18.059999,18.48,18.48,227800,1882098899.9999998,-0.509999999999998,-2.6856240126382205
2018-01-10,18.48,19.120001,18.311001,19.040001,19.040001,169500,1831552800.0,0.5600009999999997,3.0303084415584403
2018-01-11,19.139999,20.0,18.875999,19.68,19.68,439700,1896965300.8899999,0.5400010000000002,2.8213219864849535
2018-01-12,19.780001,20.51,19.5,20.51,20.51,724200,1960395899.11,0.729999000000003,3.6905913199903426
2018-01-16,21.030001,21.290001,20.26,20.42,20.42,397200,2084283399.11,-0.6100009999999969,-2.9006227817107426
2018-01-17,20.440001,20.51,19.716,19.959999,19.959999,212900,2025808499.11,-0.48000199999999893,-2.3483462647580056
2018-01-18,19.98,20.389,18.02,18.43,18.43,459400,1980217800.0,-1.5500000000000007,-7.75775775775776
2018-01-19,18.629999,19.0,18.131001,18.530001,18.530001,236400,1846419200.89,-0.09999800000000292,-0.5367579461491271
2018-01-22,18.59,18.91,17.610001,18.17,18.17,399300,1842454900.0,-0.41999999999999815,-2.259279182356096
2018-01-23,18.200001,19.49,18.049999,19.23,19.23,193500,1803802099.1100001,1.029999,5.659334853882701
2018-01-24,19.23,19.77,18.309999,18.75,18.75,214500,1905885300.0,-0.4800000000000004,-2.496099843993762
2018-01-25,18.719999,19.02,18.51,18.870001,18.870001,84500,1855339100.89,0.15000199999999708,0.8012927778468207
2018-01-26,19.01,19.01,17.5,17.5,17.5,490200,1884081100.0000002,-1.5100000000000016,-7.943187795896904
2018-01-29,17.52,18.455,17.41,18.209999,18.209999,155700,1736407200.0,0.6899990000000003,3.9383504566210057
2018-01-30,18.120001,18.410999,17.809999,17.860001,17.860001,103600,1795873299.11,-0.259999999999998,-1.4348785080089015
2018-01-31,18.0,19.190001,17.790001,19.09,19.09,271400,1783980000.0,1.0899999999999999,6.055555555555555
2018-02-01,18.83,20.5,18.615999,19.9,19.9,346800,1866241299.9999998,1.0700000000000003,5.682421667551782
2018-02-02,20.25,20.610001,19.129999,20.610001,20.610001,475200,2006977500.0,0.36000100000000046,1.777782716049385
2018-02-05,20.58,22.5,19.08,20.040001,20.040001,1055400,2039683799.9999998,-0.5399989999999981,-2.6239018464528576
2018-02-06,19.83,20.799,18.6,19.98,19.98,345700,1965351299.9999998,0.15000000000000213,0.7564296520423708
2018-02-07,20.0,20.5,19.67,20.24,20.24,231600,1982200000.0,0.23999999999999844,1.1999999999999922
2018-02-08,20.139999,20.405001,18.57,18.639999,18.639999,290400,1996075300.8899999,-1.5,-7.447865315186958
2018-02-09,18.83,19.014999,16.59,18.040001,18.040001,607500,1866241299.9999998,-0.7899989999999981,-4.195427509293671
2018-02-12,18.1,18.23,17.639999,18.0,18.0,207600,1793891000.0000002,-0.10000000000000142,-0.5524861878453117
2018-02-13,17.889999,18.5,17.540001,17.98,17.98,82900,1773077800.8899999,0.09000100000000089,0.5030799610441615
2018-02-14,18.030001,18.639999,17.780001,17.969999,17.969999,181600,1786953399.11,-0.060001999999997224,-0.33278977632889334
2018-02-15,18.129999,18.9,17.82,18.709999,18.709999,194100,1796864200.89,0.5799999999999983,3.1991176612861274
2018-02-16,18.709999,19.379999,18.0,19.27,19.27,252800,1854348000.8899999,0.5600009999999997,2.993057348640156
2018-02-20,19.74,20.790001,19.35,20.67,20.67,207900,1956431399.9999998,0.9300000000000033,4.71124620060792
2018-02-21,20.709999,21.360001,19.950001,20.1,20.1,275400,2052568000.8899999,-0.6099989999999984,-2.9454323006002965
2018-02-22,20.049999,20.26,19.02,19.41,19.41,213000,1987155400.8899999,-0.6399989999999995,-3.1920151217962633
2018-02-23,19.530001,20.445,19.186001,19.639999,19.639999,209600,1935618399.11,0.10999800000000093,0.5632257776126122
2018-02-26,20.0,20.834,19.9,20.25,20.25,312200,1982200000.0,0.25,1.25
2018-02-27,20.1,23.0,20.1,22.58,22.58,781200,1992111000.0000002,2.479999999999997,12.338308457711426
2018-02-28,22.9,24.24,22.52,22.76,22.76,730000,2269619000.0,-0.13999999999999702,-0.61135371179038
2018-03-01,22.799999,23.5,22.17,22.67,22.67,316200,2259707900.89,-0.12999899999999798,-0.5701710776390735
2018-03-02,22.440001,23.434999,21.167999,21.950001,21.950001,854100,2224028499.1099997,-0.48999999999999844,-2.1836006157040657
2018-03-05,23.07,25.200001,22.549999,23.5,23.5,1149800,2286467700.0,0.4299999999999997,1.8638925010836571
2018-03-06,24.0,24.52,23.041,24.33,24.33,779800,2378640000.0,0.3299999999999983,1.374999999999993
2018-03-07,25.0,25.9,23.6,24.1,24.1,974000,2477750000.0,-0.8999999999999986,-3.5999999999999943
2018-03-08,24.389999,24.99,23.91,24.870001,24.870001,437100,2417292800.89,0.48000199999999893,1.9680279609687519
2018-03-09,25.209999,27.049999,25.190001,26.9,26.9,1192600,2498563000.89,1.6900009999999988,6.703693244890643
2018-03-12,27.639999,31.129999,27.24,29.879999,29.879999,2312200,2739400300.89,2.240000000000002,8.104197109413795
2018-03-13,30.030001,30.610001,28.110001,30.0,30.0,1348800,2976273399.1099997,-0.030000999999998612,-0.09990342657663785
2018-03-14,30.0,31.4,29.75,31.200001,31.200001,1338700,2973300000.0,1.2000010000000003,4.000003333333335
2018-03-15,31.41,34.0,31.25,33.59,33.59,1526300,3113045100.0,2.1800000000000033,6.940464820120991
2018-03-16,34.200001,34.209999,30.23,31.549999,31.549999,4348000,3389562099.11,-2.6500020000000006,-7.748543633083521
2018-03-19,30.809999,32.540001,30.450001,32.099998,32.099998,1155200,3053579000.8900003,1.2899989999999981,4.1869491784144435
2018-03-20,32.669998,32.900002,30.82,31.51,31.51,652700,3237923501.7799997,-1.159997999999998,-3.5506521916530214
2018-03-21,31.6,31.700001,31.0,31.42,31.42,456700,3131876000.0,-0.17999999999999972,-0.569620253164556
2018-03-22,31.049999,32.650002,30.950001,31.99,31.99,654900,3077365400.89,0.9400009999999988,3.0273785194002705
2018-03-23,31.889999,32.473,28.51,29.700001,29.700001,1060600,3160617800.89,-2.1899979999999992,-6.8673504818861835
2018-03-26,30.85,31.879999,30.370001,31.75,31.75,585300,3057543500.0,0.8999999999999986,2.9173419773095577
2018-03-27,32.259998,32.299999,29.290001,29.52,29.52,565400,3197288401.78,-2.7399980000000035,-8.493484717513011
2018-03-28,29.23,29.719999,27.5,27.959999,27.959999,917800,2896985300.0,-1.2700010000000006,-4.344854601436881
2018-03-29,28.040001,29.610001,27.08,29.34,29.34,631600,2779044499.11,1.2999989999999997,4.636230219820605
2018-04-02,29.040001,29.280001,28.16,28.91,28.91,614000,2878154499.11,-0.13000100000000003,-0.44766183031467544
2018-04-03,29.25,30.08,28.85,29.27,29.27,283700,2898967500.0,0.019999999999999574,0.06837606837606693
2018-04-04,28.84,29.07,27.700001,28.469999,28.469999,402400,2858332400.0,-0.37000099999999847,-1.282943828016638
2018-04-05,28.879999,29.42,28.629999,29.08,29.08,282600,2862296700.8900003,0.20000099999999676,0.6925242622065075
2018-04-06,28.65,29.139999,27.27,27.51,27.51,428200,2839501500.0,-1.139999999999997,-3.9790575916230266
2018-04-09,27.709999,29.889999,27.709999,28.82,28.82,406300,2746338000.89,1.1100010000000005,4.005777842142832
