Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1998-04-02,8.64,10.56,8.64,10.24,7.010404,7187,151804800.0,1.5999999999999996,18.518518518518512
1998-04-03,9.64,9.64,9.6,9.6,6.57225,8750,169374800.0,-0.040000000000000924,-0.4149377593361091
1998-04-06,8.72,8.72,8.72,8.72,5.969795,625,153210400.0,0.0,0.0
1998-04-07,9.6,9.6,9.12,9.12,6.24364,3750,168672000.0,-0.4800000000000004,-5.000000000000004
1998-04-08,9.12,9.12,9.12,9.12,6.24364,0,160238400.0,0.0,0.0
1998-04-09,9.12,9.12,9.12,9.12,6.24364,0,160238400.0,0.0,0.0
1998-04-13,9.12,9.12,9.12,9.12,6.24364,0,160238400.0,0.0,0.0
1998-04-14,9.44,9.44,9.44,9.44,6.462714,937,165860800.0,0.0,0.0
1998-04-15,9.6,9.6,9.6,9.6,6.57225,312,168672000.0,0.0,0.0
1998-04-16,9.6,9.6,9.6,9.6,6.57225,1250,168672000.0,0.0,0.0
1998-04-17,9.6,9.6,9.6,9.6,6.57225,937,168672000.0,0.0,0.0
1998-04-20,9.84,9.84,9.76,9.76,6.681789,937,172888800.0,-0.08000000000000007,-0.8130081300813016
1998-04-21,9.92,9.92,9.92,9.92,6.791326,937,174294400.0,0.0,0.0
1998-04-22,10.08,10.08,10.08,10.08,6.900864,312,177105600.0,0.0,0.0
1998-04-23,10.08,10.08,10.08,10.08,6.900864,0,177105600.0,0.0,0.0
1998-04-24,10.08,10.08,10.08,10.08,6.900864,5312,177105600.0,0.0,0.0
1998-04-27,10.08,10.08,10.08,10.08,6.900864,0,177105600.0,0.0,0.0
1998-04-28,10.08,10.08,10.08,10.08,6.900864,0,177105600.0,0.0,0.0
1998-04-29,9.6,9.6,9.6,9.6,6.57225,15000,168672000.0,0.0,0.0
1998-04-30,9.92,9.92,9.92,9.92,6.791326,14375,174294400.0,0.0,0.0
1998-05-01,9.92,9.92,9.92,9.92,6.791326,625,174294400.0,0.0,0.0
1998-05-04,9.92,9.92,9.92,9.92,6.791326,0,174294400.0,0.0,0.0
1998-05-05,9.92,9.92,9.92,9.92,6.791326,0,174294400.0,0.0,0.0
1998-05-06,10.38,10.4,10.36,10.36,7.092553,4375,182376600.0,-0.02000000000000135,-0.19267822736032128
1998-05-07,10.36,10.36,10.36,10.36,7.092553,0,182025200.0,0.0,0.0
1998-05-08,10.36,10.36,10.36,10.36,7.092553,0,182025200.0,0.0,0.0
1998-05-11,10.32,10.32,10.32,10.32,7.065171,937,181322400.0,0.0,0.0
1998-05-12,10.32,10.32,10.32,10.32,7.065171,0,181322400.0,0.0,0.0
1998-05-13,10.32,10.32,10.32,10.32,7.065171,0,181322400.0,0.0,0.0
1998-05-14,10.32,10.32,10.32,10.32,7.065171,0,181322400.0,0.0,0.0
1998-05-15,9.68,10.32,9.68,10.04,6.873477,5625,170077600.0,0.35999999999999943,3.7190082644628046
1998-05-18,9.68,9.68,9.68,9.68,6.627023,1875,170077600.0,0.0,0.0
1998-05-19,9.6,9.6,9.6,9.6,6.57225,1250,168672000.0,0.0,0.0
1998-05-20,9.6,9.6,9.6,9.6,6.57225,1875,168672000.0,0.0,0.0
1998-05-21,9.68,9.68,9.44,9.44,6.462714,3437,170077600.0,-0.2400000000000002,-2.4793388429752086
1998-05-22,9.6,9.6,9.44,9.44,6.462714,1250,168672000.0,-0.16000000000000014,-1.6666666666666683
1998-05-26,9.44,9.44,9.44,9.44,6.462714,0,165860800.0,0.0,0.0
1998-05-27,9.44,9.44,9.44,9.44,6.462714,0,165860800.0,0.0,0.0
1998-05-28,9.44,9.44,9.44,9.44,6.462714,0,165860800.0,0.0,0.0
1998-05-29,9.2,9.2,9.2,9.2,6.298408,1562,161644000.0,0.0,0.0
1998-06-01,9.2,9.2,9.2,9.2,6.298408,0,161644000.0,0.0,0.0
1998-06-02,9.2,9.2,9.2,9.2,6.298408,10000,161644000.0,0.0,0.0
1998-06-03,8.96,8.96,8.24,8.24,5.641183,17500,157427200.00000003,-0.7200000000000006,-8.035714285714292
1998-06-04,8.24,8.24,8.24,8.24,5.641183,0,144776800.0,0.0,0.0
