Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1998-05-07,21.0,21.0,21.0,21.0,8.920601,0,70770000.0,0.0,0.0
1998-05-08,21.0,21.0,21.0,21.0,8.920601,0,70770000.0,0.0,0.0
1998-05-11,21.0,21.0,21.0,21.0,8.920601,0,70770000.0,0.0,0.0
1998-05-12,21.0,21.0,21.0,21.0,8.920601,0,70770000.0,0.0,0.0
1998-05-13,20.625,20.875,20.625,20.875,8.867504,3000,69506250.0,0.25,1.2121212121212122
1998-05-14,20.875,20.875,20.875,20.875,8.867504,2000,70348750.0,0.0,0.0
1998-05-15,20.875,20.875,20.875,20.875,8.867504,0,70348750.0,0.0,0.0
1998-05-18,20.625,20.625,20.625,20.625,8.761306,600,69506250.0,0.0,0.0
1998-05-19,21.0,21.0,20.5,20.5,8.708208,1000,70770000.0,-0.5,-2.380952380952381
1998-05-20,20.5,20.5,20.5,20.5,8.708208,1200,69085000.0,0.0,0.0
1998-05-21,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-05-22,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-05-26,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-05-27,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-05-28,20.5,20.5,20.5,20.5,8.708208,200,69085000.0,0.0,0.0
1998-05-29,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-06-01,21.0,21.0,20.75,20.75,8.814403,1000,70770000.0,-0.25,-1.1904761904761905
1998-06-02,20.75,20.75,20.75,20.75,8.814403,0,69927500.0,0.0,0.0
1998-06-03,20.5,20.5,20.5,20.5,8.708208,800,69085000.0,0.0,0.0
1998-06-04,20.5,20.5,20.5,20.5,8.708208,1000,69085000.0,0.0,0.0
1998-06-05,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-06-08,20.5,20.5,20.5,20.5,8.708208,1000,69085000.0,0.0,0.0
1998-06-09,20.5,20.5,20.5,20.5,8.708208,1000,69085000.0,0.0,0.0
1998-06-10,20.5,20.5,20.5,20.5,8.708208,2000,69085000.0,0.0,0.0
1998-06-11,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-06-12,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-06-15,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-06-16,20.5,20.5,20.5,20.5,8.708208,0,69085000.0,0.0,0.0
1998-06-17,21.0,21.25,20.5,20.5,8.708208,5600,70770000.0,-0.5,-2.380952380952381
1998-06-18,20.5,20.625,20.5,20.5,8.708208,2800,69085000.0,0.0,0.0
1998-06-19,20.25,20.5,20.25,20.25,8.60201,2600,68242500.0,0.0,0.0
1998-06-22,20.375,20.375,20.0,20.03125,8.509089,10200,68663750.0,-0.34375,-1.687116564417178
1998-06-23,20.0,20.5,20.0,20.375,8.65511,1200,67400000.0,0.375,1.875
1998-06-24,20.0,20.375,20.0,20.375,8.65511,1400,67400000.0,0.375,1.875
1998-06-25,20.25,20.25,20.25,20.25,8.60201,200,68242500.0,0.0,0.0
1998-06-26,20.125,20.375,20.125,20.375,8.702382,1800,67821250.0,0.25,1.2422360248447204
1998-06-29,20.375,20.375,20.375,20.375,8.702382,0,68663750.0,0.0,0.0
1998-06-30,20.375,20.375,20.375,20.375,8.702382,200,68663750.0,0.0,0.0
1998-07-01,20.375,20.375,20.25,20.25,8.648991,800,68663750.0,-0.125,-0.6134969325153374
1998-07-02,20.25,20.25,20.25,20.25,8.648991,200,68242500.0,0.0,0.0
1998-07-06,20.375,20.375,20.375,20.375,8.702382,1400,68663750.0,0.0,0.0
1998-07-07,20.75,21.375,20.75,21.375,9.129491,1000,69927500.0,0.625,3.0120481927710845
1998-07-08,21.375,21.375,21.375,21.375,9.129491,400,72033750.0,0.0,0.0
1998-07-09,21.25,21.25,21.25,21.25,9.076104,1000,71612500.0,0.0,0.0
1998-07-10,21.25,21.25,21.25,21.25,9.076104,1000,71612500.0,0.0,0.0
1998-07-13,21.0,21.0,21.0,21.0,8.969322,200,70770000.0,0.0,0.0
1998-07-14,21.0,21.0,21.0,21.0,8.969322,0,70770000.0,0.0,0.0
1998-07-15,21.0,21.4375,20.375,21.125,9.022711,5200,70770000.0,0.125,0.5952380952380952
1998-07-16,21.125,21.125,21.125,21.125,9.022711,0,71191250.0,0.0,0.0
1998-07-17,21.25,21.25,21.25,21.25,9.076104,800,71612500.0,0.0,0.0
1998-07-20,21.5,21.5,21.5,21.5,9.182881,600,72455000.0,0.0,0.0
1998-07-21,21.75,21.75,21.5,21.5,9.182881,1100,73297500.0,-0.25,-1.1494252873563218
1998-07-22,21.625,22.0,21.5625,22.0,9.396438,2900,72876250.0,0.375,1.7341040462427744
1998-07-23,22.0,22.0,22.0,22.0,9.396438,0,74140000.0,0.0,0.0
1998-07-24,22.0,22.125,21.25,21.25,9.076104,1700,74140000.0,-0.75,-3.4090909090909087
1998-07-27,22.0,22.0,22.0,22.0,9.396438,300,74140000.0,0.0,0.0
1998-07-28,21.25,21.25,21.25,21.25,9.076104,800,71612500.0,0.0,0.0
1998-07-29,21.25,21.25,21.25,21.25,9.076104,0,71612500.0,0.0,0.0
1998-07-30,21.25,21.25,21.25,21.25,9.076104,200,71612500.0,0.0,0.0
1998-07-31,21.25,21.25,21.25,21.25,9.076104,600,71612500.0,0.0,0.0
