Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2007-05-25,12.0,13.0,11.97,12.04,12.04,8454200,2676240000.0,0.03999999999999915,0.33333333333332626
2007-05-29,12.04,12.08,12.0,12.04,12.04,1929500,2685160800.0,0.0,0.0
2007-05-30,12.0,12.03,12.0,12.0,12.0,261100,2676240000.0,0.0,0.0
2007-05-31,12.0,12.61,12.0,12.35,12.35,916100,2676240000.0,0.34999999999999964,2.9166666666666634
2007-06-01,12.69,13.25,12.25,13.11,13.11,892500,2830123800.0,0.41999999999999993,3.3096926713947985
2007-06-04,13.4,13.57,12.77,13.17,13.17,716700,2988468000.0,-0.23000000000000043,-1.7164179104477644
2007-06-05,13.3,13.52,13.14,13.23,13.23,428400,2966166000.0,-0.07000000000000028,-0.5263157894736863
2007-06-06,13.23,13.23,12.4,12.7,12.7,348000,2950554600.0,-0.5300000000000011,-4.006046863189729
2007-06-07,12.77,13.0,12.33,12.75,12.75,157000,2847965400.0,-0.019999999999999574,-0.15661707126076407
2007-06-08,12.6,12.74,12.4,12.72,12.72,0,2810052000.0,0.120000000000001,0.9523809523809603
2007-06-11,12.88,12.88,12.61,12.61,12.61,86900,2872497600.0,-0.27000000000000135,-2.096273291925476
2007-06-12,12.75,12.84,12.71,12.79,12.79,58700,2843505000.0,0.03999999999999915,0.31372549019607177
2007-06-13,12.75,13.1,12.75,12.9,12.9,169700,2843505000.0,0.15000000000000036,1.1764705882352968
2007-06-14,13.0,13.4,12.93,13.05,13.05,217100,2899260000.0,0.05000000000000071,0.3846153846153901
2007-06-15,13.13,13.13,12.71,13.08,13.08,158400,2928252600.0,-0.05000000000000071,-0.38080731150038616
2007-06-18,13.1,13.68,13.04,13.31,13.31,174100,2921562000.0,0.21000000000000085,1.6030534351145105
2007-06-19,13.37,13.72,13.25,13.58,13.58,151900,2981777400.0,0.21000000000000085,1.5706806282722579
2007-06-20,13.7,13.9,13.46,13.46,13.46,235700,3055374000.0,-0.23999999999999844,-1.751824817518237
2007-06-21,13.5,13.55,13.26,13.26,13.26,148400,3010770000.0,-0.2400000000000002,-1.7777777777777795
2007-06-22,13.35,13.35,12.56,12.56,12.56,949700,2977317000.0,-0.7899999999999991,-5.917602996254676
2007-06-25,12.5,12.52,11.4,11.83,11.83,774700,2787750000.0,-0.6699999999999999,-5.359999999999999
2007-06-26,12.0,12.05,11.71,11.75,11.75,219600,2676240000.0,-0.25,-2.083333333333333
2007-06-27,11.7,12.05,11.7,11.94,11.94,134100,2609334000.0,0.2400000000000002,2.0512820512820533
2007-06-28,11.99,12.5,11.83,12.5,12.5,393800,2674009800.0,0.5099999999999998,4.253544620517095
2007-06-29,12.5,12.65,12.25,12.56,12.56,201400,2787750000.0,0.0600000000000005,0.4800000000000039
2007-07-02,12.59,12.83,12.41,12.8,12.8,195600,2807821800.0,0.21000000000000085,1.6679904686259004
2007-07-03,12.83,13.04,12.68,12.88,12.88,116100,2861346600.0,0.05000000000000071,0.38971161340608507
2007-07-05,13.1,13.15,12.77,13.07,13.07,120000,2921562000.0,-0.02999999999999936,-0.22900763358778137
2007-07-06,13.07,13.16,12.67,13.11,13.11,171000,2914871400.0,0.03999999999999915,0.3060443764345765
2007-07-09,13.25,13.42,13.15,13.3,13.3,144500,2955015000.0,0.05000000000000071,0.3773584905660431
2007-07-10,13.28,13.4,12.7,12.75,12.75,143500,2961705600.0,-0.5299999999999994,-3.990963855421682
2007-07-11,12.84,13.1,12.67,13.0,13.0,99500,2863576800.0,0.16000000000000014,1.2461059190031165
2007-07-12,13.0,13.25,12.87,13.24,13.24,79700,2899260000.0,0.2400000000000002,1.8461538461538478
2007-07-13,13.25,13.59,13.23,13.44,13.44,136600,2955015000.0,0.1899999999999995,1.4339622641509395
2007-07-16,13.6,15.0,13.5,14.96,14.96,494600,3033072000.0,1.3600000000000012,10.000000000000009
2007-07-17,15.2,15.97,15.12,15.22,15.22,602500,3389904000.0,0.02000000000000135,0.13157894736842993
2007-07-18,15.8,16.299999,15.51,15.97,15.97,638200,3523716000.0,0.16999999999999993,1.0759493670886071
2007-07-19,16.5,16.5,15.42,15.46,15.46,520300,3679830000.0,-1.0399999999999991,-6.303030303030297
2007-07-20,16.4,16.450001,15.75,15.92,15.92,1437500,3657527999.9999995,-0.47999999999999865,-2.9268292682926753
2007-07-23,16.190001,18.09,15.98,17.469999,17.469999,1328000,3610694023.0199995,1.2799980000000026,7.906102044095011
2007-07-24,17.74,17.76,16.0,16.5,16.5,833600,3956374799.9999995,-1.2399999999999984,-6.989853438556926
2007-07-25,16.83,16.99,15.25,16.0,16.0,469300,3753426599.9999995,-0.8299999999999983,-4.931669637551981
2007-07-26,15.74,15.92,14.75,15.04,15.04,428900,3510334800.0,-0.7000000000000011,-4.447268106734441
2007-07-27,14.74,15.15,14.01,14.42,14.42,450400,3287314800.0,-0.3200000000000003,-2.170963364993218
2007-07-30,14.35,14.45,13.5,13.84,13.84,607600,3200337000.0,-0.5099999999999998,-3.5540069686411138
2007-07-31,13.86,16.0,13.86,15.82,15.82,865900,3091057200.0,1.9600000000000009,14.141414141414149
2007-08-01,15.43,15.68,14.5,14.87,14.87,355300,3441198600.0,-0.5600000000000005,-3.6292935839274176
2007-08-02,15.2,16.5,15.2,15.8,15.8,806900,3389904000.0,0.6000000000000014,3.947368421052641
2007-08-03,16.049999,16.9,15.37,15.45,15.45,769600,3579470776.98,-0.5999990000000004,-3.738311759396374
2007-08-06,15.99,16.5,15.25,16.309999,16.309999,498300,3566089800.0,0.31999900000000103,2.0012445278299
2007-08-07,16.440001,17.049999,16.02,16.950001,16.950001,703600,3666449023.0199995,0.5100000000000016,3.102189592324244
2007-08-08,17.370001,18.799999,17.07,17.959999,17.959999,898500,3873857623.0199995,0.5899980000000014,3.3966491999626336
2007-08-09,17.5,18.4,16.65,18.02,18.02,691100,3902850000.0,0.5199999999999996,2.971428571428569
2007-08-10,17.9,18.379999,17.299999,17.559999,17.559999,444200,3992057999.9999995,-0.34000099999999733,-1.8994469273742869
2007-08-13,18.0,18.299999,16.75,17.25,17.25,588400,4014360000.0,-0.75,-4.166666666666666
2007-08-14,16.83,17.0,13.06,13.35,13.35,2564100,3753426599.9999995,-3.4799999999999986,-20.677361853832434
2007-08-15,13.4,14.0,12.55,12.82,12.82,696800,2988468000.0,-0.5800000000000001,-4.328358208955224
2007-08-16,12.5,12.53,10.81,11.55,11.55,1726800,2787750000.0,-0.9499999999999993,-7.599999999999994
2007-08-17,12.72,13.25,11.68,12.11,12.11,633300,2836814400.0,-0.6100000000000012,-4.795597484276739
2007-08-20,12.41,12.51,11.44,11.72,11.72,295100,2767678200.0,-0.6899999999999995,-5.560032232070906
2007-08-21,11.82,12.34,11.57,12.25,12.25,234500,2636096400.0,0.4299999999999997,3.637901861252112
2007-08-22,12.5,13.86,12.5,13.51,13.51,634500,2787750000.0,1.0099999999999998,8.079999999999998
2007-08-23,13.69,13.75,13.0,13.29,13.29,263500,3053143800.0,-0.40000000000000036,-2.9218407596786
2007-08-24,13.28,13.91,13.28,13.69,13.69,218200,2961705600.0,0.41000000000000014,3.0873493975903625
2007-08-27,13.55,13.82,12.8,13.2,13.2,199800,3021921000.0,-0.3500000000000014,-2.583025830258313
2007-08-28,13.08,13.5,12.85,13.19,13.19,216700,2917101600.0,0.10999999999999943,0.8409785932721668
2007-08-29,13.22,13.64,13.22,13.57,13.57,106300,2948324400.0,0.34999999999999964,2.647503782148257
2007-08-30,13.29,14.15,13.25,13.8,13.8,238500,2963935800.0,0.5100000000000016,3.8374717832957232
2007-08-31,14.0,14.02,13.66,13.75,13.75,89500,3122280000.0,-0.25,-1.7857142857142856
2007-09-04,14.0,14.35,13.81,14.31,14.31,188800,3122280000.0,0.3100000000000005,2.214285714285718
2007-09-05,14.11,14.15,13.7,14.02,14.02,161200,3146812200.0,-0.08999999999999986,-0.6378454996456404
2007-09-06,14.16,14.3,13.93,14.07,14.07,144300,3157963200.0,-0.08999999999999986,-0.635593220338982
2007-09-07,14.0,14.02,13.1,13.74,13.74,180000,3122280000.0,-0.2599999999999998,-1.8571428571428554
2007-09-10,13.57,13.65,13.05,13.25,13.25,127700,3026381400.0,-0.3200000000000003,-2.358142962417099
2007-09-11,13.16,13.32,12.13,12.3,12.3,467900,2934943200.0,-0.8599999999999994,-6.534954407294828
2007-09-12,12.18,12.5,11.73,11.84,11.84,441600,2716383600.0,-0.33999999999999986,-2.791461412151066
2007-09-13,12.03,12.9,11.86,12.49,12.49,531900,2682930600.0,0.46000000000000085,3.8237738985868734
2007-09-14,12.35,12.75,12.07,12.6,12.6,420100,2754297000.0,0.25,2.0242914979757085
2007-09-17,12.54,12.69,12.09,12.22,12.22,122100,2796670800.0,-0.3199999999999985,-2.5518341307814874
2007-09-18,12.28,12.98,12.28,12.84,12.84,259100,2738685600.0,0.5600000000000005,4.560260586319222
2007-09-19,13.07,15.47,13.07,14.75,14.75,2438600,2914871400.0,1.6799999999999997,12.853863810252482
2007-09-20,15.0,16.9,14.46,15.95,15.95,1788400,3345300000.0,0.9499999999999993,6.333333333333329
2007-09-21,16.15,16.700001,16.15,16.27,16.27,870000,3601772999.9999995,0.120000000000001,0.7430340557275604
2007-09-24,16.41,16.469999,15.15,15.52,15.52,655100,3659758200.0,-0.8900000000000006,-5.423522242535043
2007-09-25,15.39,15.39,14.55,14.89,14.89,585400,3432277800.0,-0.5,-3.248862897985705
2007-09-26,15.04,15.6,14.83,15.28,15.28,280400,3354220800.0,0.2400000000000002,1.5957446808510654
2007-09-27,15.45,15.5,14.6,14.76,14.76,283000,3445659000.0,-0.6899999999999995,-4.466019417475725
2007-09-28,14.65,15.25,14.62,15.14,15.14,320700,3267243000.0,0.4900000000000002,3.344709897610923
2007-10-01,15.25,15.77,15.19,15.61,15.61,338800,3401055000.0,0.35999999999999943,2.3606557377049144
2007-10-02,15.61,16.65,15.55,16.559999,16.559999,504600,3481342200.0,0.9499990000000018,6.085836002562472
2007-10-03,16.5,16.540001,15.72,15.88,15.88,310400,3679830000.0,-0.6199999999999992,-3.7575757575757525
2007-10-04,15.82,16.23,15.6,16.129999,16.129999,163400,3528176400.0,0.30999900000000125,1.9595385587863543
2007-10-05,16.27,16.5,15.65,15.72,15.72,233000,3628535400.0,-0.5499999999999989,-3.380454824830971
2007-10-08,15.57,16.15,15.57,16.08,16.08,120000,3472421400.0,0.509999999999998,3.2755298651252285
2007-10-09,16.200001,16.540001,15.8,16.02,16.02,262300,3612924223.02,-0.18000100000000074,-1.1111172153631395
2007-10-10,16.059999,16.99,15.91,16.76,16.76,268300,3581700976.9800005,0.7000010000000003,4.3586615416352155
2007-10-11,16.799999,17.23,16.08,16.35,16.35,389600,3746735776.98,-0.44999899999999826,-2.6785656356288965
2007-10-12,16.25,17.33,16.25,17.309999,17.309999,404400,3624075000.0,1.0599990000000012,6.5230707692307766
2007-10-15,17.49,20.0,17.379999,19.799999,19.799999,1615000,3900619799.9999995,2.3099990000000012,13.207541452258443
2007-10-16,20.0,20.02,18.610001,19.6,19.6,1093400,4460400000.0,-0.3999999999999986,-1.9999999999999927
2007-10-17,20.129999,20.65,18.15,18.6,18.6,820000,4489392376.9800005,-1.529999,-7.60059153505174
2007-10-18,18.139999,18.66,16.93,18.65,18.65,834700,4045582576.98,0.510000999999999,2.8114720403237015
2007-10-19,18.540001,18.540001,17.4,17.530001,17.530001,481800,4134791023.02,-1.0100000000000016,-5.447680396565251
2007-10-22,17.0,18.200001,16.309999,17.68,17.68,536000,3791340000.0,0.6799999999999997,3.9999999999999982
2007-10-23,18.08,18.799999,17.860001,18.48,18.48,260800,4032201599.9999995,0.40000000000000213,2.2123893805309858
2007-10-24,18.41,19.6,17.879999,18.700001,18.700001,426400,4105798200.0,0.2900010000000002,1.5752362846279206
2007-10-25,18.82,19.459999,18.440001,18.59,18.59,280500,4197236400.0,-0.23000000000000043,-1.222104144527101
2007-10-26,19.139999,19.48,18.610001,18.93,18.93,152100,4268602576.98,-0.20999899999999982,-1.0971735160487721
2007-10-29,19.0,19.459999,18.25,18.629999,18.629999,180100,4237380000.0,-0.37000099999999847,-1.9473736842105183
2007-10-30,18.75,18.75,17.98,18.08,18.08,171100,4181625000.0,-0.6700000000000017,-3.573333333333342
2007-10-31,18.07,18.559999,17.75,17.879999,17.879999,204900,4029971400.0,-0.19000099999999875,-1.0514720531267225
2007-11-01,17.66,18.75,17.25,17.9,17.9,376800,3938533200.0,0.23999999999999844,1.359003397508485
2007-11-02,18.16,18.16,17.5,18.0,18.0,157200,4050043200.0,-0.16000000000000014,-0.8810572687224677
2007-11-05,17.549999,19.0,17.52,18.52,18.52,248900,3914000776.98,0.9700009999999999,5.5270715400040755
2007-11-06,18.530001,19.49,18.5,19.299999,19.299999,499700,4132560823.0199995,0.7699980000000011,4.155412619783458
2007-11-07,19.1,19.299999,18.129999,18.15,18.15,243400,4259682000.0000005,-0.9500000000000028,-4.97382198952881
2007-11-08,18.01,18.76,17.219999,17.85,17.85,334900,4016590200.0000005,-0.16000000000000014,-0.8883953359244872
2007-11-09,17.98,18.459999,17.450001,18.26,18.26,328400,4009899600.0,0.28000000000000114,1.5572858731924424
2007-11-12,17.879999,18.99,17.85,18.5,18.5,564000,3987597376.9800005,0.6200009999999985,3.467567308029482
2007-11-13,18.0,18.559999,17.73,17.83,17.83,409800,4014360000.0,-0.1700000000000017,-0.944444444444454
2007-11-14,18.370001,18.799999,18.040001,18.42,18.42,369400,4096877623.0199995,0.049999000000003235,0.2721774484389154
2007-11-15,18.24,18.860001,17.9,18.290001,18.290001,225200,4067884799.9999995,0.05000100000000174,0.2741282894736938
2007-11-16,18.23,18.48,17.6,17.879999,17.879999,280800,4065654600.0,-0.3500009999999989,-1.9199177180471687
2007-11-19,17.98,18.110001,16.360001,16.48,16.48,419400,4009899600.0,-1.5,-8.342602892102335
2007-11-20,16.969999,16.969999,15.16,15.36,15.36,508300,3784649176.9800005,-1.609999000000002,-9.487325249695076
2007-11-21,15.36,16.389999,15.25,15.64,15.64,231900,3425587200.0,0.28000000000000114,1.822916666666674
2007-11-23,15.7,16.299999,15.5,16.209999,16.209999,138300,3501414000.0,0.5099990000000005,3.248401273885354
