Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1988-09-16,10.0,10.125,10.0,10.0,5.682352,305500,86600000.0,0.0,0.0
1988-09-19,10.0,10.125,10.0,10.0,5.682352,41900,86600000.0,0.0,0.0
1988-09-20,10.0,10.125,10.0,10.0,5.682352,35000,86600000.0,0.0,0.0
1988-09-21,10.0,10.125,10.0,10.0,5.682352,47800,86600000.0,0.0,0.0
1988-09-22,10.0,10.0,10.0,10.0,5.682352,17900,86600000.0,0.0,0.0
1988-09-23,10.0,10.125,10.0,10.0,5.682352,44300,86600000.0,0.0,0.0
1988-09-26,10.0,10.0,10.0,10.0,5.682352,28800,86600000.0,0.0,0.0
1988-09-27,10.0,10.125,10.0,10.0,5.682352,16600,86600000.0,0.0,0.0
1988-09-28,10.0,10.0,10.0,10.0,5.682352,23500,86600000.0,0.0,0.0
1988-09-29,10.0,10.125,10.0,10.125,5.753383,17800,86600000.0,0.125,1.25
1988-09-30,10.125,10.125,10.0,10.0,5.682352,15700,87682500.0,-0.125,-1.2345679012345678
1988-10-03,10.0,10.125,10.0,10.0,5.682352,6100,86600000.0,0.0,0.0
1988-10-04,10.0,10.125,10.0,10.0,5.682352,5100,86600000.0,0.0,0.0
1988-10-05,10.0,10.0,10.0,10.0,5.682352,4500,86600000.0,0.0,0.0
1988-10-06,10.0,10.125,10.0,10.125,5.753383,13700,86600000.0,0.125,1.25
1988-10-07,10.0,10.0,10.0,10.0,5.682352,6800,86600000.0,0.0,0.0
1988-10-10,10.0,10.0,10.0,10.0,5.682352,17600,86600000.0,0.0,0.0
1988-10-11,10.0,10.125,10.0,10.0,5.682352,30500,86600000.0,0.0,0.0
1988-10-12,10.0,10.125,10.0,10.0,5.682352,19400,86600000.0,0.0,0.0
1988-10-13,10.0,10.0,10.0,10.0,5.682352,19800,86600000.0,0.0,0.0
1988-10-14,10.0,10.125,10.0,10.0,5.682352,22900,86600000.0,0.0,0.0
1988-10-17,10.0,10.0,10.0,10.0,5.682352,27400,86600000.0,0.0,0.0
