Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-02-19,10.25,10.52,10.13,10.2,10.2,242700,104960000.0,-0.05000000000000071,-0.4878048780487874
2021-02-22,10.28,10.3,10.16,10.18,10.18,282100,105267200.0,-0.09999999999999964,-0.9727626459143934
2021-02-23,10.17,10.24,10.13,10.24,10.24,462700,104140800.0,0.07000000000000028,0.6882989183874167
2021-02-24,10.15,10.24,10.15,10.19,10.19,170700,103936000.0,0.03999999999999915,0.3940886699507305
2021-02-25,10.22,10.22,10.02,10.06,10.06,390400,104652800.0,-0.16000000000000014,-1.5655577299412928
2021-02-26,10.12,10.12,9.92,10.03,10.03,402600,103628799.99999999,-0.08999999999999986,-0.8893280632411054
2021-03-01,10.07,10.16,9.96,10.07,10.07,1365600,103116800.0,0.0,0.0
2021-03-02,10.09,10.13,9.96,10.04,10.04,986600,103321600.0,-0.05000000000000071,-0.49554013875124586
2021-03-03,10.03,10.1,10.01,10.06,10.06,592400,102707200.0,0.030000000000001137,0.29910269192423866
2021-03-04,10.06,10.09,9.76,9.93,9.93,684500,103014400.0,-0.13000000000000078,-1.292246520874759
2021-03-05,9.92,9.97,9.78,9.97,9.97,205700,101580800.0,0.05000000000000071,0.5040322580645233
2021-03-08,9.98,10.02,9.95,9.96,9.96,149700,102195200.0,-0.019999999999999574,-0.20040080160320214
2021-03-09,9.97,10.0,9.95,9.96,9.96,92100,102092800.0,-0.009999999999999787,-0.10030090270812222
2021-03-10,9.96,9.99,9.92,9.95,9.95,105700,101990400.00000001,-0.010000000000001563,-0.1004016064257185
2021-03-11,9.936,9.97,9.86,9.87,9.87,275400,101744640.0,-0.06600000000000072,-0.6642512077294759
2021-03-12,9.868,9.95,9.86,9.95,9.95,313300,101048320.0,0.08199999999999896,0.8309687880016108
2021-03-15,9.93,9.97,9.87,9.9,9.9,26100,101683200.0,-0.02999999999999936,-0.30211480362537124
2021-03-16,9.94,9.94,9.82,9.85,9.85,130300,101785600.0,-0.08999999999999986,-0.9054325955734392
2021-03-17,9.85,9.9,9.76,9.89,9.89,111700,100864000.0,0.040000000000000924,0.406091370558385
2021-03-18,9.9,9.9,9.81,9.83,9.83,9200,101376000.0,-0.07000000000000028,-0.7070707070707098
2021-03-19,9.808,9.87,9.807,9.85,9.85,24900,100433920.0,0.041999999999999815,0.42822185970636023
2021-03-22,9.88,9.88,9.8,9.86,9.86,8300,101171200.00000001,-0.02000000000000135,-0.2024291497975845
2021-03-23,9.83,9.86,9.65,9.7,9.7,146000,100659200.0,-0.13000000000000078,-1.3224821973550436
2021-03-24,9.71,9.85,9.65,9.7,9.7,77200,99430400.00000001,-0.010000000000001563,-0.10298661174048983
2021-03-25,9.629,9.71,9.49,9.7,9.7,103700,98600960.0,0.07099999999999973,0.7373559040398767
2021-03-26,9.73,9.83,9.664,9.78,9.78,50900,99635200.0,0.049999999999998934,0.5138746145940282
2021-03-29,9.72,9.85,9.68,9.69,9.69,28900,99532800.0,-0.030000000000001137,-0.30864197530865367
2021-03-30,9.75,9.84,9.71,9.8,9.8,295700,99840000.0,0.05000000000000071,0.5128205128205201
2021-03-31,9.77,9.8,9.76,9.79,9.79,139300,100044800.0,0.019999999999999574,0.2047082906857684
2021-04-01,9.8,9.85,9.76,9.84,9.84,77800,100352000.0,0.03999999999999915,0.40816326530611374
2021-04-05,9.8,9.82,9.8,9.8,9.8,35900,100352000.0,0.0,0.0
2021-04-06,9.775,9.82,9.77,9.82,9.82,2500,100096000.0,0.04499999999999993,0.4603580562659839
2021-04-07,9.78,9.86,9.777,9.85,9.85,47200,100147200.0,0.07000000000000028,0.7157464212678966
2021-04-08,9.85,9.91,9.85,9.91,9.91,28500,100864000.0,0.0600000000000005,0.6091370558375686
2021-04-09,9.88,9.93,9.85,9.93,9.93,50500,101171200.00000001,0.049999999999998934,0.5060728744939162
2021-04-12,9.89,9.99,9.86,9.99,9.99,54800,101273600.0,0.09999999999999964,1.0111223458038385
2021-04-13,9.89,9.935,9.85,9.88,9.88,87600,101273600.0,-0.009999999999999787,-0.10111223458038206
2021-04-14,9.88,9.95,9.85,9.92,9.92,110500,101171200.00000001,0.03999999999999915,0.40485829959513303
2021-04-15,9.905,9.95,9.85,9.86,9.86,12700,101427200.0,-0.04499999999999993,-0.45431600201918154
2021-04-16,9.89,9.89,9.822,9.83,9.83,70800,101273600.0,-0.0600000000000005,-0.6066734074823104
2021-04-19,9.82,9.85,9.79,9.83,9.83,164400,100556800.0,0.009999999999999787,0.1018329938900182
2021-04-20,9.8,9.82,9.723,9.77,9.77,68500,100352000.0,-0.030000000000001137,-0.3061224489796034
2021-04-21,9.73,9.81,9.73,9.75,9.75,12000,99635200.0,0.019999999999999574,0.20554984583761124
2021-04-22,9.753,9.81,9.74,9.81,9.81,47200,99870720.0,0.057000000000000384,0.5844355582897609
2021-04-23,9.77,9.78,9.75,9.75,9.75,51400,100044800.0,-0.019999999999999574,-0.2047082906857684
2021-04-26,9.75,9.78,9.72,9.72,9.72,14900,99840000.0,-0.02999999999999936,-0.30769230769230116
2021-04-27,9.76,9.78,9.73,9.76,9.76,65200,99942400.0,0.0,0.0
2021-04-28,9.744,9.79,9.74,9.78,9.78,101700,99778560.0,0.03599999999999959,0.3694581280788135
2021-04-29,9.74,9.79,9.74,9.79,9.79,8100,99737600.0,0.049999999999998934,0.5133470225872581
2021-04-30,9.79,9.79,9.7,9.74,9.74,113700,100249599.99999999,-0.049999999999998934,-0.5107252298263426
2021-05-03,9.74,9.81,9.74,9.8,9.8,25900,99737600.0,0.0600000000000005,0.6160164271047278
2021-05-04,9.72,9.82,9.72,9.78,9.78,97700,99532800.0,0.05999999999999872,0.6172839506172707
