Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2014-10-27,90.0,90.0,90.0,90.0,90.0,17,397800000.0,0.0,0.0
2014-10-28,90.0,90.0,90.0,90.0,90.0,0,397800000.0,0.0,0.0
2014-10-29,90.0,90.0,90.0,90.0,90.0,33,397800000.0,0.0,0.0
2014-10-30,90.0,90.0,90.0,90.0,90.0,33,397800000.0,0.0,0.0
2014-10-31,90.0,90.0,90.0,90.0,90.0,0,397800000.0,0.0,0.0
2014-11-03,90.0,90.0,90.0,90.0,90.0,0,397800000.0,0.0,0.0
2014-11-04,90.0,90.0,90.0,90.0,90.0,3,397800000.0,0.0,0.0
2014-11-05,90.0,90.0,90.0,90.0,90.0,0,397800000.0,0.0,0.0
2014-11-06,90.0,90.0,90.0,90.0,90.0,0,397800000.0,0.0,0.0
2014-11-07,90.0,90.0,90.0,90.0,90.0,0,397800000.0,0.0,0.0
2014-11-10,90.0,90.0,90.0,90.0,90.0,0,397800000.0,0.0,0.0
2014-11-11,90.0,90.0,90.0,90.0,90.0,13,397800000.0,0.0,0.0
2014-11-12,90.0,90.0,90.0,90.0,90.0,67,397800000.0,0.0,0.0
2014-11-13,105.0,135.0,105.0,135.0,135.0,107,464100000.0,30.0,28.57142857142857
2014-11-14,135.0,139.5,105.0,105.0,105.0,293,596700000.0,-30.0,-22.22222222222222
2014-11-17,97.5,97.5,97.5,97.5,97.5,183,430950000.0,0.0,0.0
2014-11-18,96.0,97.5,90.300003,97.5,97.5,180,424320000.0,1.5,1.5625
2014-11-19,97.5,97.5,90.300003,94.5,94.5,200,430950000.0,-3.0,-3.076923076923077
2014-11-20,99.0,99.0,99.0,99.0,99.0,70,437580000.0,0.0,0.0
2014-11-21,94.5,94.5,93.0,93.0,93.0,153,417690000.0,-1.5,-1.5873015873015872
2014-11-24,99.0,99.0,88.5,88.5,88.5,110,437580000.0,-10.5,-10.606060606060606
2014-11-25,90.0,93.0,90.0,90.0,90.0,550,397800000.0,0.0,0.0
2014-11-26,91.5,91.5,90.0,91.5,91.5,543,404430000.0,0.0,0.0
2014-11-28,90.0,90.0,90.0,90.0,90.0,663,397800000.0,0.0,0.0
2014-12-01,90.0,120.0,90.0,120.0,120.0,613,397800000.0,30.0,33.33333333333333
2014-12-02,120.599998,120.599998,90.300003,107.699997,107.699997,253,533051991.16,-12.900001000000003,-10.696518419511088
2014-12-03,94.5,102.0,91.800003,102.0,102.0,247,417690000.0,7.5,7.936507936507936
2014-12-04,99.0,99.0,90.0,94.5,94.5,1000,437580000.0,-4.5,-4.545454545454546
2014-12-05,94.5,148.5,94.5,148.5,148.5,447,417690000.0,54.0,57.14285714285714
2014-12-08,120.0,120.0,105.0,119.699997,119.699997,637,530400000.0,-0.3000030000000038,-0.2500025000000032
2014-12-09,119.699997,120.0,115.5,120.0,120.0,323,529073986.74,0.3000030000000038,0.25062907896313796
2014-12-10,120.0,120.0,115.5,117.0,117.0,353,530400000.0,-3.0,-2.5
2014-12-11,119.400002,119.400002,112.5,117.0,117.0,363,527748008.84,-2.4000020000000006,-2.010051892628947
2014-12-12,115.5,115.5,111.0,111.0,111.0,380,510510000.0,-4.5,-3.896103896103896
2014-12-15,111.0,111.0,111.0,111.0,111.0,167,490620000.0,0.0,0.0
2014-12-16,109.5,109.5,105.0,108.0,108.0,153,483990000.0,-1.5,-1.36986301369863
2014-12-17,109.5,109.5,99.0,101.400002,101.400002,303,483990000.0,-8.099998,-7.397258447488583
2014-12-18,99.0,108.0,96.300003,108.0,108.0,1100,437580000.0,9.0,9.090909090909092
2014-12-19,103.5,103.5,91.5,99.0,99.0,310,457470000.0,-4.5,-4.3478260869565215
2014-12-22,93.599998,94.5,86.099998,90.0,90.0,243,413711991.16,-3.5999979999999994,-3.846151791584439
2014-12-23,91.199997,91.199997,85.5,90.0,90.0,517,403103986.74,-1.1999969999999962,-1.315786227492964
2014-12-24,88.800003,88.800003,82.5,82.5,82.5,153,392496013.26,-6.300003000000004,-7.094597733290621
2014-12-26,86.699997,90.0,81.300003,81.599998,81.599998,50,383213986.74,-5.099998999999997,-5.882351991315521
2014-12-29,89.699997,89.699997,83.699997,83.699997,83.699997,73,396473986.74,-6.0,-6.688963434413493
2014-12-30,89.699997,89.699997,82.800003,85.5,85.5,30,396473986.74,-4.199996999999996,-4.682271059607724
2014-12-31,85.5,96.0,81.599998,89.699997,89.699997,503,377910000.0,4.199996999999996,4.912277192982452
2015-01-02,85.199997,86.699997,85.199997,85.199997,85.199997,37,376583986.74,0.0,0.0
2015-01-05,85.199997,85.199997,81.300003,81.300003,81.300003,153,376583986.74,-3.8999939999999924,-4.57745790765696
2015-01-06,82.199997,91.199997,77.400002,84.0,84.0,567,363323986.74,1.8000030000000038,2.189784751452003
2015-01-07,84.900002,90.0,84.900002,87.0,87.0,157,375258008.84,2.0999979999999994,2.473495819234491
2015-01-08,85.5,87.0,84.599998,87.0,87.0,237,377910000.0,1.5,1.7543859649122806
2015-01-09,90.0,94.5,90.0,90.300003,90.300003,1370,397800000.0,0.3000030000000038,0.3333366666666709
