Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2020-09-23,15.12,16.75,14.09,14.25,14.25,12759300,1557057600.0,-0.8699999999999992,-5.753968253968249
2020-09-24,14.18,15.64,14.105,15.58,15.58,2554900,1460256400.0,1.4000000000000004,9.87306064880113
2020-09-25,15.83,18.33,15.766,17.25,17.25,4579800,1630173400.0,1.42,8.970309538850284
2020-09-28,17.450001,18.6,17.450001,18.469999,18.469999,1289900,1797001102.98,1.019998000000001,5.845260410013736
2020-09-29,18.879999,20.09,18.6,18.780001,18.780001,2071000,1944262297.0200002,-0.09999800000000292,-0.5296504517823487
2020-09-30,19.58,21.190001,19.58,20.1,20.1,2182600,2016348399.9999998,0.5200000000000031,2.655771195097054
2020-10-01,21.75,22.5,20.700001,20.950001,20.950001,2580600,2239815000.0,-0.7999989999999997,-3.678156321839079
2020-10-02,21.0,21.393999,19.41,20.9,20.9,1801300,2162580000.0,-0.10000000000000142,-0.476190476190483
2020-10-05,21.34,21.5,19.799999,20.030001,20.030001,1076400,2197593200.0,-1.3099990000000012,-6.1387019681349635
2020-10-06,20.98,21.120001,18.0,18.290001,18.290001,2242900,2160520400.0,-2.6899990000000003,-12.821730219256436
2020-10-07,18.66,19.4,18.42,19.110001,19.110001,1206000,1921606800.0,0.4500010000000003,2.411580921757772
2020-10-08,19.49,19.59,18.25,18.370001,18.370001,902000,2007080199.9999998,-1.119999,-5.746531554643408
2020-10-09,18.85,19.27,18.0,18.110001,18.110001,862300,1941173000.0000002,-0.739999000000001,-3.9257241379310392
2020-10-12,18.209999,19.5,18.200001,18.57,18.57,1196500,1875265697.02,0.36000100000000046,1.976941349639835
2020-10-13,18.59,19.870001,18.51,18.559999,18.559999,1760500,1914398200.0,-0.030000999999998612,-0.16138246369014853
2020-10-14,18.6,19.389999,18.35,18.790001,18.790001,1203300,1915428000.0000002,0.19000099999999875,1.0215107526881653
2020-10-15,18.33,19.34,18.309999,18.41,18.41,992600,1887623399.9999998,0.08000000000000185,0.43644298963448913
2020-10-16,18.59,19.83,18.59,19.200001,19.200001,1611300,1914398200.0,0.6100010000000005,3.281339429800971
2020-10-19,20.68,21.27,19.6,20.059999,20.059999,4007000,2129626400.0,-0.6200009999999985,-2.9980705996131456
2020-10-20,22.57,23.940001,21.91,22.969999,22.969999,9009900,2324258600.0,0.3999990000000011,1.772259636685871
2020-10-21,25.450001,26.146999,24.16,24.639999,24.639999,4177000,2620841102.98,-0.8100020000000008,-3.182718931916744
2020-10-22,25.907,26.43,23.959999,24.02,24.02,3446400,2667902860.0,-1.8870000000000005,-7.283745705793803
2020-10-23,24.459999,25.48,24.309999,24.67,24.67,2201900,2518890697.02,0.21000100000000188,0.8585486859586621
2020-10-26,24.67,25.35,24.129999,24.48,24.48,1942900,2540516600.0,-0.19000000000000128,-0.7701661937576054
2020-10-27,26.219999,26.448999,25.110001,25.790001,25.790001,2524500,2700135497.02,-0.4299980000000012,-1.6399619237209018
2020-10-28,25.790001,26.6,24.790001,25.08,25.08,3035700,2655854302.98,-0.7100010000000019,-2.7530088114382076
2020-10-29,25.200001,25.75,24.379999,24.799999,24.799999,1660100,2595096102.98,-0.40000200000000063,-1.5873094608210556
2020-10-30,24.799999,25.139999,22.389999,24.040001,24.040001,2507000,2553903897.02,-0.7599979999999995,-3.064508188085006
2020-11-02,23.780001,24.6,22.42,22.969999,22.969999,1691300,2448864502.98,-0.8100019999999972,-3.406231984599148
2020-11-03,24.709999,25.5,24.1,24.99,24.99,3147300,2544635697.02,0.2800009999999986,1.1331485687231255
2020-11-04,25.1,27.43,25.1,26.58,26.58,3828400,2584798000.0,1.4799999999999969,5.896414342629469
2020-11-05,27.5,28.74,26.226,27.780001,27.780001,2018900,2831950000.0,0.2800009999999986,1.0181854545454494
2020-11-06,27.469999,27.969999,26.58,27.08,27.08,1318600,2828860497.02,-0.3899990000000031,-1.419727026564519
2020-11-09,27.83,28.0,24.9,26.32,26.32,2186300,2865933400.0,-1.509999999999998,-5.425799496945735
2020-11-10,26.66,28.25,23.59,27.99,27.99,3161600,2745446800.0,1.3299999999999983,4.988747186796693
2020-11-11,27.99,29.5,27.84,29.139999,29.139999,1953800,2882410200.0,1.149999000000001,4.108606645230443
2020-11-12,28.709999,29.09,27.530001,28.35,28.35,1261500,2956555697.02,-0.3599989999999984,-1.2539150558660708
2020-11-13,28.16,29.360001,27.68,29.18,29.18,1219800,2899916800.0,1.0199999999999996,3.622159090909089
2020-11-16,29.15,31.200001,28.799999,30.26,30.26,2294200,3001867000.0,1.110000000000003,3.807890222984573
2020-11-17,30.389999,32.799999,30.045,32.099998,32.099998,1868000,3129562097.02,1.7099989999999998,5.62684783240697
2020-11-18,32.700001,36.869999,32.549999,35.09,35.09,3065500,3367446102.98,2.389999000000003,7.308865219912388
2020-11-19,35.485001,38.98,35.330002,37.900002,37.900002,3674600,3654245402.9799995,2.4150010000000037,6.805695172447661
2020-11-20,37.650002,40.900002,37.59,40.330002,40.330002,2788000,3877197205.96,2.6799999999999997,7.118193512977768
2020-11-23,41.0,45.689999,41.0,45.32,45.32,3546300,4222180000.0,4.32,10.536585365853659
2020-11-24,46.27,51.369999,46.150002,51.259998,51.259998,3999600,4764884600.0,4.989998,10.784521288091636
2020-11-25,49.419998,50.18,41.549999,42.799999,42.799999,8352400,5089271394.04,-6.619999,-13.395385001836708
2020-11-27,43.41,44.700001,38.5,38.77,38.77,5483600,4470361800.0,-4.6399999999999935,-10.688781386777226
2020-11-30,40.09,40.439999,34.580002,37.98,37.98,8156600,4128468200.0000005,-2.1100000000000065,-5.263157894736858
2020-12-01,38.610001,42.650002,38.599998,40.23,40.23,5407400,3976057902.9799995,1.619999,4.195801497130239
