Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-06-30,26.25,29.0,25.0,28.0,28.0,2856100,546525000.0,1.75,6.666666666666667
2021-07-01,27.049999,27.620001,24.530001,26.07,26.07,552900,563180979.18,-0.9799989999999994,-3.622916954636484
2021-07-02,26.16,26.285,24.15,25.459999,25.459999,195100,544651200.0,-0.7000010000000003,-2.675844801223243
2021-07-06,25.129999,27.42,22.0,22.17,22.17,387700,523206579.18,-2.959999,-11.778746986818422
2021-07-07,23.0,24.790001,20.01,20.040001,20.040001,120100,478860000.0,-2.959999,-12.869560869565216
2021-07-08,20.0,21.620001,18.190001,18.389999,18.389999,195600,416400000.0,-1.6100010000000005,-8.050005000000002
2021-07-09,18.85,21.799999,17.75,18.540001,18.540001,228300,392457000.0,-0.30999900000000125,-1.6445570291777254
2021-07-12,20.143999,20.4,19.02,20.1,20.1,225000,419398059.18,-0.043998999999999455,-0.21842236985813718
2021-07-13,19.49,20.330999,19.002001,19.860001,19.860001,184700,405781799.99999994,0.370001000000002,1.8984145715751772
2021-07-14,20.18,21.219999,19.83,20.73,20.73,97000,420147600.0,0.5500000000000007,2.725470763131817
2021-07-15,21.08,21.08,19.91,19.91,19.91,196100,438885599.99999994,-1.1699999999999982,-5.550284629981016
2021-07-16,20.139999,20.65,19.389999,20.01,20.01,206600,419314779.18,-0.12999899999999798,-0.6454766954059828
2021-07-19,19.629999,21.077999,19.5,20.09,20.09,120100,408696579.18,0.46000099999999833,2.343357225846004
2021-07-20,19.809999,21.049999,19.08,19.9,19.9,153500,412444179.18,0.09000099999999733,0.45432107290867263
2021-07-21,19.73,20.705,19.709999,20.32,20.32,86900,410778600.0,0.5899999999999999,2.990369994931575
2021-07-22,20.99,20.99,19.530001,20.33,20.33,74200,437011799.99999994,-0.6600000000000001,-3.1443544545021447
2021-07-23,20.040001,20.26,19.76,20.219999,20.219999,102100,417232820.82,0.1799980000000012,0.8981935679544188
2021-07-26,20.4,20.4,19.41,19.93,19.93,150700,424728000.0,-0.46999999999999886,-2.3039215686274455
2021-07-27,19.85,20.101999,19.325001,19.41,19.41,95600,413277000.0,-0.4400000000000013,-2.2166246851385454
2021-07-28,19.6,20.370001,19.16,19.48,19.48,144100,408072000.0,-0.120000000000001,-0.6122448979591887
2021-07-29,19.620001,20.030001,19.139999,19.23,19.23,75000,408488420.82,-0.39000099999999804,-1.9877725796242216
2021-07-30,19.389999,20.097,19.209999,19.74,19.74,50300,403699779.18,0.3500009999999989,1.805059402014404
2021-08-02,19.74,22.879999,19.620001,22.34,22.34,226200,410986799.99999994,2.6000000000000014,13.171225937183392
2021-08-03,22.59,22.870001,22.01,22.4,22.4,86100,470323800.0,-0.19000000000000128,-0.8410801239486555
2021-08-04,22.549999,24.24,21.775,22.120001,22.120001,120000,469490979.18,-0.4299980000000012,-1.9068648295727253
2021-08-05,21.709999,22.0,20.120001,21.139999,21.139999,221800,452002179.18,-0.5700000000000003,-2.6255183153163677
2021-08-06,21.48,22.219999,20.33,21.73,21.73,121000,447213600.0,0.25,1.1638733705772812
2021-08-09,21.91,22.51,20.26,20.719999,20.719999,103700,456166200.0,-1.1900009999999988,-5.431314468279319
2021-08-10,20.799999,21.98,20.309999,20.700001,20.700001,92700,433055979.18,-0.09999799999999937,-0.4807596384980565
2021-08-11,20.5,20.91,19.200001,20.23,20.23,104600,426810000.0,-0.2699999999999996,-1.3170731707317052
2021-08-12,20.059999,20.43,19.24,20.139999,20.139999,88600,417649179.18,0.0799999999999983,0.3988036091128334
2021-08-13,20.299999,20.299999,18.860001,18.9,18.9,119100,422645979.18,-1.399999000000001,-6.896547137760948
2021-08-16,18.85,20.209999,18.85,20.08,20.08,64100,392457000.0,1.2299999999999969,6.525198938992026
2021-08-17,19.99,20.49,17.84,18.25,18.25,114100,416191799.99999994,-1.7399999999999984,-8.704352176088037
2021-08-18,18.261,19.48,18.261,19.110001,19.110001,113700,380194020.0,0.8490010000000012,4.649257981490615
2021-08-19,19.059999,19.17,17.9,18.02,18.02,60100,396829179.18,-1.0399990000000017,-5.456448345039271
2021-08-20,17.98,19.24,17.9,18.91,18.91,38800,374343600.0,0.9299999999999997,5.172413793103447
2021-08-23,18.75,19.74,18.540001,19.290001,19.290001,76200,390375000.0,0.5400010000000002,2.8800053333333344
2021-08-24,19.32,19.959999,18.705,19.65,19.65,26900,402242400.0,0.3299999999999983,1.7080745341614818
2021-08-25,19.610001,20.08,19.0,19.9,19.9,50300,408280220.82,0.2899989999999981,1.478832153042716
2021-08-26,20.09,20.15,18.530001,18.799999,18.799999,128600,418273800.0,-1.2900010000000002,-6.421110004977602
2021-08-27,18.610001,19.290001,18.549999,19.0,19.0,72300,387460220.82,0.38999899999999954,2.095642015279846
2021-08-30,18.98,19.91,18.98,19.450001,19.450001,63300,395163600.0,0.4700009999999999,2.476296101159114
2021-08-31,19.59,19.799999,18.795,19.059999,19.059999,60300,407863800.0,-0.5300009999999986,-2.7054670750382774
2021-09-01,19.129999,19.51,18.549999,19.27,19.27,59900,398286579.18,0.14000099999999804,0.7318400800752684
2021-09-02,19.01,19.049999,18.110001,18.9,18.9,117000,395788200.00000006,-0.11000000000000298,-0.5786428195686638
