Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1973-02-21,1.625,1.625,1.625,1.625,0.662538,420800,2096250000.0,0.0,0.0
1973-02-22,1.65625,1.65625,1.65625,1.65625,0.675278,92800,2136562500.0,0.0,0.0
1973-02-23,1.703125,1.703125,1.703125,1.703125,0.69439,400000,2197031250.0,0.0,0.0
1973-02-26,1.671875,1.671875,1.671875,1.671875,0.681649,187200,2156718750.0,0.0,0.0
1973-02-27,1.546875,1.546875,1.546875,1.546875,0.630685,657600,1995468750.0,0.0,0.0
1973-02-28,1.65625,1.65625,1.65625,1.65625,0.675278,235200,2136562500.0,0.0,0.0
1973-03-01,1.679688,1.679688,1.679688,1.679688,0.684835,235200,2166797520.0,0.0,0.0
1973-03-02,1.695313,1.695313,1.695313,1.695313,0.691205,128000,2186953770.0,0.0,0.0
1973-03-05,1.65625,1.65625,1.65625,1.65625,0.675278,244800,2136562500.0,0.0,0.0
1973-03-06,1.664063,1.664063,1.664063,1.664063,0.678464,235200,2146641270.0,0.0,0.0
1973-03-07,1.695313,1.695313,1.695313,1.695313,0.691205,478400,2186953770.0,0.0,0.0
1973-03-08,1.75,1.75,1.75,1.75,0.713501,299200,2257500000.0,0.0,0.0
1973-03-09,1.71875,1.71875,1.71875,1.71875,0.700761,726400,2217187500.0,0.0,0.0
1973-03-12,1.773438,1.773438,1.773438,1.773438,0.723058,166400,2287735020.0,0.0,0.0
1973-03-13,1.765625,1.765625,1.765625,1.765625,0.719872,115200,2277656250.0,0.0,0.0
1973-03-14,1.75,1.75,1.75,1.75,0.713501,36800,2257500000.0,0.0,0.0
1973-03-15,1.765625,1.765625,1.765625,1.765625,0.719872,80000,2277656250.0,0.0,0.0
1973-03-16,1.789063,1.789063,1.789063,1.789063,0.729429,86400,2307891270.0,0.0,0.0
1973-03-19,1.765625,1.765625,1.765625,1.765625,0.719872,67200,2277656250.0,0.0,0.0
1973-03-20,1.796875,1.796875,1.796875,1.796875,0.732614,72000,2317968750.0,0.0,0.0
1973-03-21,1.757813,1.757813,1.757813,1.757813,0.716687,62400,2267578770.0,0.0,0.0
1973-03-22,1.6875,1.6875,1.6875,1.6875,0.68802,516800,2176875000.0,0.0,0.0
1973-03-23,1.6875,1.6875,1.6875,1.6875,0.68802,89600,2176875000.0,0.0,0.0
1973-03-26,1.679688,1.679688,1.679688,1.679688,0.684835,75200,2166797520.0,0.0,0.0
1973-03-27,1.710938,1.710938,1.710938,1.710938,0.697575,168000,2207110020.0,0.0,0.0
1973-03-28,1.734375,1.734375,1.734375,1.734375,0.707132,148800,2237343750.0,0.0,0.0
1973-03-29,1.75,1.75,1.75,1.75,0.713501,217600,2257500000.0,0.0,0.0
1973-03-30,1.765625,1.765625,1.765625,1.765625,0.719872,222400,2277656250.0,0.0,0.0
1973-04-02,1.742188,1.742188,1.742188,1.742188,0.710317,193600,2247422520.0,0.0,0.0
1973-04-03,1.6875,1.6875,1.6875,1.6875,0.68802,307200,2176875000.0,0.0,0.0
1973-04-04,1.695313,1.695313,1.695313,1.695313,0.691205,112000,2186953770.0,0.0,0.0
1973-04-05,1.632813,1.632813,1.632813,1.632813,0.665723,507200,2106328770.0,0.0,0.0
1973-04-06,1.71875,1.71875,1.71875,1.71875,0.700761,336000,2217187500.0,0.0,0.0
1973-04-09,1.71875,1.71875,1.71875,1.71875,0.700761,121600,2217187500.0,0.0,0.0
1973-04-10,1.75,1.75,1.75,1.75,0.713501,145600,2257500000.0,0.0,0.0
1973-04-11,1.789063,1.789063,1.789063,1.789063,0.729429,94400,2307891270.0,0.0,0.0
1973-04-12,1.78125,1.78125,1.78125,1.78125,0.726243,91200,2297812500.0,0.0,0.0
1973-04-13,1.796875,1.796875,1.796875,1.796875,0.732614,49600,2317968750.0,0.0,0.0
1973-04-16,1.804688,1.804688,1.804688,1.804688,0.735799,137600,2328047520.0,0.0,0.0
1973-04-17,1.789063,1.789063,1.789063,1.789063,0.729429,220800,2307891270.0,0.0,0.0
1973-04-18,1.742188,1.742188,1.742188,1.742188,0.710317,691200,2247422520.0,0.0,0.0
1973-04-19,1.679688,1.679688,1.679688,1.679688,0.684835,360000,2166797520.0,0.0,0.0
1973-04-23,1.609375,1.609375,1.609375,1.609375,0.656167,176000,2076093750.0,0.0,0.0
1973-04-24,1.53125,1.53125,1.53125,1.53125,0.624314,2009600,1975312500.0,0.0,0.0
1973-04-25,1.515625,1.515625,1.515625,1.515625,0.617943,208000,1955156250.0,0.0,0.0
1973-04-26,1.5625,1.5625,1.5625,1.5625,0.637055,220800,2015625000.0,0.0,0.0
1973-04-27,1.59375,1.59375,1.59375,1.59375,0.649796,403200,2055937500.0,0.0,0.0
1973-04-30,1.585938,1.585938,1.585938,1.585938,0.646612,84800,2045860020.0,0.0,0.0
1973-05-01,1.65625,1.65625,1.65625,1.65625,0.675278,155200,2136562500.0,0.0,0.0
1973-05-02,1.65625,1.65625,1.65625,1.65625,0.675278,166400,2136562500.0,0.0,0.0
1973-05-03,0.0,1.710938,1.632813,1.710938,0.697575,476800,0.0,1.710938,inf
1973-05-04,0.0,1.710938,1.671875,1.710938,0.697575,108800,0.0,1.710938,inf
1973-05-07,0.0,1.75,1.703125,1.75,0.713501,406400,0.0,1.75,inf
1973-05-08,0.0,1.757813,1.710938,1.75,0.713501,128000,0.0,1.75,inf
1973-05-09,0.0,1.78125,1.742188,1.75,0.713501,134400,0.0,1.75,inf
1973-05-10,0.0,1.75,1.742188,1.75,0.713501,123200,0.0,1.75,inf
1973-05-11,0.0,1.75,1.734375,1.734375,0.707132,134400,0.0,1.734375,inf
1973-05-14,0.0,1.71875,1.679688,1.679688,0.684835,121600,0.0,1.679688,inf
1973-05-15,0.0,1.65625,1.632813,1.632813,0.665723,278400,0.0,1.632813,inf
1973-05-16,0.0,1.640625,1.625,1.625,0.662538,68800,0.0,1.625,inf
1973-05-17,0.0,1.625,1.601563,1.609375,0.656167,195200,0.0,1.609375,inf
1973-05-18,0.0,1.609375,1.5625,1.578125,0.643425,430400,0.0,1.578125,inf
1973-05-21,0.0,1.5625,1.539063,1.546875,0.630685,107200,0.0,1.546875,inf
1973-05-22,0.0,1.5625,1.546875,1.5625,0.637055,92800,0.0,1.5625,inf
1973-05-23,0.0,1.625,1.578125,1.585938,0.646612,104000,0.0,1.585938,inf
1973-05-24,0.0,1.625,1.578125,1.625,0.662538,44800,0.0,1.625,inf
1973-05-25,0.0,1.703125,1.664063,1.703125,0.69439,128000,0.0,1.703125,inf
1973-05-29,0.0,1.6875,1.65625,1.671875,0.681649,91200,0.0,1.671875,inf
1973-05-30,0.0,1.65625,1.59375,1.59375,0.649796,180800,0.0,1.59375,inf
1973-05-31,0.0,1.59375,1.5625,1.570313,0.640241,249600,0.0,1.570313,inf
1973-06-01,0.0,1.585938,1.570313,1.570313,0.640241,49600,0.0,1.570313,inf
1973-06-04,0.0,1.5625,1.53125,1.5625,0.637055,340800,0.0,1.5625,inf
1973-06-05,0.0,1.554688,1.515625,1.515625,0.617943,163200,0.0,1.515625,inf
1973-06-06,0.0,1.523438,1.476563,1.484375,0.605202,196800,0.0,1.484375,inf
1973-06-07,0.0,1.492188,1.4375,1.46875,0.598832,139200,0.0,1.46875,inf
1973-06-08,0.0,1.476563,1.375,1.414063,0.576535,448000,0.0,1.414063,inf
1973-06-11,0.0,1.398438,1.375,1.398438,0.570165,190400,0.0,1.398438,inf
1973-06-12,0.0,1.539063,1.382813,1.5,0.611573,1320000,0.0,1.5,inf
1973-06-13,0.0,1.5625,1.5,1.5,0.611573,184000,0.0,1.5,inf
1973-06-14,0.0,1.484375,1.421875,1.429688,0.582906,404800,0.0,1.429688,inf
1973-06-15,0.0,1.421875,1.390625,1.390625,0.566979,67200,0.0,1.390625,inf
