Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2018-03-27,2.92,2.92,2.92,2.92,2.89044,500,76007600.0,0.0,0.0
2018-03-28,2.79,2.8,2.7,2.8,2.771655,4400,72623700.0,0.009999999999999787,0.35842293906809275
2018-03-29,2.6,2.8,2.6,2.8,2.771655,3500,67678000.0,0.19999999999999973,7.692307692307682
2018-04-02,2.8,2.85,2.8,2.85,2.821149,6200,72884000.0,0.050000000000000266,1.7857142857142954
2018-04-03,2.85,2.85,2.85,2.85,2.821149,500,74185500.0,0.0,0.0
2018-04-04,2.85,2.85,2.85,2.85,2.821149,0,74185500.0,0.0,0.0
2018-04-05,2.85,2.85,2.85,2.85,2.821149,5000,74185500.0,0.0,0.0
2018-04-06,2.85,2.85,2.85,2.85,2.821149,0,74185500.0,0.0,0.0
2018-04-09,2.85,2.85,2.85,2.85,2.821149,0,74185500.0,0.0,0.0
2018-04-10,2.85,2.85,2.85,2.85,2.821149,300,74185500.0,0.0,0.0
2018-04-11,2.85,2.89,2.85,2.85,2.821149,5700,74185500.0,0.0,0.0
2018-04-12,2.7,2.7,2.7,2.7,2.672668,100,70281000.0,0.0,0.0
2018-04-13,2.7,2.7,2.7,2.7,2.672668,0,70281000.0,0.0,0.0
2018-04-16,2.83,2.83,2.75,2.75,2.722161,1600,73664900.0,-0.08000000000000007,-2.826855123674914
2018-04-17,2.76,2.76,2.75,2.75,2.722161,6100,71842800.0,-0.009999999999999787,-0.36231884057970243
2018-04-18,2.7,2.85,2.7,2.85,2.821149,5300,70281000.0,0.1499999999999999,5.555555555555552
2018-04-19,2.85,2.85,2.31,2.5,2.474692,4900,74185500.0,-0.3500000000000001,-12.280701754385968
2018-04-20,2.55,2.55,2.55,2.55,2.524186,500,66376499.99999999,0.0,0.0
2018-04-23,2.8,2.85,2.55,2.55,2.524186,4000,72884000.0,-0.25,-8.928571428571429
2018-04-24,2.6,2.62,2.5,2.5,2.474692,34800,67678000.0,-0.10000000000000009,-3.8461538461538494
2018-04-25,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-04-26,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-04-27,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-04-30,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-05-01,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-05-02,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-05-03,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-05-04,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-05-07,2.5,2.5,2.5,2.5,2.474692,1000,65075000.0,0.0,0.0
2018-05-08,2.6,2.6,2.6,2.6,2.57368,1100,67678000.0,0.0,0.0
2018-05-09,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-05-10,2.6,2.6,2.6,2.6,2.57368,100,67678000.0,0.0,0.0
2018-05-11,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-05-14,2.85,2.85,2.85,2.85,2.821149,300,74185500.0,0.0,0.0
2018-05-15,2.9,2.9,2.9,2.9,2.870643,1300,75487000.0,0.0,0.0
2018-05-16,2.6,2.6,2.6,2.6,2.57368,2800,67678000.0,0.0,0.0
2018-05-17,2.6,2.8,2.6,2.8,2.771655,2800,67678000.0,0.19999999999999973,7.692307692307682
2018-05-18,2.85,2.85,2.85,2.85,2.821149,1000,74185500.0,0.0,0.0
2018-05-21,2.85,2.85,2.84,2.84,2.81125,5200,74185500.0,-0.010000000000000231,-0.3508771929824642
2018-05-22,2.81,2.85,2.81,2.85,2.821149,400,73144300.0,0.040000000000000036,1.4234875444839872
2018-05-23,2.85,2.85,2.85,2.85,2.821149,100,74185500.0,0.0,0.0
2018-05-24,2.75,2.75,2.6,2.6,2.57368,200,71582500.0,-0.1499999999999999,-5.4545454545454515
2018-05-25,2.86,2.9,2.86,2.9,2.870643,1000,74445800.0,0.040000000000000036,1.3986013986014
2018-05-29,2.9,2.9,2.9,2.9,2.870643,1200,75487000.0,0.0,0.0
2018-05-30,2.85,2.85,2.85,2.85,2.821149,1500,74185500.0,0.0,0.0
2018-05-31,2.8,2.8,2.8,2.8,2.771655,200,72884000.0,0.0,0.0
2018-06-01,2.85,2.85,2.6,2.6,2.57368,2900,74185500.0,-0.25,-8.771929824561402
2018-06-04,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-06-05,2.81,2.86,2.81,2.86,2.831048,700,73144300.0,0.04999999999999982,1.7793594306049758
2018-06-06,2.85,2.85,2.85,2.85,2.821149,500,74185500.0,0.0,0.0
2018-06-07,2.85,2.85,2.85,2.85,2.821149,0,74185500.0,0.0,0.0
2018-06-08,2.75,2.75,2.66,2.66,2.633073,1000,71582500.0,-0.08999999999999986,-3.2727272727272676
2018-06-11,2.84,2.85,2.84,2.85,2.821149,400,73925200.0,0.010000000000000231,0.35211267605634616
2018-06-12,2.85,2.85,2.85,2.85,2.821149,0,74185500.0,0.0,0.0
2018-06-13,2.83,2.85,2.7,2.7,2.672668,1500,73664900.0,-0.1299999999999999,-4.593639575971728
2018-06-14,2.86,2.86,2.75,2.75,2.722161,1700,74445800.0,-0.10999999999999988,-3.8461538461538423
2018-06-15,2.78,2.86,2.75,2.75,2.722161,2100,72363400.0,-0.029999999999999805,-1.079136690647475
2018-06-18,2.75,2.75,2.75,2.75,2.722161,0,71582500.0,0.0,0.0
2018-06-19,2.85,2.85,2.65,2.65,2.623174,1800,74185500.0,-0.20000000000000018,-7.0175438596491295
2018-06-20,2.75,2.75,2.75,2.75,2.722161,200,71582500.0,0.0,0.0
2018-06-21,2.75,2.75,2.75,2.75,2.722161,0,71582500.0,0.0,0.0
2018-06-22,2.75,2.75,2.75,2.75,2.722161,0,71582500.0,0.0,0.0
2018-06-25,2.7,2.7,2.7,2.7,2.672668,200,70281000.0,0.0,0.0
2018-06-26,2.65,2.65,2.65,2.65,2.623174,1000,68979500.0,0.0,0.0
2018-06-27,2.65,2.65,2.65,2.65,2.623174,4500,68979500.0,0.0,0.0
2018-06-28,2.65,2.67,2.65,2.67,2.642971,2100,68979500.0,0.020000000000000018,0.7547169811320762
2018-06-29,2.61,2.61,2.6,2.6,2.57368,500,67938300.0,-0.009999999999999787,-0.38314176245209913
2018-07-02,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-07-03,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-07-05,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-07-06,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-07-09,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-07-10,2.62,2.62,2.62,2.62,2.593477,200,68198600.0,0.0,0.0
2018-07-11,2.62,2.62,2.62,2.62,2.593477,0,68198600.0,0.0,0.0
2018-07-12,2.62,2.62,2.62,2.62,2.593477,0,68198600.0,0.0,0.0
2018-07-13,2.61,2.61,2.61,2.61,2.583579,300,67938300.0,0.0,0.0
2018-07-16,2.61,2.61,2.61,2.61,2.583579,0,67938300.0,0.0,0.0
2018-07-17,2.6,2.6,2.6,2.6,2.57368,100,67678000.0,0.0,0.0
2018-07-18,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-07-19,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-07-20,2.7,2.7,2.7,2.7,2.672668,3100,70281000.0,0.0,0.0
2018-07-23,2.7,2.7,2.7,2.7,2.672668,0,70281000.0,0.0,0.0
2018-07-24,2.6,2.64,2.6,2.6,2.57368,3200,67678000.0,0.0,0.0
2018-07-25,2.6,2.6,2.6,2.6,2.57368,800,67678000.0,0.0,0.0
2018-07-26,2.6,2.6,2.6,2.6,2.57368,400,67678000.0,0.0,0.0
2018-07-27,2.6,2.6,2.6,2.6,2.57368,0,67678000.0,0.0,0.0
2018-07-30,2.6,2.6,2.6,2.6,2.57368,3900,67678000.0,0.0,0.0
2018-07-31,2.6,2.65,2.55,2.55,2.524186,4900,67678000.0,-0.050000000000000266,-1.9230769230769333
2018-08-01,2.55,2.55,2.55,2.55,2.524186,5000,66376499.99999999,0.0,0.0
2018-08-02,2.55,2.55,2.55,2.55,2.524186,0,66376499.99999999,0.0,0.0
2018-08-03,2.66,2.7,2.66,2.7,2.672668,300,69239800.0,0.040000000000000036,1.5037593984962419
2018-08-06,2.7,2.7,2.7,2.7,2.672668,28000,70281000.0,0.0,0.0
2018-08-07,2.65,2.65,2.3,2.4,2.375705,5600,68979500.0,-0.25,-9.433962264150944
2018-08-08,2.4,2.4,2.4,2.4,2.375705,0,62472000.0,0.0,0.0
2018-08-09,2.56,2.56,2.55,2.55,2.524186,200,66636800.0,-0.010000000000000231,-0.390625000000009
2018-08-10,2.55,2.55,2.55,2.55,2.524186,7100,66376499.99999999,0.0,0.0
2018-08-13,2.55,2.55,2.55,2.55,2.524186,0,66376499.99999999,0.0,0.0
2018-08-14,2.5,2.5,2.5,2.5,2.474692,1500,65075000.0,0.0,0.0
2018-08-15,2.4,2.4,2.4,2.4,2.375705,500,62472000.0,0.0,0.0
2018-08-16,2.35,2.35,2.3,2.3,2.276716,5100,61170500.0,-0.050000000000000266,-2.1276595744680966
2018-08-17,2.34,2.34,2.3,2.3,2.276716,400,60910200.0,-0.040000000000000036,-1.7094017094017109
2018-08-20,2.3,2.5,2.3,2.5,2.474692,300,59868999.99999999,0.20000000000000018,8.695652173913052
2018-08-21,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-08-22,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-08-23,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-08-24,2.5,2.5,2.5,2.5,2.474692,0,65075000.0,0.0,0.0
2018-08-27,2.4,2.4,2.3,2.3,2.276716,12200,62472000.0,-0.10000000000000009,-4.1666666666666705
2018-08-28,2.3,2.35,2.3,2.3,2.276716,13100,59868999.99999999,0.0,0.0
2018-08-29,2.3,2.3,2.3,2.3,2.276716,0,59868999.99999999,0.0,0.0
2018-08-30,2.35,2.35,2.3,2.3,2.276716,1800,61170500.0,-0.050000000000000266,-2.1276595744680966
2018-08-31,2.3,2.3,2.3,2.3,2.276716,0,59868999.99999999,0.0,0.0
2018-09-04,2.3,2.35,2.275,2.35,2.32621,1400,59868999.99999999,0.050000000000000266,2.1739130434782727
2018-09-05,2.35,2.35,2.35,2.35,2.32621,0,61170500.0,0.0,0.0
2018-09-06,2.35,2.35,2.35,2.35,2.32621,0,61170500.0,0.0,0.0
2018-09-07,2.25,2.25,2.24,2.24,2.217324,6500,58567500.0,-0.009999999999999787,-0.444444444444435
2018-09-10,2.24,2.24,2.24,2.24,2.217324,0,58307200.00000001,0.0,0.0
2018-09-11,2.24,2.24,2.24,2.24,2.217324,0,58307200.00000001,0.0,0.0
2018-09-12,2.215,2.215,2.15,2.15,2.128235,1000,57656450.0,-0.06499999999999995,-2.934537246049659
2018-09-13,2.15,2.15,2.15,2.15,2.128235,0,55964500.0,0.0,0.0
2018-09-14,2.27,2.27,2.27,2.27,2.24702,2400,59088100.0,0.0,0.0
