Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1995-06-21,2.25,2.25,2.125,2.125,1.514187,23654400,665910000.0,-0.125,-5.555555555555555
1995-06-22,2.125,2.15625,1.9375,2.0,1.425117,6014400,628915000.0,-0.125,-5.88235294117647
1995-06-23,2.0,2.03125,2.0,2.0,1.425117,1333600,591920000.0,0.0,0.0
1995-06-26,2.03125,2.03125,2.0,2.03125,1.447385,1188000,601168750.0,0.0,0.0
1995-06-27,2.03125,2.03125,1.78125,1.875,1.336048,2978400,601168750.0,-0.15625,-7.6923076923076925
1995-06-28,1.875,1.890625,1.8125,1.84375,1.31378,1576000,554925000.0,-0.03125,-1.6666666666666667
1995-06-29,1.84375,1.90625,1.84375,1.90625,1.358315,291200,545676250.0,0.0625,3.389830508474576
1995-06-30,1.90625,1.90625,1.84375,1.90625,1.358315,420800,564173750.0,0.0,0.0
1995-07-03,1.90625,1.90625,1.84375,1.84375,1.31378,192000,564173750.0,-0.0625,-3.278688524590164
1995-07-05,1.90625,1.90625,1.8125,1.8125,1.291513,2457600,564173750.0,-0.09375,-4.918032786885246
1995-07-06,1.875,1.875,1.8125,1.8125,1.291513,1080800,554925000.0,-0.0625,-3.3333333333333335
1995-07-07,1.890625,1.890625,1.8125,1.8125,1.291513,108000,559549375.0,-0.078125,-4.132231404958678
1995-07-10,1.8125,1.890625,1.8125,1.84375,1.31378,540800,536427500.0,0.03125,1.7241379310344827
1995-07-11,1.890625,1.890625,1.8125,1.8125,1.291513,422400,559549375.0,-0.078125,-4.132231404958678
1995-07-12,1.8125,1.875,1.8125,1.875,1.336048,1376800,536427500.0,0.0625,3.4482758620689653
1995-07-13,1.875,1.90625,1.8125,1.90625,1.358315,107200,554925000.0,0.03125,1.6666666666666667
1995-07-14,1.875,1.9375,1.875,1.9375,1.380582,200000,554925000.0,0.0625,3.3333333333333335
1995-07-17,1.921875,1.96875,1.875,1.9375,1.380582,343200,568798125.0,0.015625,0.8130081300813009
1995-07-18,1.9375,2.03125,1.890625,1.9375,1.380582,1123200,573422500.0,0.0,0.0
1995-07-19,2.0,2.0,1.875,1.875,1.336048,499200,591920000.0,-0.125,-6.25
1995-07-20,1.96875,1.96875,1.8125,1.8125,1.291513,609600,582671250.0,-0.15625,-7.936507936507936
1995-07-21,1.90625,1.90625,1.8125,1.84375,1.31378,911200,564173750.0,-0.0625,-3.278688524590164
1995-07-24,1.90625,1.90625,1.8125,1.90625,1.358315,37600,564173750.0,0.0,0.0
1995-07-25,1.8125,1.90625,1.8125,1.8125,1.291513,48000,536427500.0,0.0,0.0
1995-07-26,1.90625,1.90625,1.8125,1.8125,1.291513,692000,564173750.0,-0.09375,-4.918032786885246
1995-07-27,1.8125,1.90625,1.8125,1.8125,1.291513,48800,536427500.0,0.0,0.0
1995-07-28,1.8125,1.90625,1.8125,1.875,1.336048,993600,536427500.0,0.0625,3.4482758620689653
1995-07-31,1.8125,1.90625,1.8125,1.90625,1.358315,162400,536427500.0,0.09375,5.172413793103448
1995-08-01,1.84375,1.90625,1.84375,1.84375,1.31378,105600,545676250.0,0.0,0.0
1995-08-02,1.90625,1.90625,1.84375,1.90625,1.358315,351200,564173750.0,0.0,0.0
1995-08-03,1.90625,1.90625,1.84375,1.84375,1.31378,112000,564173750.0,-0.0625,-3.278688524590164
1995-08-04,1.84375,1.90625,1.84375,1.90625,1.358315,68800,545676250.0,0.0625,3.389830508474576
1995-08-07,1.90625,1.90625,1.84375,1.84375,1.31378,315200,564173750.0,-0.0625,-3.278688524590164
1995-08-08,1.90625,1.90625,1.859375,1.90625,1.358315,138400,564173750.0,0.0,0.0
1995-08-09,1.84375,1.90625,1.84375,1.90625,1.358315,314400,545676250.0,0.0625,3.389830508474576
1995-08-10,1.90625,1.90625,1.84375,1.875,1.336048,699200,564173750.0,-0.03125,-1.639344262295082
1995-08-11,1.90625,1.90625,1.875,1.90625,1.358315,97600,564173750.0,0.0,0.0
1995-08-14,1.90625,1.90625,1.890625,1.890625,1.347181,107200,564173750.0,-0.015625,-0.819672131147541
1995-08-15,1.875,1.9375,1.875,1.875,1.336048,454400,554925000.0,0.0,0.0
1995-08-16,1.875,1.90625,1.875,1.875,1.336048,400800,554925000.0,0.0,0.0
1995-08-17,1.90625,1.90625,1.875,1.90625,1.358315,86400,564173750.0,0.0,0.0
1995-08-18,1.90625,1.90625,1.875,1.875,1.336048,37600,564173750.0,-0.03125,-1.639344262295082
1995-08-21,1.875,1.90625,1.875,1.875,1.336048,75200,554925000.0,0.0,0.0
