Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1998-05-07,4.0,4.25,4.0,4.25,4.25,2000,64720000.0,0.25,6.25
1998-05-08,4.25,4.25,4.25,4.25,4.25,0,68765000.0,0.0,0.0
1998-05-11,4.25,4.25,4.25,4.25,4.25,0,68765000.0,0.0,0.0
1998-05-12,4.25,4.25,4.25,4.25,4.25,0,68765000.0,0.0,0.0
1998-05-13,4.25,4.25,4.25,4.25,4.25,0,68765000.0,0.0,0.0
1998-05-14,5.0,5.25,5.0,5.25,5.25,3100,80900000.0,0.25,5.0
1998-05-15,5.25,5.25,4.75,5.125,5.125,800,84945000.0,-0.125,-2.380952380952381
1998-05-18,5.125,5.125,5.125,5.125,5.125,0,82922500.0,0.0,0.0
1998-05-19,5.125,5.25,5.125,5.25,5.25,700,82922500.0,0.125,2.4390243902439024
1998-05-20,5.25,5.25,5.25,5.25,5.25,0,84945000.0,0.0,0.0
1998-05-21,4.875,5.25,4.875,5.25,5.25,300,78877500.0,0.375,7.6923076923076925
1998-05-22,5.25,5.25,5.25,5.25,5.25,0,84945000.0,0.0,0.0
1998-05-26,5.25,5.25,4.875,4.875,4.875,3100,84945000.0,-0.375,-7.142857142857142
1998-05-27,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-05-28,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-05-29,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-01,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-02,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-03,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-04,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-05,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-08,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-09,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-10,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-11,4.875,4.875,4.875,4.875,4.875,0,78877500.0,0.0,0.0
1998-06-12,5.0,5.0,5.0,5.0,5.0,7000,80900000.0,0.0,0.0
1998-06-15,5.0,5.0,5.0,5.0,5.0,0,80900000.0,0.0,0.0
1998-06-16,5.0,5.0,5.0,5.0,5.0,0,80900000.0,0.0,0.0
1998-06-17,5.0,5.0,5.0,5.0,5.0,0,80900000.0,0.0,0.0
1998-06-18,5.0,5.0,5.0,5.0,5.0,0,80900000.0,0.0,0.0
1998-06-19,5.0,5.0,5.0,5.0,5.0,0,80900000.0,0.0,0.0
1998-06-22,5.0,5.9375,4.625,4.625,4.625,10100,80900000.0,-0.375,-7.5
1998-06-23,4.625,4.625,4.625,4.625,4.625,0,74832500.0,0.0,0.0
1998-06-24,4.625,4.625,4.625,4.625,4.625,0,74832500.0,0.0,0.0
1998-06-25,4.625,4.625,4.625,4.625,4.625,0,74832500.0,0.0,0.0
1998-06-26,4.625,4.625,4.625,4.625,4.625,0,74832500.0,0.0,0.0
1998-06-29,4.625,4.625,4.625,4.625,4.625,0,74832500.0,0.0,0.0
1998-06-30,4.625,4.625,4.625,4.625,4.625,0,74832500.0,0.0,0.0
1998-07-01,4.625,4.625,4.625,4.625,4.625,2000,74832500.0,0.0,0.0
1998-07-02,5.0,5.0,4.5,4.5,4.5,1200,80900000.0,-0.5,-10.0
1998-07-06,4.0,4.0,3.5,3.5,3.5,200,64720000.0,-0.5,-12.5
