Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1962-01-02,0.0,10.28125,10.125,10.125,0.25993,25600,0.0,10.125,inf
1962-01-03,0.0,10.203125,10.125,10.125,0.25993,28800,0.0,10.125,inf
1962-01-04,0.0,10.1875,10.09375,10.09375,0.259127,21600,0.0,10.09375,inf
1962-01-05,0.0,10.03125,9.875,9.875,0.253512,46400,0.0,9.875,inf
1962-01-08,0.0,10.03125,9.890625,9.921875,0.254715,29600,0.0,9.921875,inf
1962-01-09,0.0,10.03125,9.90625,9.90625,0.254314,40000,0.0,9.90625,inf
1962-01-10,0.0,9.96875,9.375,9.875,0.253512,20800,0.0,9.875,inf
1962-01-11,0.0,9.96875,9.890625,9.921875,0.254715,25600,0.0,9.921875,inf
1962-01-12,0.0,10.03125,9.90625,10.0,0.256721,16000,0.0,10.0,inf
1962-01-15,0.0,10.03125,9.96875,10.03125,0.257523,34400,0.0,10.03125,inf
1962-01-16,0.0,10.0,9.875,9.890625,0.253913,57600,0.0,9.890625,inf
1962-01-17,0.0,9.96875,9.875,9.875,0.253512,24800,0.0,9.875,inf
1962-01-18,0.0,9.96875,9.875,9.875,0.253512,37600,0.0,9.875,inf
1962-01-19,0.0,9.875,9.765625,9.859375,0.25311,29600,0.0,9.859375,inf
1962-01-22,0.0,9.96875,9.828125,9.84375,0.252709,24800,0.0,9.84375,inf
1962-01-23,0.0,9.828125,9.71875,9.71875,0.2495,32000,0.0,9.71875,inf
1962-01-24,0.0,9.734375,9.640625,9.6875,0.248698,40000,0.0,9.6875,inf
1962-01-25,0.0,9.703125,9.53125,9.53125,0.244687,72000,0.0,9.53125,inf
1962-01-26,0.0,9.578125,9.5,9.53125,0.244687,35200,0.0,9.53125,inf
1962-01-29,0.0,9.625,9.53125,9.578125,0.24589,39200,0.0,9.578125,inf
1962-01-30,0.0,9.65625,9.625,9.625,0.249536,40800,0.0,9.625,inf
1962-01-31,0.0,9.625,9.59375,9.59375,0.248726,24000,0.0,9.59375,inf
1962-02-01,0.0,9.640625,9.578125,9.625,0.249536,38400,0.0,9.625,inf
1962-02-02,0.0,9.625,9.578125,9.625,0.249536,33600,0.0,9.625,inf
1962-02-05,0.0,9.625,9.5625,9.625,0.249536,24000,0.0,9.625,inf
1962-02-06,0.0,9.625,9.53125,9.609375,0.249131,38400,0.0,9.609375,inf
1962-02-07,0.0,9.65625,9.578125,9.65625,0.250346,28000,0.0,9.65625,inf
1962-02-08,0.0,9.625,9.578125,9.578125,0.248321,24000,0.0,9.578125,inf
1962-02-09,0.0,9.625,9.5625,9.625,0.249536,17600,0.0,9.625,inf
1962-02-12,0.0,9.625,9.578125,9.625,0.249536,22400,0.0,9.625,inf
1962-02-13,0.0,9.8125,9.609375,9.765625,0.253182,36000,0.0,9.765625,inf
1962-02-14,0.0,9.90625,9.796875,9.90625,0.256828,41600,0.0,9.90625,inf
1962-02-15,0.0,10.03125,9.90625,10.03125,0.260068,38400,0.0,10.03125,inf
1962-02-16,0.0,10.03125,9.875,9.890625,0.256423,38400,0.0,9.890625,inf
1962-02-19,0.0,9.921875,9.890625,9.921875,0.257233,8800,0.0,9.921875,inf
1962-02-20,0.0,9.96875,9.890625,9.96875,0.258448,26400,0.0,9.96875,inf
1962-02-21,0.0,9.953125,9.828125,9.828125,0.254802,68000,0.0,9.828125,inf
1962-02-23,0.0,9.859375,9.8125,9.8125,0.254397,61600,0.0,9.8125,inf
1962-02-26,0.0,9.84375,9.78125,9.78125,0.253587,25600,0.0,9.78125,inf
1962-02-27,0.0,9.8125,9.71875,9.71875,0.251967,35200,0.0,9.71875,inf
1962-02-28,0.0,9.78125,9.703125,9.75,0.252777,18400,0.0,9.75,inf
1962-03-01,0.0,9.84375,9.78125,9.8125,0.254397,19200,0.0,9.8125,inf
1962-03-02,0.0,9.84375,9.8125,9.8125,0.254397,23200,0.0,9.8125,inf
1962-03-05,0.0,9.859375,9.8125,9.828125,0.254802,29600,0.0,9.828125,inf
1962-03-06,0.0,9.828125,9.75,9.75,0.252777,38400,0.0,9.75,inf
1962-03-07,0.0,9.765625,9.734375,9.765625,0.253182,64800,0.0,9.765625,inf
1962-03-08,0.0,9.875,9.8125,9.859375,0.255613,23200,0.0,9.859375,inf
1962-03-09,0.0,10.0625,9.90625,10.0625,0.260879,52800,0.0,10.0625,inf
1962-03-12,0.0,10.140625,10.09375,10.109375,0.262094,31200,0.0,10.109375,inf
1962-03-13,0.0,10.125,10.09375,10.125,0.262499,24000,0.0,10.125,inf
1962-03-14,0.0,10.140625,10.09375,10.09375,0.261689,23200,0.0,10.09375,inf
1962-03-15,0.0,10.125,10.078125,10.078125,0.261284,16000,0.0,10.078125,inf
1962-03-16,0.0,10.125,10.0625,10.09375,0.261689,28800,0.0,10.09375,inf
1962-03-19,0.0,10.125,10.09375,10.125,0.262499,12800,0.0,10.125,inf
1962-03-20,0.0,10.125,10.09375,10.125,0.262499,20800,0.0,10.125,inf
1962-03-21,0.0,10.1875,10.125,10.171875,0.263714,44800,0.0,10.171875,inf
1962-03-22,0.0,10.1875,10.09375,10.140625,0.262904,35200,0.0,10.140625,inf
1962-03-23,0.0,10.1875,10.109375,10.1875,0.264119,32000,0.0,10.1875,inf
1962-03-26,0.0,10.3125,10.125,10.28125,0.26655,43200,0.0,10.28125,inf
1962-03-27,0.0,10.34375,10.234375,10.3125,0.26736,41600,0.0,10.3125,inf
1962-03-28,0.0,10.34375,10.25,10.25,0.26574,45600,0.0,10.25,inf
1962-03-29,0.0,10.28125,10.203125,10.21875,0.264929,16000,0.0,10.21875,inf
1962-03-30,0.0,10.1875,10.125,10.125,0.262499,38400,0.0,10.125,inf
1962-04-02,0.0,10.09375,10.015625,10.015625,0.259663,16000,0.0,10.015625,inf
1962-04-03,0.0,10.03125,9.9375,10.0,0.259258,27200,0.0,10.0,inf
1962-04-04,0.0,10.015625,9.9375,9.9375,0.257638,30400,0.0,9.9375,inf
1962-04-05,0.0,10.0,9.9375,9.953125,0.258043,24000,0.0,9.953125,inf
1962-04-06,0.0,10.03125,9.9375,10.03125,0.260068,31200,0.0,10.03125,inf
1962-04-09,0.0,10.0625,9.875,9.875,0.256017,28800,0.0,9.875,inf
1962-04-10,0.0,9.96875,9.890625,9.953125,0.258043,16000,0.0,9.953125,inf
1962-04-11,0.0,10.03125,9.9375,9.9375,0.257638,25600,0.0,9.9375,inf
1962-04-12,0.0,9.921875,9.890625,9.9375,0.257638,13600,0.0,9.9375,inf
1962-04-13,0.0,9.9375,9.875,9.9375,0.257638,31200,0.0,9.9375,inf
1962-04-16,0.0,9.96875,9.890625,9.953125,0.258043,23200,0.0,9.953125,inf
1962-04-17,0.0,10.015625,9.9375,10.015625,0.259663,12800,0.0,10.015625,inf
1962-04-18,0.0,10.0625,9.953125,9.953125,0.258043,36000,0.0,9.953125,inf
1962-04-19,0.0,10.0,9.953125,9.953125,0.258043,7200,0.0,9.953125,inf
1962-04-23,0.0,9.984375,9.9375,9.953125,0.258043,19200,0.0,9.953125,inf
1962-04-24,0.0,9.96875,9.9375,9.9375,0.257638,5600,0.0,9.9375,inf
1962-04-25,0.0,10.0,9.96875,9.984375,0.258853,17600,0.0,9.984375,inf
1962-04-26,0.0,9.96875,9.875,9.875,0.256017,18400,0.0,9.875,inf
1962-04-27,0.0,9.9375,9.828125,9.828125,0.254802,35200,0.0,9.828125,inf
1962-04-30,0.0,10.03125,9.8125,9.828125,0.254802,43200,0.0,9.828125,inf
1962-05-01,0.0,9.71875,9.40625,9.6875,0.253575,48000,0.0,9.6875,inf
1962-05-02,0.0,9.84375,9.6875,9.6875,0.253575,28000,0.0,9.6875,inf
1962-05-03,0.0,9.765625,9.5625,9.703125,0.253984,36800,0.0,9.703125,inf
1962-05-04,0.0,9.71875,9.625,9.625,0.251939,12000,0.0,9.625,inf
1962-05-07,0.0,9.75,9.640625,9.6875,0.253575,13600,0.0,9.6875,inf
1962-05-08,0.0,9.6875,9.59375,9.59375,0.251121,32000,0.0,9.59375,inf
1962-05-09,0.0,9.625,9.46875,9.5625,0.250303,24000,0.0,9.5625,inf
1962-05-10,0.0,9.59375,9.40625,9.59375,0.251121,39200,0.0,9.59375,inf
1962-05-11,0.0,9.5625,9.390625,9.390625,0.245804,29600,0.0,9.390625,inf
1962-05-14,0.0,9.4375,9.125,9.4375,0.247031,64800,0.0,9.4375,inf
1962-05-15,0.0,9.5625,9.4375,9.5,0.248667,21600,0.0,9.5,inf
1962-05-16,0.0,9.6875,9.5625,9.609375,0.25153,24000,0.0,9.609375,inf
1962-05-17,0.0,9.65625,9.515625,9.5625,0.250303,18400,0.0,9.5625,inf
1962-05-18,0.0,9.609375,9.46875,9.609375,0.25153,32000,0.0,9.609375,inf
1962-05-21,0.0,9.609375,9.484375,9.53125,0.249485,25600,0.0,9.53125,inf
1962-05-22,0.0,9.53125,9.359375,9.359375,0.244986,50400,0.0,9.359375,inf
1962-05-23,0.0,9.4375,9.25,9.25,0.242123,15200,0.0,9.25,inf
1962-05-24,0.0,9.359375,9.09375,9.09375,0.238033,49600,0.0,9.09375,inf
1962-05-25,0.0,9.015625,8.875,8.9375,0.233943,64800,0.0,8.9375,inf
1962-05-28,0.0,8.75,8.15625,8.421875,0.220447,125600,0.0,8.421875,inf
1962-05-29,0.0,8.71875,8.1875,8.71875,0.228218,168800,0.0,8.71875,inf
1962-05-31,0.0,9.0625,8.90625,9.0625,0.237216,116800,0.0,9.0625,inf
1962-06-01,0.0,9.1875,9.0,9.15625,0.239669,57600,0.0,9.15625,inf
