Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2022-05-05,90.0,90.0,73.800003,86.699997,86.699997,132727,513900000.0,-3.300003000000004,-3.6666700000000043
2022-05-06,77.099998,85.379997,76.199997,84.900002,84.900002,58663,440240988.58,7.800004000000001,10.116736968008743
2022-05-09,83.699997,89.099998,75.599998,78.0,78.0,55127,477926982.87,-5.699996999999996,-6.8100325021516985
2022-05-10,78.0,85.800003,74.400002,78.0,78.0,37400,445380000.0,0.0,0.0
2022-05-11,71.400002,75.599998,63.0,64.199997,64.199997,26290,407694011.42,-7.200005000000004,-10.08404033378039
2022-05-12,61.5,64.199997,54.299999,56.099998,56.099998,26507,351165000.0,-5.400002000000001,-8.78049105691057
2022-05-13,55.5,62.400002,50.099998,54.900002,54.900002,52123,316905000.0,-0.5999979999999994,-1.0810774774774763
2022-05-16,56.400002,63.900002,55.799999,60.599998,60.599998,36040,322044011.42,4.199995999999999,7.446801154368751
2022-05-17,60.900002,62.400002,53.400002,56.400002,56.400002,9253,347739011.42,-4.5,-7.389162318910926
2022-05-18,59.099998,59.970001,48.599998,52.799999,52.799999,14427,337460988.58,-6.299999,-10.659897145851001
2022-05-19,51.599998,54.990002,48.599998,52.830002,52.830002,5263,294635988.58,1.230004000000001,2.383728774563133
2022-05-20,52.200001,53.099998,48.0,48.599998,48.599998,5583,298062005.71,-3.600003000000001,-6.896557339146413
2022-05-23,47.700001,53.700001,45.599998,53.099998,53.099998,8457,272367005.71,5.399996999999999,11.320748190340707
2022-05-24,49.200001,52.5,48.599998,51.299999,51.299999,4443,280932005.71,2.0999979999999994,4.268288531132345
2022-05-25,51.0,56.700001,47.400002,56.099998,56.099998,14417,291210000.0,5.099997999999999,9.999996078431371
2022-05-26,54.599998,59.099998,54.0,58.200001,58.200001,7930,311765988.58,3.600003000000001,6.593412329429024
2022-05-27,55.200001,60.299999,55.200001,58.200001,58.200001,3987,315192005.71,3.0,5.434782510239447
2022-05-31,58.200001,61.799999,52.799999,56.099998,56.099998,5367,332322005.71,-2.100003000000001,-3.608252515322123
2022-06-01,54.599998,54.900002,51.0,53.700001,53.700001,1513,311765988.58,-0.899996999999999,-1.6483462142251344
2022-06-02,54.0,54.299999,48.0,53.400002,53.400002,3437,308340000.0,-0.5999979999999994,-1.1111074074074063
2022-06-03,49.799999,53.700001,49.799999,52.200001,52.200001,2043,284357994.29,2.4000020000000006,4.819281221270709
2022-06-06,51.900002,55.5,50.099998,52.5,52.5,5540,296349011.42,0.5999979999999994,1.1560654660475722
2022-06-07,50.549999,52.5,48.900002,49.799999,49.799999,1897,288640494.29,-0.75,-1.483679554573285
