Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2015-06-12,33.130001,35.130001,33.130001,35.0,27.809483,400,2377740171.77,1.869999,5.644427840494179
2015-06-15,34.880001,35.150002,33.939999,33.959999,26.983139,20500,2503337671.77,-0.9200019999999967,-2.637620337224178
2015-06-16,34.360001,34.849998,33.419998,33.82,26.871912,33100,2466017271.77,-0.5400009999999966,-1.571597742386552
2015-06-17,34.0,34.0,33.040001,33.040001,26.252157,24700,2440180000.0,-0.9599990000000034,-2.8235264705882455
2015-06-18,33.220001,33.220001,32.080002,33.0,26.220371,528500,2384199471.7700005,-0.22000100000000344,-0.6622546459285279
2015-06-19,33.0,33.5,33.0,33.099998,26.299824,371600,2368410000.0,0.09999799999999937,0.3030242424242405
2015-06-22,32.5,33.66,32.5,33.5,26.617647,194400,2332525000.0,1.0,3.076923076923077
2015-06-23,33.5,34.0,33.5,33.52,26.633541,108600,2404295000.0,0.020000000000003126,0.05970149253732277
2015-06-24,33.630001,34.66,33.5,34.330002,27.277136,242700,2413625171.77,0.7000010000000003,2.081477785266793
2015-06-25,34.18,34.200001,33.900002,34.200001,27.173847,109900,2453098600.0,0.0200010000000006,0.05851667641896022
2015-06-26,34.049999,34.5,34.0,34.5,27.412209,171600,2443768428.23,0.4500010000000003,1.3215888787544467
2015-06-29,37.0,37.0,34.0,34.07,27.070547,61800,2655490000.0,-2.9299999999999997,-7.918918918918918
2015-06-30,33.549999,34.799999,33.509998,34.0,27.014933,432200,2407883428.23,0.4500010000000003,1.3412846897551334
2015-07-01,33.549999,34.799999,33.509998,34.0,27.014933,432200,2407883428.23,0.4500010000000003,1.3412846897551334
2015-07-02,34.990002,38.27,34.939999,36.650002,29.120506,4456400,2511232443.54,1.6600000000000037,4.744212361005306
2015-07-06,36.540001,38.959999,35.880001,36.389999,28.913921,3281400,2622475871.77,-0.15000199999999353,-0.41051449341775753
2015-07-07,36.349998,36.830002,34.759998,35.310001,28.055798,2569700,2608839356.46,-1.0399969999999996,-2.8610648066610613
2015-07-08,34.650002,35.25,34.119999,34.919998,27.745924,1749700,2486830643.54,0.269995999999999,0.7792091902332329
2015-07-09,34.990002,36.299999,34.040001,35.889999,28.516647,2234000,2511232443.54,0.8999970000000062,2.57215475437814
2015-07-10,36.23,37.240002,35.32,37.0,29.398598,1197600,2600227100.0,0.7700000000000031,2.1253105161468486
2015-07-13,37.25,38.790001,36.27,38.5,30.590431,1094100,2673432500.0,1.25,3.3557046979865772
2015-07-14,38.380001,38.880001,37.119999,37.610001,29.883284,1034700,2754532671.77,-0.7700000000000031,-2.006253204631243
2015-07-15,38.040001,38.459999,37.540001,37.880001,30.097809,1101200,2730130871.77,-0.1599999999999966,-0.420609873275231
2015-07-16,38.119999,39.959999,38.119999,39.860001,31.671034,1042800,2735872328.23,1.740001999999997,4.564538419846226
2015-07-17,39.860001,41.84,39.450001,41.459999,32.942329,1116700,2860752271.77,1.5999980000000065,4.014044053837345
2015-07-20,42.0,42.389999,40.630001,42.0,33.371376,1083400,3014340000.0,0.0,0.0
2015-07-21,42.0,42.439999,41.48,42.029999,33.395229,542700,3014340000.0,0.029998999999996556,0.07142619047618227
2015-07-22,41.529999,42.439999,41.330002,42.0,33.371376,652800,2980608028.2299995,0.47000100000000344,1.1317144505589887
2015-07-23,41.990002,42.290001,41.759998,42.080002,33.434948,458400,3013622443.54,0.09000000000000341,0.21433673663555294
2015-07-24,41.889999,42.040001,41.619999,41.950001,33.331654,531100,3006445228.23,0.060001999999997224,0.14323705283448973
2015-07-27,41.720001,41.77,41.25,41.360001,32.862869,871200,2994244471.7700005,-0.36000000000000654,-0.8628954730849755
2015-07-28,41.439999,41.965,40.540001,40.59,32.251049,1157300,2974148728.23,-0.8499989999999968,-2.0511559375278865
2015-07-29,40.869999,41.389999,39.080002,39.34,31.257858,1493000,2933239828.23,-1.5299989999999966,-3.7435748408019207
2015-07-30,39.099998,39.290001,38.709999,38.950001,30.94799,934100,2806206856.46,-0.14999699999999905,-0.3836240605434278
2015-07-31,39.349998,39.720001,38.18,38.509998,30.598387,747100,2824149356.46,-0.8399999999999963,-2.1346887997300437
2015-08-03,38.369999,39.790001,38.330002,39.25,31.186356,876700,2753814828.23,0.880001,2.293461097040946
2015-08-04,39.73,40.48,38.529999,38.599998,30.669891,496700,2851422100.0,-1.1300019999999975,-2.8442033727661653
2015-08-05,39.169998,41.0,38.66,39.450001,31.345266,870300,2811230756.46,0.28000300000000067,0.7148404756109528
2015-08-06,39.18,41.310001,38.139999,41.139999,32.688061,524900,2811948600.0,1.9599990000000034,5.002549770290973
2015-08-07,41.23,42.0,40.52,40.549999,32.21928,350400,2959077100.0,-0.6800009999999972,-1.6492869269949
2015-08-10,40.669998,41.23,40.040001,41.16,32.703953,567300,2918885756.46,0.49000199999999694,1.204824253986924
2015-08-11,40.720001,41.5,39.73,41.32,32.831085,402100,2922474471.7700005,0.5999989999999968,1.4734749146985453
2015-08-12,40.970001,41.310001,40.465,41.02,32.592728,574600,2940416971.7700005,0.04999899999999968,0.12203807366272625
2015-08-13,41.279999,41.279999,39.942001,40.799999,32.417923,1012700,2962665528.2299995,-0.4799999999999969,-1.162790725842791
2015-08-14,40.549999,41.009998,40.139999,40.540001,32.211342,644700,2910273428.23,-0.00999800000000306,-0.02465598087931657
2015-08-17,40.099998,40.66,40.02,40.540001,32.211342,609000,2877976856.46,0.44000299999999726,1.0972643938785165
2015-08-18,40.209999,40.830002,39.91,40.459999,32.147766,565000,2885871628.23,0.25,0.6217359020575951
2015-08-19,40.240002,40.240002,39.25,39.75,31.583632,659500,2888024943.54,-0.49000199999999694,-1.2176987466352436
2015-08-20,39.279999,39.75,38.689999,38.889999,30.900307,500900,2819125528.2299995,-0.38999999999999346,-0.9928717157044569
2015-08-21,38.59,39.93,38.294998,39.580002,31.448555,966800,2769604300.0000005,0.9900019999999969,2.565436641616991
2015-08-24,37.290001,39.5,35.169998,39.5,31.385,1610700,2676303371.77,2.2099990000000034,5.926519015110789
2015-08-25,40.23,40.5,39.380001,39.779999,31.607464,1088300,2887307100.0,-0.4500010000000003,-1.118570718369377
2015-08-26,40.299999,40.540001,39.380001,40.099998,31.861725,532800,2892330928.23,-0.20000100000000032,-0.49628040933698364
2015-08-27,40.330002,41.599998,40.119999,41.57,33.029732,670800,2894484243.54,1.239998,3.0746291557337386
2015-08-28,41.389999,41.688,41.18,41.619999,33.069447,621700,2970560228.23,0.22999999999999687,0.5556897935658246
2015-08-31,41.529999,41.900002,41.27,41.759998,33.180695,323800,2980608028.2299995,0.2299990000000065,0.5538141236170184
2015-09-01,41.66,42.599998,40.830002,41.459999,32.942329,1171400,2989938199.9999995,-0.2000009999999932,-0.48007921267401155
2015-09-02,41.810001,41.82,40.759998,41.139999,32.688061,957100,3000703771.77,-0.6700019999999967,-1.602492188412042
2015-09-03,41.389999,41.474998,40.419998,41.130001,32.680119,514000,2970560228.23,-0.25999800000000306,-0.6281662389023083
2015-09-04,40.669998,42.060001,40.310001,41.25,32.775455,831100,2918885756.46,0.5800020000000004,1.426117601481073
2015-09-08,41.619999,42.419998,41.235001,42.0,33.371376,978200,2987067328.23,0.38000100000000003,0.9130250099237149
2015-09-09,42.009998,42.130001,41.41,41.799999,33.212479,588400,3015057556.46,-0.20999900000000338,-0.49987862413133977
2015-09-10,41.810001,41.950001,40.09,40.470001,32.155712,581100,3000703771.77,-1.3399999999999963,-3.204974809735107
2015-09-11,40.32,40.560001,40.049999,40.529999,32.203392,382800,2893766400.0,0.20999899999999627,0.5208308531745939
2015-09-14,40.57,40.599998,40.009998,40.34,32.052425,406000,2911708900.0,-0.22999999999999687,-0.5669213704707835
2015-09-15,40.41,40.950001,40.029999,40.490002,32.171604,543100,2900225699.9999995,0.08000200000000035,0.19797574857708575
2015-09-16,40.709999,41.779999,40.323002,41.759998,33.180695,825400,2921756628.23,1.0499989999999997,2.5792164721006245
2015-09-17,41.68,42.150002,41.68,42.0,33.371376,763400,2991373600.0,0.3200000000000003,0.7677543186180429
2015-09-18,41.720001,42.669998,41.669998,41.82,33.228352,2023000,2994244471.7700005,0.09999899999999684,0.23969079003616714
2015-09-21,42.529999,42.919998,41.830002,42.310001,33.617706,826000,3052378028.2299995,-0.2199979999999968,-0.5172772282454011
2015-09-22,42.02,42.27,41.43,42.009998,33.37933,400700,3015775400.0,-0.010002000000000066,-0.023802950975726
2015-09-23,41.860001,42.212002,41.360001,42.009998,33.37933,380200,3004292271.77,0.14999700000000615,0.35833013955256754
2015-09-24,41.77,41.98,40.009998,40.080002,31.845835,650400,2997832900.0,-1.6899980000000028,-4.04596121618387
2015-09-25,40.52,40.630001,39.59,40.25,31.980915,512000,2908120400.0,-0.2700000000000031,-0.6663376110562762
2015-09-28,40.25,40.438,39.639999,39.810001,31.63131,779900,2888742500.0,-0.43999900000000025,-1.093165217391305
2015-09-29,39.880001,40.064999,39.060001,39.279999,31.210182,589200,2862187671.77,-0.6000020000000035,-1.5045185179408682
2015-09-30,39.779999,39.779999,38.490002,38.709999,30.757292,640200,2855010528.2299995,-1.0699999999999932,-2.689793933881178
2015-10-01,38.91,41.299999,38.644001,40.18,31.925287,862200,2792570699.9999995,1.2700000000000031,3.2639424312516145
2015-10-02,39.490002,40.66,39.09,40.66,32.306683,578700,2834197443.54,1.1699979999999996,2.962770171548737
2015-10-05,40.849998,42.099998,40.849998,41.810001,33.220417,297100,2931804356.46,0.9600030000000004,2.3500686585100943
2015-10-06,41.509998,41.799999,40.849998,41.119999,32.672165,394700,2979172556.46,-0.3899990000000031,-0.9395302789462987
2015-10-07,41.240002,42.099998,40.490002,41.139999,32.688061,375100,2959794943.54,-0.10000299999999385,-0.24249028891898178
2015-10-08,41.150002,42.119999,41.099998,42.0,33.371376,187700,2953335643.54,0.8499979999999994,2.065608648087063
2015-10-09,42.09,42.610001,41.700001,42.259998,33.577969,298800,3020799300.0000005,0.16999799999999965,0.40389166072701266
2015-10-12,42.080002,42.994999,41.959999,42.740002,33.959362,416700,3020081743.54,0.6599999999999966,1.5684409900931007
2015-10-13,42.470001,43.48,41.276001,43.0,34.165939,430600,3048071971.7700005,0.5299989999999966,1.247937338169586
2015-10-14,42.77,42.84,42.029999,42.360001,33.657433,313900,3069602900.0,-0.4099990000000062,-0.9586135141454436
2015-10-15,42.48,43.02,42.41,42.650002,33.887833,319600,3048789600.0,0.17000200000000376,0.4001930320150748
2015-10-16,42.709999,42.990002,42.473999,42.700001,33.927574,268500,3065296628.23,-0.00999800000000306,-0.02340903824418975
2015-10-19,42.73,42.950001,42.240002,42.5,33.768661,366500,3066732100.0,-0.22999999999999687,-0.5382635150947739
2015-10-20,42.540001,43.150002,42.240002,43.0,34.165939,275400,3053095871.77,0.4599990000000034,1.0813328377683946
2015-10-21,43.029999,43.34,42.52,43.110001,34.253342,302400,3088263028.2299995,0.08000200000000035,0.18592145447179853
2015-10-22,43.34,44.52,42.790001,43.220001,34.340755,517300,3110511800.0000005,-0.11999899999999997,-0.2768781725888324
2015-10-23,43.41,43.490002,42.23,43.09,34.237453,499300,3115535699.9999995,-0.3199999999999932,-0.7371573370191044
2015-10-26,42.959999,43.189999,41.830002,42.419998,33.705086,406900,3083239128.23,-0.5400010000000037,-1.2569855972296546
2015-10-27,42.130001,42.709999,41.900002,42.490002,33.760719,326400,3023670171.77,0.3600009999999969,0.8545003357583517
2015-10-28,42.509998,43.200001,42.389999,43.200001,34.324848,323900,3050942556.46,0.6900029999999973,1.6231546282359206
2015-10-29,42.93,43.599998,42.75,43.02,34.181835,279900,3081086100.0,0.09000000000000341,0.20964360587002892
2015-10-30,43.09,43.450001,42.700001,42.830002,34.030861,247600,3092569300.0000005,-0.25999800000000306,-0.6033836156881017
2015-11-02,43.189999,43.639999,42.810001,43.25,34.364582,274200,3099746228.23,0.06000099999999975,0.13892336510588885
2015-11-03,43.07,43.470001,42.799999,42.84,34.038815,423700,3091133900.0,-0.22999999999999687,-0.5340143951706452
2015-11-04,42.790001,43.110001,42.119999,42.439999,33.720989,483800,3071038371.77,-0.35000199999999637,-0.8179527735930561
2015-11-05,42.389999,42.490002,40.990002,41.330002,32.839031,401400,3042330228.23,-1.0599970000000027,-2.5005827435853503
2015-11-06,41.34,41.34,40.470001,40.799999,32.417923,162600,2966971800.0000005,-0.5400010000000037,-1.3062433478471305
2015-11-09,40.599998,41.040001,39.970001,40.919998,32.513256,243500,2913861856.46,0.3200000000000003,0.7881773787279504
2015-11-10,40.669998,40.93,40.139999,40.540001,32.211342,750100,2918885756.46,-0.12999700000000303,-0.3196385699355162
2015-11-11,40.77,41.5,39.450001,39.669998,31.520058,840300,2926062900.0,-1.1000020000000035,-2.698067206279135
2015-11-12,35.549999,36.43,34.049999,36.080002,28.667608,3316300,2551423428.23,0.5300030000000007,1.4908664273098873
2015-11-13,36.119999,36.669998,35.110001,35.84,28.47691,1234600,2592332328.23,-0.27999899999999656,-0.7751910513618689
2015-11-16,35.740002,37.650002,35.34,37.34,29.668753,590300,2565059943.54,1.5999980000000065,4.476770874271374
2015-11-17,37.139999,37.580002,35.919998,36.009998,28.611982,693000,2665537728.23,-1.130001,-3.0425445084153067
2015-11-18,35.98,36.43,35.27,35.669998,28.341845,1235400,2582284600.0,-0.3100019999999972,-0.861595330739292
2015-11-19,35.689999,36.459999,35.0,35.619999,28.302109,872400,2561471228.23,-0.07000000000000028,-0.19613337618754287
2015-11-20,35.700001,36.509998,35.110001,35.27,28.024019,762400,2562189071.77,-0.4300009999999972,-1.204484560098464
2015-11-23,35.310001,35.990002,34.990002,35.009998,27.817427,749800,2534198771.77,-0.3000029999999967,-0.8496261441623768
2015-11-24,34.799999,35.514999,34.459999,34.639999,27.523453,1111900,2497595928.23,-0.1599999999999966,-0.45977012815430424
2015-11-25,34.490002,35.23,34.23,34.669998,27.747541,310900,2475347443.54,0.1799960000000027,0.5218787751882493
2015-11-27,34.490002,34.689999,34.099998,34.32,27.467422,130300,2475347443.54,-0.17000199999999666,-0.49290226193665243
2015-11-30,34.349998,34.669998,33.27,33.82,27.067259,1314300,2465299356.46,-0.5299979999999991,-1.5429345876526663
2015-12-01,33.889999,34.240002,33.5,34.049999,27.251337,1182300,2432285228.23,0.1599999999999966,0.4721156822695586
2015-12-02,34.02,34.490002,33.700001,33.919998,27.147289,380500,2441615400.0,-0.10000200000000348,-0.2939506172839608
2015-12-03,33.959999,34.02,32.560001,33.200001,26.571056,1197200,2437309128.23,-0.7599980000000031,-2.237921149526544
2015-12-04,33.200001,34.490002,33.119999,34.200001,27.371386,797100,2382764071.77,1.0,3.0120481020467436
2015-12-07,34.16,34.490002,33.950001,34.279999,27.435413,348100,2451663199.9999995,0.11999899999999997,0.3512851288056206
2015-12-08,34.009998,34.5,33.77,34.049999,27.251337,1027400,2440897556.46,0.04000099999999662,0.11761541414967629
2015-12-09,33.959999,34.650002,33.75,34.029999,27.235325,615900,2437309128.23,0.06999999999999318,0.2061248588375788
2015-12-10,34.119999,34.639999,33.889999,34.049999,27.251337,523800,2448792328.23,-0.07000000000000028,-0.20515827096009084
2015-12-11,33.869999,34.450001,33.27,34.099998,27.291351,770500,2430849828.23,0.2299989999999994,0.679064088546325
2015-12-14,33.720001,34.310001,33.310001,33.830002,27.075262,719900,2420084471.7700005,0.1100009999999969,0.32621885153561203
2015-12-15,33.990002,34.849998,33.919998,34.02,27.227325,879400,2439462443.54,0.029998000000006186,0.08825536403324186
2015-12-16,34.189999,35.450001,33.900002,35.139999,28.123697,829900,2453816228.23,0.9500000000000028,2.7785903123308158
2015-12-17,35.150002,35.470001,34.68,34.880001,27.915606,655000,2522715643.54,-0.2700010000000006,-0.7681393588540922
2015-12-18,34.75,34.880001,33.759998,34.130001,27.315359,1705500,2494007500.0,-0.619999,-1.7841697841726618
2015-12-21,34.150002,34.990002,33.860001,34.900002,27.931618,1090300,2450945643.54,0.75,2.196193136386932
2015-12-22,34.849998,35.639999,33.959999,35.32,28.267756,690400,2501184356.46,0.4700020000000009,1.3486428320598496
2015-12-23,35.509998,35.990002,35.25,35.57,28.467831,756400,2548552556.46,0.060001999999997224,0.1689721300462963
2015-12-24,35.220001,35.560001,34.889999,34.91,27.939617,165800,2527739471.7700005,-0.31000100000000685,-0.8801845292395274
2015-12-28,34.82,35.299999,34.439999,35.049999,28.051668,535200,2499031400.0,0.2299989999999994,0.660537047673749
2015-12-29,35.209999,35.830002,35.189999,35.48,28.395813,542400,2527021628.23,0.2700009999999935,0.766830467674803
2015-12-30,35.32,35.830002,34.77,34.849998,27.8916,367700,2534916400.0,-0.4700020000000009,-1.3306964892412256
2015-12-31,34.75,34.98,34.040001,34.060001,27.259336,580600,2494007500.0,-0.6899990000000003,-1.985608633093526
2016-01-04,33.689999,34.889999,33.389999,34.700001,27.771557,579600,2417931228.23,1.010002,2.9979282575817234
2016-01-05,34.700001,35.455002,34.450001,34.549999,27.651499,465400,2490419071.77,-0.15000200000000063,-0.4322824082915751
2016-01-06,34.150002,34.900002,33.959999,34.330002,27.475428,455100,2450945643.54,0.17999999999999972,0.5270863527328629
2016-01-07,33.689999,34.130001,33.099998,33.110001,26.499022,426800,2417931228.23,-0.5799980000000033,-1.7215732182123344
2016-01-08,32.630001,32.990002,31.780001,31.950001,25.570639,1003800,2341855171.77,-0.6799999999999997,-2.083971741220602
2016-01-11,32.040001,32.268002,31.0,31.4,25.130451,936300,2299510871.77,-0.640000999999998,-1.9975061798531095
2016-01-12,31.620001,32.09,31.165001,31.940001,25.56263,674700,2269367471.77,0.3200000000000003,1.0120176783043122
2016-01-13,31.959999,32.369999,30.855,31.4,25.130451,812700,2293769128.23,-0.5599990000000012,-1.7521871637104909
2016-01-14,31.459999,31.690001,30.99,31.440001,25.162464,337800,2257884128.23,-0.01999800000000107,-0.06356643558698483
2016-01-15,30.52,31.256001,30.33,30.620001,24.506197,538600,2190420400.0,0.1000009999999989,0.3276572739187382
2016-01-19,31.08,31.360001,30.0,30.23,24.194063,525700,2230611600.0,-0.8499999999999979,-2.7348777348777285
2016-01-20,29.83,30.950001,28.855,30.66,24.538206,1108300,2140899099.9999998,0.8300000000000018,2.7824337914850883
2016-01-21,30.620001,31.91,30.014999,31.290001,25.042418,649700,2197597471.77,0.6700000000000017,2.1881122734124068
2016-01-22,31.629999,32.09,31.41,31.82,25.466589,347600,2270085028.23,0.19000099999999875,0.6006987227536705
2016-01-25,31.639999,32.563,31.32,32.32,25.866758,700200,2270802728.23,0.6800010000000007,2.149181483855296
2016-01-26,32.48,32.669998,30.940001,31.940001,25.56263,894900,2331089600.0,-0.5399989999999981,-1.6625584975369403
2016-01-27,31.83,32.07,31.35,31.66,25.338543,358100,2284439100.0,-0.16999999999999815,-0.5340873389883699
2016-01-28,31.75,32.360001,30.959999,31.299999,25.050413,773700,2278697500.0,-0.4500010000000003,-1.4173259842519694
2016-01-29,31.48,32.330002,31.200001,32.040001,25.642668,909400,2259319600.0,0.5600009999999962,1.778910419313838
2016-02-01,31.92,32.619999,31.52,31.85,25.490604,629500,2290898400.0,-0.07000000000000028,-0.219298245614036
2016-02-02,31.780001,32.189999,31.1,31.58,25.274509,1277800,2280850671.77,-0.20000100000000032,-0.6293297473464533
2016-02-03,35.869999,37.34,34.709999,36.860001,29.500267,2481700,2574389828.23,0.9900019999999969,2.7599721984937804
2016-02-04,37.189999,39.380001,36.68,37.849998,30.292591,1739900,2669126228.23,0.6599989999999991,1.7746679692032234
2016-02-05,37.639999,38.490002,36.360001,36.43,29.15613,936900,2701422728.23,-1.2099990000000034,-3.2146626783916847
2016-02-08,36.18,37.330002,35.509998,36.93,29.556295,733700,2596638600.0,0.75,2.0729684908789388
2016-02-09,36.459999,37.48,36.310001,36.59,29.28418,384900,2616734128.23,0.13000100000000003,0.3565578814195799
2016-02-10,36.880001,38.009998,36.639999,37.310001,29.860424,599200,2646877671.77,0.4299999999999997,1.1659435692531563
2016-02-11,36.740002,36.860001,34.759998,35.619999,28.507853,727200,2636829943.54,-1.120002999999997,-3.0484565569702395
2016-02-12,35.900002,36.93,35.755001,36.400002,29.132114,505600,2576543143.54,0.5,1.392757582576179
2016-02-16,36.810001,37.549999,36.360001,37.279999,29.836414,350900,2641853771.77,0.4699979999999968,1.2768214812056018
2016-02-17,37.110001,38.099998,37.110001,37.43,30.158707,508000,2663384771.77,0.3199990000000028,0.8622985485772496
