Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2007-11-15,3.93,3.93,3.93,3.93,3.599057,0,87088800.0,0.0,0.0
2007-11-16,3.71,3.71,3.71,3.71,3.397583,1000,82213600.0,0.0,0.0
2007-11-19,3.71,3.71,3.71,3.71,3.397583,0,82213600.0,0.0,0.0
2007-11-20,3.72,3.72,3.72,3.72,3.406741,1000,82435200.0,0.0,0.0
2007-11-21,3.72,3.72,3.72,3.72,3.406741,1000,82435200.0,0.0,0.0
2007-11-23,3.72,3.72,3.72,3.72,3.406741,0,82435200.0,0.0,0.0
2007-11-26,3.72,3.72,3.72,3.72,3.406741,0,82435200.0,0.0,0.0
2007-11-27,3.53,3.53,3.53,3.53,3.232741,5000,78224800.0,0.0,0.0
2007-11-28,3.53,3.53,3.53,3.53,3.232741,0,78224800.0,0.0,0.0
2007-11-29,3.53,3.53,3.53,3.53,3.232741,0,78224800.0,0.0,0.0
2007-11-30,3.49,3.49,3.49,3.49,3.19611,1000,77338400.0,0.0,0.0
2007-12-03,3.49,3.49,3.49,3.49,3.19611,0,77338400.0,0.0,0.0
2007-12-04,3.49,3.49,3.49,3.49,3.19611,0,77338400.0,0.0,0.0
2007-12-05,3.49,3.49,3.49,3.49,3.19611,0,77338400.0,0.0,0.0
2007-12-06,3.23,3.23,3.2,3.23,2.958004,50000,71576800.0,0.0,0.0
2007-12-07,3.25,3.25,3.25,3.25,2.97632,5000,72020000.0,0.0,0.0
2007-12-10,3.24,3.24,3.24,3.24,2.967162,1000,71798400.0,0.0,0.0
2007-12-11,3.24,3.24,3.24,3.24,2.967162,0,71798400.0,0.0,0.0
2007-12-12,3.19,3.19,3.19,3.19,2.921373,200,70690400.0,0.0,0.0
2007-12-13,3.19,3.19,3.19,3.19,2.921373,0,70690400.0,0.0,0.0
2007-12-14,3.11,3.11,3.09,3.11,2.848109,5000,68917600.0,0.0,0.0
2007-12-17,3.09,3.09,3.09,3.09,2.829793,500,68474400.0,0.0,0.0
2007-12-18,2.99,2.99,2.99,2.99,2.738214,2000,66258400.00000001,0.0,0.0
2007-12-19,3.0,3.0,3.0,3.0,2.747372,1000,66480000.0,0.0,0.0
2007-12-20,3.0,3.0,3.0,3.0,2.747372,500,66480000.0,0.0,0.0
2007-12-21,3.02,3.02,3.02,3.02,2.765688,1000,66923200.0,0.0,0.0
2007-12-24,3.02,3.02,3.02,3.02,2.765688,0,66923200.0,0.0,0.0
2007-12-26,3.02,3.02,3.02,3.02,2.765688,0,66923200.0,0.0,0.0
2007-12-27,3.06,3.06,3.05,3.06,2.80232,1500,67809600.0,0.0,0.0
2007-12-28,3.06,3.06,3.06,3.06,2.80232,0,67809600.0,0.0,0.0
2007-12-31,2.9,2.9,2.9,2.9,2.655793,4000,64264000.0,0.0,0.0
2008-01-02,2.9,2.9,2.9,2.9,2.655793,0,64264000.0,0.0,0.0
2008-01-03,3.05,3.05,3.05,3.05,2.793161,200,67588000.0,0.0,0.0
2008-01-04,3.03,3.07,3.03,3.03,2.774846,3000,67144800.0,0.0,0.0
2008-01-07,3.24,3.24,3.04,3.24,2.967162,3000,71798400.0,0.0,0.0
2008-01-08,3.24,3.24,3.24,3.24,2.967162,0,71798400.0,0.0,0.0
2008-01-09,3.14,3.14,3.14,3.14,2.875583,5900,69582400.0,0.0,0.0
2008-01-10,3.08,3.13,3.08,3.08,2.820635,12000,68252800.0,0.0,0.0
2008-01-11,3.08,3.1,3.05,3.08,2.820635,11200,68252800.0,0.0,0.0
2008-01-14,3.11,3.11,2.96,3.11,2.848109,2000,68917600.0,0.0,0.0
2008-01-15,3.06,3.16,3.06,3.06,2.80232,2300,67809600.0,0.0,0.0
2008-01-16,2.98,2.98,2.98,2.98,2.729057,1000,66036800.0,0.0,0.0
2008-01-17,3.12,3.12,3.11,3.12,2.857266,4300,69139200.0,0.0,0.0
2008-01-18,2.94,3.13,2.94,2.94,2.692425,6300,65150400.0,0.0,0.0
2008-01-22,2.35,2.49,2.35,2.35,2.152108,3000,52076000.0,0.0,0.0
2008-01-23,2.34,2.34,2.34,2.34,2.14295,4900,51854400.0,0.0,0.0
2008-01-24,2.47,2.57,2.47,2.47,2.262003,2000,54735200.00000001,0.0,0.0
2008-01-25,2.59,2.75,2.59,2.59,2.371898,7000,57394400.0,0.0,0.0
2008-01-28,2.6,2.6,2.6,2.6,2.381056,5300,57616000.0,0.0,0.0
2008-01-29,2.39,2.58,2.39,2.39,2.18874,18000,52962400.0,0.0,0.0
2008-01-30,2.54,2.54,2.34,2.54,2.326108,9100,56286400.0,0.0,0.0
2008-01-31,2.3,2.35,2.3,2.3,2.106318,2600,50967999.99999999,0.0,0.0
2008-02-01,2.3,2.3,2.3,2.3,2.106318,0,50967999.99999999,0.0,0.0
2008-02-04,2.28,2.28,2.28,2.28,2.088003,2000,50524799.99999999,0.0,0.0
2008-02-05,2.25,2.25,2.24,2.25,2.060529,20200,49860000.0,0.0,0.0
