Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-12-16,9.85,9.85,9.85,9.85,9.85,2100,69245500.0,0.0,0.0
2021-12-17,9.885,9.885,9.885,9.885,9.885,200,69491550.0,0.0,0.0
2021-12-20,9.89,9.89,9.89,9.89,9.89,300,69526700.0,0.0,0.0
2021-12-21,9.89,9.93,9.89,9.925,9.925,68500,69526700.0,0.03500000000000014,0.3538928210313462
2021-12-22,9.89,9.89,9.89,9.89,9.89,400,69526700.0,0.0,0.0
2021-12-23,9.88,10.19,9.88,10.19,10.19,123400,69456400.0,0.3099999999999987,3.1376518218623346
2021-12-27,9.9,9.9,9.9,9.9,9.9,300000,69597000.0,0.0,0.0
2021-12-28,9.9,9.9,9.9,9.9,9.9,0,69597000.0,0.0,0.0
2021-12-29,9.9,9.9,9.9,9.9,9.9,0,69597000.0,0.0,0.0
2021-12-30,9.9,9.9,9.9,9.9,9.9,0,69597000.0,0.0,0.0
2021-12-31,9.91,9.92,9.9,9.92,9.92,73500,69667300.0,0.009999999999999787,0.10090817356205638
2022-01-03,9.9,9.94,9.89,9.91,9.91,79100,69597000.0,0.009999999999999787,0.10101010101009886
2022-01-04,9.92,9.92,9.92,9.92,9.92,100,69737600.0,0.0,0.0
2022-01-05,9.89,9.92,9.89,9.91,9.91,29300,69526700.0,0.019999999999999574,0.20222446916076411
2022-01-06,9.92,9.94,9.89,9.93,9.93,82500,69737600.0,0.009999999999999787,0.10080645161290108
2022-01-07,10.49,10.49,9.91,9.93,9.93,6700,73744700.0,-0.5600000000000005,-5.33841754051478
2022-01-10,9.94,9.94,9.92,9.92,9.92,2200,69878200.0,-0.019999999999999574,-0.2012072434607603
2022-01-11,9.92,9.92,9.92,9.92,9.92,0,69737600.0,0.0,0.0
2022-01-12,9.93,9.93,9.92,9.92,9.92,125300,69807900.0,-0.009999999999999787,-0.1007049345417904
2022-01-13,9.92,9.92,9.92,9.92,9.92,0,69737600.0,0.0,0.0
2022-01-14,9.91,9.925,9.91,9.92,9.92,447900,69667300.0,0.009999999999999787,0.10090817356205638
2022-01-18,9.92,9.92,9.92,9.92,9.92,0,69737600.0,0.0,0.0
2022-01-19,9.91,9.91,9.91,9.91,9.91,1900,69667300.0,0.0,0.0
2022-01-20,9.9,9.9,9.9,9.9,9.9,400,69597000.0,0.0,0.0
