Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,1.583333,1.5625,1.583333,0.331035,4200,0.0,1.583333,inf
1980-03-18,0.0,1.541667,1.458333,1.479167,0.309256,18000,0.0,1.479167,inf
1980-03-19,0.0,1.5,1.5,1.5,0.313612,1200,0.0,1.5,inf
1980-03-20,0.0,1.5,1.458333,1.458333,0.3049,3600,0.0,1.458333,inf
1980-03-21,1.458333,1.458333,1.458333,1.458333,0.3049,0,3952082.43,0.0,0.0
1980-03-24,0.0,1.4375,1.395833,1.416667,0.296189,6600,0.0,1.416667,inf
1980-03-25,0.0,1.4375,1.395833,1.395833,0.291833,1200,0.0,1.395833,inf
1980-03-26,1.395833,1.395833,1.395833,1.395833,0.291833,0,3782707.43,0.0,0.0
1980-03-27,0.0,1.395833,1.333333,1.333333,0.278766,3600,0.0,1.333333,inf
1980-03-28,0.0,1.395833,1.375,1.375,0.287477,1800,0.0,1.375,inf
1980-03-31,0.0,1.416667,1.354167,1.416667,0.296189,4800,0.0,1.416667,inf
1980-04-01,0.0,1.375,1.354167,1.354167,0.283122,6000,0.0,1.354167,inf
1980-04-02,1.354167,1.354167,1.354167,1.354167,0.283122,0,3669792.57,0.0,0.0
1980-04-03,0.0,1.375,1.375,1.375,0.287477,600,0.0,1.375,inf
1980-04-07,0.0,1.354167,1.354167,1.354167,0.283122,1200,0.0,1.354167,inf
1980-04-08,0.0,1.333333,1.333333,1.333333,0.278766,1800,0.0,1.333333,inf
1980-04-09,1.333333,1.333333,1.333333,1.333333,0.278766,0,3613332.43,0.0,0.0
1980-04-10,0.0,1.416667,1.395833,1.416667,0.296189,7200,0.0,1.416667,inf
1980-04-11,0.0,1.4375,1.4375,1.4375,0.300545,3000,0.0,1.4375,inf
1980-04-14,1.4375,1.4375,1.4375,1.4375,0.300545,0,3895625.0,0.0,0.0
1980-04-15,1.4375,1.4375,1.4375,1.4375,0.300545,0,3895625.0,0.0,0.0
1980-04-16,1.4375,1.4375,1.4375,1.4375,0.300545,0,3895625.0,0.0,0.0
1980-04-17,0.0,1.4375,1.395833,1.395833,0.291833,1800,0.0,1.395833,inf
1980-04-18,1.395833,1.395833,1.395833,1.395833,0.291833,0,3782707.43,0.0,0.0
1980-04-21,0.0,1.375,1.375,1.375,0.287477,1200,0.0,1.375,inf
1980-04-22,0.0,1.458333,1.416667,1.458333,0.3049,4200,0.0,1.458333,inf
1980-04-23,1.458333,1.458333,1.458333,1.458333,0.3049,0,3952082.43,0.0,0.0
1980-04-24,1.458333,1.458333,1.458333,1.458333,0.3049,0,3952082.43,0.0,0.0
1980-04-25,0.0,1.5,1.458333,1.5,0.313612,5400,0.0,1.5,inf
1980-04-28,0.0,1.5625,1.541667,1.5625,0.326679,4200,0.0,1.5625,inf
1980-04-29,1.5625,1.5625,1.5625,1.5625,0.326679,0,4234375.0,0.0,0.0
1980-04-30,1.5625,1.5625,1.5625,1.5625,0.326679,0,4234375.0,0.0,0.0
1980-05-01,0.0,1.541667,1.541667,1.541667,0.322323,1200,0.0,1.541667,inf
1980-05-02,0.0,1.541667,1.479167,1.541667,0.322323,4200,0.0,1.541667,inf
1980-05-05,0.0,1.583333,1.541667,1.583333,0.331035,7200,0.0,1.583333,inf
1980-05-06,0.0,1.604167,1.604167,1.604167,0.33539,1800,0.0,1.604167,inf
1980-05-07,1.604167,1.604167,1.604167,1.604167,0.33539,0,4347292.569999999,0.0,0.0
1980-05-08,1.604167,1.604167,1.604167,1.604167,0.33539,0,4347292.569999999,0.0,0.0
1980-05-09,0.0,1.5625,1.5,1.5,0.313612,7200,0.0,1.5,inf
1980-05-12,0.0,1.479167,1.479167,1.479167,0.309256,1200,0.0,1.479167,inf
1980-05-13,1.479167,1.479167,1.479167,1.479167,0.309256,0,4008542.57,0.0,0.0
1980-05-14,0.0,1.541667,1.520833,1.541667,0.322323,3000,0.0,1.541667,inf
1980-05-15,1.541667,1.541667,1.541667,1.541667,0.322323,0,4177917.57,0.0,0.0
1980-05-16,0.0,1.5,1.5,1.5,0.313612,9000,0.0,1.5,inf
1980-05-19,0.0,1.520833,1.479167,1.520833,0.317967,4800,0.0,1.520833,inf
1980-05-20,1.520833,1.520833,1.520833,1.520833,0.317967,0,4121457.43,0.0,0.0
1980-05-21,0.0,1.520833,1.479167,1.520833,0.317967,3600,0.0,1.520833,inf
