Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2017-06-27,15.9,15.9,15.0,15.25,14.980383,715300,130379984.10000001,-0.6500000000000004,-4.088050314465411
2017-06-28,15.22,15.25,15.1,15.15,14.882151,71000,124803984.78,-0.07000000000000028,-0.459921156373195
2017-06-29,15.15,15.15,14.74,14.86,14.597278,90200,124229984.85000001,-0.2900000000000009,-1.9141914191419203
2017-06-30,14.83,15.127,14.83,15.0,14.734804,31600,121605985.17,0.16999999999999993,1.1463250168577204
2017-07-03,15.27,15.27,15.0,15.05,14.783921,10400,125213984.72999999,-0.21999999999999886,-1.4407334643090954
2017-07-05,14.9,15.2,14.89,15.14,14.872329,13000,122179985.10000001,0.2400000000000002,1.6107382550335587
2017-07-06,15.27,15.31,14.95,14.95,14.685688,24400,125213984.72999999,-0.3200000000000003,-2.0956123117223333
2017-07-07,15.0,15.04,14.97,14.995,14.729892,8200,122999985.0,-0.005000000000000782,-0.033333333333338544
2017-07-10,15.0,15.21,14.79,14.85,14.587456,42500,122999985.0,-0.15000000000000036,-1.0000000000000024
2017-07-11,14.85,15.0,14.8,14.94,14.675864,29000,121769985.14999999,0.08999999999999986,0.6060606060606051
2017-07-12,14.77,15.0,14.51,14.9,14.636572,81400,121113985.22999999,0.13000000000000078,0.8801624915369044
2017-07-13,14.77,15.0,14.77,14.95,14.685688,53900,121113985.22999999,0.17999999999999972,1.2186865267433968
2017-07-14,14.767,14.811,14.6,14.65,14.390991,44000,121089385.233,-0.1169999999999991,-0.7923071713956736
2017-07-17,14.656,14.683,14.64,14.66,14.400814,16800,120179185.34400001,0.0039999999999995595,0.02729257641921097
2017-07-18,14.65,14.75,14.65,14.7,14.440106,8200,120129985.35000001,0.049999999999998934,0.34129692832763775
2017-07-19,14.59,14.67,14.55,14.65,14.390991,51500,119637985.41,0.0600000000000005,0.4112405757368095
2017-07-20,14.65,14.677,14.6,14.65,14.390991,30800,120129985.35000001,0.0,0.0
2017-07-21,14.65,14.75,14.65,14.65,14.390991,27000,120129985.35000001,0.0,0.0
2017-07-24,14.68,14.7,14.552,14.65,14.390991,7200,120375985.32,-0.02999999999999936,-0.2043596730245188
2017-07-25,14.75,14.815,14.6,14.74,14.4794,63600,120949985.25,-0.009999999999999787,-0.06779661016949008
2017-07-26,14.795,14.89,14.55,14.85,14.587456,53900,121318985.205,0.054999999999999716,0.37174721189590887
2017-07-27,14.91,14.91,14.61,14.61,14.351699,39100,122261985.09,-0.3000000000000007,-2.0120724346076506
2017-07-28,14.75,14.95,14.75,14.9,14.636572,15000,120949985.25,0.15000000000000036,1.0169491525423753
2017-07-31,14.85,14.85,14.7,14.775,14.513782,24600,121769985.14999999,-0.07499999999999929,-0.5050505050505002
2017-08-01,14.75,14.95,14.7,14.89,14.62675,11800,120949985.25,0.14000000000000057,0.9491525423728852
2017-08-02,14.81,14.85,14.8,14.8,14.53834,15800,121441985.19,-0.009999999999999787,-0.06752194463200396
2017-08-03,14.9,14.94,14.75,14.82,14.557986,52700,122179985.10000001,-0.08000000000000007,-0.5369127516778528
2017-08-04,14.99,15.0,14.84,15.0,14.734804,22000,122917985.01,0.009999999999999787,0.06671114076050558
2017-08-07,15.0,15.05,14.9,15.01,14.744627,49600,122999985.0,0.009999999999999787,0.06666666666666525
2017-08-08,15.047,15.17,15.0,15.15,14.882151,23000,123385384.95300001,0.10299999999999976,0.6845218315943361
2017-08-09,15.25,15.3,15.05,15.18,14.91162,10300,125049984.75,-0.07000000000000028,-0.4590163934426248
2017-08-10,15.0,15.3,15.0,15.17,14.901797,9900,122999985.0,0.16999999999999993,1.1333333333333329
2017-08-11,15.32,16.120001,15.21,16.059999,15.776061,1500,125623984.68,0.739999000000001,4.830280678851181
2017-08-14,15.99,16.059999,15.158,16.0,15.717125,4000,131117984.01,0.009999999999999787,0.0625390869293295
2017-08-15,16.0,16.0,15.524,15.524,15.249537,1700,131199984.0,-0.47600000000000087,-2.9750000000000054
2017-08-16,15.6,15.83,15.6,15.83,15.550129,1400,127919984.39999999,0.23000000000000043,1.4743589743589771
2017-08-17,15.78,16.01,15.78,16.01,15.726949,200,129395984.22,0.2300000000000022,1.4575411913815097
2017-08-18,15.987,15.987,15.987,15.987,15.704356,700,131093384.013,0.0,0.0
2017-08-21,16.01,16.16,15.78,15.9,15.618891,12300,131281983.99000001,-0.11000000000000121,-0.6870705808869532
2017-08-22,15.9,15.9,15.17,15.28,15.009853,21600,130379984.10000001,-0.620000000000001,-3.899371069182396
2017-08-23,15.43,15.5,14.785,15.16,14.891974,23900,126525984.57,-0.2699999999999996,-1.7498379779650006
2017-08-24,15.09,15.2,14.9,15.2,14.931267,3400,123737984.91,0.10999999999999943,0.7289595758780612
2017-08-25,15.35,15.5,15.0,15.075,14.808478,4100,125869984.64999999,-0.27500000000000036,-1.7915309446254093
2017-08-28,14.95,14.95,14.8,14.9,14.636572,11200,122589985.05,-0.049999999999998934,-0.33444816053510995
2017-08-29,14.8,14.853,14.53,14.7,14.440106,43700,121359985.2,-0.10000000000000142,-0.6756756756756852
2017-08-30,14.8,15.06,14.73,15.06,14.793744,45800,121359985.2,0.2599999999999998,1.756756756756755
2017-08-31,15.06,15.25,15.0,15.0,14.734804,19900,123491984.94,-0.0600000000000005,-0.39840637450199534
2017-09-01,15.0,15.25,14.76,14.76,14.499046,22000,122999985.0,-0.2400000000000002,-1.6000000000000014
2017-09-05,14.95,14.95,14.51,14.8,14.53834,30500,122589985.05,-0.14999999999999858,-1.0033444816053416
2017-09-06,14.57,15.0,14.57,14.94,14.675864,33100,119473985.43,0.3699999999999992,2.5394646533973866
2017-09-07,15.24,15.24,15.0,15.08,14.81339,7500,124967984.76,-0.16000000000000014,-1.0498687664042003
2017-09-08,15.03,15.235,15.03,15.125,14.857593,2300,123245984.97,0.09500000000000064,0.6320691949434507
2017-09-11,15.06,15.23,14.95,15.1,14.833036,19700,123491984.94,0.03999999999999915,0.265604249667989
2017-09-12,15.2,15.2,15.0,15.2,14.931267,9700,124639984.8,0.0,0.0
2017-09-13,15.25,15.25,15.0,15.0,14.734804,13100,125049984.75,-0.25,-1.639344262295082
2017-09-14,14.98,15.25,14.98,15.2,14.931267,17500,122835985.02000001,0.21999999999999886,1.4686248331108067
2017-09-15,15.19,15.2,14.65,14.65,14.390991,66200,124557984.81,-0.5399999999999991,-3.5549703752468673
2017-09-18,14.8,15.15,14.7,14.85,14.587456,23000,121359985.2,0.049999999999998934,0.3378378378378306
2017-09-19,15.081,15.09,14.91,15.0,14.734804,4500,123664184.919,-0.08099999999999952,-0.5370996618261357
2017-09-20,15.0,15.18,15.0,15.18,14.91162,11600,122999985.0,0.17999999999999972,1.1999999999999982
2017-09-21,15.18,15.25,15.12,15.21,14.94109,28200,124475984.82,0.030000000000001137,0.1976284584980312
2017-09-22,15.02,15.19,15.0,15.06,14.793744,1500,123163984.97999999,0.040000000000000924,0.2663115845539343
2017-09-25,15.2,15.21,15.0,15.2,14.931267,9600,124639984.8,0.0,0.0
2017-09-26,15.2,15.2,15.04,15.19,14.921443,1800,124639984.8,-0.009999999999999787,-0.06578947368420912
2017-09-27,15.175,15.44,15.175,15.34,15.068792,12200,124434984.825,0.16499999999999915,1.0873146622734704
2017-09-28,15.35,16.521999,15.35,16.0,15.717125,67700,125869984.64999999,0.6500000000000004,4.23452768729642
2017-09-29,15.99,16.09,15.84,16.09,15.805532,8700,131117984.01,0.09999999999999964,0.6253908692933061
2017-10-02,16.1,16.15,15.596,16.08,15.795709,16000,132019983.9,-0.020000000000003126,-0.12422360248449146
2017-10-03,16.200001,16.200001,15.98,16.01,15.726949,2800,132839991.999999,-0.19000099999999875,-1.172845606614461
2017-10-04,16.1,16.1,16.1,16.1,15.815354,100,132019983.9,0.0,0.0
2017-10-05,15.42,15.84,15.42,15.84,15.559953,1300,126443984.58,0.41999999999999993,2.723735408560311
2017-10-06,15.6,16.049999,15.6,16.049999,15.766237,6800,127919984.39999999,0.44999900000000004,2.884608974358975
2017-10-09,16.0,16.0,15.6,15.95,15.668008,15400,131199984.0,-0.05000000000000071,-0.31250000000000444
2017-10-10,15.84,16.049999,15.76,16.049999,15.766237,11100,129887984.16,0.20999899999999982,1.3257512626262615
2017-10-11,16.049999,16.049999,15.61,15.89,15.609068,2600,131609975.750001,-0.15999899999999911,-0.9968785667837059
2017-10-12,15.72,15.78,15.66,15.66,15.383135,8500,128903984.28,-0.0600000000000005,-0.38167938931298023
2017-10-13,15.98,16.040001,15.61,15.61,15.334018,7300,131035984.02000001,-0.370000000000001,-2.3153942428035106
2017-10-16,15.6,15.8,15.22,15.22,14.950914,6000,127919984.39999999,-0.379999999999999,-2.4358974358974295
2017-10-17,15.34,16.030001,15.34,16.030001,15.746594,24000,125787984.66,0.6900009999999988,4.49805084745762
2017-10-18,15.87,16.023001,15.87,16.01,15.726949,9100,130133984.13,0.14000000000000234,0.8821676118462657
2017-10-19,15.262,15.99,15.262,15.99,15.707301,3500,125148384.738,0.7279999999999998,4.770017035775126
2017-10-20,15.9,16.15,15.9,16.15,15.86447,9000,130379984.10000001,0.24999999999999822,1.5723270440251462
2017-10-23,16.15,16.15,15.81,16.0,15.717125,1500,132429983.85,-0.14999999999999858,-0.928792569659434
2017-10-24,16.0,16.0,15.64,15.79,15.510837,1100,131199984.0,-0.21000000000000085,-1.3125000000000053
2017-10-25,15.98,16.1,15.95,16.049999,15.766237,14400,131035984.02000001,0.06999899999999926,0.43804130162702914
2017-10-26,15.68,16.15,15.68,16.15,15.86447,11900,128575984.32,0.46999999999999886,2.9974489795918298
2017-10-27,16.059999,16.200001,15.9,16.1,15.815354,6100,131691975.74000101,0.040001000000000175,0.24907224464958042
2017-10-30,16.1,16.25,15.92,16.25,15.962707,4600,132019983.9,0.14999999999999858,0.9316770186335316
2017-10-31,16.441999,16.860001,16.440001,16.709999,16.414572,25300,134824375.358001,0.2680000000000007,1.629972122002931
2017-11-01,16.160999,16.309999,16.02,16.299999,16.011818,18500,132520175.639001,0.13899999999999935,0.8600953443533988
2017-11-02,16.42,16.65,16.110001,16.360001,16.070759,11500,134643983.58,-0.059999000000001246,-0.3654019488428821
2017-11-03,16.32,16.66,16.32,16.51,16.218107,4800,133823983.68,0.19000000000000128,1.1642156862745177
