Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2015-04-16,31.0,35.740002,28.219999,30.0,30.0,19763300,3712250000.0,-1.0,-3.225806451612903
2015-04-17,29.77,30.299999,26.51,27.58,27.58,3965500,3564957500.0,-2.1900000000000013,-7.356399059455833
2015-04-20,28.77,28.9,24.870001,24.9,24.9,3076200,3445207500.0,-3.870000000000001,-13.45151199165798
2015-04-21,24.969999,26.040001,24.559999,25.75,25.75,2184700,2990157380.25,0.7800009999999986,3.123752628103824
2015-04-22,26.0,26.24,24.950001,25.120001,25.120001,1442500,3113500000.0,-0.8799990000000015,-3.3846115384615447
2015-04-23,24.93,25.74,24.08,25.620001,25.620001,1298100,2985367500.0,0.6900009999999988,2.767753710389085
2015-04-24,25.549999,25.700001,25.0,25.58,25.58,532800,3059612380.25,0.030000999999998612,0.11742074823564029
2015-04-27,25.700001,26.469999,25.209999,25.9,25.9,731300,3077575119.75,0.19999899999999826,0.7782061954005304
2015-04-28,25.75,25.9,24.18,24.49,24.49,954100,3083562500.0,-1.2600000000000016,-4.8932038834951515
2015-04-29,24.49,24.969,22.32,22.42,22.42,1674500,2932677500.0,-2.0699999999999967,-8.452429563086962
2015-04-30,22.66,23.18,21.82,22.24,22.24,1221500,2713535000.0,-0.4200000000000017,-1.8534863195057445
2015-05-01,22.25,23.0,21.27,21.75,21.75,687300,2664437500.0,-0.5,-2.247191011235955
2015-05-04,21.75,23.285,21.75,23.24,23.24,648600,2604562500.0,1.4899999999999984,6.850574712643671
2015-05-05,23.219999,24.32,21.9,24.15,24.15,1064700,2780594880.25,0.9300009999999972,4.0051724377765785
2015-05-06,24.15,25.42,23.032,23.4,23.4,1290700,2891962500.0,-0.75,-3.1055900621118013
2015-05-07,23.4,24.42,22.715,23.690001,23.690001,616600,2802150000.0,0.2900010000000002,1.2393205128205136
2015-05-08,23.93,24.1,22.5,22.709999,22.709999,784000,2865617500.0,-1.220001,-5.098207271207689
2015-05-11,20.709999,21.49,20.02,20.85,20.85,2115100,2480022380.25,0.1400010000000016,0.6760067926608861
2015-05-12,21.23,21.450001,20.360001,20.57,20.57,1140300,2542292500.0,-0.6600000000000001,-3.1088082901554412
2015-05-13,20.5,20.780001,19.5,19.83,19.83,1536000,2454875000.0,-0.6700000000000017,-3.2682926829268375
2015-05-14,19.83,20.75,19.615,20.6,20.6,1043600,2374642500.0,0.7700000000000031,3.8830055471507983
2015-05-15,20.559999,20.82,19.51,20.049999,20.049999,1177100,2462059880.25,-0.5100000000000016,-2.480544867730789
2015-05-18,19.51,20.75,19.15,20.559999,20.559999,1211100,2336322500.0,1.0499989999999997,5.381850333162479
2015-05-19,20.559999,21.309999,19.66,21.0,21.0,2015100,2462059880.25,0.44000099999999875,2.1400827889145266
2015-05-20,16.9,17.32,15.7,17.200001,17.200001,11105200,2023774999.9999998,0.30000100000000174,1.7751538461538565
2015-05-21,17.370001,17.690001,16.91,17.51,17.51,2318100,2080057619.7499998,0.1399990000000031,0.8059815310315935
2015-05-22,17.82,18.15,17.0,17.17,17.17,2012100,2133945000.0,-0.6499999999999986,-3.647586980920306
2015-05-26,16.59,17.299999,16.18,17.09,17.09,1797400,1986652500.0,0.5,3.0138637733574445
2015-05-27,17.02,17.629999,16.85,17.059999,17.059999,878600,2038145000.0,0.03999900000000167,0.23501175088132595
2015-05-28,16.950001,17.1,16.719999,17.040001,17.040001,489100,2029762619.75,0.08999999999999986,0.5309734200015673
2015-05-29,17.0,17.1,16.5,16.76,16.76,940400,2035750000.0,-0.23999999999999844,-1.4117647058823437
2015-06-01,16.76,16.77,16.0,16.049999,16.049999,858400,2007010000.0000002,-0.7100010000000019,-4.236282816229128
2015-06-02,15.98,16.1,15.73,15.86,15.86,763000,1913605000.0,-0.120000000000001,-0.7509386733416833
2015-06-03,15.7,15.875,14.96,15.32,15.32,1432900,1880075000.0,-0.379999999999999,-2.4203821656050897
2015-06-04,15.25,15.63,15.0,15.07,15.07,808000,1826187500.0,-0.17999999999999972,-1.1803278688524572
2015-06-05,15.15,15.28,14.64,15.03,15.03,712400,1814212500.0,-0.120000000000001,-0.7920792079207987
2015-06-08,14.95,15.13,14.68,14.86,14.86,500400,1790262500.0,-0.08999999999999986,-0.6020066889632099
2015-06-09,15.11,16.25,15.01,15.99,15.99,2273800,1809422500.0,0.8800000000000008,5.8239576439444125
2015-06-10,16.049999,18.42,16.01,16.780001,16.780001,3384300,1921987380.25,0.7300019999999989,4.548299348803691
2015-06-11,17.08,17.683001,16.75,16.860001,16.860001,1418000,2045329999.9999998,-0.21999899999999784,-1.2880503512880437
2015-06-12,16.75,17.139999,16.32,16.639999,16.639999,747300,2005812500.0,-0.11000100000000046,-0.6567223880597042
2015-06-15,16.200001,17.1,16.139999,16.32,16.32,1088400,1939950119.75,0.11999899999999997,0.7407345221768811
2015-06-16,16.51,16.889999,16.200001,16.290001,16.290001,767500,1977072500.0000002,-0.2199990000000014,-1.3325196850393783
2015-06-17,16.299999,16.49,15.65,15.77,15.77,1427400,1951924880.25,-0.5299990000000001,-3.2515278068421978
2015-06-18,15.77,15.87,14.9,15.33,15.33,1386600,1888457500.0,-0.4399999999999995,-2.7901077996195274
2015-06-19,15.26,15.39,14.3,14.31,14.31,2590300,1827385000.0,-0.9499999999999993,-6.225425950196588
2015-06-22,14.38,14.72,13.78,14.42,14.42,1536400,1722005000.0,0.03999999999999915,0.2781641168289231
2015-06-23,14.45,14.8,14.13,14.34,14.34,916600,1730387500.0,-0.10999999999999943,-0.7612456747404805
2015-06-24,14.33,14.59,14.17,14.39,14.39,841800,1716017500.0,0.0600000000000005,0.4187020237264515
2015-06-25,14.43,14.96,14.2,14.9,14.9,873800,1727992500.0,0.47000000000000064,3.2571032571032617
2015-06-26,14.28,14.57,13.95,14.25,14.25,4215900,1710030000.0,-0.02999999999999936,-0.2100840336134409
2015-06-29,14.0,14.31,13.91,14.23,14.23,1251400,1676500000.0,0.23000000000000043,1.642857142857146
2015-06-30,14.3,14.424,13.95,14.05,14.05,1508100,1712425000.0,-0.25,-1.7482517482517481
2015-07-01,14.13,14.48,13.96,14.01,14.01,1764900,1692067500.0,-0.120000000000001,-0.8492569002123211
2015-07-02,14.0,14.24,12.81,13.27,13.27,1977500,1676500000.0,-0.7300000000000004,-5.214285714285717
2015-07-06,13.46,13.46,12.8,13.4,13.4,1435000,1611835000.0,-0.0600000000000005,-0.44576523031203935
2015-07-07,13.51,13.53,13.0,13.32,13.32,1030700,1617822500.0,-0.1899999999999995,-1.4063656550703147
2015-07-08,13.17,14.56,13.1,14.55,14.55,961000,1577107500.0,1.3800000000000008,10.478359908883833
2015-07-09,14.61,16.25,14.6,16.200001,16.200001,1936500,1749547500.0,1.5900010000000009,10.882963723477076
2015-07-10,16.25,17.290001,15.82,16.530001,16.530001,1260300,1945937500.0,0.2800009999999986,1.7230830769230685
2015-07-13,16.65,16.9,15.62,16.030001,16.030001,715300,1993837499.9999998,-0.619999,-3.723717717717718
2015-07-14,16.1,17.02,16.0,16.51,16.51,519800,1927975000.0000002,0.41000000000000014,2.5465838509316776
2015-07-15,16.58,17.15,16.41,16.82,16.82,1070600,1985454999.9999998,0.240000000000002,1.4475271411339083
2015-07-16,16.9,17.299999,16.32,16.83,16.83,988000,2023774999.9999998,-0.07000000000000028,-0.4142011834319544
2015-07-17,16.940001,23.440001,16.57,21.98,21.98,11961100,2028565119.7499998,5.039999000000002,29.75205845619491
2015-07-20,20.440001,20.969999,18.92,19.559999,19.559999,3561300,2447690119.75,-0.8800019999999975,-4.305293331443563
2015-07-21,19.549999,20.379999,18.610001,18.98,18.98,1733600,2341112380.25,-0.5699989999999993,-2.915596057063733
2015-07-22,18.82,19.459999,18.02,18.450001,18.450001,869300,2253695000.0,-0.36999899999999997,-1.9659883103081828
2015-07-23,18.370001,19.139999,17.77,18.440001,18.440001,1156300,2199807619.75,0.07000000000000028,0.38105604893543715
2015-07-24,18.309999,19.889999,18.16,19.309999,19.309999,1292100,2192622380.25,1.0,5.461496748306758
2015-07-27,19.280001,19.469999,18.160999,18.299999,18.299999,645500,2308780119.75,-0.9800019999999989,-5.08299766167024
2015-07-28,18.469999,19.15,18.309999,18.65,18.65,955000,2211782380.25,0.1800009999999972,0.9745587966734442
2015-07-29,18.700001,19.450001,18.25,18.98,18.98,874700,2239325119.75,0.2799990000000001,1.497320775544344
2015-07-30,18.959999,21.658001,18.902,21.200001,21.200001,2323700,2270459880.25,2.2400020000000005,11.814357163204495
2015-07-31,21.299999,21.9,20.41,20.84,20.84,1922600,2550674880.25,-0.4599989999999998,-2.15961981970046
2015-08-03,21.0,21.48,19.85,20.5,20.5,1829700,2514750000.0,-0.5,-2.380952380952381
2015-08-04,20.360001,20.59,18.809999,19.23,19.23,3028600,2438110119.75,-1.130001,-5.550102870820095
2015-08-05,15.62,16.280001,13.63,13.78,13.78,4141900,1870495000.0,-1.8399999999999999,-11.7797695262484
2015-08-06,13.82,13.91,13.06,13.59,13.59,2053600,1654945000.0,-0.23000000000000043,-1.6642547033285124
2015-08-07,13.54,13.77,13.21,13.44,13.44,1105000,1621415000.0,-0.09999999999999964,-0.7385524372230403
2015-08-10,13.52,14.34,13.3,14.29,14.29,679500,1619020000.0,0.7699999999999996,5.695266272189346
2015-08-11,14.19,16.1,13.86,16.01,16.01,1200900,1699252500.0,1.820000000000002,12.82593375616633
2015-08-12,16.0,18.57,15.56,16.879999,16.879999,2096400,1916000000.0,0.8799990000000015,5.49999375000001
2015-08-13,16.99,17.73,16.450001,16.99,16.99,1288500,2034552499.9999998,0.0,0.0
2015-08-14,17.07,17.65,16.65,17.08,17.08,1143200,2044132500.0,0.00999999999999801,0.058582308142929175
2015-08-17,17.540001,17.639999,16.5,17.35,17.35,1132300,2100415119.75,-0.19000099999999875,-1.083243951924511
2015-08-18,17.16,17.469999,15.78,15.86,15.86,793400,2054910000.0,-1.3000000000000007,-7.57575757575758
2015-08-19,15.68,16.034,14.93,14.98,14.98,844600,1877680000.0,-0.6999999999999993,-4.46428571428571
2015-08-20,14.61,14.965,13.8,14.25,14.25,853900,1749547500.0,-0.35999999999999943,-2.4640657084188873
2015-08-21,13.91,14.11,13.25,13.46,13.46,1223600,1665722500.0,-0.4499999999999993,-3.2350826743350054
2015-08-24,12.58,13.68,11.85,12.93,12.93,1002000,1506455000.0,0.34999999999999964,2.782193958664544
2015-08-25,13.9,14.0,12.84,12.87,12.87,638500,1664525000.0,-1.0300000000000011,-7.410071942446052
2015-08-26,13.2,13.3,12.63,13.04,13.04,580900,1580700000.0,-0.16000000000000014,-1.2121212121212133
2015-08-27,13.25,14.31,13.19,14.29,14.29,838200,1586687500.0,1.0399999999999991,7.849056603773579
2015-08-28,14.22,15.19,14.12,14.82,14.82,661500,1702845000.0,0.5999999999999996,4.219409282700419
2015-08-31,14.61,14.88,13.88,14.33,14.33,782900,1749547500.0,-0.27999999999999936,-1.9164955509924666
2015-09-01,13.84,14.45,13.805,14.06,14.06,440700,1657340000.0,0.22000000000000064,1.589595375722548
2015-09-02,14.23,14.565,13.88,14.35,14.35,431400,1704042500.0,0.11999999999999922,0.8432888264230445
2015-09-03,14.26,14.79,13.94,14.02,14.02,398400,1707635000.0,-0.2400000000000002,-1.6830294530154295
2015-09-04,13.9,14.3,13.71,14.21,14.21,297800,1664525000.0,0.3100000000000005,2.230215827338133
2015-09-08,14.57,14.65,14.08,14.36,14.36,252400,1744757500.0,-0.21000000000000085,-1.4413177762525795
2015-09-09,14.54,14.6,13.9,13.99,13.99,516800,1741165000.0,-0.5499999999999989,-3.782668500687751
2015-09-10,13.89,14.3,13.87,14.23,14.23,336400,1663327500.0,0.33999999999999986,2.4478041756659454
2015-09-11,14.08,14.38,13.96,14.31,14.31,270300,1686080000.0,0.23000000000000043,1.6335227272727304
2015-09-14,14.17,14.5,13.98,14.38,14.38,209400,1696857500.0,0.21000000000000085,1.4820042342978184
2015-09-15,14.48,14.76,14.38,14.6,14.6,190000,1733980000.0,0.11999999999999922,0.8287292817679504
2015-09-16,14.53,14.66,14.14,14.39,14.39,207300,1739967500.0,-0.1399999999999988,-0.9635237439779683
2015-09-17,14.32,15.66,14.32,15.61,15.61,643500,1714820000.0,1.2899999999999991,9.00837988826815
2015-09-18,15.28,15.7,14.9,15.4,15.4,617200,1829780000.0,0.120000000000001,0.7853403141361323
2015-09-21,15.44,16.73,15.17,15.9,15.9,896700,1848940000.0,0.46000000000000085,2.9792746113989694
2015-09-22,15.5,15.99,15.1,15.18,15.18,393400,1856125000.0,-0.3200000000000003,-2.06451612903226
2015-09-23,15.16,15.34,14.34,14.61,14.61,341400,1815410000.0,-0.5500000000000007,-3.6279683377308753
2015-09-24,14.39,14.99,14.16,14.98,14.98,243800,1723202500.0,0.5899999999999999,4.100069492703265
2015-09-25,15.13,15.29,14.0,14.11,14.11,425100,1811817500.0,-1.0200000000000014,-6.741573033707874
2015-09-28,14.12,14.37,13.86,13.88,13.88,591600,1690870000.0,-0.23999999999999844,-1.699716713881009
2015-09-29,13.94,14.2,13.52,13.82,13.82,539600,1669315000.0,-0.11999999999999922,-0.8608321377331365
2015-09-30,14.0,14.19,13.31,13.69,13.69,500800,1676500000.0,-0.3100000000000005,-2.214285714285718
2015-10-01,13.91,14.35,13.43,14.15,14.15,315900,1665722500.0,0.2400000000000002,1.7253774263120074
2015-10-02,14.08,14.57,13.89,14.32,14.32,394200,1686080000.0,0.2400000000000002,1.7045454545454561
2015-10-05,14.38,15.11,14.05,14.66,14.66,261400,1722005000.0,0.27999999999999936,1.947148817802499
2015-10-06,14.74,14.88,13.64,14.07,14.07,383900,1765115000.0,-0.6699999999999999,-4.545454545454545
2015-10-07,14.1,14.7,13.96,14.18,14.18,298700,1688475000.0,0.08000000000000007,0.5673758865248233
2015-10-08,13.27,13.95,13.2,13.57,13.57,902400,1589082500.0,0.3000000000000007,2.26073850791259
2015-10-09,13.63,14.07,13.15,13.86,13.86,289500,1632192500.0,0.22999999999999865,1.6874541452677816
2015-10-12,13.67,13.67,12.205,12.31,12.31,612700,1636982500.0,-1.3599999999999994,-9.9487929773226
2015-10-13,12.25,13.19,11.515,11.6,11.6,1466500,1466937500.0,-0.6500000000000004,-5.306122448979594
2015-10-14,11.84,11.88,10.825,10.99,10.99,1091100,1417840000.0,-0.8499999999999996,-7.179054054054052
2015-10-15,10.57,11.25,10.29,11.03,11.03,2086600,1265757500.0,0.4599999999999991,4.3519394512771905
2015-10-16,11.0,11.14,10.65,10.99,10.99,1187100,1317250000.0,-0.009999999999999787,-0.09090909090908897
2015-10-19,10.89,11.04,10.53,10.94,10.94,1050300,1304077500.0,0.049999999999998934,0.4591368227731766
2015-10-20,11.19,12.26,11.19,11.34,11.34,2070000,1340002500.0,0.15000000000000036,1.3404825737265447
2015-10-21,11.31,11.63,10.62,10.68,10.68,1023300,1354372500.0,-0.6300000000000008,-5.570291777188335
2015-10-22,10.69,11.58,10.54,11.39,11.39,660100,1280127500.0,0.7000000000000011,6.548175865294678
2015-10-23,11.54,11.67,10.86,11.18,11.18,588500,1381915000.0,-0.35999999999999943,-3.119584055459267
2015-10-26,11.07,11.48,10.76,11.27,11.27,704300,1325632500.0,0.1999999999999993,1.8066847335139955
2015-10-27,11.42,11.49,10.8,10.98,10.98,1157200,1367545000.0,-0.4399999999999995,-3.852889667250434
2015-10-28,10.95,11.14,10.65,11.09,11.09,786300,1311262500.0,0.14000000000000057,1.2785388127853934
2015-10-29,11.09,11.24,10.8,10.91,10.91,748100,1328027500.0,-0.17999999999999972,-1.6230838593327297
2015-10-30,10.99,11.07,10.75,10.9,10.9,370900,1316052500.0,-0.08999999999999986,-0.8189262966333016
2015-11-02,10.77,10.9,10.31,10.69,10.69,1359200,1289707500.0,-0.08000000000000007,-0.7428040854224706
2015-11-03,10.74,11.25,10.6,11.03,11.03,2049800,1286115000.0,0.28999999999999915,2.7001862197392845
2015-11-04,10.53,10.73,9.79,9.97,9.97,2373300,1260967500.0,-0.5599999999999987,-5.318138651471973
2015-11-05,10.05,10.29,9.89,9.96,9.96,695500,1203487500.0,-0.08999999999999986,-0.8955223880597
2015-11-06,9.5,9.65,8.95,9.21,9.21,2185300,1137625000.0,-0.28999999999999915,-3.0526315789473597
2015-11-09,8.91,9.34,8.79,8.8,8.8,982600,1066972500.0,-0.10999999999999943,-1.2345679012345616
