Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2013-10-01,6.56,7.24,6.31,6.62,6.62,2079700,646816000.0,0.0600000000000005,0.914634146341471
2013-10-02,6.65,7.15,6.65,6.95,6.95,311700,655690000.0,0.2999999999999998,4.5112781954887184
2013-10-03,6.9,6.97,6.85,6.9,6.9,110000,680340000.0,0.0,0.0
2013-10-04,6.95,7.2,6.8,7.15,7.15,61300,685270000.0,0.20000000000000018,2.8776978417266212
2013-10-07,7.93,9.0,7.37,8.5,8.5,381800,781898000.0,0.5700000000000003,7.187894073139979
2013-10-08,8.49,9.19,7.83,7.94,7.94,284700,837114000.0,-0.5499999999999998,-6.47820965842167
2013-10-09,7.53,7.61,6.06,6.7,6.7,381100,742458000.0,-0.8300000000000001,-11.022576361221779
2013-10-10,7.4,7.4,6.5,6.96,6.96,91200,729640000.0,-0.4400000000000004,-5.945945945945951
2013-10-11,7.1,7.25,6.81,7.05,7.05,30600,700060000.0,-0.04999999999999982,-0.7042253521126736
2013-10-14,7.1,7.2,6.64,7.01,7.01,80200,700060000.0,-0.08999999999999986,-1.267605633802815
2013-10-15,6.99,7.19,6.83,7.19,7.19,42500,689214000.0,0.20000000000000018,2.8612303290414904
2013-10-16,7.15,7.15,6.59,7.0,7.0,103400,704990000.0,-0.15000000000000036,-2.097902097902103
2013-10-17,6.92,7.03,6.76,7.03,7.03,25900,682312000.0,0.11000000000000032,1.589595375722548
2013-10-18,7.01,7.1,6.87,7.0,7.0,50000,691186000.0,-0.009999999999999787,-0.1426533523537773
2013-10-21,7.0,7.05,6.87,7.0,7.0,20400,690200000.0,0.0,0.0
2013-10-22,7.1,7.1,6.6,6.72,6.72,30100,700060000.0,-0.3799999999999999,-5.352112676056336
2013-10-23,6.8,7.11,6.75,6.85,6.85,88300,670480000.0,0.04999999999999982,0.7352941176470562
2013-10-24,6.61,6.93,6.61,6.93,6.93,53000,651746000.0,0.3199999999999994,4.841149773071095
2013-10-25,6.85,6.95,6.75,6.87,6.87,25000,675410000.0,0.020000000000000462,0.2919708029197148
2013-10-28,7.1,7.12,6.25,6.45,6.45,248900,700060000.0,-0.6499999999999995,-9.154929577464783
2013-10-29,6.25,6.51,6.05,6.3,6.3,72200,616250000.0,0.04999999999999982,0.7999999999999973
2013-10-30,6.4,6.64,6.25,6.25,6.25,24000,631040000.0,-0.15000000000000036,-2.3437500000000053
2013-10-31,6.27,6.35,6.0,6.0,6.0,108500,618222000.0,-0.2699999999999996,-4.3062200956937735
2013-11-01,6.01,6.15,6.0,6.01,6.01,56200,592586000.0,0.0,0.0
2013-11-04,6.1,6.31,6.0,6.29,6.29,131700,601460000.0,0.1900000000000004,3.1147540983606623
2013-11-05,6.25,6.43,6.02,6.11,6.11,21000,616250000.0,-0.13999999999999968,-2.239999999999995
2013-11-06,6.1,6.18,5.94,5.95,5.95,15700,601460000.0,-0.14999999999999947,-2.459016393442614
2013-11-07,6.0,6.23,4.69,5.0,5.0,55800,591600000.0,-1.0,-16.666666666666664
2013-11-08,4.95,5.02,4.5,4.61,4.61,81900,488070000.0,-0.33999999999999986,-6.868686868686866
2013-11-11,4.55,4.71,4.3,4.65,4.65,37900,448630000.0,0.10000000000000053,2.19780219780221
2013-11-12,4.51,5.15,4.51,4.77,4.77,70000,444686000.0,0.2599999999999998,5.764966740576492
2013-11-13,4.83,5.51,4.83,5.16,5.16,54000,476238000.0,0.33000000000000007,6.8322981366459645
2013-11-14,4.97,5.05,4.5,4.86,4.86,72700,490042000.0,-0.10999999999999943,-2.213279678068399
2013-11-15,4.93,5.42,4.9,5.1,5.1,22500,486098000.0,0.16999999999999993,3.448275862068964
2013-11-18,5.14,5.15,4.9,4.95,4.95,7700,506803999.99999994,-0.1899999999999995,-3.6964980544746986
2013-11-19,5.12,5.12,4.95,5.0,5.0,5800,504832000.0,-0.1200000000000001,-2.343750000000002
2013-11-20,5.16,5.2,4.95,4.96,4.96,17000,508776000.0,-0.20000000000000018,-3.8759689922480653
2013-11-21,5.02,5.04,4.95,5.0,5.0,5600,494971999.99999994,-0.019999999999999574,-0.39840637450198363
2013-11-22,5.12,5.31,4.95,5.06,5.06,46700,504832000.0,-0.0600000000000005,-1.1718750000000098
2013-11-25,5.1,5.39,5.05,5.05,5.05,45200,502859999.99999994,-0.04999999999999982,-0.9803921568627416
2013-11-26,5.16,5.33,5.05,5.25,5.25,33100,508776000.0,0.08999999999999986,1.744186046511625
2013-11-27,5.26,5.49,5.26,5.46,5.46,3700,518636000.0,0.20000000000000018,3.802281368821296
2013-11-29,5.44,5.84,5.44,5.6,5.6,17800,536384000.00000006,0.15999999999999925,2.9411764705882213
2013-12-02,5.7,5.89,5.5,5.64,5.64,22600,562020000.0,-0.0600000000000005,-1.052631578947377
2013-12-03,5.77,6.1,5.75,5.94,5.94,56100,568922000.0,0.17000000000000082,2.9462738301559934
2013-12-04,6.25,6.25,5.97,6.05,6.05,32500,616250000.0,-0.20000000000000018,-3.200000000000003
2013-12-05,6.13,6.48,6.05,6.14,6.14,20900,604418000.0,0.009999999999999787,0.1631321370309916
2013-12-06,6.14,6.48,5.96,6.33,6.33,17300,605404000.0,0.1900000000000004,3.094462540716619
2013-12-09,6.44,6.48,6.11,6.34,6.34,18800,634984000.0,-0.10000000000000053,-1.5527950310559087
2013-12-10,6.33,6.4,6.21,6.4,6.4,16800,624138000.0,0.07000000000000028,1.10584518167457
2013-12-11,6.11,6.9,6.11,6.41,6.41,28800,602446000.0,0.2999999999999998,4.909983633387886
2013-12-12,6.55,7.0,6.51,7.0,7.0,61700,645830000.0,0.4500000000000002,6.870229007633591
2013-12-13,7.08,7.2,7.05,7.2,7.2,44700,698088000.0,0.1200000000000001,1.6949152542372896
2013-12-16,7.2,7.48,6.42,7.0,7.0,44100,709920000.0,-0.20000000000000018,-2.77777777777778
2013-12-17,6.99,7.53,6.71,6.84,6.84,34900,689214000.0,-0.15000000000000036,-2.1459227467811206
2013-12-18,7.07,7.7,6.81,7.19,7.19,29500,697102000.0,0.1200000000000001,1.6973125884016986
2013-12-19,7.33,7.5,7.06,7.19,7.19,12800,722738000.0,-0.13999999999999968,-1.9099590723055888
2013-12-20,7.27,7.34,6.75,6.82,6.82,102300,716822000.0,-0.4499999999999993,-6.189821182943595
2013-12-23,6.89,6.89,6.36,6.55,6.55,26900,679354000.0,-0.33999999999999986,-4.934687953555876
2013-12-24,6.11,6.83,6.06,6.83,6.83,10000,602446000.0,0.7199999999999998,11.78396072013093
2013-12-26,6.68,7.04,6.41,7.01,7.01,29700,658648000.0,0.33000000000000007,4.940119760479043
2013-12-27,6.97,6.97,6.97,6.97,6.97,200,687242000.0,0.0,0.0
2013-12-30,6.51,6.9,6.5,6.61,6.61,8300,641886000.0,0.10000000000000053,1.5360983102918668
2013-12-31,6.72,6.72,6.16,6.28,6.28,20500,662592000.0,-0.4399999999999995,-6.547619047619041
2014-01-02,6.35,6.99,6.3,6.36,6.36,38400,626110000.0,0.010000000000000675,0.15748031496064058
2014-01-03,6.4,6.87,6.25,6.82,6.82,35300,631040000.0,0.41999999999999993,6.562499999999999
2014-01-06,6.79,6.79,6.36,6.55,6.55,31800,669494000.0,-0.2400000000000002,-3.534609720176734
2014-01-07,6.36,6.88,6.25,6.37,6.37,24100,627096000.0,0.009999999999999787,0.15723270440251236
2014-01-08,6.45,6.85,6.32,6.84,6.84,54000,635970000.0,0.3899999999999997,6.0465116279069715
2014-01-09,6.52,6.8,6.38,6.62,6.62,17000,642872000.0,0.10000000000000053,1.5337423312883518
2014-01-10,6.66,6.85,6.37,6.61,6.61,16700,656676000.0,-0.04999999999999982,-0.750750750750748
2014-01-13,6.5,6.85,6.38,6.43,6.43,31500,640900000.0,-0.07000000000000028,-1.0769230769230813
2014-01-14,6.5,6.82,6.38,6.55,6.55,26500,640900000.0,0.04999999999999982,0.7692307692307665
2014-01-15,6.78,6.78,6.45,6.64,6.64,36600,668508000.0,-0.14000000000000057,-2.06489675516225
2014-01-16,6.95,6.96,6.63,6.95,6.95,93000,685270000.0,0.0,0.0
2014-01-17,6.83,7.5,6.81,7.16,7.16,98600,673438000.0,0.33000000000000007,4.831625183016106
2014-01-21,7.2,7.49,6.88,6.88,6.88,61200,709920000.0,-0.3200000000000003,-4.444444444444448
2014-01-22,7.12,7.5,6.99,7.02,7.02,82000,702032000.0,-0.10000000000000053,-1.4044943820224793
2014-01-23,7.05,7.2,6.59,6.8,6.8,39800,695130000.0,-0.25,-3.546099290780142
2014-01-24,6.8,6.95,6.78,6.92,6.92,10900,670480000.0,0.1200000000000001,1.764705882352943
2014-01-27,6.99,6.99,6.2,6.26,6.26,71300,689214000.0,-0.7300000000000004,-10.443490701001435
2014-01-28,6.25,6.68,6.24,6.25,6.25,6300,616250000.0,0.0,0.0
