Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2003-01-30,25.02,25.030001,25.0,25.01,4.048899,103800,1205463600.0,-0.00999999999999801,-0.039968025579528416
2003-01-31,25.02,25.059999,25.0,25.049999,4.055379,58600,1205463600.0,0.02999900000000011,0.11990007993605159
2003-02-03,25.040001,25.15,25.0,25.049999,4.055379,64400,1206427248.18,0.009997999999999507,0.03992811342139926
2003-02-04,25.049999,25.08,25.02,25.049999,4.055379,66600,1206908951.82,0.0,0.0
2003-02-05,25.139999,25.139999,25.02,25.059999,4.056998,58000,1211245151.82,-0.0799999999999983,-0.31821799197366035
2003-02-06,25.049999,25.120001,25.02,25.120001,4.06671,62900,1206908951.82,0.07000199999999879,0.2794491129520556
2003-02-07,25.139999,25.15,25.049999,25.08,4.060234,72700,1211245151.82,-0.059999000000001246,-0.23865951625535567
2003-02-10,25.1,25.200001,25.07,25.17,4.074804,86300,1209318000.0,0.07000000000000028,0.2788844621513955
2003-02-11,25.1,25.15,25.01,25.040001,4.053759,59500,1209318000.0,-0.059999000000001246,-0.23903984063745515
2003-02-12,25.030001,25.139999,25.02,25.129999,4.06833,60000,1205945448.1799998,0.09999800000000292,0.3995125689367848
2003-02-13,25.15,25.15,25.040001,25.040001,4.053759,57800,1211727000.0,-0.1099989999999984,-0.4373717693836915
2003-02-14,25.1,25.129999,25.02,25.030001,4.052138,68000,1209318000.0,-0.06999900000000281,-0.2788804780876606
2003-02-18,25.040001,25.129999,25.030001,25.1,4.06347,38800,1206427248.18,0.059999000000001246,0.23961261023911798
2003-02-19,25.110001,25.15,25.049999,25.1,4.06347,41200,1209799848.18,-0.010000999999999038,-0.039828751898492706
2003-02-20,25.15,25.17,25.030001,25.049999,4.055379,55700,1211727000.0,-0.1000009999999989,-0.3976182902584449
2003-02-21,25.049999,25.120001,25.040001,25.040001,4.053759,35500,1206908951.82,-0.009997999999999507,-0.039912177242001114
2003-02-24,25.1,25.1,25.02,25.049999,4.055379,63700,1209318000.0,-0.05000100000000174,-0.19920717131474797
2003-02-25,25.049999,25.1,25.02,25.07,4.058614,72800,1206908951.82,0.0200010000000006,0.07984431456464569
2003-02-26,25.08,25.09,25.01,25.02,4.050523,46700,1208354400.0,-0.05999999999999872,-0.23923444976076047
2003-02-27,25.049999,25.08,25.01,25.049999,4.055379,31200,1206908951.82,0.0,0.0
2003-02-28,25.040001,25.049999,25.0,25.030001,4.052138,43500,1206427248.18,-0.010000000000001563,-0.03993610064153577
2003-03-03,25.0,25.030001,25.0,25.0,4.047283,486900,1204500000.0,0.0,0.0
