Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2007-08-03,1.4,2.1,1.4,2.1,2.1,917,16491999.999999998,0.7000000000000002,50.000000000000014
2007-08-06,2.1,2.1,2.1,2.1,2.1,6169,24738000.0,0.0,0.0
2007-08-07,2.1,2.8,2.1,2.1,2.1,10816,24738000.0,0.0,0.0
2007-08-08,2.1,2.1,2.1,2.1,2.1,1860,24738000.0,0.0,0.0
2007-08-09,2.1,2.1,2.1,2.1,2.1,7876,24738000.0,0.0,0.0
2007-08-10,2.1,2.1,2.1,2.1,2.1,57,24738000.0,0.0,0.0
2007-08-13,2.1,2.1,2.1,2.1,2.1,897,24738000.0,0.0,0.0
2007-08-14,2.1,2.1,2.1,2.1,2.1,8667,24738000.0,0.0,0.0
2007-08-15,2.1,2.1,2.1,2.1,2.1,677,24738000.0,0.0,0.0
2007-08-16,2.1,2.1,2.1,2.1,2.1,1736,24738000.0,0.0,0.0
2007-08-17,2.1,2.1,2.1,2.1,2.1,2779,24738000.0,0.0,0.0
2007-08-20,2.1,2.1,2.1,2.1,2.1,257,24738000.0,0.0,0.0
2007-08-21,2.1,2.1,2.1,2.1,2.1,231,24738000.0,0.0,0.0
2007-08-22,2.1,2.1,2.1,2.1,2.1,1419,24738000.0,0.0,0.0
2007-08-23,2.1,2.1,2.1,2.1,2.1,157,24738000.0,0.0,0.0
2007-08-24,2.1,2.8,2.1,2.8,2.8,9674,24738000.0,0.6999999999999997,33.33333333333332
2007-08-27,2.8,2.8,2.1,2.1,2.1,1163,32983999.999999996,-0.6999999999999997,-24.999999999999993
2007-08-28,2.1,2.8,2.1,2.8,2.8,3763,24738000.0,0.6999999999999997,33.33333333333332
2007-08-29,2.1,2.8,2.1,2.1,2.1,6864,24738000.0,0.0,0.0
2007-08-30,2.1,2.1,1.4,1.4,1.4,41379,24738000.0,-0.7000000000000002,-33.33333333333334
2007-08-31,1.4,1.4,1.4,1.4,1.4,12796,16491999.999999998,0.0,0.0
2007-09-04,1.4,2.8,0.7,2.1,2.1,10904,16491999.999999998,0.7000000000000002,50.000000000000014
2007-09-05,3.5,3.5,2.1,2.1,2.1,3110,41230000.0,-1.4,-40.0
2007-09-06,3.5,3.5,2.1,2.1,2.1,2686,41230000.0,-1.4,-40.0
2007-09-07,2.1,2.1,2.1,2.1,2.1,13093,24738000.0,0.0,0.0
2007-09-10,2.1,2.8,1.4,2.8,2.8,19984,24738000.0,0.6999999999999997,33.33333333333332
2007-09-11,2.1,2.1,1.4,2.1,2.1,2264,24738000.0,0.0,0.0
2007-09-12,2.1,2.8,1.4,2.8,2.8,904,24738000.0,0.6999999999999997,33.33333333333332
2007-09-13,2.1,2.8,1.4,2.1,2.1,12206,24738000.0,0.0,0.0
2007-09-14,2.1,2.1,2.1,2.1,2.1,1137,24738000.0,0.0,0.0
2007-09-17,2.1,2.1,1.4,2.1,2.1,2874,24738000.0,0.0,0.0
2007-09-18,1.4,2.1,1.4,1.4,1.4,561,16491999.999999998,0.0,0.0
2007-09-19,2.1,2.1,1.4,2.1,2.1,6671,24738000.0,0.0,0.0
2007-09-20,2.1,2.1,2.1,2.1,2.1,1429,24738000.0,0.0,0.0
2007-09-21,2.1,2.1,2.1,2.1,2.1,71,24738000.0,0.0,0.0
2007-09-24,2.1,2.1,1.4,2.1,2.1,2100,24738000.0,0.0,0.0
2007-09-25,1.4,2.8,1.4,2.1,2.1,35551,16491999.999999998,0.7000000000000002,50.000000000000014
2007-09-26,2.1,2.1,1.4,1.4,1.4,2726,24738000.0,-0.7000000000000002,-33.33333333333334
2007-09-27,2.1,2.1,1.4,2.1,2.1,32051,24738000.0,0.0,0.0
2007-09-28,2.1,2.8,1.4,2.1,2.1,18507,24738000.0,0.0,0.0
2007-10-01,2.1,2.1,2.1,2.1,2.1,1110,24738000.0,0.0,0.0
2007-10-02,1.4,2.1,1.4,2.1,2.1,1330,16491999.999999998,0.7000000000000002,50.000000000000014
2007-10-03,2.1,2.8,2.1,2.1,2.1,9470,24738000.0,0.0,0.0
2007-10-04,2.8,2.8,1.4,2.1,2.1,10983,32983999.999999996,-0.6999999999999997,-24.999999999999993
2007-10-05,2.1,2.8,1.4,2.1,2.1,12844,24738000.0,0.0,0.0
2007-10-08,2.1,2.8,2.1,2.1,2.1,28814,24738000.0,0.0,0.0
2007-10-09,2.1,2.1,1.4,2.1,2.1,27051,24738000.0,0.0,0.0
2007-10-10,2.8,21.0,2.1,2.1,2.1,41939,32983999.999999996,-0.6999999999999997,-24.999999999999993
2007-10-11,1.4,2.1,1.4,2.1,2.1,24641,16491999.999999998,0.7000000000000002,50.000000000000014
2007-10-12,2.1,2.1,2.1,2.1,2.1,88243,24738000.0,0.0,0.0
2007-10-15,2.1,2.1,2.1,2.1,2.1,77791,24738000.0,0.0,0.0
2007-10-16,2.1,2.1,2.1,2.1,2.1,17881,24738000.0,0.0,0.0
2007-10-17,2.1,2.1,1.4,2.1,2.1,13626,24738000.0,0.0,0.0
2007-10-18,2.1,2.1,2.1,2.1,2.1,5363,24738000.0,0.0,0.0
2007-10-19,2.1,2.1,1.4,2.1,2.1,4104,24738000.0,0.0,0.0
2007-10-22,2.1,2.1,1.4,2.1,2.1,36924,24738000.0,0.0,0.0
2007-10-23,2.1,2.1,2.1,2.1,2.1,9226,24738000.0,0.0,0.0
2007-10-24,2.1,2.1,1.4,2.1,2.1,494,24738000.0,0.0,0.0
2007-10-25,2.1,2.1,2.1,2.1,2.1,10479,24738000.0,0.0,0.0
2007-10-26,2.1,2.1,2.1,2.1,2.1,17643,24738000.0,0.0,0.0
2007-10-29,2.1,2.8,2.1,2.8,2.8,46466,24738000.0,0.6999999999999997,33.33333333333332
2007-10-30,2.8,2.8,2.1,2.8,2.8,7450,32983999.999999996,0.0,0.0
2007-10-31,2.8,2.8,2.1,2.8,2.8,3651,32983999.999999996,0.0,0.0
2007-11-01,2.8,2.8,2.8,2.8,2.8,3879,32983999.999999996,0.0,0.0
2007-11-02,2.8,2.8,2.8,2.8,2.8,4496,32983999.999999996,0.0,0.0
2007-11-05,2.8,2.8,2.8,2.8,2.8,2383,32983999.999999996,0.0,0.0
2007-11-06,2.8,2.8,2.1,2.8,2.8,2996,32983999.999999996,0.0,0.0
2007-11-07,2.8,2.8,2.8,2.8,2.8,546,32983999.999999996,0.0,0.0
2007-11-08,2.8,2.8,2.8,2.8,2.8,4097,32983999.999999996,0.0,0.0
2007-11-09,2.8,2.8,2.1,2.8,2.8,370,32983999.999999996,0.0,0.0
2007-11-12,2.8,2.8,2.8,2.8,2.8,203,32983999.999999996,0.0,0.0
2007-11-13,2.1,2.8,2.1,2.8,2.8,5110,24738000.0,0.6999999999999997,33.33333333333332
2007-11-14,2.8,2.8,2.8,2.8,2.8,38280,32983999.999999996,0.0,0.0
2007-11-15,2.8,2.8,2.1,2.8,2.8,22739,32983999.999999996,0.0,0.0
2007-11-16,2.8,3.5,2.8,2.8,2.8,16891,32983999.999999996,0.0,0.0
2007-11-19,2.8,3.5,2.1,2.8,2.8,20390,32983999.999999996,0.0,0.0
2007-11-20,2.8,2.8,2.8,2.8,2.8,5893,32983999.999999996,0.0,0.0
2007-11-21,2.8,2.8,2.8,2.8,2.8,2709,32983999.999999996,0.0,0.0
2007-11-23,3.5,3.5,2.8,2.8,2.8,786,41230000.0,-0.7000000000000002,-20.000000000000004
2007-11-26,3.5,3.5,2.1,2.8,2.8,6961,41230000.0,-0.7000000000000002,-20.000000000000004
2007-11-27,2.8,3.5,2.1,2.8,2.8,30476,32983999.999999996,0.0,0.0
2007-11-28,2.8,2.8,2.8,2.8,2.8,5561,32983999.999999996,0.0,0.0
2007-11-29,2.8,2.8,2.8,2.8,2.8,14520,32983999.999999996,0.0,0.0
2007-11-30,2.8,2.8,2.8,2.8,2.8,2823,32983999.999999996,0.0,0.0
2007-12-03,2.8,2.8,2.8,2.8,2.8,23814,32983999.999999996,0.0,0.0
2007-12-04,2.8,2.8,2.8,2.8,2.8,714,32983999.999999996,0.0,0.0
2007-12-05,2.8,2.8,2.8,2.8,2.8,8656,32983999.999999996,0.0,0.0
2007-12-06,2.8,2.8,2.8,2.8,2.8,1657,32983999.999999996,0.0,0.0
2007-12-07,2.8,2.8,2.1,2.8,2.8,23139,32983999.999999996,0.0,0.0
2007-12-10,2.1,2.8,2.1,2.8,2.8,40516,24738000.0,0.6999999999999997,33.33333333333332
2007-12-11,2.8,2.8,2.1,2.8,2.8,20033,32983999.999999996,0.0,0.0
2007-12-12,2.8,2.8,2.1,2.1,2.1,2624,32983999.999999996,-0.6999999999999997,-24.999999999999993
2007-12-13,2.8,2.8,2.1,2.8,2.8,4476,32983999.999999996,0.0,0.0
2007-12-14,2.1,2.8,2.1,2.8,2.8,5240,24738000.0,0.6999999999999997,33.33333333333332
2007-12-17,2.1,2.8,2.1,2.1,2.1,25507,24738000.0,0.0,0.0
2007-12-18,2.1,2.1,2.1,2.1,2.1,5687,24738000.0,0.0,0.0
2007-12-19,2.1,2.1,2.1,2.1,2.1,4589,24738000.0,0.0,0.0
2007-12-20,2.1,2.1,2.1,2.1,2.1,10939,24738000.0,0.0,0.0
2007-12-21,2.1,2.1,2.1,2.1,2.1,2821,24738000.0,0.0,0.0
2007-12-24,2.1,2.8,2.1,2.8,2.8,236,24738000.0,0.6999999999999997,33.33333333333332
2007-12-26,2.8,2.8,2.1,2.1,2.1,5079,32983999.999999996,-0.6999999999999997,-24.999999999999993
2007-12-27,2.1,2.8,2.1,2.1,2.1,60507,24738000.0,0.0,0.0
2007-12-28,2.1,2.8,2.1,2.8,2.8,51243,24738000.0,0.6999999999999997,33.33333333333332
2007-12-31,2.8,2.8,2.1,2.8,2.8,11677,32983999.999999996,0.0,0.0
2008-01-02,2.8,2.8,2.1,2.1,2.1,7080,32983999.999999996,-0.6999999999999997,-24.999999999999993
2008-01-03,2.1,2.8,2.1,2.8,2.8,2411,24738000.0,0.6999999999999997,33.33333333333332
2008-01-04,2.8,2.8,2.8,2.8,2.8,4527,32983999.999999996,0.0,0.0
2008-01-07,2.8,2.8,2.1,2.8,2.8,30321,32983999.999999996,0.0,0.0
