Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-10-15,19.15,19.92,17.52,18.709999,18.709999,4346600,1583705000.0,-0.44000099999999875,-2.2976553524804113
2021-10-18,19.0,19.83,18.108999,19.52,19.52,526400,1571300000.0,0.5199999999999996,2.7368421052631557
2021-10-19,19.4,19.83,18.0,18.190001,18.190001,339200,1604380000.0,-1.2099989999999998,-6.23710824742268
2021-10-20,17.799999,19.030001,17.52,18.860001,18.860001,381900,1472059917.3,1.0600020000000008,5.95506775028471
2021-10-21,18.65,19.07,18.516001,18.860001,18.860001,273200,1542355000.0,0.21000100000000188,1.1260107238605999
2021-10-22,18.85,19.23,17.254999,17.809999,17.809999,457400,1558895000.0,-1.0400010000000002,-5.517246684350133
2021-10-25,18.0,18.68,17.76,18.52,18.52,204500,1488600000.0,0.5199999999999996,2.8888888888888866
2021-10-26,18.77,19.190001,18.665001,18.950001,18.950001,227800,1552279000.0,0.18000100000000074,0.9589824187533338
2021-10-27,18.969999,19.219999,18.799999,19.1,19.1,134100,1568818917.3000002,0.13000100000000003,0.685297874818022
2021-10-28,18.950001,21.129999,18.83,20.68,20.68,223300,1567165082.7,1.7299989999999994,9.129281840143436
2021-10-29,20.68,21.549999,20.35,21.040001,21.040001,149800,1710236000.0,0.36000100000000046,1.7408172147001955
2021-11-01,21.49,21.881001,20.809999,21.049999,21.049999,171000,1777222999.9999998,-0.44000099999999875,-2.0474685900418743
2021-11-02,20.799999,22.34,20.799999,22.34,22.34,256100,1720159917.3,1.5400010000000002,7.403851317492853
2021-11-03,22.549999,23.299999,22.360001,23.219999,23.219999,214100,1864884917.3,0.6700000000000017,2.9711752980565618
2021-11-04,23.5,24.469999,22.799999,23.219999,23.219999,198200,1943450000.0,-0.2800009999999986,-1.1914936170212709
2021-11-05,23.5,24.0,23.15,23.950001,23.950001,205900,1943450000.0,0.4500010000000003,1.9148978723404269
2021-11-08,24.299999,24.950001,24.030001,24.5,24.5,172600,2009609917.3,0.20000100000000032,0.823049416586397
2021-11-09,24.950001,25.379999,24.200001,25.09,25.09,224500,2063365082.7,0.13999899999999954,0.561118213983236
2021-11-10,25.09,25.41,21.669001,22.129999,22.129999,173200,2074943000.0,-2.9600009999999983,-11.79753288162614
2021-11-11,22.290001,24.57,22.290001,23.75,23.75,278200,1843383082.7,1.4599989999999998,6.550017651412397
2021-11-12,23.5,24.01,22.287001,23.09,23.09,182600,1943450000.0,-0.41000000000000014,-1.7446808510638303
2021-11-15,23.15,23.535,22.02,22.26,22.26,187300,1914505000.0,-0.889999999999997,-3.8444924406047387
2021-11-16,22.0,23.24,21.83,23.030001,23.030001,209200,1819400000.0,1.0300009999999986,4.6818227272727215
2021-11-17,22.98,23.58,21.781,22.08,22.08,279800,1900446000.0,-0.9000000000000021,-3.9164490861618892
2021-11-18,22.24,23.15,21.01,22.41,22.41,199000,1839247999.9999998,0.1700000000000017,0.7643884892086408
2021-11-19,22.17,22.74,21.049999,21.129999,21.129999,145700,1833459000.0000002,-1.0400010000000002,-4.6910284167794325
2021-11-22,21.6,22.389999,19.85,20.530001,20.530001,289000,1786320000.0,-1.0699990000000028,-4.953699074074087
2021-11-23,20.25,21.26,17.799999,20.68,20.68,403700,1674675000.0,0.4299999999999997,2.1234567901234556
2021-11-24,20.440001,21.73,20.205,21.16,21.16,361500,1690388082.6999998,0.7199990000000014,3.522499827666356
2021-11-26,20.33,21.004999,19.690001,19.870001,19.870001,209900,1681290999.9999998,-0.4599989999999998,-2.2626610919822916
2021-11-29,20.34,20.74,18.66,19.24,19.24,273500,1682118000.0,-1.1000000000000014,-5.408062930186832
2021-11-30,18.82,19.0,18.160999,18.76,18.76,179700,1556414000.0,-0.05999999999999872,-0.3188097768331494
2021-12-01,18.879999,19.450001,18.15,19.07,19.07,145700,1561375917.3000002,0.19000099999999875,1.0063612821165866
2021-12-02,19.040001,20.07,18.77,20.059999,20.059999,149000,1574608082.7,1.019998000000001,5.357132071579204
2021-12-03,20.040001,20.5,18.15,18.799999,18.799999,204900,1657308082.7,-1.2400020000000005,-6.187634421774732
2021-12-06,19.219999,19.915001,18.549999,19.27,19.27,183900,1589493917.3000002,0.050000999999998186,0.26015089803073443
2021-12-07,19.200001,19.700001,18.120001,18.540001,18.540001,239600,1587840082.7,-0.6600000000000001,-3.4374998209635512
2021-12-08,18.549999,18.719999,17.879,18.23,18.23,164800,1534084917.3,-0.31999899999999926,-1.7250620876044211
2021-12-09,18.01,18.497999,17.219999,17.360001,17.360001,165800,1489427000.0000002,-0.6499990000000011,-3.609100499722382
