Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1999-07-14,8.0,8.0,8.0,8.0,2.865636,0,88720000.0,0.0,0.0
1999-07-15,6.958333,6.979167,6.791667,6.979167,2.499969,15000,77167912.97,0.020834000000000685,0.2994107927861556
1999-07-16,7.0,7.0,6.958333,7.0,2.507431,3000,77630000.0,0.0,0.0
1999-07-19,7.0,7.0,7.0,7.0,2.507431,0,77630000.0,0.0,0.0
1999-07-20,7.0,7.0,7.0,7.0,2.507431,0,77630000.0,0.0,0.0
1999-07-21,6.833333,6.833333,6.666667,6.833333,2.44773,12600,75781662.97,0.0,0.0
1999-07-22,6.833333,6.833333,6.833333,6.833333,2.44773,0,75781662.97,0.0,0.0
1999-07-23,6.833333,6.833333,6.833333,6.833333,2.44773,0,75781662.97,0.0,0.0
1999-07-26,6.875,6.875,6.875,6.875,2.462655,1200,76243750.0,0.0,0.0
1999-07-27,6.875,6.875,6.875,6.875,2.462655,0,76243750.0,0.0,0.0
1999-07-28,6.875,6.875,6.833333,6.833333,2.44773,7800,76243750.0,-0.04166700000000034,-0.6060654545454595
1999-07-29,6.791667,6.833333,6.791667,6.833333,2.44773,3900,75319587.03,0.041665999999999315,0.6134870864546114
1999-07-30,6.833333,6.833333,6.833333,6.833333,2.44773,0,75781662.97,0.0,0.0
1999-08-02,6.833333,6.875,6.833333,6.833333,2.44773,41400,75781662.97,0.0,0.0
1999-08-03,6.833333,6.916667,6.833333,6.916667,2.477581,7500,75781662.97,0.08333400000000069,1.2195220107084008
1999-08-04,6.916667,6.916667,6.916667,6.916667,2.477581,0,76705837.03,0.0,0.0
1999-08-05,6.958333,6.958333,6.958333,6.958333,2.492507,1500,77167912.97,0.0,0.0
1999-08-06,6.833333,6.833333,6.833333,6.833333,2.44773,5700,75781662.97,0.0,0.0
1999-08-09,6.75,6.75,6.666667,6.666667,2.38803,1500,74857500.0,-0.08333299999999966,-1.234562962962958
1999-08-10,6.5,6.5,6.5,6.5,2.328329,600,72085000.0,0.0,0.0
1999-08-11,6.6875,6.6875,6.6875,6.6875,2.395493,600,74164375.0,0.0,0.0
1999-08-12,6.6875,6.6875,6.6875,6.6875,2.395493,0,74164375.0,0.0,0.0
1999-08-13,6.458333,6.458333,6.458333,6.458333,2.313404,900,71622912.97,0.0,0.0
1999-08-16,6.5,6.5,6.5,6.5,2.328329,3000,72085000.0,0.0,0.0
1999-08-17,6.5,6.5,6.5,6.5,2.328329,6000,72085000.0,0.0,0.0
1999-08-18,6.416667,6.5,6.416667,6.5,2.328329,5100,71160837.03,0.08333299999999966,1.2986960364313693
1999-08-19,6.5,6.5,6.5,6.5,2.328329,2700,72085000.0,0.0,0.0
1999-08-20,6.416667,6.416667,6.416667,6.416667,2.298478,1500,71160837.03,0.0,0.0
