Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1994-06-24,23.625,23.75,23.5,23.625,5.453591,3086100,3125115000.0,0.0,0.0
1994-06-27,23.5,23.625,23.5,23.625,5.453591,506700,3108580000.0,0.125,0.5319148936170213
1994-06-28,23.5,23.625,23.5,23.625,5.453591,198800,3108580000.0,0.125,0.5319148936170213
1994-06-29,23.5,23.625,23.5,23.625,5.453591,117500,3108580000.0,0.125,0.5319148936170213
1994-06-30,23.625,23.75,23.625,23.625,5.453591,160000,3125115000.0,0.0,0.0
1994-07-01,23.5,23.75,23.5,23.625,5.453591,129000,3108580000.0,0.125,0.5319148936170213
1994-07-05,23.75,23.75,23.625,23.625,5.453591,149200,3141650000.0,-0.125,-0.5263157894736842
1994-07-06,23.625,23.625,23.5,23.5,5.424737,134100,3125115000.0,-0.125,-0.5291005291005291
1994-07-07,23.5,23.625,23.5,23.5,5.424737,112800,3108580000.0,0.0,0.0
1994-07-08,23.5,23.625,23.5,23.5,5.424737,94300,3108580000.0,0.0,0.0
1994-07-11,23.5,23.625,23.5,23.5,5.424737,207900,3108580000.0,0.0,0.0
1994-07-12,23.5,23.5,23.5,23.5,5.424737,158400,3108580000.0,0.0,0.0
1994-07-13,23.5,23.625,23.375,23.375,5.395881,337600,3108580000.0,-0.125,-0.5319148936170213
1994-07-14,23.375,23.625,23.375,23.625,5.453591,189100,3092045000.0,0.25,1.06951871657754
1994-07-15,23.5,23.625,23.375,23.625,5.453591,35100,3108580000.0,0.125,0.5319148936170213
1994-07-18,23.625,23.625,23.375,23.5,5.424737,74500,3125115000.0,-0.125,-0.5291005291005291
1994-07-19,23.5,23.5,23.25,23.25,5.367026,271700,3108580000.0,-0.25,-1.0638297872340425
1994-07-20,23.25,23.375,23.25,23.25,5.367026,28300,3075510000.0,0.0,0.0
1994-07-21,23.25,23.375,23.25,23.375,5.395881,34600,3075510000.0,0.125,0.5376344086021506
1994-07-22,23.375,23.375,23.25,23.375,5.395881,26800,3092045000.0,0.0,0.0
1994-07-25,23.375,23.375,23.25,23.375,5.395881,20500,3092045000.0,0.0,0.0
1994-07-26,23.25,23.375,23.25,23.25,5.367026,24300,3075510000.0,0.0,0.0
1994-07-27,23.25,23.25,23.0,23.0,5.309316,34800,3075510000.0,-0.25,-1.0752688172043012
1994-07-28,23.0,23.0,22.0,22.125,5.10733,41600,3042440000.0,-0.875,-3.804347826086957
1994-07-29,22.375,23.25,22.375,22.5,5.193896,137800,2959765000.0,0.125,0.5586592178770949
1994-08-01,22.625,22.875,22.625,22.625,5.222751,12300,2992835000.0,0.0,0.0
1994-08-02,22.625,23.125,22.625,22.75,5.251606,14600,2992835000.0,0.125,0.5524861878453038
1994-08-03,22.875,23.0,22.5,22.5,5.193896,16700,3025905000.0,-0.375,-1.639344262295082
1994-08-04,21.75,22.0,21.375,21.875,5.049621,65700,2877090000.0,0.125,0.5747126436781609
1994-08-05,21.75,22.0,21.75,21.75,5.020766,60200,2877090000.0,0.0,0.0
1994-08-08,21.875,22.0,21.75,21.75,5.020766,14700,2893625000.0,-0.125,-0.5714285714285714
1994-08-09,21.875,22.25,21.5,21.5,4.963058,117500,2893625000.0,-0.375,-1.7142857142857144
1994-08-10,21.5,21.75,21.5,21.5,4.963058,69300,2844020000.0,0.0,0.0
1994-08-11,21.625,21.75,21.5,21.5,4.963058,52600,2860555000.0,-0.125,-0.5780346820809248
1994-08-12,21.375,21.375,21.0,21.0,4.847637,295900,2827485000.0,-0.375,-1.7543859649122806
1994-08-15,21.125,21.25,21.0,21.25,4.905346,33600,2794415000.0,0.125,0.591715976331361
1994-08-16,21.5,21.875,21.375,21.875,5.049621,73900,2844020000.0,0.375,1.744186046511628
1994-08-17,21.875,22.375,21.875,22.375,5.165043,74700,2893625000.0,0.5,2.2857142857142856
1994-08-18,22.375,22.5,22.125,22.125,5.10733,9600,2959765000.0,-0.25,-1.1173184357541899
1994-08-19,22.125,22.25,22.125,22.125,5.10733,900,2926695000.0,0.0,0.0
1994-08-22,22.125,22.25,21.875,22.125,5.10733,11700,2926695000.0,0.0,0.0
1994-08-23,22.125,22.125,22.0,22.0,5.078475,31300,2926695000.0,-0.125,-0.5649717514124294
1994-08-24,22.0,22.0,21.5,21.875,5.049621,105600,2910160000.0,-0.125,-0.5681818181818182
1994-08-25,21.75,21.875,21.625,21.75,5.020766,9800,2877090000.0,0.0,0.0
1994-08-26,21.875,22.0,21.5,21.5,4.963058,228200,2893625000.0,-0.375,-1.7142857142857144
1994-08-29,21.5,21.75,21.125,21.375,4.934204,19900,2844020000.0,-0.125,-0.5813953488372093
1994-08-30,21.375,21.75,21.25,21.75,5.020766,71600,2827485000.0,0.375,1.7543859649122806
1994-08-31,21.75,22.125,21.375,22.125,5.10733,57200,2877090000.0,0.375,1.7241379310344827
1994-09-01,22.0,22.0,21.75,21.875,5.049621,28000,2910160000.0,-0.125,-0.5681818181818182
1994-09-02,21.875,22.125,21.75,22.0,5.078475,16300,2893625000.0,0.125,0.5714285714285714
1994-09-06,21.875,22.0,21.875,21.875,5.049621,5100,2893625000.0,0.0,0.0
1994-09-07,22.125,22.25,21.875,22.25,5.136187,14600,2926695000.0,0.125,0.5649717514124294
1994-09-08,22.125,23.125,22.125,23.125,5.33817,71300,2926695000.0,1.0,4.519774011299435
1994-09-09,23.0,23.125,22.875,23.0,5.309316,31900,3042440000.0,0.0,0.0
1994-09-12,23.0,23.0,22.75,22.875,5.280461,64000,3042440000.0,-0.125,-0.5434782608695652
1994-09-13,22.875,22.875,22.625,22.75,5.251606,69700,3025905000.0,-0.125,-0.546448087431694
1994-09-14,22.625,22.625,22.5,22.625,5.222751,10800,2992835000.0,0.0,0.0
1994-09-15,22.625,22.75,22.625,22.625,5.222751,11700,2992835000.0,0.0,0.0
1994-09-16,22.5,22.625,22.375,22.625,5.222751,85600,2976300000.0,0.125,0.5555555555555556
1994-09-19,22.625,22.625,22.375,22.375,5.165043,38200,2992835000.0,-0.25,-1.1049723756906076
1994-09-20,22.375,22.375,22.125,22.125,5.10733,20100,2959765000.0,-0.25,-1.1173184357541899
1994-09-21,22.125,22.125,21.25,21.5,4.963058,18400,2926695000.0,-0.625,-2.824858757062147
1994-09-22,21.75,21.75,21.375,21.625,4.99191,10900,2877090000.0,-0.125,-0.5747126436781609
1994-09-23,21.75,21.75,21.5,21.625,4.99191,9100,2877090000.0,-0.125,-0.5747126436781609
1994-09-26,20.875,20.875,20.25,20.625,4.867308,171900,2761345000.0,-0.25,-1.1976047904191618
1994-09-27,20.875,21.375,20.75,21.25,5.014802,108400,2761345000.0,0.375,1.7964071856287425
1994-09-28,21.25,21.875,21.25,21.75,5.132798,14200,2810950000.0,0.5,2.3529411764705883
1994-09-29,21.625,21.625,21.375,21.375,5.044304,35500,2860555000.0,-0.25,-1.1560693641618496
1994-09-30,21.25,21.375,21.25,21.375,5.044304,88000,2810950000.0,0.125,0.5882352941176471
1994-10-03,21.0,21.125,20.875,21.125,4.985303,65100,2777880000.0,0.125,0.5952380952380952
1994-10-04,21.0,21.0,20.75,21.0,4.955804,27700,2777880000.0,0.0,0.0
1994-10-05,21.0,21.0,20.625,20.875,4.926308,21700,2777880000.0,-0.125,-0.5952380952380952
1994-10-06,21.0,21.0,20.5,20.875,4.926308,36100,2777880000.0,-0.125,-0.5952380952380952
1994-10-07,20.75,21.0,20.75,20.875,4.926308,30400,2744810000.0,0.125,0.6024096385542169
1994-10-10,21.0,21.0,20.75,21.0,4.955804,32100,2777880000.0,0.0,0.0
1994-10-11,21.0,21.0,20.625,20.875,4.926308,55600,2777880000.0,-0.125,-0.5952380952380952
1994-10-12,20.75,20.875,20.75,20.75,4.896807,52000,2744810000.0,0.0,0.0
1994-10-13,20.875,20.875,20.5,20.75,4.896807,161700,2761345000.0,-0.125,-0.5988023952095809
1994-10-14,20.625,21.0,20.625,21.0,4.955804,141700,2728275000.0,0.375,1.8181818181818181
1994-10-17,21.0,21.25,20.875,20.875,4.926308,86100,2777880000.0,-0.125,-0.5952380952380952
1994-10-18,21.0,21.0,20.625,20.625,4.867308,79100,2777880000.0,-0.375,-1.7857142857142856
1994-10-19,20.75,20.75,20.5,20.625,4.867308,25400,2744810000.0,-0.125,-0.6024096385542169
1994-10-20,20.5,20.75,20.5,20.625,4.867308,38000,2711740000.0,0.125,0.6097560975609756
1994-10-21,20.5,20.875,20.375,20.625,4.867308,12500,2711740000.0,0.125,0.6097560975609756
1994-10-24,20.5,20.75,20.25,20.25,4.778813,24500,2711740000.0,-0.25,-1.2195121951219512
1994-10-25,20.25,20.5,19.75,19.875,4.690316,67300,2678670000.0,-0.375,-1.8518518518518516
1994-10-26,19.875,19.875,19.375,19.5,4.601819,129900,2629065000.0,-0.375,-1.8867924528301887
1994-10-27,19.75,19.75,19.5,19.625,4.631318,39800,2612530000.0,-0.125,-0.6329113924050633
1994-10-28,19.625,19.625,19.375,19.375,4.572319,60100,2595995000.0,-0.25,-1.2738853503184715
1994-10-31,19.375,19.5,19.375,19.5,4.601819,44600,2562925000.0,0.125,0.6451612903225806
1994-11-01,19.25,19.25,18.625,18.875,4.454323,68800,2546390000.0,-0.375,-1.948051948051948
1994-11-02,18.75,18.75,18.5,18.5,4.365827,31800,2480250000.0,-0.25,-1.3333333333333335
1994-11-03,18.75,19.0,18.0,18.75,4.424824,43400,2480250000.0,0.0,0.0
1994-11-04,18.25,18.5,18.25,18.5,4.365827,47200,2414110000.0,0.25,1.36986301369863
1994-11-07,18.25,18.375,18.0,18.0,4.247833,43800,2414110000.0,-0.25,-1.36986301369863
1994-11-08,18.125,18.25,17.75,17.75,4.188836,77400,2397575000.0,-0.375,-2.0689655172413794
1994-11-09,17.875,18.0,17.375,17.625,4.159335,149400,2364505000.0,-0.25,-1.3986013986013985
1994-11-10,17.75,18.375,17.75,18.0,4.247833,50200,2347970000.0,0.25,1.4084507042253522
1994-11-11,18.125,18.375,18.0,18.25,4.306831,94200,2397575000.0,0.125,0.6896551724137931
1994-11-14,18.125,18.625,18.125,18.375,4.336328,28400,2397575000.0,0.25,1.3793103448275863
1994-11-15,18.5,18.75,18.5,18.75,4.424824,17900,2447180000.0,0.25,1.3513513513513513
1994-11-16,18.875,19.125,18.875,18.875,4.454323,52500,2496785000.0,0.0,0.0
1994-11-17,18.875,19.0,18.625,19.0,4.483823,71200,2496785000.0,0.125,0.6622516556291391
1994-11-18,19.25,19.25,19.0,19.125,4.513323,66000,2546390000.0,-0.125,-0.6493506493506493
1994-11-21,19.0,19.25,18.75,18.875,4.454323,10500,2513320000.0,-0.125,-0.6578947368421052
1994-11-22,18.75,18.875,18.0,18.125,4.27733,34300,2480250000.0,-0.625,-3.3333333333333335
1994-11-23,17.875,18.0,17.625,18.0,4.247833,55400,2364505000.0,0.125,0.6993006993006993
1994-11-25,17.75,18.125,17.75,18.125,4.27733,9400,2347970000.0,0.375,2.112676056338028
1994-11-28,18.25,18.75,18.0,18.5,4.365827,16900,2414110000.0,0.25,1.36986301369863
1994-11-29,18.5,18.5,18.125,18.5,4.365827,89400,2447180000.0,0.0,0.0
1994-11-30,18.25,18.5,18.0,18.0,4.247833,28200,2414110000.0,-0.25,-1.36986301369863
1994-12-01,18.125,18.375,17.875,18.125,4.27733,19300,2397575000.0,0.0,0.0
1994-12-02,18.0,18.375,18.0,18.375,4.336328,52500,2381040000.0,0.375,2.083333333333333
1994-12-05,18.25,18.25,17.75,18.125,4.27733,37800,2414110000.0,-0.125,-0.684931506849315
1994-12-06,18.0,18.0,17.75,17.875,4.218333,13000,2381040000.0,-0.125,-0.6944444444444444
1994-12-07,17.75,17.875,17.5,17.875,4.218333,36000,2347970000.0,0.125,0.7042253521126761
1994-12-08,17.875,18.25,17.625,17.75,4.188836,28900,2364505000.0,-0.125,-0.6993006993006993
1994-12-09,17.75,17.75,17.25,17.5,4.129837,114100,2347970000.0,-0.25,-1.4084507042253522
1994-12-12,17.375,17.75,17.125,17.5,4.129837,21300,2298365000.0,0.125,0.7194244604316548
1994-12-13,17.375,17.625,17.25,17.5,4.129837,30700,2298365000.0,0.125,0.7194244604316548
1994-12-14,17.25,17.75,17.25,17.5,4.129837,50300,2281830000.0,0.25,1.4492753623188406
1994-12-15,17.75,18.125,17.625,18.0,4.247833,37300,2347970000.0,0.25,1.4084507042253522
1994-12-16,18.125,19.75,18.125,19.25,4.542819,36600,2397575000.0,1.125,6.206896551724138
1994-12-19,19.5,19.5,19.125,19.125,4.513323,92700,2579460000.0,-0.375,-1.9230769230769231
1994-12-20,19.25,19.375,19.0,19.375,4.572319,141900,2546390000.0,0.125,0.6493506493506493
1994-12-21,19.125,19.75,19.0,19.5,4.601819,27700,2529855000.0,0.375,1.9607843137254901
