Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2019-03-27,10.2,10.2,9.27,9.99,9.99,1200,2986662000.0,-0.20999999999999908,-2.0588235294117556
2019-03-28,9.99,9.99,9.99,9.99,9.99,300,2925171900.0,0.0,0.0
2019-03-29,9.99,9.99,9.99,9.99,9.99,100,2925171900.0,0.0,0.0
2019-04-01,9.49,10.0,9.49,10.0,10.0,700,2778766900.0,0.5099999999999998,5.3740779768177
2019-04-02,9.2,9.25,6.25,7.1,7.1,2200,2693852000.0,-2.0999999999999996,-22.82608695652174
2019-04-03,7.25,9.25,7.25,7.5,7.5,1300,2122872500.0,0.25,3.4482758620689653
2019-04-04,7.45,7.46,7.45,7.46,7.46,200,2181434500.0,0.009999999999999787,0.13422818791946023
2019-04-05,9.0,9.0,7.87,7.87,7.87,700,2635290000.0,-1.13,-12.555555555555554
2019-04-08,8.5,8.5,8.5,8.5,8.5,200,2488885000.0,0.0,0.0
2019-04-09,8.09,11.0,8.0,8.0,8.0,1700,2368832900.0,-0.08999999999999986,-1.1124845488257091
2019-04-10,8.5,8.5,7.5,7.5,7.5,700,2488885000.0,-1.0,-11.76470588235294
2019-04-11,8.45,8.45,7.65,8.0,8.0,2500,2474244500.0,-0.4499999999999993,-5.32544378698224
2019-04-12,8.0,8.1,7.7,7.7,7.7,400,2342480000.0,-0.2999999999999998,-3.749999999999998
2019-04-15,7.7,7.7,7.7,7.7,7.7,100,2254637000.0,0.0,0.0
2019-04-16,7.46,7.46,7.46,7.46,7.46,400,2184362600.0,0.0,0.0
2019-04-17,7.46,7.46,7.46,7.46,7.46,200,2184362600.0,0.0,0.0
2019-04-18,7.5,7.5,7.5,7.5,7.5,200,2196075000.0,0.0,0.0
2019-04-22,7.46,7.46,7.21,7.21,7.21,1000,2184362600.0,-0.25,-3.351206434316354
2019-04-23,7.49,7.49,7.25,7.25,7.25,400,2193146900.0,-0.2400000000000002,-3.2042723631508707
2019-04-24,7.25,7.25,7.25,7.25,7.25,100,2122872500.0,0.0,0.0
2019-04-25,7.25,7.25,7.25,7.25,7.25,100,2122872500.0,0.0,0.0
2019-04-26,7.23,7.23,6.6,7.15,7.15,700,2117016300.0000002,-0.08000000000000007,-1.1065006915629332
2019-04-29,6.6,6.6,6.6,6.6,6.6,1100,1932546000.0,0.0,0.0
2019-04-30,6.5,6.5,6.02,6.02,6.02,600,1903265000.0,-0.4800000000000004,-7.384615384615391
2019-05-01,6.48,6.48,6.48,6.48,6.48,200,1897408800.0000002,0.0,0.0
2019-05-02,6.5,7.25,6.5,7.25,7.25,1300,1903265000.0,0.75,11.538461538461538
2019-05-03,6.595,6.595,6.595,6.595,6.595,300,1931081950.0,0.0,0.0
2019-05-06,6.595,6.595,6.595,6.595,6.595,100,1931081950.0,0.0,0.0
2019-05-07,6.595,6.595,6.595,6.595,6.595,0,1931081950.0,0.0,0.0
2019-05-08,6.1,6.1,5.953,6.02,6.02,600,1786141000.0,-0.08000000000000007,-1.3114754098360668
2019-05-09,6.0,6.0,5.85,6.0,6.0,500,1756860000.0,0.0,0.0
2019-05-10,5.5,6.0,4.85,6.0,6.0,1600,1610455000.0,0.5,9.090909090909092
2019-05-13,5.36,5.36,5.36,5.36,5.36,300,1569461600.0,0.0,0.0
2019-05-14,5.5,5.5,5.5,5.5,5.5,300,1610455000.0,0.0,0.0
2019-05-15,5.5,5.5,5.5,5.5,5.5,100,1610455000.0,0.0,0.0
2019-05-16,5.5,5.5,5.5,5.5,5.5,100,1610455000.0,0.0,0.0
2019-05-17,5.5,5.5,5.5,5.5,5.5,0,1610455000.0,0.0,0.0
2019-05-20,5.4,5.4,5.31,5.31,5.31,700,1581174000.0,-0.09000000000000075,-1.6666666666666805
2019-05-21,5.31,5.31,5.31,5.31,5.31,100,1554821100.0,0.0,0.0
2019-05-22,5.25,5.25,5.05,5.05,5.05,800,1537252500.0,-0.20000000000000018,-3.809523809523813
2019-05-23,5.1,5.1,4.25,5.0,5.0,1900,1493331000.0,-0.09999999999999964,-1.9607843137254832
2019-05-24,4.955,5.45,4.8,5.45,5.45,1000,1450873550.0,0.4950000000000001,9.989909182643796
2019-05-28,5.45,5.45,5.45,5.45,5.45,100,1595814500.0,0.0,0.0
2019-05-29,4.75,5.0,4.06,5.0,5.0,1600,1390847500.0,0.25,5.263157894736842
2019-05-30,5.0,5.0,5.0,5.0,5.0,100,1464050000.0,0.0,0.0
2019-05-31,4.75,4.75,4.75,4.75,4.75,1100,1390847500.0,0.0,0.0
2019-06-03,5.0,5.0,5.0,5.0,5.0,300,1464050000.0,0.0,0.0
2019-06-04,4.5,4.75,4.5,4.75,4.75,800,1317645000.0,0.25,5.555555555555555
2019-06-05,4.5,4.5,4.125,4.25,4.25,2100,1317645000.0,-0.25,-5.555555555555555
2019-06-06,4.25,4.25,4.25,4.25,4.25,100,1244442500.0,0.0,0.0
2019-06-07,4.1,4.1,3.0,3.0,3.0,1200,1200521000.0,-1.0999999999999996,-26.829268292682922
2019-06-10,5.0,5.0,4.75,4.85,4.85,5300,1464050000.0,-0.15000000000000036,-3.000000000000007
2019-06-11,4.95,5.25,4.95,5.25,5.25,900,1449409500.0,0.2999999999999998,6.060606060606057
2019-06-12,5.85,7.74,5.85,7.075,7.075,6400,1712938500.0,1.2250000000000005,20.94017094017095
2019-06-13,7.15,7.15,6.15,7.0,7.0,2100,2093591500.0,-0.15000000000000036,-2.097902097902103
2019-06-14,6.7,6.7,6.15,6.5,6.5,1600,1961827000.0,-0.20000000000000018,-2.9850746268656745
2019-06-17,6.85,6.86,6.85,6.86,6.86,600,2005748500.0,0.010000000000000675,0.14598540145986388
2019-06-18,6.94,7.6,6.94,7.6,7.6,1100,2032101400.0,0.6599999999999993,9.5100864553314
2019-06-19,7.63,7.67,7.6,7.66,7.66,2200,2234140300.0,0.03000000000000025,0.3931847968545249
2019-06-20,7.65,7.65,7.6,7.65,7.65,1400,2239996500.0,0.0,0.0
2019-06-21,7.55,8.2,7.55,8.2,8.2,1300,2210715500.0,0.6499999999999995,8.609271523178801
2019-06-24,8.26,9.2,6.5,8.0,8.0,2900,2418610600.0,-0.2599999999999998,-3.1476997578692467
2019-06-25,8.27,8.3,8.27,8.3,8.3,300,2421538700.0,0.030000000000001137,0.36275695284160986
2019-06-26,8.31,8.31,8.31,8.31,8.31,300,2433251100.0,0.0,0.0
2019-06-27,8.06,8.06,7.81,7.81,7.81,600,2360048600.0,-0.2500000000000009,-3.1017369727047255
2019-06-28,7.55,8.0,7.55,7.99,7.99,900,2210715500.0,0.4400000000000004,5.827814569536429
2019-07-01,7.85,7.85,7.85,7.85,7.85,300,2298558500.0,0.0,0.0
2019-07-02,7.25,8.2,7.25,8.2,8.2,1200,2122872500.0,0.9499999999999993,13.103448275862059
2019-07-03,7.75,8.2,7.75,8.2,8.2,400,2269277500.0,0.4499999999999993,5.806451612903216
2019-07-05,8.2,8.2,8.2,8.2,8.2,300,2401042000.0,0.0,0.0
2019-07-08,7.5,7.5,7.5,7.5,7.5,300,2196075000.0,0.0,0.0
2019-07-09,7.29,7.6,7.25,7.6,7.6,400,2134584900.0,0.3099999999999996,4.25240054869684
2019-07-10,6.11,6.98,6.05,6.98,6.98,900,1789069100.0,0.8700000000000001,14.238952536824879
2019-07-11,7.6,8.18,6.21,8.18,8.18,1100,2225356000.0,0.5800000000000001,7.631578947368423
2019-07-12,6.96,8.0,6.2,6.75,6.75,1900,2037957600.0,-0.20999999999999996,-3.0172413793103443
2019-07-15,7.75,8.1,7.75,8.1,8.1,200,2269277500.0,0.34999999999999964,4.5161290322580605
2019-07-16,8.1,8.1,8.1,8.1,8.1,0,2371761000.0,0.0,0.0
2019-07-17,8.1,8.1,8.1,8.1,8.1,100,2371761000.0,0.0,0.0
2019-07-18,8.1,8.1,8.1,8.1,8.1,0,2371761000.0,0.0,0.0
2019-07-19,8.1,8.1,8.1,8.1,8.1,100,2371761000.0,0.0,0.0
2019-07-22,6.55,7.55,6.55,7.55,7.55,400,1917905500.0,1.0,15.267175572519085
2019-07-23,6.6,7.54,6.6,7.54,7.54,1500,1932546000.0,0.9400000000000004,14.242424242424248
2019-07-24,7.25,7.5,7.1,7.5,7.5,300,2122872500.0,0.25,3.4482758620689653
2019-07-25,7.5,7.5,7.5,7.5,7.5,100,2196075000.0,0.0,0.0
2019-07-26,7.5,7.5,7.5,7.5,7.5,100,2196075000.0,0.0,0.0
2019-07-29,6.77,6.77,6.77,6.77,6.77,200,1982323699.9999998,0.0,0.0
2019-07-30,6.82,7.015,6.06,6.71,6.71,1600,1996964200.0,-0.11000000000000032,-1.6129032258064562
2019-07-31,6.75,7.46,6.75,7.46,7.46,400,1976467500.0,0.71,10.518518518518517
2019-08-01,7.46,7.46,7.46,7.46,7.46,100,2184362600.0,0.0,0.0
2019-08-02,7.2,7.4,7.2,7.4,7.4,400,2108232000.0,0.20000000000000018,2.77777777777778
2019-08-05,6.34,7.46,6.315,6.75,6.75,1400,1856415400.0,0.41000000000000014,6.466876971608835
2019-08-06,7.3,7.54,7.2,7.25,7.25,2100,2137513000.0,-0.04999999999999982,-0.6849315068493127
2019-08-07,7.3,7.54,7.2,7.25,7.25,100,2137513000.0,-0.04999999999999982,-0.6849315068493127
2019-08-08,7.2,7.52,7.2,7.52,7.52,2700,2108232000.0,0.3199999999999994,4.444444444444437
2019-08-09,7.54,7.54,7.54,7.54,7.54,300,2207787400.0,0.0,0.0
2019-08-12,6.885,7.79,6.885,7.79,7.79,1000,2015996850.0,0.9050000000000002,13.144517066085697
2019-08-13,7.75,7.94,7.75,7.94,7.94,1700,2269277500.0,0.1900000000000004,2.4516129032258114
2019-08-14,7.9,7.98,7.9,7.98,7.98,600,2313199000.0,0.08000000000000007,1.0126582278481022
2019-08-15,7.98,7.98,7.9,7.98,7.98,400,2336623800.0,0.0,0.0
2019-08-16,7.95,7.95,7.95,7.95,7.95,0,2327839500.0,0.0,0.0
2019-08-19,7.98,7.98,7.98,7.98,7.98,200,2336623800.0,0.0,0.0
2019-08-20,7.98,7.98,7.98,7.98,7.98,0,2336623800.0,0.0,0.0
2019-08-21,7.43,7.5,7.43,7.5,7.5,400,2175578300.0,0.07000000000000028,0.9421265141319015
2019-08-22,7.5,7.6,7.5,7.6,7.6,900,2196075000.0,0.09999999999999964,1.3333333333333286
2019-08-23,7.5,7.5,7.5,7.5,7.5,400,2196075000.0,0.0,0.0
2019-08-26,7.5,7.5,6.75,7.0,7.0,1200,2196075000.0,-0.5,-6.666666666666667
2019-08-27,7.814,7.814,7.125,7.8,7.8,900,2288017340.0,-0.014000000000000234,-0.1791656002047637
2019-08-28,7.8,7.8,7.8,7.8,7.8,0,2283918000.0,0.0,0.0
2019-08-29,7.23,7.95,6.75,7.95,7.95,2400,2117016300.0000002,0.7199999999999998,9.958506224066387
2019-08-30,9.5,9.5,7.98,8.22,8.22,1800,2781695000.0,-1.2799999999999994,-13.47368421052631
2019-09-03,8.22,8.22,8.22,8.22,8.22,0,2406898200.0,0.0,0.0
2019-09-04,7.7,10.0,7.2,10.0,10.0,6700,2254637000.0,2.3,29.87012987012987
