Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2009-11-24,20.0,20.049999,20.0,20.030001,6.636314,159400,299000000.0,0.030000999999998612,0.15000499999999306
2009-11-25,20.0,20.040001,20.0,20.0,6.626376,13800,299000000.0,0.0,0.0
2009-11-27,20.0,20.0,20.0,20.0,6.626376,38800,299000000.0,0.0,0.0
2009-11-30,20.0,20.02,20.0,20.0,6.626376,69200,299000000.0,0.0,0.0
2009-12-01,20.0,20.030001,20.0,20.02,6.633008,31400,299000000.0,0.019999999999999574,0.09999999999999788
2009-12-02,20.02,20.02,20.0,20.0,6.626376,13200,299299000.0,-0.019999999999999574,-0.09990009990009778
2009-12-03,20.0,20.02,20.0,20.0,6.626376,14200,299000000.0,0.0,0.0
2009-12-04,20.030001,20.030001,20.0,20.0,6.626376,12700,299448514.95,-0.030000999999998612,-0.14978032202793506
2009-12-07,20.01,20.01,20.0,20.0,6.626376,10300,299149500.0,-0.010000000000001563,-0.04997501249376093
2009-12-08,20.0,20.01,20.0,20.0,6.626376,29800,299000000.0,0.0,0.0
2009-12-09,20.01,20.02,20.0,20.02,6.633008,8000,299149500.0,0.00999999999999801,0.04997501249374318
2009-12-10,20.0,20.01,20.0,20.0,6.626376,29000,299000000.0,0.0,0.0
2009-12-11,20.02,20.02,20.0,20.0,6.626376,59700,299299000.0,-0.019999999999999574,-0.09990009990009778
2009-12-14,20.02,20.02,20.0,20.0,6.626376,63600,299299000.0,-0.019999999999999574,-0.09990009990009778
2009-12-15,19.99,20.02,19.99,20.0,6.626376,28600,298850500.0,0.010000000000001563,0.05002501250626095
2009-12-16,20.0,20.02,20.0,20.0,6.626376,58100,299000000.0,0.0,0.0
2009-12-17,20.0,20.08,20.0,20.059999,6.646255,18500,299000000.0,0.059999000000001246,0.29999500000000623
2009-12-18,20.0,20.01,20.0,20.01,6.629693,12800,299000000.0,0.010000000000001563,0.050000000000007816
2009-12-21,20.1,20.1,20.0,20.0,6.626376,12200,300495000.0,-0.10000000000000142,-0.4975124378109523
2009-12-22,20.0,20.0,20.0,20.0,6.626376,15100,299000000.0,0.0,0.0
