Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1996-02-28,15.25,15.25,15.0,15.0,6.933959,600,388417500.0,-0.25,-1.639344262295082
1996-02-29,15.5,15.5,15.5,15.5,7.16509,400,394785000.0,0.0,0.0
1996-03-01,15.75,15.75,15.5,15.5,7.16509,7200,401152500.0,-0.25,-1.5873015873015872
1996-03-04,15.5,15.75,15.5,15.5,7.16509,2000,394785000.0,0.0,0.0
1996-03-05,15.75,15.75,15.75,15.75,7.280655,600,401152500.0,0.0,0.0
1996-03-06,15.75,15.75,15.5,15.5,7.16509,12000,401152500.0,-0.25,-1.5873015873015872
1996-03-07,15.4375,15.75,15.4375,15.75,7.280655,3600,393193125.0,0.3125,2.0242914979757085
1996-03-08,15.375,15.75,15.375,15.75,7.280655,2800,391601250.0,0.375,2.4390243902439024
1996-03-11,15.375,15.5,15.125,15.5,7.16509,16200,391601250.0,0.125,0.8130081300813009
1996-03-12,15.375,15.5,15.25,15.25,7.049523,21000,391601250.0,-0.125,-0.8130081300813009
1996-03-13,15.25,15.375,15.0,15.375,7.107305,2600,388417500.0,0.125,0.819672131147541
1996-03-14,15.375,15.375,15.0,15.0,6.933959,34000,391601250.0,-0.375,-2.4390243902439024
1996-03-15,15.125,15.25,15.125,15.25,7.049523,1200,385233750.0,0.125,0.8264462809917356
1996-03-18,15.375,15.375,15.375,15.375,7.107305,800,391601250.0,0.0,0.0
1996-03-19,15.25,15.375,15.25,15.25,7.086395,2600,388417500.0,0.0,0.0
1996-03-20,15.375,15.375,15.375,15.375,7.14448,400,391601250.0,0.0,0.0
1996-03-21,15.375,15.375,15.0,15.0,6.970227,3400,391601250.0,-0.375,-2.4390243902439024
1996-03-22,15.0,15.375,15.0,15.375,7.14448,600,382050000.0,0.375,2.5
1996-03-25,15.375,15.375,15.0,15.0,6.970227,28200,391601250.0,-0.375,-2.4390243902439024
1996-03-26,15.125,15.25,15.0625,15.0625,6.999269,22200,385233750.0,-0.0625,-0.4132231404958678
1996-03-27,15.125,15.25,14.875,14.875,6.91214,29000,385233750.0,-0.25,-1.6528925619834711
1996-03-28,14.875,14.875,14.375,14.4375,6.708844,20800,378866250.0,-0.4375,-2.941176470588235
