Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2019-04-18,5800.0,5800.0,4166.0,4220.0,4220.0,35593,15428000000.0,-1580.0,-27.241379310344826
2019-04-22,4408.0,4478.0,3500.0,3898.0,3898.0,7650,11725280000.0,-510.0,-11.569872958257713
2019-04-23,4010.0,4396.0,3876.0,4140.0,4140.0,3691,10666600000.0,130.0,3.2418952618453867
2019-04-24,4200.0,4300.0,3940.0,3970.0,3970.0,1863,11172000000.0,-230.0,-5.476190476190476
2019-04-25,4000.0,4173.0,3800.0,3810.0,3810.0,1211,10640000000.0,-190.0,-4.75
2019-04-26,3822.0,3864.0,3600.0,3610.0,3610.0,2424,10166520000.0,-212.0,-5.54683411826269
2019-04-29,3652.0,3800.0,3450.0,3498.0,3498.0,2852,9714320000.0,-154.0,-4.216867469879518
2019-04-30,3492.0,3508.0,3398.0,3400.0,3400.0,4569,9288720000.0,-92.0,-2.6345933562428407
2019-05-01,3402.0,3486.0,2928.0,2968.0,2968.0,6702,9049320000.0,-434.0,-12.757201646090536
2019-05-02,2952.0,3000.0,2580.0,2668.0,2668.0,6376,7852320000.0,-284.0,-9.620596205962059
2019-05-03,2758.0,2920.0,2580.0,2846.0,2846.0,5238,7336280000.0,88.0,3.1907179115300943
2019-05-06,2844.0,3255.800049,2813.600098,3106.0,3106.0,5657,7565040000.0,262.0,9.212376933895921
2019-05-07,3102.0,3238.0,3027.800049,3238.0,3238.0,2972,8251320000.0,136.0,4.384268214055448
2019-05-08,3228.0,3316.0,3112.0,3300.0,3300.0,1149,8586480000.0,72.0,2.2304832713754648
2019-05-09,3310.0,3462.0,3152.0,3454.0,3454.0,2888,8804600000.0,144.0,4.350453172205438
2019-05-10,3418.0,3426.399902,3050.0,3250.0,3250.0,2555,9091880000.0,-168.0,-4.915155061439439
2019-05-13,3232.0,3240.0,3056.0,3108.0,3108.0,1523,8597120000.0,-124.0,-3.8366336633663365
2019-05-14,3132.0,3304.0,3030.0,3264.0,3264.0,1204,8331120000.0,132.0,4.21455938697318
2019-05-15,3262.0,3350.0,3226.0,3322.0,3322.0,803,8676920000.0,60.0,1.8393623543838136
2019-05-16,3258.0,3366.0,3178.0,3200.0,3200.0,1346,8666280000.0,-58.0,-1.780233271945979
2019-05-17,3210.0,3350.0,3056.0,3106.0,3106.0,900,8538600000.0,-104.0,-3.2398753894081
