Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1994-01-20,1.5,1.6875,1.5,1.5,1.5,290400,134565000.0,0.0,0.0
1994-01-21,1.625,1.625,1.375,1.375,1.375,231600,145778750.0,-0.25,-15.384615384615385
1994-01-24,1.375,1.4375,1.375,1.375,1.375,27000,123351250.0,0.0,0.0
1994-01-25,1.375,1.5,1.375,1.375,1.375,36400,123351250.0,0.0,0.0
1994-01-26,1.5,1.5,1.3125,1.4375,1.4375,62000,134565000.0,-0.0625,-4.166666666666666
1994-01-27,1.34375,1.4375,1.3125,1.3125,1.3125,80000,120547812.5,-0.03125,-2.3255813953488373
1994-01-28,1.375,1.375,1.375,1.375,1.375,18000,123351250.0,0.0,0.0
1994-01-31,1.4375,1.5,1.3125,1.5,1.5,53200,128958125.0,0.0625,4.3478260869565215
1994-02-01,1.3125,1.5,1.3125,1.5,1.5,31400,117744375.0,0.1875,14.285714285714285
1994-02-02,1.5,1.5,1.5,1.5,1.5,4200,134565000.0,0.0,0.0
1994-02-03,1.5,1.5,1.40625,1.4375,1.4375,24800,134565000.0,-0.0625,-4.166666666666666
1994-02-04,1.4375,1.4375,1.4375,1.4375,1.4375,0,128958125.0,0.0,0.0
1994-02-07,1.40625,1.5,1.375,1.5,1.5,39800,126154687.5,0.09375,6.666666666666667
1994-02-08,1.4375,1.5,1.375,1.375,1.375,39800,128958125.0,-0.0625,-4.3478260869565215
1994-02-09,1.5,1.5,1.375,1.5,1.5,26800,134565000.0,0.0,0.0
1994-02-10,1.5,1.5,1.375,1.375,1.375,7400,134565000.0,-0.125,-8.333333333333332
1994-02-11,1.375,1.375,1.375,1.375,1.375,4000,123351250.0,0.0,0.0
1994-02-14,1.375,1.5,1.25,1.5,1.5,83600,123351250.0,0.125,9.090909090909092
1994-02-15,1.5,1.5,1.3125,1.3125,1.3125,10600,134565000.0,-0.1875,-12.5
1994-02-16,1.3125,1.4375,1.3125,1.3125,1.3125,48000,117744375.0,0.0,0.0
1994-02-17,1.3125,1.4375,1.3125,1.3125,1.3125,71200,117744375.0,0.0,0.0
1994-02-18,1.4375,1.5,1.34375,1.4375,1.4375,66800,128958125.0,0.0,0.0
1994-02-22,1.5,1.5,1.375,1.5,1.5,14400,134565000.0,0.0,0.0
1994-02-23,1.375,1.5,1.375,1.5,1.5,11000,123351250.0,0.125,9.090909090909092
1994-02-24,1.5,1.5,1.34375,1.34375,1.34375,16800,134565000.0,-0.15625,-10.416666666666668
1994-02-25,1.453125,1.5,1.375,1.484375,1.484375,103000,130359843.75,0.03125,2.1505376344086025
1994-02-28,1.5,1.625,1.46875,1.5,1.5,154200,134565000.0,0.0,0.0
1994-03-01,1.53125,1.625,1.5,1.5625,1.5625,68000,137368437.5,0.03125,2.0408163265306123
1994-03-02,1.5625,1.5625,1.5,1.5625,1.5625,63200,140171875.0,0.0,0.0
1994-03-03,1.53125,1.625,1.53125,1.59375,1.59375,200600,137368437.5,0.0625,4.081632653061225
1994-03-04,1.53125,1.625,1.53125,1.625,1.625,147400,137368437.5,0.09375,6.122448979591836
1994-03-07,1.625,1.8125,1.5625,1.8125,1.8125,262800,145778750.0,0.1875,11.538461538461538
1994-03-08,1.8125,1.8125,1.6875,1.75,1.75,62400,162599375.0,-0.0625,-3.4482758620689653
1994-03-09,1.75,1.875,1.6875,1.875,1.875,231600,156992500.0,0.125,7.142857142857142
1994-03-10,1.875,1.9375,1.8125,1.9375,1.9375,187000,168206250.0,0.0625,3.3333333333333335
1994-03-11,1.9375,1.9375,1.8125,1.9375,1.9375,105600,173813125.0,0.0,0.0
1994-03-14,1.9375,1.9375,1.8125,1.84375,1.84375,71600,173813125.0,-0.09375,-4.838709677419355
1994-03-15,1.8125,1.9375,1.6875,1.6875,1.6875,106000,162599375.0,-0.125,-6.896551724137931
1994-03-16,1.875,1.875,1.6875,1.875,1.875,155800,168206250.0,0.0,0.0
1994-03-17,1.875,1.875,1.75,1.75,1.75,106200,168206250.0,-0.125,-6.666666666666667
1994-03-18,1.8125,1.96875,1.71875,1.875,1.875,142000,162599375.0,0.0625,3.4482758620689653
1994-03-21,1.875,1.875,1.75,1.875,1.875,57200,168206250.0,0.0,0.0
1994-03-22,1.875,1.875,1.75,1.875,1.875,139600,168206250.0,0.0,0.0
1994-03-23,1.9375,1.9375,1.8125,1.875,1.875,47200,173813125.0,-0.0625,-3.225806451612903
