Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2019-10-11,16.200001,16.35,15.52,15.54,13.395004,3754600,513702031.71000004,-0.6600010000000012,-4.074079995427168
2019-10-14,15.6,15.86,15.27,15.5,13.360529,419200,494676000.0,-0.09999999999999964,-0.6410256410256387
2019-10-15,15.55,15.73,15.5,15.6,13.446721,317700,493090500.0,0.049999999999998934,0.32154340836012174
2019-10-16,15.52,15.82,15.52,15.8,13.619116,144200,492139200.0,0.28000000000000114,1.8041237113402135
2019-10-17,15.85,15.94,15.65,15.85,13.662217,140900,502603500.0,0.0,0.0
2019-10-18,15.83,16.09,15.66,15.86,13.670835,177000,501969300.0,0.02999999999999936,0.18951358180669212
2019-10-21,15.97,16.027,15.79,15.84,13.653595,71800,506408700.0,-0.13000000000000078,-0.8140262993112133
2019-10-22,15.86,16.0,15.83,15.97,13.765651,107500,502920600.0,0.11000000000000121,0.6935687263556193
2019-10-23,15.95,16.4,15.95,16.139999,13.912184,60800,505774500.0,0.18999900000000025,1.1912163009404404
2019-10-24,16.110001,16.15,16.0,16.0,13.791512,20300,510848131.71000004,-0.11000100000000046,-0.6828118756789677
2019-10-25,16.01,16.26,15.98,16.110001,13.886325,29700,507677100.00000006,0.1000009999999989,0.6246158650843153
2019-10-28,16.18,16.4,16.004999,16.299999,14.050098,29400,513067800.0,0.11999899999999997,0.7416501854140913
2019-10-29,16.25,16.34,15.95,16.18,13.946666,353300,515287500.0,-0.07000000000000028,-0.43076923076923246
2019-10-30,16.110001,16.309999,16.07,16.08,13.860468,25100,510848131.71000004,-0.030001000000002165,-0.18622593505737314
2019-10-31,16.07,16.110001,15.77,16.030001,13.817372,77400,509579700.0,-0.03999900000000167,-0.24890479153703593
2019-11-01,16.0,16.17,15.95,15.97,13.765651,173200,507360000.0,-0.02999999999999936,-0.187499999999996
2019-11-04,16.190001,16.190001,15.91,16.059999,13.843226,54100,513384931.71,-0.1300019999999975,-0.8029770967895401
2019-11-05,15.74,16.200001,15.74,16.16,13.929424,121100,499115400.0,0.41999999999999993,2.66836086404066
2019-11-06,16.200001,16.25,16.139999,16.25,14.007005,108800,513702031.71000004,0.04999899999999968,0.3086357834175423
2019-11-07,16.309999,17.004999,16.299999,16.860001,14.532803,307900,517190068.29,0.5500019999999992,3.3721767855411837
2019-11-08,16.75,17.129999,16.690001,17.08,14.722439,68500,531142500.0,0.3299999999999983,1.970149253731333
2019-11-11,16.950001,17.0,16.540001,16.92,14.584523,189800,537484531.71,-0.030000999999998612,-0.1769970397051812
2019-11-12,16.780001,16.9,16.65,16.889999,14.558663,75600,532093831.71,0.10999800000000093,0.6555303542592217
2019-11-13,16.799999,17.0,16.67,16.950001,14.610383,145100,532727968.28999996,0.15000200000000063,0.8928691007660217
2019-11-14,16.9,16.9,16.674999,16.9,14.567284,130900,535898999.99999994,0.0,0.0
2019-11-15,17.01,17.525,16.719999,17.299999,14.91207,209600,539387100.0,0.2899989999999981,1.7048736037624814
2019-11-18,17.26,17.299999,17.0,17.290001,14.903451,108200,547314600.0,0.030000999999998612,0.17381807647739636
2019-11-19,17.18,17.59,16.438,17.440001,15.032748,53500,544777800.0,0.26000099999999904,1.5133934807916127
2019-11-20,17.389999,17.629999,17.139999,17.27,14.886212,76400,551436868.29,-0.11999899999999997,-0.6900460431308821
2019-11-21,17.290001,17.43,16.940001,17.27,14.886212,45100,548265931.71,-0.0200010000000006,-0.11567957688377578
2019-11-22,17.299999,17.459999,16.82,17.370001,14.972409,25100,548582968.29,0.07000199999999879,0.40463586153963815
2019-11-25,17.25,17.52,16.65,17.440001,15.032748,53800,546997500.0,0.19000099999999875,1.1014550724637608
2019-11-26,17.299999,17.66,16.950001,17.6,15.170661,69900,548582968.29,0.30000100000000174,1.7341099268271734
2019-11-27,17.639999,17.860001,17.440001,17.700001,15.256858,27300,559364368.29,0.06000200000000078,0.3401474115729869
2019-11-29,17.879999,17.879999,17.040001,17.799999,15.343053,17000,566974768.2900001,-0.08000000000000185,-0.44742731808878644
2019-12-02,17.889999,17.969999,17.120001,17.5,15.084465,81000,567291868.29,-0.38999899999999954,-2.179983352710079
2019-12-03,19.07,19.07,16.549999,16.889999,14.558663,157100,604709700.0,-2.1800010000000007,-11.431573151546937
2019-12-04,16.940001,17.43,16.940001,17.34,14.946548,102200,537167431.7099999,0.3999990000000011,2.361269045969957
2019-12-05,17.469999,17.6,16.940001,17.26,14.877591,68500,553973668.2900001,-0.20999899999999982,-1.2020550201519749
2019-12-06,17.1,17.58,16.959999,17.530001,15.110325,103200,542241000.0,0.4300009999999972,2.5146257309941356
2019-12-09,17.530001,17.68,17.190001,17.370001,14.972409,141900,555876331.7099999,-0.16000000000000014,-0.9127209975629788
2019-12-10,17.4,17.65,17.059999,17.559999,15.13618,162700,551754000.0,0.15999900000000267,0.9195344827586361
2019-12-11,17.6,17.73,17.379999,17.719999,15.274096,119800,558096000.0,0.11999899999999997,0.6818124999999998
2019-12-12,17.73,17.93,17.219,17.459999,15.049986,88300,562218300.0,-0.2700010000000006,-1.5228482797518363
2019-12-13,17.49,17.665001,17.26,17.4,14.998268,142500,554607900.0,-0.08999999999999986,-0.5145797598627779
2019-12-16,17.559999,18.1,17.559999,17.844999,15.381845,247800,556827568.2900001,0.28500000000000014,1.6230069261393472
2019-12-17,17.969999,18.879999,17.870001,18.09,15.593024,227200,569828668.2900001,0.12000099999999847,0.667785234712581
2019-12-18,18.129999,18.33,18.014999,18.17,15.661986,224300,574902268.2900001,0.040001000000000175,0.22063431994673674
2019-12-19,18.200001,18.200001,17.889999,17.959999,15.480969,266700,577122031.71,-0.2400020000000005,-1.3186922352366932
2019-12-20,17.99,18.65,17.799999,18.0,15.515449,1494600,570462900.0,0.010000000000001563,0.0555864369094028
2019-12-23,18.120001,18.129999,17.950001,18.049999,15.558544,82700,574585231.7099999,-0.07000199999999879,-0.38632448199091596
2019-12-24,18.08,18.219999,17.969999,18.16,15.653367,46900,573316800.0,0.08000000000000185,0.4424778761062049
2019-12-26,18.219999,18.41,17.950001,18.32,15.791277,47100,577756168.2900001,0.1000009999999989,0.5488529390149741
2019-12-27,18.459999,18.965,18.059999,18.75,16.161928,72100,585366568.29,0.2900010000000002,1.5709697492399657
2019-12-30,18.799999,18.98,18.525,18.93,16.317081,54700,596147968.29,0.13000100000000003,0.691494717632698
2019-12-31,18.860001,19.09,18.620001,18.99,16.368803,52000,598050631.71,0.12999899999999798,0.6892841628163114
2020-01-02,19.0,19.200001,18.82,19.15,16.506714,30900,602490000.0,0.14999999999999858,0.7894736842105189
2020-01-03,19.1,19.33,18.73,19.200001,16.549814,78500,605661000.0,0.1000009999999989,0.5235654450261722
2020-01-06,19.129999,19.41,19.0,19.1,16.463615,132200,606612268.2900001,-0.02999900000000011,-0.15681652675465432
2020-01-07,19.02,19.18,18.49,18.799999,16.205023,65400,603124200.0,-0.2200009999999999,-1.1566824395373285
2020-01-08,18.76,18.888,18.415001,18.719999,16.136068,48000,594879600.0,-0.040001000000000175,-0.21322494669509684
2020-01-09,18.73,19.07,18.43,18.93,16.317081,45100,593928300.0,0.1999999999999993,1.067805659369991
2020-01-10,18.889999,19.02,18.389999,18.610001,16.041254,58900,599001868.29,-0.2799979999999991,-1.4822552399288063
2020-01-13,18.58,19.09,18.35,18.870001,16.265364,62900,589171800.0,0.2900010000000002,1.5608234660925737
2020-01-14,18.85,19.1,18.35,18.73,16.144688,76900,597733500.0,-0.120000000000001,-0.6366047745358142
2020-01-15,18.73,18.940001,18.511999,18.93,16.317081,119200,593928300.0,0.1999999999999993,1.067805659369991
2020-01-16,19.040001,19.129999,18.799999,18.98,16.360176,117300,603758431.71,-0.06000099999999975,-0.3151312859699942
2020-01-17,19.120001,20.325001,18.975,19.049999,16.420517,103800,606295231.7099999,-0.07000199999999879,-0.3661192277134232
2020-01-21,19.110001,19.110001,18.860001,18.9,16.291222,55700,605978131.71,-0.21000100000000188,-1.0989062742592315
2020-01-22,18.93,19.0,18.690001,18.719999,16.136068,63100,600270300.0,-0.21000099999999833,-1.109355520338079
2020-01-23,18.709999,18.99,18.556,18.99,16.368803,48200,593294068.29,0.2800009999999986,1.4965313466879322
