Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,1.8125,1.6875,1.6875,0.747026,23200,0.0,1.6875,inf
1980-03-18,0.0,1.78125,1.65625,1.65625,0.733192,91200,0.0,1.65625,inf
1980-03-19,0.0,1.8125,1.6875,1.6875,0.747026,20000,0.0,1.6875,inf
1980-03-20,0.0,1.78125,1.65625,1.65625,0.733192,4000,0.0,1.65625,inf
1980-03-21,0.0,1.8125,1.6875,1.6875,0.747026,90400,0.0,1.6875,inf
1980-03-24,0.0,1.78125,1.65625,1.65625,0.733192,57600,0.0,1.65625,inf
1980-03-25,0.0,1.78125,1.65625,1.65625,0.733192,11200,0.0,1.65625,inf
1980-03-26,0.0,1.78125,1.65625,1.65625,0.733192,12000,0.0,1.65625,inf
1980-03-27,0.0,1.71875,1.59375,1.59375,0.705524,110400,0.0,1.59375,inf
1980-03-28,0.0,1.75,1.625,1.625,0.719358,20000,0.0,1.625,inf
1980-03-31,0.0,1.75,1.625,1.625,0.719358,36000,0.0,1.625,inf
1980-04-01,0.0,1.75,1.625,1.625,0.719358,2400,0.0,1.625,inf
1980-04-02,0.0,1.75,1.625,1.625,0.719358,800,0.0,1.625,inf
1980-04-03,0.0,1.75,1.625,1.625,0.719358,45600,0.0,1.625,inf
1980-04-07,0.0,1.75,1.625,1.625,0.719358,68800,0.0,1.625,inf
1980-04-08,0.0,1.75,1.625,1.625,0.719358,16800,0.0,1.625,inf
1980-04-09,0.0,1.78125,1.65625,1.65625,0.733192,28800,0.0,1.65625,inf
1980-04-10,0.0,1.78125,1.65625,1.65625,0.733192,800,0.0,1.65625,inf
1980-04-11,0.0,1.8125,1.6875,1.6875,0.747026,156000,0.0,1.6875,inf
1980-04-14,0.0,1.8125,1.6875,1.6875,0.747026,12800,0.0,1.6875,inf
1980-04-15,0.0,1.8125,1.6875,1.6875,0.747026,8000,0.0,1.6875,inf
1980-04-16,0.0,1.8125,1.6875,1.6875,0.747026,12000,0.0,1.6875,inf
1980-04-17,0.0,1.8125,1.6875,1.6875,0.747026,800,0.0,1.6875,inf
1980-04-18,0.0,1.8125,1.6875,1.6875,0.747026,15200,0.0,1.6875,inf
1980-04-21,0.0,1.78125,1.65625,1.65625,0.733192,24800,0.0,1.65625,inf
1980-04-22,0.0,1.8125,1.6875,1.6875,0.747026,9600,0.0,1.6875,inf
1980-04-23,0.0,1.8125,1.6875,1.6875,0.747026,14400,0.0,1.6875,inf
1980-04-24,0.0,1.8125,1.6875,1.6875,0.747026,4000,0.0,1.6875,inf
1980-04-25,0.0,1.78125,1.65625,1.65625,0.733192,36000,0.0,1.65625,inf
1980-04-28,0.0,1.78125,1.65625,1.65625,0.733192,15200,0.0,1.65625,inf
1980-04-29,0.0,1.78125,1.65625,1.65625,0.733192,3200,0.0,1.65625,inf
1980-04-30,1.65625,1.65625,1.65625,1.65625,0.733192,0,77148125.0,0.0,0.0
1980-05-01,0.0,1.78125,1.65625,1.65625,0.733192,4800,0.0,1.65625,inf
1980-05-02,0.0,1.8125,1.6875,1.6875,0.747026,76000,0.0,1.6875,inf
1980-05-05,0.0,1.8125,1.6875,1.6875,0.747026,4000,0.0,1.6875,inf
1980-05-06,0.0,1.84375,1.71875,1.71875,0.76086,30400,0.0,1.71875,inf
1980-05-07,0.0,1.875,1.75,1.75,0.774693,24000,0.0,1.75,inf
