Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2002-01-22,5.0,6.0,4.375,5.625,5.410349,5816,54550000.0,0.625,12.5
2002-01-23,6.0,6.0,6.0,6.0,5.77104,432,65460000.0,0.0,0.0
2002-01-24,6.0,6.0,5.0,5.0,4.809199,4160,65460000.0,-1.0,-16.666666666666664
2002-01-25,5.75,6.625,5.625,6.25,6.011499,2320,62732500.0,0.5,8.695652173913043
2002-01-28,7.125,7.125,7.125,7.125,6.853109,160,77733750.0,0.0,0.0
2002-01-29,7.125,7.125,6.375,6.375,6.13173,560,77733750.0,-0.75,-10.526315789473683
2002-01-30,6.375,6.375,6.375,6.375,6.13173,0,69551250.0,0.0,0.0
2002-01-31,6.625,6.625,6.375,6.625,6.37219,1240,72278750.0,0.0,0.0
2002-02-01,6.625,6.625,6.625,6.625,6.37219,160,72278750.0,0.0,0.0
2002-02-04,5.375,5.375,5.0,5.0,4.809199,800,58641250.0,-0.375,-6.976744186046512
2002-02-05,4.0,5.5,4.0,5.0,4.809199,2400,43640000.0,1.0,25.0
2002-02-06,5.25,6.0,5.25,6.0,5.77104,1560,57277500.0,0.75,14.285714285714285
2002-02-07,6.25,6.25,5.75,5.75,5.53058,1200,68187500.0,-0.5,-8.0
2002-02-08,5.625,6.25,5.625,6.25,6.011499,5160,61368750.0,0.625,11.11111111111111
2002-02-11,5.875,6.25,5.875,6.25,6.011499,760,64096250.0,0.375,6.382978723404255
2002-02-12,5.875,6.25,5.875,6.25,6.011499,1920,64096250.0,0.375,6.382978723404255
2002-02-13,6.25,6.5,6.125,6.5,6.251959,2336,68187500.0,0.25,4.0
2002-02-14,6.5,6.5,6.5,6.5,6.251959,0,70915000.0,0.0,0.0
2002-02-15,6.375,6.625,6.375,6.625,6.37219,840,69551250.0,0.25,3.9215686274509802
2002-02-19,6.625,8.125,6.25,7.5,7.213799,10400,72278750.0,0.875,13.20754716981132
2002-02-20,7.125,7.125,7.125,7.125,6.853109,40,77733750.0,0.0,0.0
2002-02-21,7.125,7.125,7.125,7.125,6.853109,0,77733750.0,0.0,0.0
2002-02-22,7.75,7.75,7.75,7.75,7.45426,80,84552500.0,0.0,0.0
2002-02-25,7.75,7.75,7.5,7.5,7.213799,376,84552500.0,-0.25,-3.225806451612903
2002-02-26,7.75,7.75,7.75,7.75,7.45426,248,84552500.0,0.0,0.0
2002-02-27,7.75,7.75,7.5,7.5,7.213799,816,84552500.0,-0.25,-3.225806451612903
2002-02-28,7.75,7.75,6.875,6.875,6.61265,800,84552500.0,-0.875,-11.29032258064516
2002-03-01,7.5,7.75,7.5,7.75,7.45426,224,81825000.0,0.25,3.3333333333333335
2002-03-04,7.75,8.75,7.5,8.375,8.055408,2664,84552500.0,0.625,8.064516129032258
2002-03-05,8.75,9.375,8.375,8.375,8.055408,2840,95462500.0,-0.375,-4.285714285714286
2002-03-06,8.375,8.375,8.375,8.375,8.055408,0,91371250.0,0.0,0.0
2002-03-07,8.375,8.375,8.375,8.375,8.055408,0,91371250.0,0.0,0.0
2002-03-08,8.375,8.375,8.375,8.375,8.055408,0,91371250.0,0.0,0.0
2002-03-11,8.375,8.375,8.375,8.375,8.055408,0,91371250.0,0.0,0.0
2002-03-12,8.375,8.375,8.375,8.375,8.055408,0,91371250.0,0.0,0.0
2002-03-13,8.375,8.375,8.375,8.375,8.055408,0,91371250.0,0.0,0.0
2002-03-14,8.5,8.5,8.5,8.5,8.17564,32,92735000.0,0.0,0.0
2002-03-15,8.5,8.5,8.5,8.5,8.17564,0,92735000.0,0.0,0.0
2002-03-18,8.5,8.5,8.5,8.5,8.17564,0,92735000.0,0.0,0.0
2002-03-19,8.5,8.5,8.5,8.5,8.17564,0,92735000.0,0.0,0.0
2002-03-20,8.5,8.5,8.5,8.5,8.17564,0,92735000.0,0.0,0.0
2002-03-21,8.5,8.5,8.5,8.5,8.17564,0,92735000.0,0.0,0.0
2002-03-22,8.0,8.0,8.0,8.0,7.69472,800,87280000.0,0.0,0.0
2002-03-25,8.0,8.0,8.0,8.0,7.69472,0,87280000.0,0.0,0.0
2002-03-26,8.125,8.125,8.125,8.125,7.81495,240,88643750.0,0.0,0.0
2002-03-27,8.25,8.25,8.25,8.25,7.935181,40,90007500.0,0.0,0.0
2002-03-28,8.25,8.25,8.25,8.25,7.935181,0,90007500.0,0.0,0.0
2002-04-01,8.25,8.375,8.25,8.375,8.055408,800,90007500.0,0.125,1.5151515151515151
2002-04-02,9.0,9.0,9.0,9.0,8.656558,80,98190000.0,0.0,0.0
2002-04-03,9.0,9.0,9.0,9.0,8.656558,0,98190000.0,0.0,0.0
2002-04-04,9.0,9.0,7.875,7.875,7.57449,400,98190000.0,-1.125,-12.5
2002-04-05,7.875,7.875,7.875,7.875,7.57449,0,85916250.0,0.0,0.0
2002-04-08,7.875,7.875,7.875,7.875,7.57449,0,85916250.0,0.0,0.0
2002-04-09,7.875,7.875,7.875,7.875,7.57449,0,85916250.0,0.0,0.0
2002-04-10,7.875,7.875,7.875,7.875,7.57449,0,85916250.0,0.0,0.0
2002-04-11,7.875,7.875,7.875,7.875,7.57449,0,85916250.0,0.0,0.0
2002-04-12,7.875,7.875,7.875,7.875,7.57449,0,85916250.0,0.0,0.0
2002-04-15,7.125,7.125,7.125,7.125,6.853109,80,77733750.0,0.0,0.0
2002-04-16,7.125,7.125,7.125,7.125,6.853109,0,77733750.0,0.0,0.0
2002-04-17,7.125,7.125,7.125,7.125,6.853109,800,77733750.0,0.0,0.0
2002-04-18,7.125,7.125,7.125,7.125,6.853109,0,77733750.0,0.0,0.0
2002-04-19,7.5,7.5,6.875,7.25,6.97334,1624,81825000.0,-0.25,-3.3333333333333335
2002-04-22,7.25,7.25,7.25,7.25,6.97334,0,79097500.0,0.0,0.0
2002-04-23,7.25,7.25,7.25,7.25,6.97334,0,79097500.0,0.0,0.0
2002-04-24,7.25,7.25,7.25,7.25,6.97334,0,79097500.0,0.0,0.0
2002-04-25,8.125,8.125,7.75,7.75,7.45426,1944,88643750.0,-0.375,-4.615384615384616
2002-04-26,7.75,7.75,7.75,7.75,7.45426,0,84552500.0,0.0,0.0
2002-04-29,6.625,6.875,6.625,6.625,6.37219,2320,72278750.0,0.0,0.0
2002-04-30,8.625,8.625,8.625,8.625,8.295871,160,94098750.0,0.0,0.0
2002-05-01,8.625,8.625,8.625,8.625,8.295871,0,94098750.0,0.0,0.0
2002-05-02,8.625,8.625,8.625,8.625,8.295871,0,94098750.0,0.0,0.0
2002-05-03,8.625,8.625,8.625,8.625,8.295871,0,94098750.0,0.0,0.0
2002-05-06,8.125,8.125,8.125,8.125,7.81495,200,88643750.0,0.0,0.0
2002-05-07,6.375,6.375,6.375,6.375,6.13173,392,69551250.0,0.0,0.0
2002-05-08,6.25,6.25,6.0,6.0,5.77104,752,68187500.0,-0.25,-4.0
2002-05-09,6.0,6.0,6.0,6.0,5.77104,0,65460000.0,0.0,0.0
2002-05-10,6.0,6.0,6.0,6.0,5.77104,0,65460000.0,0.0,0.0
2002-05-13,6.0,6.0,6.0,6.0,5.77104,0,65460000.0,0.0,0.0
2002-05-14,4.375,5.0,4.375,5.0,4.809199,448,47731250.0,0.625,14.285714285714285
2002-05-15,5.0,5.0,5.0,5.0,4.809199,0,54550000.0,0.0,0.0
2002-05-16,4.375,4.375,4.375,4.375,4.20805,400,47731250.0,0.0,0.0
2002-05-17,5.0,5.0,5.0,5.0,4.809199,200,54550000.0,0.0,0.0
2002-05-20,5.0,5.0,5.0,5.0,4.809199,200,54550000.0,0.0,0.0
2002-05-21,5.625,6.875,5.625,6.875,6.61265,4560,61368750.0,1.25,22.22222222222222
2002-05-22,6.375,6.875,5.625,5.625,5.410349,2280,69551250.0,-0.75,-11.76470588235294
2002-05-23,5.625,5.625,5.625,5.625,5.410349,0,61368750.0,0.0,0.0
2002-05-24,5.75,5.75,5.75,5.75,5.53058,1200,62732500.0,0.0,0.0
2002-05-28,4.625,4.625,4.625,4.625,4.44851,320,50458750.0,0.0,0.0
2002-05-29,4.625,4.625,2.875,3.75,3.6069,4480,50458750.0,-0.875,-18.91891891891892
2002-05-30,4.125,4.125,4.125,4.125,3.967591,400,45003750.0,0.0,0.0
2002-05-31,6.375,6.375,5.625,5.625,5.410349,2160,69551250.0,-0.75,-11.76470588235294
2002-06-03,5.625,5.625,5.625,5.625,5.410349,0,61368750.0,0.0,0.0
2002-06-04,5.625,5.625,5.625,5.625,5.410349,0,61368750.0,0.0,0.0
2002-06-05,4.5,4.5,4.5,4.5,4.328279,400,49095000.0,0.0,0.0
2002-06-06,4.5,4.625,3.625,3.625,3.48667,4376,49095000.0,-0.875,-19.444444444444446
2002-06-07,3.625,3.625,3.625,3.625,3.48667,0,39548750.0,0.0,0.0
2002-06-10,3.625,3.625,3.625,3.625,3.48667,0,39548750.0,0.0,0.0
