Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2020-11-23,8.1,8.208,5.63,6.01,6.01,119000,347733000.0,-2.09,-25.80246913580247
2020-11-24,6.19,6.477,5.75,5.93,5.93,120800,265736700.00000003,-0.2600000000000007,-4.20032310177707
2020-11-25,6.29,6.29,5.62,5.62,5.62,99400,270029700.0,-0.6699999999999999,-10.651828298887121
2020-11-27,6.13,6.13,5.721,5.84,5.84,101200,263160900.0,-0.29000000000000004,-4.730831973898859
2020-11-30,6.18,6.18,5.73,5.86,5.86,118300,265307400.0,-0.3199999999999994,-5.1779935275080815
2020-12-01,6.0,6.0,5.75,5.75,5.75,106000,257580000.0,-0.25,-4.166666666666666
2020-12-02,5.91,6.426,5.91,6.34,6.34,259500,253716300.0,0.4299999999999997,7.275803722504224
2020-12-03,6.11,6.35,5.8,5.92,5.92,125700,262302300.0,-0.1900000000000004,-3.109656301145669
2020-12-04,6.01,6.22,5.93,6.2,6.2,48100,258009300.0,0.1900000000000004,3.161397670549092
2020-12-07,6.25,6.4,5.84,5.95,5.95,230900,268312500.0,-0.2999999999999998,-4.799999999999997
2020-12-08,5.85,6.0,5.69,5.9,5.9,92500,251140499.99999997,0.05000000000000071,0.854700854700867
2020-12-09,5.92,5.92,5.76,5.845,5.845,60600,254145600.0,-0.07500000000000018,-1.266891891891895
2020-12-10,5.86,5.91,5.84,5.85,5.85,16600,251569800.0,-0.010000000000000675,-0.17064846416383403
2020-12-11,5.83,6.12,5.55,5.693,5.693,105300,250281900.0,-0.13700000000000045,-2.3499142367066974
2020-12-14,5.7,5.714,5.16,5.16,5.16,170900,244701000.0,-0.54,-9.473684210526317
2020-12-15,5.22,5.29,4.9,5.0,5.0,90800,224094600.0,-0.21999999999999975,-4.214559386973176
2020-12-16,5.0,5.08,4.94,4.94,4.94,232000,214650000.0,-0.05999999999999961,-1.1999999999999922
2020-12-17,4.94,4.995,4.82,4.82,4.82,200200,212074200.00000003,-0.1200000000000001,-2.4291497975708523
2020-12-18,4.94,4.94,4.72,4.72,4.72,144100,212074200.00000003,-0.22000000000000064,-4.453441295546572
2020-12-21,4.9,5.088,4.8,4.87,4.87,273500,210357000.00000003,-0.03000000000000025,-0.6122448979591887
2020-12-22,5.39,5.39,5.05,5.18,5.18,205900,231392700.0,-0.20999999999999996,-3.896103896103896
2020-12-23,5.35,6.02,5.22,5.89,5.89,434900,229675499.99999997,0.54,10.093457943925236
2020-12-24,6.11,10.82,5.985,8.3,8.3,5264000,262302300.0,2.1900000000000004,35.842880523731594
2020-12-28,7.78,8.23,7.1,7.24,7.24,803200,333995400.0,-0.54,-6.940874035989718
