Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1974-12-17,0.0,7.375,6.625,7.25,1.891354,310800,0.0,7.25,inf
1974-12-18,0.0,7.75,7.5,7.541667,1.967442,95400,0.0,7.541667,inf
1974-12-19,0.0,8.083333,7.416667,7.916667,2.06527,143100,0.0,7.916667,inf
1974-12-20,0.0,7.958333,7.708333,7.708333,2.010921,75300,0.0,7.708333,inf
1974-12-23,0.0,8.0,7.583333,8.0,2.087011,112800,0.0,8.0,inf
1974-12-24,0.0,8.333333,8.041667,8.166667,2.130491,65700,0.0,8.166667,inf
1974-12-26,0.0,8.458333,8.083333,8.166667,2.130491,40800,0.0,8.166667,inf
1974-12-27,0.0,8.083333,7.75,7.791667,2.032662,82500,0.0,7.791667,inf
1974-12-30,0.0,8.083333,7.708333,8.083333,2.10875,37800,0.0,8.083333,inf
1974-12-31,0.0,8.458333,8.208333,8.25,2.152231,74100,0.0,8.25,inf
1975-01-02,0.0,8.916667,8.25,8.583333,2.239188,119100,0.0,8.583333,inf
1975-01-03,0.0,8.583333,8.333333,8.375,2.184841,43800,0.0,8.375,inf
1975-01-06,0.0,8.708333,8.333333,8.333333,2.173971,137100,0.0,8.333333,inf
1975-01-07,0.0,8.291667,8.166667,8.25,2.152231,25500,0.0,8.25,inf
1975-01-08,0.0,8.458333,8.041667,8.083333,2.10875,95100,0.0,8.083333,inf
1975-01-09,0.0,8.25,7.875,8.166667,2.130491,128700,0.0,8.166667,inf
1975-01-10,0.0,8.75,8.375,8.375,2.184841,101100,0.0,8.375,inf
1975-01-13,0.0,8.541667,8.25,8.25,2.152231,95700,0.0,8.25,inf
1975-01-14,0.0,8.541667,8.25,8.541667,2.228319,145800,0.0,8.541667,inf
1975-01-15,0.0,8.75,8.416667,8.75,2.282669,161700,0.0,8.75,inf
1975-01-16,0.0,8.958333,8.666667,8.666667,2.260929,80100,0.0,8.666667,inf
1975-01-17,0.0,8.666667,8.25,8.333333,2.173971,61500,0.0,8.333333,inf
1975-01-20,0.0,8.5,8.25,8.458333,2.20658,51900,0.0,8.458333,inf
1975-01-21,0.0,8.75,8.583333,8.583333,2.239188,62400,0.0,8.583333,inf
1975-01-22,0.0,8.458333,8.25,8.375,2.184841,57600,0.0,8.375,inf
1975-01-23,0.0,8.666667,8.416667,8.625,2.25006,41700,0.0,8.625,inf
1975-01-24,0.0,8.666667,8.333333,8.583333,2.239188,89700,0.0,8.583333,inf
1975-01-27,0.0,9.208333,8.916667,9.083333,2.369627,99000,0.0,9.083333,inf
1975-01-28,0.0,9.333333,8.916667,9.166667,2.391366,134100,0.0,9.166667,inf
1975-01-29,0.0,9.208333,9.0,9.083333,2.369627,111900,0.0,9.083333,inf
1975-01-30,0.0,9.166667,8.666667,8.75,2.282669,71700,0.0,8.75,inf
1975-01-31,0.0,9.166667,8.708333,9.083333,2.369627,113100,0.0,9.083333,inf
1975-02-03,0.0,9.75,9.125,9.583333,2.500065,78300,0.0,9.583333,inf
1975-02-04,0.0,9.75,9.166667,9.208333,2.402238,74100,0.0,9.208333,inf
1975-02-05,0.0,9.583333,9.25,9.5,2.478327,126600,0.0,9.5,inf
1975-02-06,0.0,10.125,9.541667,9.541667,2.489195,205800,0.0,9.541667,inf
1975-02-07,0.0,9.333333,9.166667,9.25,2.413107,85800,0.0,9.25,inf
1975-02-10,0.0,9.375,9.25,9.375,2.445716,141000,0.0,9.375,inf
1975-02-11,0.0,9.333333,9.166667,9.166667,2.391366,66900,0.0,9.166667,inf
1975-02-12,0.0,9.333333,9.083333,9.291667,2.423978,316800,0.0,9.291667,inf
1975-02-13,0.0,9.583333,9.291667,9.291667,2.423978,231900,0.0,9.291667,inf
1975-02-14,0.0,9.458333,9.25,9.291667,2.423978,122400,0.0,9.291667,inf
1975-02-18,0.0,9.25,8.916667,9.041667,2.358757,67200,0.0,9.041667,inf
1975-02-19,0.0,9.125,8.708333,9.125,2.380496,99000,0.0,9.125,inf
1975-02-20,0.0,9.291667,8.75,9.291667,2.423978,120900,0.0,9.291667,inf
1975-02-21,0.0,9.25,8.916667,9.041667,2.358757,151500,0.0,9.041667,inf
1975-02-24,0.0,9.291667,9.041667,9.083333,2.369627,138900,0.0,9.083333,inf
1975-02-25,0.0,9.166667,8.791667,8.916667,2.326148,100500,0.0,8.916667,inf
1975-02-26,0.0,9.083333,8.875,9.041667,2.358757,99900,0.0,9.041667,inf
1975-02-27,0.0,9.25,9.0,9.083333,2.369627,87900,0.0,9.083333,inf
1975-02-28,0.0,9.333333,9.083333,9.333333,2.434845,37200,0.0,9.333333,inf
1975-03-03,0.0,9.666667,9.416667,9.666667,2.521807,78900,0.0,9.666667,inf
1975-03-04,0.0,10.333333,9.875,10.0,2.608764,224400,0.0,10.0,inf
1975-03-05,0.0,10.5,9.875,10.25,2.673983,159300,0.0,10.25,inf
1975-03-06,0.0,10.583333,10.083333,10.541667,2.750072,55200,0.0,10.541667,inf
1975-03-07,0.0,10.875,10.416667,10.625,2.771812,174300,0.0,10.625,inf
1975-03-10,0.0,10.75,10.375,10.666667,2.782682,85200,0.0,10.666667,inf
1975-03-11,0.0,10.75,10.416667,10.5,2.739203,109800,0.0,10.5,inf
1975-03-12,0.0,10.5,10.166667,10.166667,2.652244,161100,0.0,10.166667,inf
1975-03-13,0.0,10.291667,9.958333,10.291667,2.684852,26100,0.0,10.291667,inf
1975-03-14,0.0,10.125,9.833333,9.958333,2.597892,144300,0.0,9.958333,inf
1975-03-17,0.0,10.625,10.0,10.625,2.771812,114900,0.0,10.625,inf
1975-03-18,0.0,10.791667,10.416667,10.625,2.778349,134400,0.0,10.625,inf
1975-03-19,0.0,10.583333,10.208333,10.25,2.680289,53100,0.0,10.25,inf
1975-03-20,0.0,10.458333,10.208333,10.25,2.680289,72300,0.0,10.25,inf
1975-03-21,0.0,10.666667,9.958333,10.333333,2.70208,105900,0.0,10.333333,inf
1975-03-24,0.0,10.0,9.75,9.916667,2.593126,151500,0.0,9.916667,inf
1975-03-25,0.0,10.083333,9.25,10.041667,2.625815,240900,0.0,10.041667,inf
1975-03-26,0.0,10.25,9.916667,10.083333,2.636706,104700,0.0,10.083333,inf
1975-03-27,0.0,10.375,10.041667,10.041667,2.625815,69900,0.0,10.041667,inf
1975-03-31,0.0,10.208333,9.875,10.0,2.614917,59400,0.0,10.0,inf
1975-04-01,0.0,9.833333,9.5,9.708333,2.538647,173700,0.0,9.708333,inf
1975-04-02,0.0,9.833333,9.416667,9.541667,2.495067,306300,0.0,9.541667,inf
1975-04-03,0.0,9.791667,9.416667,9.666667,2.527753,30000,0.0,9.666667,inf
1975-04-04,0.0,9.625,9.333333,9.458333,2.473275,263100,0.0,9.458333,inf
1975-04-07,0.0,9.583333,9.333333,9.541667,2.495067,74400,0.0,9.541667,inf
1975-04-08,0.0,9.666667,9.458333,9.5,2.484172,68400,0.0,9.5,inf
1975-04-09,0.0,10.166667,9.541667,10.166667,2.658499,93600,0.0,10.166667,inf
1975-04-10,0.0,10.875,10.125,10.666667,2.789242,112800,0.0,10.666667,inf
1975-04-11,0.0,11.0,10.416667,11.0,2.876409,94200,0.0,11.0,inf
1975-04-14,0.0,11.0,10.333333,10.916667,2.854617,94500,0.0,10.916667,inf
1975-04-15,0.0,11.125,10.5,10.5,2.745664,66000,0.0,10.5,inf
1975-04-16,0.0,10.875,10.25,10.875,2.843722,151200,0.0,10.875,inf
1975-04-17,0.0,11.333333,10.958333,11.208333,2.930885,138300,0.0,11.208333,inf
1975-04-18,0.0,11.208333,10.875,11.0,2.876409,112500,0.0,11.0,inf
1975-04-21,0.0,11.291667,11.0,11.291667,2.952677,131100,0.0,11.291667,inf
1975-04-22,0.0,11.708333,11.25,11.25,2.941782,115500,0.0,11.25,inf
1975-04-23,0.0,11.375,11.0,11.0,2.876409,57900,0.0,11.0,inf
1975-04-24,0.0,11.5,10.875,11.375,2.974469,66600,0.0,11.375,inf
1975-04-25,0.0,11.5,11.041667,11.333333,2.963572,37800,0.0,11.333333,inf
1975-04-28,0.0,11.375,11.208333,11.25,2.941782,32100,0.0,11.25,inf
1975-04-29,0.0,11.375,11.083333,11.083333,2.898201,64500,0.0,11.083333,inf
1975-04-30,0.0,11.25,10.916667,11.25,2.941782,68400,0.0,11.25,inf
1975-05-01,0.0,11.375,11.083333,11.125,2.909095,40200,0.0,11.125,inf
1975-05-02,0.0,11.333333,10.916667,11.166667,2.919991,81000,0.0,11.166667,inf
1975-05-05,0.0,11.291667,11.083333,11.166667,2.919991,73500,0.0,11.166667,inf
1975-05-06,0.0,11.166667,10.541667,10.833333,2.832828,182100,0.0,10.833333,inf
1975-05-07,0.0,10.666667,10.166667,10.375,2.712976,182400,0.0,10.375,inf
1975-05-08,0.0,10.458333,9.666667,10.416667,2.723871,90300,0.0,10.416667,inf
1975-05-09,0.0,11.041667,10.625,11.0,2.876409,96000,0.0,11.0,inf
1975-05-12,0.0,11.083333,10.708333,10.75,2.811034,82800,0.0,10.75,inf
1975-05-13,0.0,11.0,10.583333,10.875,2.843722,93300,0.0,10.875,inf
1975-05-14,0.0,11.333333,10.916667,11.291667,2.952677,101700,0.0,11.291667,inf
1975-05-15,0.0,11.291667,10.5,10.5,2.745664,91500,0.0,10.5,inf
1975-05-16,0.0,10.583333,10.166667,10.333333,2.70208,100500,0.0,10.333333,inf
1975-05-19,0.0,10.541667,10.041667,10.416667,2.723871,117900,0.0,10.416667,inf
1975-05-20,0.0,10.458333,10.208333,10.208333,2.669394,31500,0.0,10.208333,inf
1975-05-21,0.0,10.333333,10.0,10.0,2.614917,91800,0.0,10.0,inf
