Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1998-12-08,60.0,60.0,58.0,59.0,59.0,1931,16379400000.0,-1.0,-1.6666666666666667
1998-12-09,59.0,59.0,57.0,58.0,58.0,588,16106410000.0,-1.0,-1.694915254237288
1998-12-10,59.0,60.0,57.0,59.0,59.0,1400,16106410000.0,0.0,0.0
1998-12-11,58.0,59.0,57.0,59.0,59.0,938,15833420000.0,1.0,1.7241379310344827
1998-12-14,59.0,59.0,59.0,59.0,59.0,1175,16106410000.0,0.0,0.0
1998-12-15,58.0,58.0,50.0,54.0,54.0,4156,15833420000.0,-4.0,-6.896551724137931
1998-12-16,54.0,56.0,53.0,55.0,55.0,238,14741460000.0,1.0,1.8518518518518516
1998-12-17,53.0,56.0,53.0,56.0,56.0,556,14468470000.0,3.0,5.660377358490567
1998-12-18,56.0,56.0,56.0,56.0,56.0,1038,15287440000.0,0.0,0.0
1998-12-21,56.0,56.0,50.0,52.0,52.0,3031,15287440000.0,-4.0,-7.142857142857142
1998-12-22,52.0,52.0,52.0,52.0,52.0,750,14195480000.0,0.0,0.0
1998-12-23,52.0,54.0,50.0,52.0,52.0,2375,14195480000.0,0.0,0.0
1998-12-24,52.0,52.0,52.0,52.0,52.0,63,14195480000.0,0.0,0.0
1998-12-28,54.0,56.0,53.0,55.0,55.0,1431,14741460000.0,1.0,1.8518518518518516
1998-12-29,53.0,53.0,49.0,52.0,52.0,3350,14468470000.0,-1.0,-1.8867924528301887
1998-12-30,52.0,52.0,52.0,52.0,52.0,706,14195480000.0,0.0,0.0
1998-12-31,52.0,54.0,50.0,53.0,53.0,1319,14195480000.0,1.0,1.9230769230769231
1999-01-04,54.0,55.0,53.0,55.0,55.0,219,14741460000.0,1.0,1.8518518518518516
1999-01-05,55.0,55.0,54.0,55.0,55.0,269,15014450000.0,0.0,0.0
1999-01-06,56.0,59.0,56.0,58.0,58.0,1213,15287440000.0,2.0,3.571428571428571
1999-01-07,60.0,64.0,60.0,62.0,62.0,2956,16379400000.0,2.0,3.3333333333333335
1999-01-08,63.0,66.0,62.0,62.0,62.0,3569,17198370000.0,-1.0,-1.5873015873015872
1999-01-11,66.0,66.0,64.0,65.0,65.0,3694,18017340000.0,-1.0,-1.5151515151515151
1999-01-12,65.0,65.0,60.0,60.0,60.0,825,17744350000.0,-5.0,-7.6923076923076925
1999-01-13,62.0,62.0,57.0,62.0,62.0,3781,16925380000.0,0.0,0.0
1999-01-14,60.0,62.0,56.0,56.0,56.0,3119,16379400000.0,-4.0,-6.666666666666667
1999-01-15,56.0,58.0,56.0,57.0,57.0,956,15287440000.0,1.0,1.7857142857142856
1999-01-19,57.0,60.0,56.0,60.0,60.0,619,15560430000.0,3.0,5.263157894736842
1999-01-20,60.0,62.0,60.0,60.0,60.0,1531,16379400000.0,0.0,0.0
1999-01-21,60.0,62.0,59.0,61.0,61.0,1300,16379400000.0,1.0,1.6666666666666667
1999-01-22,59.0,61.0,59.0,59.0,59.0,531,16106410000.0,0.0,0.0
1999-01-25,61.0,61.0,59.0,61.0,61.0,1125,16652390000.0,0.0,0.0
1999-01-26,61.0,62.0,61.0,62.0,62.0,1056,16652390000.0,1.0,1.639344262295082
1999-01-27,62.0,62.0,60.0,61.0,61.0,1250,16925380000.0,-1.0,-1.6129032258064515
1999-01-28,61.0,61.0,59.0,59.0,59.0,1619,16652390000.0,-2.0,-3.278688524590164
1999-01-29,59.0,61.0,59.0,61.0,61.0,444,16106410000.0,2.0,3.389830508474576
1999-02-01,59.0,61.0,59.0,61.0,61.0,3281,16106410000.0,2.0,3.389830508474576
1999-02-02,60.0,60.0,59.0,59.0,59.0,1656,16379400000.0,-1.0,-1.6666666666666667
1999-02-03,60.0,60.0,60.0,60.0,60.0,419,16379400000.0,0.0,0.0
1999-02-04,59.0,61.0,59.0,60.0,60.0,669,16106410000.0,1.0,1.694915254237288
1999-02-05,61.0,61.0,58.0,61.0,61.0,919,16652390000.0,0.0,0.0
1999-02-08,61.0,63.0,60.0,63.0,63.0,4788,16652390000.0,2.0,3.278688524590164
1999-02-09,62.0,63.0,60.0,61.0,61.0,2656,16925380000.0,-1.0,-1.6129032258064515
1999-02-10,62.0,62.0,59.0,60.0,60.0,2938,16925380000.0,-2.0,-3.225806451612903
1999-02-11,60.0,61.0,59.0,60.0,60.0,1619,16379400000.0,0.0,0.0
1999-02-12,60.0,60.0,56.0,59.0,59.0,2975,16379400000.0,-1.0,-1.6666666666666667
1999-02-16,59.0,59.0,57.0,58.0,58.0,1650,16106410000.0,-1.0,-1.694915254237288
1999-02-17,59.0,60.0,57.0,58.0,58.0,981,16106410000.0,-1.0,-1.694915254237288
1999-02-18,58.0,59.0,56.0,59.0,59.0,1531,15833420000.0,1.0,1.7241379310344827
1999-02-19,56.0,57.0,56.0,56.0,56.0,1244,15287440000.0,0.0,0.0
1999-02-22,56.0,56.0,54.0,55.0,55.0,744,15287440000.0,-1.0,-1.7857142857142856
1999-02-23,56.0,56.0,55.0,55.0,55.0,238,15287440000.0,-1.0,-1.7857142857142856
1999-02-24,56.0,56.0,56.0,56.0,56.0,425,15287440000.0,0.0,0.0
1999-02-25,56.0,56.0,54.0,54.0,54.0,231,15287440000.0,-2.0,-3.571428571428571
1999-02-26,54.0,56.0,54.0,56.0,56.0,850,14741460000.0,2.0,3.7037037037037033
1999-03-01,56.0,56.0,54.0,56.0,56.0,788,15287440000.0,0.0,0.0
1999-03-02,55.0,56.0,55.0,56.0,56.0,756,15014450000.0,1.0,1.8181818181818181
1999-03-03,56.0,56.0,54.0,54.0,54.0,1688,15287440000.0,-2.0,-3.571428571428571
1999-03-04,53.0,55.0,53.0,55.0,55.0,475,14468470000.0,2.0,3.7735849056603774
1999-03-05,56.0,56.0,54.0,56.0,56.0,831,15287440000.0,0.0,0.0
1999-03-08,58.0,60.0,58.0,60.0,60.0,2019,15833420000.0,2.0,3.4482758620689653
1999-03-09,60.0,60.0,56.0,58.0,58.0,350,16379400000.0,-2.0,-3.3333333333333335
1999-03-10,56.0,56.0,54.0,54.0,54.0,594,15287440000.0,-2.0,-3.571428571428571
1999-03-11,55.0,55.0,52.0,52.0,52.0,1956,15014450000.0,-3.0,-5.454545454545454
1999-03-12,53.0,54.0,52.0,54.0,54.0,469,14468470000.0,1.0,1.8867924528301887
1999-03-15,52.0,54.0,52.0,54.0,54.0,1444,14195480000.0,2.0,3.8461538461538463
1999-03-16,56.0,56.0,53.0,55.0,55.0,1631,15287440000.0,-1.0,-1.7857142857142856
1999-03-17,56.0,58.0,56.0,58.0,58.0,3219,15287440000.0,2.0,3.571428571428571
1999-03-18,58.0,59.0,58.0,59.0,59.0,3025,15833420000.0,1.0,1.7241379310344827
1999-03-19,59.0,59.0,57.0,58.0,58.0,1444,16106410000.0,-1.0,-1.694915254237288
1999-03-22,60.0,60.0,56.0,56.0,56.0,2025,16379400000.0,-4.0,-6.666666666666667
1999-03-23,58.0,58.0,56.0,56.0,56.0,613,15833420000.0,-2.0,-3.4482758620689653
1999-03-24,57.0,59.0,56.0,58.0,58.0,1031,15560430000.0,1.0,1.7543859649122806
1999-03-25,58.0,58.0,56.0,56.0,56.0,956,15833420000.0,-2.0,-3.4482758620689653
