Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1991-05-17,10.75,10.75,10.0,10.0,10.0,1291600,1542302500.0,-0.75,-6.976744186046512
1991-05-20,10.0,10.25,9.0,9.0,9.0,251600,1434700000.0,-1.0,-10.0
1991-05-21,9.0,9.25,9.0,9.0,9.0,281700,1291230000.0,0.0,0.0
1991-05-22,9.25,9.25,9.0,9.0,9.0,54800,1327097500.0,-0.25,-2.7027027027027026
1991-05-23,9.125,9.25,9.0,9.125,9.125,81100,1309163750.0,0.0,0.0
1991-05-24,9.25,9.25,9.0,9.125,9.125,22600,1327097500.0,-0.125,-1.3513513513513513
1991-05-28,9.125,9.25,9.125,9.25,9.25,18200,1309163750.0,0.125,1.36986301369863
1991-05-29,9.75,10.0,9.25,9.75,9.75,50700,1398832500.0,0.0,0.0
1991-05-30,9.75,10.0,9.75,9.75,9.75,15100,1398832500.0,0.0,0.0
1991-05-31,10.0,10.0,9.5,9.5,9.5,24100,1434700000.0,-0.5,-5.0
1991-06-03,10.0,10.0,9.0,9.25,9.25,61400,1434700000.0,-0.75,-7.5
1991-06-04,9.25,9.5,9.25,9.25,9.25,21400,1327097500.0,0.0,0.0
1991-06-05,9.5,9.5,9.25,9.25,9.25,7000,1362965000.0,-0.25,-2.631578947368421
1991-06-06,9.25,9.5,9.25,9.25,9.25,7400,1327097500.0,0.0,0.0
1991-06-07,9.25,9.5,9.25,9.5,9.5,27500,1327097500.0,0.25,2.7027027027027026
1991-06-10,9.5,9.5,9.25,9.5,9.5,10100,1362965000.0,0.0,0.0
1991-06-11,9.5,9.75,9.25,9.25,9.25,15900,1362965000.0,-0.25,-2.631578947368421
1991-06-12,10.0,11.0,10.0,10.5,10.5,179900,1434700000.0,0.5,5.0
1991-06-13,10.0,10.5,10.0,10.0,10.0,67700,1434700000.0,0.0,0.0
1991-06-14,10.5,10.75,10.0,10.75,10.75,106200,1506435000.0,0.25,2.380952380952381
1991-06-17,10.75,10.75,10.25,10.25,10.25,25000,1542302500.0,-0.5,-4.651162790697675
1991-06-18,10.25,10.5,9.75,10.25,10.25,65300,1470567500.0,0.0,0.0
1991-06-19,10.25,10.25,9.75,10.25,10.25,50000,1470567500.0,0.0,0.0
1991-06-20,10.25,10.25,9.75,10.25,10.25,17000,1470567500.0,0.0,0.0
1991-06-21,9.75,10.25,9.75,10.125,10.125,42800,1398832500.0,0.375,3.8461538461538463
1991-06-24,10.25,10.25,9.75,9.75,9.75,4600,1470567500.0,-0.5,-4.878048780487805
1991-06-25,9.75,10.25,9.75,10.25,10.25,23300,1398832500.0,0.5,5.128205128205128
1991-06-26,10.25,10.25,9.75,9.75,9.75,4900,1470567500.0,-0.5,-4.878048780487805
1991-06-27,10.25,10.25,9.75,10.25,10.25,2500,1470567500.0,0.0,0.0
1991-06-28,10.25,10.25,9.75,10.25,10.25,56400,1470567500.0,0.0,0.0
1991-07-01,10.25,10.5,10.0,10.25,10.25,17100,1470567500.0,0.0,0.0
1991-07-02,10.0,10.25,9.5,10.25,10.25,15400,1434700000.0,0.25,2.5
1991-07-03,9.75,10.25,9.75,9.75,9.75,7500,1398832500.0,0.0,0.0
1991-07-05,9.75,10.25,9.75,9.75,9.75,1200,1398832500.0,0.0,0.0
1991-07-08,9.75,10.0,8.75,9.5,9.5,101800,1398832500.0,-0.25,-2.564102564102564
1991-07-09,9.25,9.75,9.25,9.75,9.75,13200,1327097500.0,0.5,5.405405405405405
1991-07-10,9.75,10.0,9.5,9.625,9.625,18900,1398832500.0,-0.125,-1.282051282051282
1991-07-11,9.875,10.0,9.5,9.5,9.5,9400,1416766250.0,-0.375,-3.79746835443038
1991-07-12,9.5,10.0,9.5,10.0,10.0,1900,1362965000.0,0.5,5.263157894736842
1991-07-15,10.0,10.0,9.25,9.25,9.25,30700,1434700000.0,-0.75,-7.5
1991-07-16,9.5,10.0,9.5,9.5,9.5,16000,1362965000.0,0.0,0.0
1991-07-17,10.0,10.0,10.0,10.0,10.0,3100,1434700000.0,0.0,0.0
1991-07-18,10.0,10.25,9.625,10.0,10.0,7000,1434700000.0,0.0,0.0
1991-07-19,10.0,14.25,10.0,12.75,12.75,761200,1434700000.0,2.75,27.500000000000004
1991-07-22,13.0,13.25,12.5,12.5,12.5,276000,1865110000.0,-0.5,-3.8461538461538463
1991-07-23,13.0,13.0,11.5,11.875,11.875,98300,1865110000.0,-1.125,-8.653846153846153
