Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2016-04-26,9.75,9.75,9.75,9.75,9.75,5000,426855000.0,0.0,0.0
2016-04-27,9.82,9.82,9.8,9.8,9.8,1500,429919600.0,-0.019999999999999574,-0.2036659877800364
2016-04-28,9.9,9.9,9.85,9.85,9.85,12100,433422000.0,-0.05000000000000071,-0.5050505050505122
2016-04-29,9.85,9.85,9.85,9.85,9.85,0,431233000.0,0.0,0.0
2016-05-02,9.85,9.85,9.85,9.85,9.85,0,431233000.0,0.0,0.0
2016-05-03,9.85,9.85,9.85,9.85,9.85,0,431233000.0,0.0,0.0
2016-05-04,10.0,10.0,10.0,10.0,10.0,100,437800000.0,0.0,0.0
2016-05-05,10.0,10.0,10.0,10.0,10.0,0,437800000.0,0.0,0.0
2016-05-06,10.0,10.0,10.0,10.0,10.0,0,437800000.0,0.0,0.0
2016-05-09,10.0,10.0,10.0,10.0,10.0,0,437800000.0,0.0,0.0
2016-05-10,9.8,9.8,9.8,9.8,9.8,1000,429044000.00000006,0.0,0.0
2016-05-11,9.8,9.8,9.8,9.8,9.8,0,429044000.00000006,0.0,0.0
2016-05-12,9.8,9.8,9.8,9.8,9.8,0,429044000.00000006,0.0,0.0
2016-05-13,9.8,9.8,9.8,9.8,9.8,0,429044000.00000006,0.0,0.0
2016-05-16,9.8,9.8,9.8,9.8,9.8,0,429044000.00000006,0.0,0.0
2016-05-17,9.8,9.8,9.8,9.8,9.8,0,429044000.00000006,0.0,0.0
2016-05-18,9.8,9.8,9.8,9.8,9.8,0,429044000.00000006,0.0,0.0
2016-05-19,9.85,9.85,9.85,9.85,9.85,3000,431233000.0,0.0,0.0
2016-05-20,9.85,9.85,9.85,9.85,9.85,0,431233000.0,0.0,0.0
2016-05-23,9.8,9.8,9.8,9.8,9.8,300,429044000.00000006,0.0,0.0
2016-05-24,9.8,9.8,9.8,9.8,9.8,0,429044000.00000006,0.0,0.0
2016-05-25,9.8,9.8,9.8,9.8,9.8,0,429044000.00000006,0.0,0.0
2016-05-26,9.88,9.88,9.88,9.88,9.88,200,432546400.00000006,0.0,0.0
2016-05-27,9.88,9.88,9.88,9.88,9.88,0,432546400.00000006,0.0,0.0
2016-05-31,9.9,9.9,9.9,9.9,9.9,400,433422000.0,0.0,0.0
2016-06-01,9.9,9.9,9.9,9.9,9.9,0,433422000.0,0.0,0.0
2016-06-02,9.84,9.85,9.84,9.85,9.85,3900,430795200.0,0.009999999999999787,0.10162601626016045
2016-06-03,9.85,9.85,9.85,9.85,9.85,0,431233000.0,0.0,0.0
2016-06-06,9.85,9.85,9.85,9.85,9.85,0,431233000.0,0.0,0.0
2016-06-07,9.94,9.94,9.94,9.94,9.94,300,435173200.0,0.0,0.0
2016-06-08,9.88,9.88,9.86,9.87,9.87,2800,432546400.00000006,-0.010000000000001563,-0.10121457489880123
2016-06-09,9.86,9.86,9.86,9.86,9.86,1000,431670800.0,0.0,0.0
2016-06-10,9.86,9.86,9.86,9.86,9.86,0,431670800.0,0.0,0.0
2016-06-13,9.86,9.86,9.86,9.86,9.86,0,431670800.0,0.0,0.0
2016-06-14,9.86,9.86,9.86,9.86,9.86,0,431670800.0,0.0,0.0
2016-06-15,12.0,12.0,9.84,9.95,9.95,11900,525360000.0,-2.0500000000000007,-17.08333333333334
2016-06-16,9.95,9.95,9.95,9.95,9.95,0,435610999.99999994,0.0,0.0
2016-06-17,9.84,9.84,9.84,9.84,9.84,2300,430795200.0,0.0,0.0
2016-06-20,9.85,9.86,9.83,9.83,9.83,6500,431233000.0,-0.019999999999999574,-0.20304568527918349
2016-06-21,9.83,9.83,9.83,9.83,9.83,0,430357400.0,0.0,0.0
2016-06-22,9.83,9.83,9.83,9.83,9.83,0,430357400.0,0.0,0.0
2016-06-23,9.83,9.83,9.83,9.83,9.83,0,430357400.0,0.0,0.0
2016-06-24,9.85,9.85,9.85,9.85,9.85,8600,431233000.0,0.0,0.0
2016-06-27,9.85,9.85,9.85,9.85,9.85,0,431233000.0,0.0,0.0
2016-06-28,9.85,9.85,9.85,9.85,9.85,4300,431233000.0,0.0,0.0
2016-06-29,9.87,9.87,9.87,9.87,9.87,3200,432108599.99999994,0.0,0.0
2016-06-30,9.87,9.87,9.87,9.87,9.87,0,432108599.99999994,0.0,0.0
2016-07-01,9.87,9.87,9.87,9.87,9.87,0,432108599.99999994,0.0,0.0
2016-07-05,9.87,9.87,9.87,9.87,9.87,0,432108599.99999994,0.0,0.0
2016-07-06,9.87,9.87,9.87,9.87,9.87,0,432108599.99999994,0.0,0.0
2016-07-07,9.87,9.87,9.87,9.87,9.87,600,432108599.99999994,0.0,0.0
2016-07-08,9.88,9.88,9.88,9.88,9.88,1000,432546400.00000006,0.0,0.0
2016-07-11,9.88,9.9,9.88,9.89,9.89,2500,432546400.00000006,0.009999999999999787,0.10121457489878326
2016-07-12,9.89,9.89,9.89,9.89,9.89,0,432984200.0,0.0,0.0
2016-07-13,9.91,9.91,9.89,9.89,9.89,2400,433859800.0,-0.019999999999999574,-0.20181634712411275
2016-07-14,9.89,9.89,9.89,9.89,9.89,0,432984200.0,0.0,0.0
2016-07-15,9.92,9.92,9.9,9.9,9.9,1000,434297600.0,-0.019999999999999574,-0.20161290322580216
2016-07-18,9.91,9.91,9.88,9.88,9.88,3300,433859800.0,-0.02999999999999936,-0.3027245206861691
