Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,11.75,11.375,11.5,0.722617,3200,0.0,11.5,inf
1980-03-18,0.0,11.375,11.0,11.375,0.714763,4800,0.0,11.375,inf
1980-03-19,0.0,11.5,11.125,11.25,0.706908,1900,0.0,11.25,inf
1980-03-20,0.0,11.5,11.125,11.25,0.706908,4400,0.0,11.25,inf
1980-03-21,0.0,11.625,11.25,11.5,0.722617,2600,0.0,11.5,inf
1980-03-24,0.0,11.25,11.0,11.0,0.691199,6500,0.0,11.0,inf
1980-03-25,0.0,11.0,10.875,11.0,0.691199,5000,0.0,11.0,inf
1980-03-26,0.0,11.125,11.0,11.125,0.699054,2500,0.0,11.125,inf
1980-03-27,0.0,11.125,10.875,10.875,0.683345,6900,0.0,10.875,inf
1980-03-28,0.0,11.125,10.875,11.125,0.699054,2800,0.0,11.125,inf
1980-03-31,0.0,11.375,11.0,11.125,0.699054,5000,0.0,11.125,inf
1980-04-01,0.0,11.375,11.125,11.375,0.714763,2000,0.0,11.375,inf
1980-04-02,0.0,11.75,11.375,11.75,0.738326,2300,0.0,11.75,inf
1980-04-03,0.0,11.75,11.375,11.625,0.730472,3100,0.0,11.625,inf
1980-04-07,0.0,11.75,11.375,11.375,0.714763,2000,0.0,11.375,inf
1980-04-08,0.0,11.75,11.25,11.75,0.738326,5000,0.0,11.75,inf
1980-04-09,0.0,11.625,11.375,11.625,0.730472,3600,0.0,11.625,inf
1980-04-10,0.0,12.375,11.5,12.25,0.769744,29000,0.0,12.25,inf
1980-04-11,0.0,12.375,12.125,12.375,0.777599,9500,0.0,12.375,inf
1980-04-14,0.0,12.375,12.25,12.375,0.777599,4500,0.0,12.375,inf
1980-04-15,0.0,12.5,12.25,12.5,0.785454,3900,0.0,12.5,inf
1980-04-16,0.0,13.125,12.625,12.75,0.801163,22900,0.0,12.75,inf
1980-04-17,0.0,13.25,12.875,13.25,0.832581,5700,0.0,13.25,inf
1980-04-18,0.0,13.125,12.875,13.125,0.824726,2500,0.0,13.125,inf
1980-04-21,0.0,13.25,13.0,13.0,0.816872,3300,0.0,13.0,inf
1980-04-22,0.0,13.5,13.125,13.375,0.840435,2800,0.0,13.375,inf
1980-04-23,0.0,13.25,13.0,13.0,0.816872,5200,0.0,13.0,inf
1980-04-24,0.0,13.625,13.125,13.25,0.832581,23100,0.0,13.25,inf
1980-04-25,0.0,13.5,13.125,13.5,0.84829,5800,0.0,13.5,inf
1980-04-28,0.0,13.5,13.375,13.375,0.840435,3200,0.0,13.375,inf
1980-04-29,0.0,13.75,13.125,13.75,0.863999,5600,0.0,13.75,inf
1980-04-30,0.0,13.75,13.5,13.5,0.84829,1500,0.0,13.5,inf
1980-05-01,0.0,13.625,13.375,13.375,0.840435,2200,0.0,13.375,inf
1980-05-02,0.0,13.5,13.25,13.375,0.840435,3600,0.0,13.375,inf
1980-05-05,0.0,13.75,13.375,13.75,0.863999,4900,0.0,13.75,inf
1980-05-06,0.0,13.75,13.25,13.25,0.832581,3000,0.0,13.25,inf
1980-05-07,0.0,14.0,13.625,13.75,0.863999,7400,0.0,13.75,inf
1980-05-08,0.0,14.0,13.75,14.0,0.879708,4300,0.0,14.0,inf
1980-05-09,0.0,13.75,13.375,13.625,0.856145,3400,0.0,13.625,inf
1980-05-12,0.0,13.75,13.5,13.75,0.863999,2800,0.0,13.75,inf
1980-05-13,0.0,14.0,13.875,14.0,0.879708,800,0.0,14.0,inf
1980-05-14,0.0,14.0,13.75,14.0,0.879708,2100,0.0,14.0,inf
1980-05-15,0.0,14.0,13.5,13.5,0.84829,5800,0.0,13.5,inf
1980-05-16,0.0,13.875,13.625,13.75,0.863999,1100,0.0,13.75,inf
1980-05-19,0.0,13.75,13.625,13.625,0.856145,1900,0.0,13.625,inf
1980-05-20,0.0,13.375,13.125,13.125,0.824726,4200,0.0,13.125,inf
1980-05-21,0.0,13.125,12.875,13.0,0.816872,8200,0.0,13.0,inf
1980-05-22,0.0,13.125,13.0,13.0,0.816872,3100,0.0,13.0,inf
1980-05-23,0.0,13.375,12.5,12.5,0.785454,12800,0.0,12.5,inf
1980-05-27,0.0,13.5,12.75,13.5,0.84829,3700,0.0,13.5,inf
