Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-04-15,18.6,20.0,17.1,18.559999,17.17206,1963200,371256000.0,-0.040001000000000175,-0.21505913978494715
2021-04-16,18.0,19.23,17.830999,18.120001,16.764967,171200,359280000.0,0.12000099999999847,0.6666722222222138
2021-04-19,18.08,18.49,17.6,18.49,17.107296,139500,360876799.99999994,0.41000000000000014,2.2676991150442487
2021-04-20,18.48,18.5,18.0,18.26,16.894495,46900,368860800.0,-0.21999999999999886,-1.1904761904761842
2021-04-21,18.49,18.49,17.9,18.0,16.65394,48500,369060399.99999994,-0.48999999999999844,-2.6500811249323877
2021-04-22,17.879999,18.35,17.855,18.1,16.746464,27900,356884780.04,0.2200009999999999,1.23043071758561
2021-04-23,18.1,18.43,18.0,18.35,16.977766,15200,361276000.0,0.25,1.3812154696132597
2021-04-26,18.5,18.51,17.969999,17.969999,16.626183,22000,369260000.0,-0.5300009999999986,-2.864870270270263
2021-04-27,18.25,18.6,17.969999,18.48,17.098043,45200,364270000.0,0.23000000000000043,1.260273972602742
2021-04-28,18.24,19.74,18.141001,19.34,17.893732,209400,364070399.99999994,1.1000000000000014,6.030701754385973
2021-04-29,19.24,19.540001,18.809999,19.02,17.597662,111000,384030399.99999994,-0.21999999999999886,-1.1434511434511376
2021-04-30,19.01,19.73,18.42,18.450001,17.07029,52300,379439600.00000006,-0.5599990000000012,-2.9458127301420367
2021-05-03,18.700001,18.91,18.280001,18.91,17.495886,15500,373252019.96,0.20999899999999982,1.1229892447599323
2021-05-04,18.450001,18.85,17.690001,17.91,16.570669,85500,368262019.96,-0.5400010000000002,-2.9268345297108667
2021-05-05,17.940001,18.497,17.5,17.68,16.357868,22800,358082419.96,-0.26000099999999904,-1.4492808556699581
2021-05-06,17.65,17.983999,16.681999,17.540001,16.228338,74500,352294000.0,-0.1099989999999984,-0.6232237960339854
2021-05-07,17.66,18.360001,17.65,18.32,16.95001,9600,352493600.0,0.6600000000000001,3.737259343148359
2021-05-10,18.790001,19.302999,17.68,18.08,16.727957,45800,375048419.96,-0.7100010000000019,-3.7786107621814486
2021-05-11,18.030001,18.77,18.0,18.290001,16.922255,21200,359878819.96,0.26000000000000156,1.4420409627265223
2021-05-12,18.23,18.23,17.969999,18.15,16.792725,29600,363870800.0,-0.08000000000000185,-0.43883708173341657
2021-05-13,17.99,18.0,15.56,16.209999,14.997797,74400,359080399.99999994,-1.7800009999999986,-9.894391328515836
2021-05-14,16.32,17.35,16.32,17.200001,15.913766,30300,325747200.0,0.880001,5.392162990196078
2021-05-17,17.294001,17.370001,17.023001,17.370001,16.071053,6700,345188259.96000004,0.07599999999999696,0.4394587464173094
2021-05-18,17.228001,18.0,17.228001,17.9,16.561419,27000,343870899.96,0.6719989999999996,3.9006208555478934
