Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,1.466667,1.366667,1.366667,0.503434,6000,0.0,1.366667,inf
1980-03-18,0.0,1.433333,1.333333,1.333333,0.491155,16500,0.0,1.333333,inf
1980-03-19,0.0,1.433333,1.333333,1.333333,0.491155,15750,0.0,1.333333,inf
1980-03-20,0.0,1.433333,1.333333,1.333333,0.491155,29250,0.0,1.333333,inf
1980-03-21,0.0,1.433333,1.333333,1.333333,0.491155,25500,0.0,1.333333,inf
1980-03-24,0.0,1.433333,1.333333,1.333333,0.491155,60000,0.0,1.333333,inf
1980-03-25,0.0,1.4,1.3,1.3,0.478876,33000,0.0,1.3,inf
1980-03-26,0.0,1.4,1.3,1.3,0.478876,7500,0.0,1.3,inf
1980-03-27,0.0,1.4,1.3,1.3,0.478876,7500,0.0,1.3,inf
1980-03-28,0.0,1.4,1.3,1.3,0.478876,5250,0.0,1.3,inf
1980-03-31,0.0,1.4,1.3,1.3,0.478876,9750,0.0,1.3,inf
1980-04-01,0.0,1.4,1.3,1.3,0.478876,19500,0.0,1.3,inf
1980-04-02,1.3,1.3,1.3,1.3,0.478876,0,35776000.0,0.0,0.0
1980-04-03,0.0,1.4,1.3,1.3,0.478876,15750,0.0,1.3,inf
1980-04-07,0.0,1.4,1.3,1.3,0.478876,27000,0.0,1.3,inf
1980-04-08,0.0,1.4,1.3,1.3,0.478876,8250,0.0,1.3,inf
1980-04-09,0.0,1.366667,1.266667,1.266667,0.466597,20250,0.0,1.266667,inf
1980-04-10,0.0,1.366667,1.266667,1.266667,0.466597,3750,0.0,1.266667,inf
1980-04-11,0.0,1.366667,1.266667,1.266667,0.466597,3750,0.0,1.266667,inf
1980-04-14,0.0,1.366667,1.266667,1.266667,0.466597,3750,0.0,1.266667,inf
1980-04-15,0.0,1.366667,1.266667,1.266667,0.466597,750,0.0,1.266667,inf
1980-04-16,0.0,1.366667,1.266667,1.266667,0.466597,8250,0.0,1.266667,inf
1980-04-17,0.0,1.366667,1.266667,1.266667,0.466597,750,0.0,1.266667,inf
1980-04-18,0.0,1.366667,1.266667,1.266667,0.466597,2250,0.0,1.266667,inf
1980-04-21,0.0,1.366667,1.266667,1.266667,0.466597,52500,0.0,1.266667,inf
1980-04-22,0.0,1.366667,1.266667,1.266667,0.466597,13500,0.0,1.266667,inf
1980-04-23,0.0,1.366667,1.266667,1.266667,0.466597,3750,0.0,1.266667,inf
1980-04-24,0.0,1.366667,1.266667,1.266667,0.466597,6750,0.0,1.266667,inf
1980-04-25,0.0,1.333333,1.233333,1.233333,0.454318,1500,0.0,1.233333,inf
1980-04-28,0.0,1.333333,1.233333,1.233333,0.454318,43500,0.0,1.233333,inf
1980-04-29,0.0,1.366667,1.266667,1.266667,0.466597,1500,0.0,1.266667,inf
1980-04-30,0.0,1.333333,1.233333,1.233333,0.454318,4500,0.0,1.233333,inf
1980-05-01,0.0,1.333333,1.233333,1.233333,0.454318,4500,0.0,1.233333,inf
1980-05-02,0.0,1.333333,1.233333,1.233333,0.454318,18750,0.0,1.233333,inf
1980-05-05,0.0,1.333333,1.233333,1.233333,0.454318,23250,0.0,1.233333,inf
1980-05-06,0.0,1.333333,1.233333,1.233333,0.454318,1500,0.0,1.233333,inf
1980-05-07,0.0,1.333333,1.233333,1.233333,0.454318,5250,0.0,1.233333,inf
1980-05-08,0.0,1.333333,1.233333,1.233333,0.454318,28500,0.0,1.233333,inf
1980-05-09,0.0,1.333333,1.233333,1.233333,0.454318,19500,0.0,1.233333,inf
1980-05-12,0.0,1.333333,1.233333,1.233333,0.454318,24750,0.0,1.233333,inf
1980-05-13,0.0,1.333333,1.233333,1.233333,0.454318,9750,0.0,1.233333,inf
1980-05-14,0.0,1.366667,1.266667,1.266667,0.466597,27000,0.0,1.266667,inf
1980-05-15,0.0,1.366667,1.266667,1.266667,0.466597,39750,0.0,1.266667,inf
1980-05-16,0.0,1.333333,1.233333,1.233333,0.454318,33750,0.0,1.233333,inf
1980-05-19,0.0,1.366667,1.266667,1.266667,0.466597,3000,0.0,1.266667,inf
1980-05-20,0.0,1.366667,1.266667,1.266667,0.466597,22500,0.0,1.266667,inf
1980-05-21,0.0,1.366667,1.266667,1.266667,0.466597,10500,0.0,1.266667,inf
1980-05-22,0.0,1.366667,1.266667,1.266667,0.466597,3750,0.0,1.266667,inf
1980-05-23,0.0,1.433333,1.333333,1.333333,0.491155,20250,0.0,1.333333,inf
1980-05-27,0.0,1.466667,1.366667,1.366667,0.503434,10500,0.0,1.366667,inf
1980-05-28,0.0,1.5,1.4,1.4,0.515713,9750,0.0,1.4,inf
1980-05-29,0.0,1.533333,1.433333,1.433333,0.527992,18000,0.0,1.433333,inf
