Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-12-27,9.78,9.82,9.78,9.82,9.82,312300,42445200.0,0.040000000000000924,0.40899795501023445
2021-12-28,9.8,9.81,9.8,9.81,9.81,167600,42532000.0,0.009999999999999787,0.10204081632652844
2021-12-29,9.81,9.85,9.81,9.84,9.84,331300,42575400.0,0.02999999999999936,0.30581039755351025
2021-12-30,9.84,9.904,9.84,9.85,9.85,210400,42705600.0,0.009999999999999787,0.10162601626016045
2021-12-31,9.85,9.885,9.83,9.885,9.885,82700,42749000.0,0.03500000000000014,0.35532994923858013
2022-01-03,9.9,9.9,9.86,9.86,9.86,128400,42966000.0,-0.040000000000000924,-0.4040404040404133
2022-01-04,9.86,9.86,9.86,9.86,9.86,0,42792400.0,0.0,0.0
2022-01-05,9.89,9.9,9.89,9.9,9.9,9800,42922600.0,0.009999999999999787,0.10111223458038206
2022-01-06,9.9,9.91,9.9,9.91,9.91,414800,42966000.0,0.009999999999999787,0.10101010101009886
2022-01-07,9.91,9.91,9.88,9.91,9.91,41500,43009400.0,0.0,0.0
2022-01-10,9.91,9.91,9.895,9.895,9.895,20400,43009400.0,-0.015000000000000568,-0.15136226034309352
2022-01-11,9.9,9.91,9.9,9.9,9.9,26900,42966000.0,0.0,0.0
2022-01-12,9.905,9.92,9.89,9.89,9.89,228200,42987700.0,-0.014999999999998792,-0.15143866733971523
2022-01-13,9.91,9.92,9.91,9.91,9.91,242700,43009400.0,0.0,0.0
2022-01-14,9.92,9.92,9.9,9.9,9.9,72100,43052800.0,-0.019999999999999574,-0.20161290322580216
2022-01-18,9.91,9.92,9.91,9.92,9.92,31500,43009400.0,0.009999999999999787,0.10090817356205638
2022-01-19,9.92,9.92,9.9,9.9,9.9,2300,43052800.0,-0.019999999999999574,-0.20161290322580216
2022-01-20,9.93,9.93,9.9,9.9,9.9,188400,43096200.0,-0.02999999999999936,-0.30211480362537124
2022-01-21,9.9,9.92,9.89,9.9,9.9,484300,42966000.0,0.0,0.0
2022-01-24,9.91,9.91,9.88,9.91,9.91,80100,43009400.0,0.0,0.0
2022-01-25,9.91,9.91,9.9,9.9,9.9,1400,43009400.0,-0.009999999999999787,-0.10090817356205638
